season,game_id,home_team,away_team,neutral_site,home_score,away_score,pred_home_score,pred_away_score,prob_winner,prob_spread,prob_total,total_error,spread_error,home_error,away_error
2008,282502751,Wyoming,Air Force,False,3,23,20.7089,60.2439,0.6870,0.8097,0.4980,54.9528,19.5350,17.7089,37.2439
2008,282570248,Houston,Air Force,False,28,31,24.6726,39.4998,0.5826,0.8679,0.9420,5.1725,11.8272,3.3274,8.4998
2008,282642005,Air Force,Utah,False,23,30,46.2682,33.3135,0.4338,0.7974,0.7324,26.5816,19.9547,23.2682,3.3135
2008,282782005,Air Force,Navy,False,27,33,31.8073,32.1213,0.5018,0.9338,0.9543,3.9286,5.6860,4.8073,0.8787
2008,282850021,San Diego State,Air Force,False,10,35,20.8315,40.7666,0.5965,0.9505,0.8387,16.5982,5.0649,10.8315,5.7666
2008,282922439,UNLV,Air Force,False,28,29,30.5976,50.5638,0.5939,0.8215,0.7738,24.1614,18.9663,2.5976,21.5638
2008,282972005,Air Force,New Mexico,False,23,10,24.2135,43.4875,0.3960,0.6587,0.6348,34.7010,32.2739,1.2135,33.4875
2008,283060349,Army,Air Force,False,7,16,27.7310,25.5423,0.4869,0.8664,0.6489,30.2733,11.1887,20.7310,9.5423
2008,283132005,Air Force,Colorado State,False,38,17,42.1605,33.4647,0.5481,0.8642,0.7743,20.6252,12.3042,4.1605,16.4647
2008,283202005,Air Force,BYU,False,24,38,30.7294,42.8390,0.5592,0.9815,0.8869,11.5684,1.8904,6.7294,4.8390
2008,283272628,TCU,Air Force,False,44,10,42.8181,29.9461,0.5742,0.7588,0.7851,18.7642,21.1280,1.1819,19.9461
2009,292550135,Minnesota,Air Force,False,20,13,28.9422,50.5994,0.3971,0.7300,0.5751,46.5416,28.6572,8.9422,37.5994
2009,292620167,New Mexico,Air Force,False,13,37,10.5574,59.0395,0.7585,0.7231,0.7767,19.5969,24.4821,2.4426,22.0395
2009,292692005,Air Force,San Diego State,False,26,14,48.1880,10.9930,0.6846,0.7448,0.8042,19.1810,25.1950,22.1880,3.0070
2009,292762426,Navy,Air Force,False,16,13,24.3053,24.0809,0.5013,0.9689,0.7851,19.3862,2.7755,8.3053,11.0809
2009,292832005,Air Force,TCU,False,17,20,18.3834,26.9104,0.5437,0.9433,0.9151,8.2938,5.5270,1.3834,6.9104
2009,292902005,Air Force,Wyoming,False,10,0,15.9032,28.9713,0.4348,0.7719,0.6611,34.8746,23.0681,5.9032,28.9713
2009,292970254,Utah,Air Force,False,23,16,23.2746,12.6306,0.5609,0.9582,0.9645,3.0949,3.6440,0.2746,3.3694
2009,293040036,Colorado State,Air Force,False,16,34,17.7186,44.5222,0.6587,0.8931,0.8518,12.2408,8.8037,1.7186,10.5222
2009,293112005,Air Force,Army,False,35,7,27.8668,14.6228,0.5988,0.7803,0.9926,0.4896,14.7561,7.1332,7.6228
2009,293182005,Air Force,UNLV,False,45,17,44.5411,29.9488,0.5873,0.8394,0.8502,12.4899,13.4078,0.4589,12.9488
2009,293250252,BYU,Air Force,False,38,21,30.7819,47.9615,0.4020,0.6215,0.7755,19.7435,34.1796,7.2181,26.9615
2010,302542005,Air Force,BYU,False,35,14,43.8267,39.0813,0.5226,0.8461,0.6855,33.9079,16.2546,8.8267,25.0813
2010,302610201,Oklahoma,Air Force,False,27,24,45.2223,37.7372,0.5332,0.9602,0.7223,31.9595,4.4851,18.2223,13.7372
2010,302682751,Wyoming,Air Force,False,14,20,23.3438,66.5118,0.7210,0.6139,0.4484,55.8556,37.1680,9.3438,46.5118
2010,302752005,Air Force,Navy,False,14,6,33.0029,34.7653,0.4885,0.8728,0.4334,47.7682,9.7624,19.0029,28.7653
2010,302822005,Air Force,Colorado State,False,49,27,36.0238,23.1366,0.5836,0.8814,0.7828,16.8396,9.1128,12.9762,3.8634
2010,302890021,San Diego State,Air Force,False,27,25,32.2566,35.8076,0.4808,0.9401,0.8278,16.0642,5.5510,5.2566,10.8076
2010,302962628,TCU,Air Force,False,38,7,45.6900,16.4374,0.6905,0.9763,0.7710,17.1274,1.7474,7.6900,9.4374
2010,303032005,Air Force,Utah,False,23,28,24.5562,55.6326,0.6585,0.7318,0.7012,29.1889,26.0764,1.5562,27.6326
2010,303100349,Army,Air Force,False,22,42,37.1344,15.6492,0.3521,0.4635,0.8429,11.2164,41.4852,15.1344,26.3508
2010,303172005,Air Force,New Mexico,False,48,23,40.4413,41.0745,0.4966,0.7335,0.8889,10.5159,25.6332,7.5587,18.0745
2010,303222439,UNLV,Air Force,False,20,35,33.7260,51.6906,0.5868,0.9711,0.7105,30.4165,2.9646,13.7260,16.6906
2011,312532005,Air Force,TCU,False,19,35,49.9574,54.0549,0.5175,0.8983,0.5913,50.0123,11.9026,30.9574,19.0549
2011,312742426,Navy,Air Force,False,34,35,52.6755,32.0208,0.3980,0.7864,0.8442,15.6963,21.6546,18.6755,2.9792
2011,312810087,Notre Dame,Air Force,False,59,33,49.1714,36.8659,0.5709,0.8423,0.9310,5.9628,13.6945,9.8286,3.8659
2011,312862005,Air Force,San Diego State,False,27,41,51.0340,44.9113,0.4718,0.8160,0.7465,27.9453,20.1228,24.0340,3.9113
2011,312950068,Boise State,Air Force,False,37,26,81.8139,18.5466,0.7825,0.5190,0.6448,37.3605,52.2673,44.8139,7.4534
2011,313020167,New Mexico,Air Force,False,0,42,41.0887,55.0127,0.5667,0.7349,0.5141,54.1014,28.0760,41.0887,13.0127
2011,313092005,Air Force,Army,False,24,14,33.4180,32.9733,0.5021,0.9086,0.7330,28.3913,9.5553,9.4180,18.9733
2011,313162005,Air Force,Wyoming,False,17,25,34.2069,27.2308,0.4636,0.8444,0.7989,19.4377,14.9760,17.2069,2.2308
2011,313232005,Air Force,UNLV,False,45,17,44.7142,15.1122,0.6490,0.9835,0.9776,2.1736,1.6019,0.2858,1.8878
2011,313300036,Colorado State,Air Force,False,21,45,16.2180,43.9202,0.6426,0.9610,0.9384,5.8618,3.7022,4.7820,1.0798
2012,322520130,Michigan,Air Force,False,31,25,32.6750,62.9659,0.3490,0.6421,0.6117,39.6410,36.2909,1.6750,37.9659
2012,322662439,UNLV,Air Force,False,38,35,30.2116,54.4420,0.3820,0.7359,0.8852,11.6536,27.2304,7.7884,19.4420
2012,322732005,Air Force,Colorado State,False,42,21,55.8353,37.9326,0.5912,0.9682,0.6918,30.7678,3.0973,13.8353,16.9326
