,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Air Force,Mountain West,Uncategorized,{'seconds': 16},1,"{'minutes': 14, 'seconds': 29}",75,252462005,25246200501,Washington,Pac-10,0,False,1,"{'minutes': 14, 'seconds': 45}",75,0,2005
1,Washington,Pac-10,Uncategorized,"{'minutes': 5, 'seconds': 49}",1,"{'minutes': 8, 'seconds': 40}",31,252462005,25246200502,Air Force,Mountain West,0,False,1,"{'minutes': 14, 'seconds': 29}",31,0,2005
2,Air Force,Mountain West,Uncategorized,"{'minutes': 3, 'seconds': 10}",1,"{'minutes': 5, 'seconds': 30}",80,252462005,25246200503,Washington,Pac-10,0,False,1,"{'minutes': 8, 'seconds': 40}",80,0,2005
3,Washington,Pac-10,Uncategorized,"{'minutes': 1, 'seconds': 38}",1,"{'minutes': 3, 'seconds': 52}",19,252462005,25246200504,Air Force,Mountain West,0,False,1,"{'minutes': 5, 'seconds': 30}",19,0,2005
4,Air Force,Mountain West,Uncategorized,"{'minutes': 3, 'seconds': 9}",1,{'seconds': 43},73,252462005,25246200505,Washington,Pac-10,0,False,1,"{'minutes': 3, 'seconds': 52}",73,0,2005
5,Washington,Pac-10,Uncategorized,{'seconds': 43},1,{},17,252462005,25246200506,Air Force,Mountain West,0,False,1,{'seconds': 43},17,0,2005
6,Air Force,Mountain West,Uncategorized,"{'minutes': 3, 'seconds': 31}",2,"{'minutes': 6, 'seconds': 40}",75,252462005,25246200507,Washington,Pac-10,0,False,2,"{'minutes': 10, 'seconds': 11}",75,0,2005
7,Washington,Pac-10,Uncategorized,"{'minutes': 6, 'seconds': 1}",2,{'seconds': 39},20,252462005,25246200508,Air Force,Mountain West,0,False,2,"{'minutes': 6, 'seconds': 40}",20,0,2005
8,Air Force,Mountain West,Uncategorized,{'seconds': 29},2,{'seconds': 10},65,252462005,25246200509,Washington,Pac-10,0,False,2,{'seconds': 39},65,0,2005
9,Washington,Pac-10,Uncategorized,{'seconds': 10},2,{},10,252462005,25246200510,Air Force,Mountain West,0,False,2,{'seconds': 10},10,0,2005
10,Washington,Pac-10,Uncategorized,"{'minutes': 1, 'seconds': 31}",3,"{'minutes': 13, 'seconds': 19}",43,252462005,25246200511,Air Force,Mountain West,0,False,3,"{'minutes': 14, 'seconds': 50}",43,0,2005
11,Air Force,Mountain West,Uncategorized,"{'minutes': 6, 'seconds': 18}",3,"{'minutes': 7, 'seconds': 1}",69,252462005,25246200512,Washington,Pac-10,0,False,3,"{'minutes': 13, 'seconds': 19}",69,0,2005
12,Washington,Pac-10,Uncategorized,"{'minutes': 5, 'seconds': 26}",3,"{'minutes': 1, 'seconds': 35}",20,252462005,25246200513,Air Force,Mountain West,0,False,3,"{'minutes': 7, 'seconds': 1}",20,0,2005
13,Air Force,Mountain West,Uncategorized,"{'minutes': 1, 'seconds': 35}",3,{},86,252462005,25246200514,Washington,Pac-10,0,False,3,"{'minutes': 1, 'seconds': 35}",86,0,2005
