,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Akron,Mid-American,RUSHING TD,"{'minutes': 5, 'seconds': 52}",1,"{'minutes': 8, 'seconds': 52}",100,252532509,25253250901,Purdue,Big Ten,14,True,1,"{'minutes': 14, 'seconds': 44}",33,67,2005
1,Purdue,Big Ten,PUNT,"{'minutes': 2, 'seconds': 49}",1,"{'minutes': 6, 'seconds': 3}",38,252532509,25253250902,Akron,Mid-American,7,False,1,"{'minutes': 8, 'seconds': 52}",77,39,2005
2,Akron,Mid-American,PUNT,"{'minutes': 1, 'seconds': 3}",1,{'minutes': 5},24,252532509,25253250903,Purdue,Big Ten,3,False,1,"{'minutes': 6, 'seconds': 3}",20,4,2005
3,Purdue,Big Ten,PUNT,{'seconds': 58},1,"{'minutes': 4, 'seconds': 2}",47,252532509,25253250904,Akron,Mid-American,3,False,1,{'minutes': 5},46,-1,2005
4,Akron,Mid-American,PUNT,"{'minutes': 1, 'seconds': 41}",1,"{'minutes': 2, 'seconds': 21}",27,252532509,25253250905,Purdue,Big Ten,3,False,1,"{'minutes': 4, 'seconds': 2}",20,7,2005
5,Purdue,Big Ten,PUNT,"{'minutes': 2, 'seconds': 5}",1,{'seconds': 16},76,252532509,25253250906,Akron,Mid-American,3,True,1,"{'minutes': 2, 'seconds': 21}",75,-1,2005
6,Akron,Mid-American,PUNT RETURN TD,{'seconds': 7},1,{'seconds': 9},76,252532509,25253250907,Purdue,Big Ten,1,True,1,{'seconds': 16},97,24,2005
7,Purdue,Big Ten,PUNT,{'seconds': 21},2,"{'minutes': 14, 'seconds': 48}",57,252532509,25253250908,Akron,Mid-American,3,False,1,{'seconds': 9},57,0,2005
8,Akron,Mid-American,PUNT,{'minutes': 4},2,"{'minutes': 10, 'seconds': 48}",36,252532509,25253250909,Purdue,Big Ten,6,False,2,"{'minutes': 14, 'seconds': 48}",17,19,2005
9,Purdue,Big Ten,PASSING TD,"{'minutes': 1, 'seconds': 55}",2,"{'minutes': 8, 'seconds': 53}",0,252532509,25253250910,Akron,Mid-American,5,True,2,"{'minutes': 10, 'seconds': 48}",81,76,2005
10,Akron,Mid-American,RUSHING TD,{'seconds': 46},2,"{'minutes': 8, 'seconds': 7}",100,252532509,25253250911,Purdue,Big Ten,2,True,2,"{'minutes': 8, 'seconds': 53}",48,52,2005
11,Purdue,Big Ten,PUNT,"{'minutes': 8, 'seconds': 7}",2,{},75,252532509,25253250912,Akron,Mid-American,3,False,2,"{'minutes': 8, 'seconds': 7}",80,5,2005
12,Akron,Mid-American,PUNT,"{'minutes': 4, 'seconds': 47}",2,"{'minutes': 2, 'seconds': 21}",61,252532509,25253250913,Purdue,Big Ten,11,False,0,{},13,48,2005
13,Purdue,Big Ten,PASSING TD,{'seconds': 50},2,"{'minutes': 1, 'seconds': 31}",0,252532509,25253250914,Akron,Mid-American,2,True,2,"{'minutes': 2, 'seconds': 21}",87,87,2005
14,Akron,Mid-American,PASSING TD,{'seconds': 54},2,{'seconds': 37},100,252532509,25253250915,Purdue,Big Ten,6,True,2,"{'minutes': 1, 'seconds': 31}",35,65,2005
15,Purdue,Big Ten,END OF HALF,{'seconds': 37},2,{},35,252532509,25253250916,Akron,Mid-American,6,False,2,{'seconds': 37},80,45,2005
16,Purdue,Big Ten,PUNT,"{'minutes': 1, 'seconds': 29}",3,"{'minutes': 13, 'seconds': 31}",74,252532509,25253250917,Akron,Mid-American,3,False,3,{'minutes': 15},80,6,2005
17,Akron,Mid-American,PUNT,"{'minutes': 1, 'seconds': 53}",3,"{'minutes': 11, 'seconds': 38}",48,252532509,25253250918,Purdue,Big Ten,3,False,3,"{'minutes': 13, 'seconds': 31}",41,7,2005
18,Purdue,Big Ten,PUNT,"{'minutes': 1, 'seconds': 2}",3,"{'minutes': 10, 'seconds': 36}",80,252532509,25253250919,Akron,Mid-American,3,False,3,"{'minutes': 11, 'seconds': 38}",82,2,2005
19,Akron,Mid-American,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 51}",3,"{'minutes': 6, 'seconds': 45}",42,252532509,25253250920,Purdue,Big Ten,9,False,3,"{'minutes': 10, 'seconds': 36}",37,5,2005
20,Purdue,Big Ten,FUMBLE,{'seconds': 42},3,"{'minutes': 6, 'seconds': 3}",43,252532509,25253250921,Akron,Mid-American,2,False,3,"{'minutes': 6, 'seconds': 45}",42,-1,2005
21,Akron,Mid-American,FUMBLE,{'seconds': 41},3,"{'minutes': 5, 'seconds': 22}",45,252532509,25253250922,Purdue,Big Ten,2,False,3,"{'minutes': 6, 'seconds': 3}",43,2,2005
22,Purdue,Big Ten,FG GOOD,"{'minutes': 2, 'seconds': 27}",3,"{'minutes': 2, 'seconds': 55}",5,252532509,25253250923,Akron,Mid-American,9,True,3,"{'minutes': 5, 'seconds': 22}",45,40,2005
23,Akron,Mid-American,RUSHING TD,"{'minutes': 6, 'seconds': 55}",4,"{'minutes': 10, 'seconds': 50}",100,252532509,25253250924,Purdue,Big Ten,14,True,3,"{'minutes': 2, 'seconds': 55}",28,77,2005
24,Purdue,Big Ten,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 33}",4,"{'minutes': 9, 'seconds': 17}",36,252532509,25253250925,Akron,Mid-American,4,False,4,"{'minutes': 10, 'seconds': 50}",42,6,2005
25,Akron,Mid-American,PUNT,"{'minutes': 1, 'seconds': 19}",4,"{'minutes': 7, 'seconds': 58}",32,252532509,25253250926,Purdue,Big Ten,3,False,4,"{'minutes': 9, 'seconds': 17}",36,-4,2005
26,Purdue,Big Ten,FUMBLE,"{'minutes': 3, 'seconds': 44}",4,"{'minutes': 4, 'seconds': 14}",66,252532509,25253250927,Akron,Mid-American,6,False,4,"{'minutes': 7, 'seconds': 58}",65,-1,2005
27,Akron,Mid-American,PASSING TD,{'seconds': 8},4,"{'minutes': 4, 'seconds': 6}",100,252532509,25253250928,Purdue,Big Ten,1,True,4,"{'minutes': 4, 'seconds': 14}",66,34,2005
