,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Middle Tennessee,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 41}",1,"{'minutes': 13, 'seconds': 19}",49,252460333,25246033301,Alabama,SEC,4,False,1,{'minutes': 15},27,21,2005
1,Alabama,SEC,PUNT,"{'minutes': 4, 'seconds': 30}",1,"{'minutes': 8, 'seconds': 49}",56,252460333,25246033302,Middle Tennessee,Sun Belt,5,False,1,"{'minutes': 13, 'seconds': 19}",75,19,2005
2,Middle Tennessee,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 59}",1,"{'minutes': 5, 'seconds': 50}",48,252460333,25246033303,Alabama,SEC,4,False,1,"{'minutes': 8, 'seconds': 49}",25,23,2005
3,Alabama,SEC,SF,"{'minutes': 2, 'seconds': 1}",1,"{'minutes': 3, 'seconds': 49}",100,252460333,25246033304,Middle Tennessee,Sun Belt,3,True,1,"{'minutes': 5, 'seconds': 50}",87,-13,2005
4,Middle Tennessee,Sun Belt,INT,"{'minutes': 1, 'seconds': 27}",1,"{'minutes': 2, 'seconds': 22}",40,252460333,25246033305,Alabama,SEC,4,False,1,"{'minutes': 3, 'seconds': 49}",37,13,2005
5,Alabama,SEC,PUNT,"{'minutes': 3, 'seconds': 8}",2,"{'minutes': 13, 'seconds': 35}",82,252460333,25246033306,Middle Tennessee,Sun Belt,6,False,1,"{'minutes': 2, 'seconds': 22}",98,16,2005
6,Middle Tennessee,Sun Belt,RUSHING TD,"{'minutes': 4, 'seconds': 30}",2,"{'minutes': 9, 'seconds': 5}",100,252460333,25246033307,Alabama,SEC,10,True,2,"{'minutes': 13, 'seconds': 35}",48,52,2005
7,Alabama,SEC,PASSING TD,"{'minutes': 2, 'seconds': 59}",2,"{'minutes': 6, 'seconds': 6}",0,252460333,25246033308,Middle Tennessee,Sun Belt,9,True,2,"{'minutes': 9, 'seconds': 5}",80,80,2005
8,Middle Tennessee,Sun Belt,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 33}",2,"{'minutes': 3, 'seconds': 33}",65,252460333,25246033309,Alabama,SEC,6,False,2,"{'minutes': 6, 'seconds': 6}",45,20,2005
9,Alabama,SEC,PUNT,"{'minutes': 2, 'seconds': 57}",2,{'seconds': 36},61,252460333,25246033310,Middle Tennessee,Sun Belt,4,False,2,"{'minutes': 3, 'seconds': 33}",60,4,2005
10,Middle Tennessee,Sun Belt,END OF HALF,{'seconds': 36},2,{},27,252460333,25246033311,Alabama,SEC,1,False,2,{'seconds': 36},26,1,2005
