,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Kansas,Big 12,FUMBLE,"{'minutes': 5, 'seconds': 6}",1,"{'minutes': 9, 'seconds': 54}",0,252532305,25253230501,Appalachian State,,12,False,1,{'minutes': 15},80,80,2005
1,Appalachian State,,PUNT,"{'minutes': 2, 'seconds': 57}",1,"{'minutes': 6, 'seconds': 57}",64,252532305,25253230502,Kansas,Big 12,5,False,1,"{'minutes': 9, 'seconds': 54}",20,44,2005
2,Kansas,Big 12,PUNT,"{'minutes': 3, 'seconds': 47}",1,"{'minutes': 3, 'seconds': 10}",51,252532305,25253230503,Appalachian State,,6,False,1,"{'minutes': 6, 'seconds': 57}",64,13,2005
3,Appalachian State,,RUSHING TD,"{'minutes': 2, 'seconds': 42}",1,{'seconds': 28},100,252532305,25253230504,Kansas,Big 12,5,True,1,"{'minutes': 3, 'seconds': 10}",10,90,2005
4,Kansas,Big 12,PUNT,"{'minutes': 2, 'seconds': 42}",2,{'minutes': 15},81,252532305,25253230505,Appalachian State,,3,False,1,{'seconds': 28},86,5,2005
5,Appalachian State,,RUSHING TD,"{'minutes': 4, 'seconds': 46}",2,"{'minutes': 10, 'seconds': 14}",100,252532305,25253230506,Kansas,Big 12,10,True,2,{'minutes': 15},42,58,2005
6,Kansas,Big 12,PUNT,"{'minutes': 1, 'seconds': 24}",2,"{'minutes': 8, 'seconds': 50}",75,252532305,25253230507,Appalachian State,,3,False,2,"{'minutes': 10, 'seconds': 14}",80,5,2005
7,Appalachian State,,PUNT,"{'minutes': 1, 'seconds': 1}",2,"{'minutes': 7, 'seconds': 49}",45,252532305,25253230508,Kansas,Big 12,3,False,2,"{'minutes': 8, 'seconds': 50}",38,7,2005
8,Kansas,Big 12,FG MISSED,"{'minutes': 3, 'seconds': 24}",2,"{'minutes': 4, 'seconds': 25}",18,252532305,25253230509,Appalachian State,,8,False,2,"{'minutes': 7, 'seconds': 49}",80,62,2005
9,Appalachian State,,PUNT,"{'minutes': 1, 'seconds': 25}",2,{'minutes': 3},22,252532305,25253230510,Kansas,Big 12,4,False,2,"{'minutes': 4, 'seconds': 25}",20,2,2005
10,Kansas,Big 12,PUNT,"{'minutes': 1, 'seconds': 30}",2,"{'minutes': 1, 'seconds': 30}",55,252532305,25253230511,Appalachian State,,3,False,2,{'minutes': 3},64,9,2005
11,Appalachian State,,INT,{'seconds': 58},2,{'seconds': 32},74,252532305,25253230512,Kansas,Big 12,4,False,2,"{'minutes': 1, 'seconds': 30}",29,45,2005
12,Kansas,Big 12,END OF HALF,{'seconds': 32},2,{},98,252532305,25253230513,Appalachian State,,1,False,2,{'seconds': 32},99,1,2005
13,Appalachian State,,RUSHING TD,"{'minutes': 7, 'seconds': 11}",3,"{'minutes': 7, 'seconds': 49}",100,252532305,25253230514,Kansas,Big 12,15,True,3,{'minutes': 15},20,80,2005
14,Kansas,Big 12,PUNT,"{'minutes': 2, 'seconds': 5}",3,"{'minutes': 5, 'seconds': 44}",80,252532305,25253230515,Appalachian State,,3,False,3,"{'minutes': 7, 'seconds': 49}",80,0,2005
15,Appalachian State,,RUSHING TD,"{'minutes': 3, 'seconds': 4}",3,"{'minutes': 2, 'seconds': 40}",100,252532305,25253230516,Kansas,Big 12,8,True,3,"{'minutes': 5, 'seconds': 44}",69,31,2005
16,Kansas,Big 12,PASSING TD,"{'minutes': 2, 'seconds': 43}",4,"{'minutes': 14, 'seconds': 57}",0,252532305,25253230517,Appalachian State,,8,True,3,"{'minutes': 2, 'seconds': 40}",80,80,2005
17,Appalachian State,,RUSHING TD,{'seconds': 50},4,"{'minutes': 14, 'seconds': 7}",100,252532305,25253230518,Kansas,Big 12,4,True,4,"{'minutes': 14, 'seconds': 57}",25,75,2005
18,Kansas,Big 12,PUNT,"{'minutes': 1, 'seconds': 2}",4,"{'minutes': 13, 'seconds': 5}",72,252532305,25253230519,Appalachian State,,3,False,4,"{'minutes': 14, 'seconds': 7}",80,8,2005
19,Appalachian State,,FG GOOD,"{'minutes': 3, 'seconds': 56}",4,"{'minutes': 9, 'seconds': 9}",84,252532305,25253230520,Kansas,Big 12,7,True,4,"{'minutes': 13, 'seconds': 5}",43,41,2005
20,Kansas,Big 12,TURNOVER ON DOWNS,"{'minutes': 6, 'seconds': 33}",4,"{'minutes': 2, 'seconds': 36}",16,252532305,25253230521,Appalachian State,,16,False,4,"{'minutes': 9, 'seconds': 9}",84,68,2005
21,Appalachian State,,PUNT,"{'minutes': 2, 'seconds': 8}",4,{'seconds': 28},19,252532305,25253230522,Kansas,Big 12,3,False,4,"{'minutes': 2, 'seconds': 36}",16,3,2005
22,Kansas,Big 12,END OF GAME,{'seconds': 28},4,{},77,252532305,25253230523,Appalachian State,,1,False,4,{'seconds': 28},75,-2,2005
23,Appalachian State,,PASSING TD,"{'minutes': 3, 'seconds': 57}",1,"{'minutes': 10, 'seconds': 58}",100,253090099,25309009901,LSU,SEC,9,True,1,"{'minutes': 14, 'seconds': 55}",28,72,2005
24,LSU,SEC,PUNT,"{'minutes': 4, 'seconds': 14}",1,"{'minutes': 6, 'seconds': 44}",46,253090099,25309009902,Appalachian State,,7,False,1,"{'minutes': 10, 'seconds': 58}",80,34,2005
25,Appalachian State,,PUNT,"{'minutes': 2, 'seconds': 23}",1,"{'minutes': 4, 'seconds': 21}",30,253090099,25309009903,LSU,SEC,5,False,1,"{'minutes': 6, 'seconds': 44}",29,10,2005
26,LSU,SEC,PUNT,"{'minutes': 3, 'seconds': 36}",1,{'seconds': 45},57,253090099,25309009904,Appalachian State,,6,False,1,"{'minutes': 4, 'seconds': 21}",88,32,2005
27,Appalachian State,,RUSHING TD,"{'minutes': 3, 'seconds': 49}",2,"{'minutes': 11, 'seconds': 56}",100,253090099,25309009905,LSU,SEC,7,False,1,{'seconds': 45},20,80,2005
28,LSU,SEC,PUNT,"{'minutes': 4, 'seconds': 9}",2,"{'minutes': 7, 'seconds': 47}",51,253090099,25309009906,Appalachian State,,8,False,2,"{'minutes': 11, 'seconds': 56}",80,29,2005
29,Appalachian State,,PUNT,"{'minutes': 2, 'seconds': 33}",2,"{'minutes': 5, 'seconds': 14}",41,253090099,25309009907,LSU,SEC,3,False,2,"{'minutes': 7, 'seconds': 47}",20,21,2005
30,LSU,SEC,PUNT,"{'minutes': 2, 'seconds': 38}",2,"{'minutes': 2, 'seconds': 36}",70,253090099,25309009908,Appalachian State,,6,False,2,"{'minutes': 5, 'seconds': 14}",94,24,2005
31,Appalachian State,,PUNT,{'seconds': 55},2,"{'minutes': 1, 'seconds': 41}",55,253090099,25309009909,LSU,SEC,4,False,2,"{'minutes': 2, 'seconds': 36}",34,21,2005
32,LSU,SEC,END OF HALF,"{'minutes': 1, 'seconds': 41}",3,"{'minutes': 14, 'seconds': 48}",50,253090099,25309009910,Appalachian State,,6,False,2,"{'minutes': 1, 'seconds': 41}",86,36,2005
33,LSU,SEC,PUNT,"{'minutes': 1, 'seconds': 27}",3,"{'minutes': 13, 'seconds': 21}",74,253090099,25309009911,Appalachian State,,3,False,3,"{'minutes': 14, 'seconds': 48}",69,-4,2005
34,Appalachian State,,FG MISSED,"{'minutes': 2, 'seconds': 52}",3,"{'minutes': 10, 'seconds': 29}",79,253090099,25309009912,LSU,SEC,7,False,3,"{'minutes': 13, 'seconds': 21}",31,48,2005
35,LSU,SEC,FG MISSED,"{'minutes': 7, 'seconds': 6}",3,"{'minutes': 3, 'seconds': 23}",15,253090099,25309009913,Appalachian State,,14,False,3,"{'minutes': 10, 'seconds': 29}",79,64,2005
36,Appalachian State,,PASSING TD,"{'minutes': 5, 'seconds': 1}",4,"{'minutes': 13, 'seconds': 16}",100,253090099,25309009914,LSU,SEC,10,True,3,"{'minutes': 3, 'seconds': 23}",20,80,2005
37,LSU,SEC,PUNT,"{'minutes': 2, 'seconds': 46}",4,"{'minutes': 10, 'seconds': 30}",76,253090099,25309009915,Appalachian State,,3,False,4,"{'minutes': 13, 'seconds': 16}",76,0,2005
38,Appalachian State,,FG GOOD,"{'minutes': 3, 'seconds': 36}",4,"{'minutes': 6, 'seconds': 54}",83,253090099,25309009916,LSU,SEC,7,True,4,"{'minutes': 10, 'seconds': 30}",44,39,2005
39,LSU,SEC,PUNT,"{'minutes': 2, 'seconds': 16}",4,"{'minutes': 4, 'seconds': 38}",68,253090099,25309009917,Appalachian State,,3,False,4,"{'minutes': 6, 'seconds': 54}",77,9,2005
40,Appalachian State,,PUNT,"{'minutes': 2, 'seconds': 41}",4,"{'minutes': 1, 'seconds': 57}",36,253090099,25309009918,LSU,SEC,3,False,4,"{'minutes': 4, 'seconds': 38}",32,4,2005
41,LSU,SEC,END OF GAME,"{'minutes': 1, 'seconds': 57}",4,{},59,253090099,25309009919,Appalachian State,,3,False,4,"{'minutes': 1, 'seconds': 57}",72,13,2005
42,Appalachian State,,RUSHING TD,"{'minutes': 2, 'seconds': 30}",1,"{'minutes': 12, 'seconds': 25}",100,272440130,27244013001,Michigan,Big Ten,6,False,1,"{'minutes': 14, 'seconds': 55}",33,67,2007
43,Michigan,Big Ten,PASSING TD,"{'minutes': 1, 'seconds': 37}",1,"{'minutes': 10, 'seconds': 48}",0,272440130,27244013002,Appalachian State,,3,True,1,"{'minutes': 12, 'seconds': 25}",74,74,2007
44,Appalachian State,,PUNT,"{'minutes': 1, 'seconds': 18}",1,"{'minutes': 9, 'seconds': 30}",40,272440130,27244013003,Michigan,Big Ten,3,False,1,"{'minutes': 10, 'seconds': 48}",43,-3,2007
45,Michigan,Big Ten,PUNT,"{'minutes': 2, 'seconds': 36}",1,"{'minutes': 6, 'seconds': 54}",81,272440130,27244013004,Appalachian State,,3,False,1,"{'minutes': 9, 'seconds': 30}",84,3,2007
