,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Arizona,Pac-10,PUNT,"{'minutes': 5, 'seconds': 30}",1,"{'minutes': 9, 'seconds': 25}",63,252450254,25245025401,Utah,Mountain West,12,False,1,"{'minutes': 14, 'seconds': 55}",22,41,2005
1,Utah,Mountain West,FUMBLE,"{'minutes': 1, 'seconds': 15}",1,"{'minutes': 8, 'seconds': 10}",54,252450254,25245025402,Arizona,Pac-10,5,False,1,"{'minutes': 9, 'seconds': 25}",83,42,2005
2,Arizona,Pac-10,PUNT,"{'minutes': 1, 'seconds': 7}",1,"{'minutes': 7, 'seconds': 3}",57,252450254,25245025403,Utah,Mountain West,3,False,1,"{'minutes': 8, 'seconds': 10}",46,3,2005
3,Utah,Mountain West,PUNT,"{'minutes': 1, 'seconds': 41}",1,"{'minutes': 5, 'seconds': 22}",80,252450254,25245025404,Arizona,Pac-10,3,False,1,"{'minutes': 7, 'seconds': 3}",89,9,2005
4,Arizona,Pac-10,FUMBLE,{'seconds': 4},1,"{'minutes': 5, 'seconds': 18}",40,252450254,25245025405,Utah,Mountain West,1,False,1,"{'minutes': 5, 'seconds': 22}",43,-3,2005
5,Utah,Mountain West,PUNT,"{'minutes': 1, 'seconds': 47}",1,"{'minutes': 3, 'seconds': 31}",36,252450254,25245025406,Arizona,Pac-10,3,False,1,"{'minutes': 5, 'seconds': 18}",40,4,2005
6,Arizona,Pac-10,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 37}",1,{'seconds': 54},60,252450254,25245025407,Utah,Mountain West,7,False,1,"{'minutes': 3, 'seconds': 31}",20,40,2005
7,Utah,Mountain West,FG GOOD,"{'minutes': 1, 'seconds': 38}",2,"{'minutes': 14, 'seconds': 16}",18,252450254,25245025408,Arizona,Pac-10,8,True,1,{'seconds': 54},60,42,2005
8,Arizona,Pac-10,FG GOOD,"{'minutes': 3, 'seconds': 45}",2,"{'minutes': 10, 'seconds': 31}",82,252450254,25245025409,Utah,Mountain West,10,True,2,"{'minutes': 14, 'seconds': 16}",20,62,2005
9,Utah,Mountain West,PUNT,"{'minutes': 1, 'seconds': 48}",2,"{'minutes': 8, 'seconds': 43}",62,252450254,25245025410,Arizona,Pac-10,4,False,2,"{'minutes': 10, 'seconds': 31}",86,24,2005
10,Arizona,Pac-10,PASSING TD,"{'minutes': 4, 'seconds': 14}",2,"{'minutes': 4, 'seconds': 29}",100,252450254,25245025411,Utah,Mountain West,8,True,2,"{'minutes': 8, 'seconds': 43}",13,87,2005
11,Utah,Mountain West,PUNT,"{'minutes': 1, 'seconds': 49}",2,"{'minutes': 2, 'seconds': 40}",80,252450254,25245025412,Arizona,Pac-10,3,False,2,"{'minutes': 4, 'seconds': 29}",80,0,2005
12,Arizona,Pac-10,PUNT,"{'minutes': 1, 'seconds': 2}",2,"{'minutes': 1, 'seconds': 38}",55,252450254,25245025413,Utah,Mountain West,3,False,2,"{'minutes': 2, 'seconds': 40}",48,7,2005
13,Utah,Mountain West,END OF HALF,"{'minutes': 1, 'seconds': 38}",2,{},91,252450254,25245025414,Arizona,Pac-10,2,False,2,"{'minutes': 1, 'seconds': 38}",80,-11,2005
14,Utah,Mountain West,PASSING TD,"{'minutes': 3, 'seconds': 10}",3,"{'minutes': 11, 'seconds': 50}",0,252450254,25245025415,Arizona,Pac-10,7,True,3,{'minutes': 15},80,80,2005
15,Arizona,Pac-10,RUSHING TD,"{'minutes': 1, 'seconds': 2}",3,"{'minutes': 10, 'seconds': 48}",100,252450254,25245025416,Utah,Mountain West,3,True,3,"{'minutes': 11, 'seconds': 50}",20,80,2005
16,Utah,Mountain West,FUMBLE,{'seconds': 42},3,"{'minutes': 10, 'seconds': 6}",52,252450254,25245025417,Arizona,Pac-10,4,False,3,"{'minutes': 10, 'seconds': 48}",80,28,2005
17,Arizona,Pac-10,FG GOOD,"{'minutes': 1, 'seconds': 31}",3,"{'minutes': 8, 'seconds': 35}",72,252450254,25245025418,Utah,Mountain West,5,True,3,"{'minutes': 10, 'seconds': 6}",52,20,2005
