,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Arkansas State,Sun Belt,Uncategorized,{},0,{},-75,252600197,25260019700,Oklahoma State,Big 12,3,False,0,{},65,-75,2005
1,Oklahoma State,Big 12,PUNT,"{'minutes': 3, 'seconds': 25}",1,"{'minutes': 11, 'seconds': 15}",43,252600197,25260019701,Arkansas State,Sun Belt,3,False,1,"{'minutes': 14, 'seconds': 40}",38,-5,2005
2,Arkansas State,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 14}",1,"{'minutes': 8, 'seconds': 1}",38,252600197,25260019702,Oklahoma State,Big 12,6,False,1,"{'minutes': 11, 'seconds': 15}",15,23,2005
3,Arkansas State,Sun Belt,RUSHING TD,"{'minutes': 6, 'seconds': 11}",1,"{'minutes': 1, 'seconds': 50}",35,252600197,25260019703,Oklahoma State,Big 12,13,False,1,"{'minutes': 8, 'seconds': 1}",47,3,2005
4,Oklahoma State,Big 12,PUNT,"{'minutes': 1, 'seconds': 4}",1,{'seconds': 46},93,252600197,25260019704,Arkansas State,Sun Belt,3,False,1,"{'minutes': 1, 'seconds': 50}",98,5,2005
5,Arkansas State,Sun Belt,Uncategorized,{'seconds': 46},1,{},100,252600197,25260019705,Oklahoma State,Big 12,1,True,1,{'seconds': 46},59,41,2005
6,Oklahoma State,Big 12,PUNT,"{'minutes': 2, 'seconds': 41}",2,"{'minutes': 12, 'seconds': 12}",67,252600197,25260019706,Arkansas State,Sun Belt,6,False,2,"{'minutes': 14, 'seconds': 53}",77,10,2005
7,Arkansas State,Sun Belt,FUMBLE,"{'minutes': 2, 'seconds': 15}",2,"{'minutes': 9, 'seconds': 57}",86,252600197,25260019707,Oklahoma State,Big 12,6,False,2,"{'minutes': 12, 'seconds': 12}",44,42,2005
8,Oklahoma State,Big 12,FUMBLE,"{'minutes': 1, 'seconds': 45}",2,"{'minutes': 8, 'seconds': 12}",57,252600197,25260019708,Arkansas State,Sun Belt,4,False,2,"{'minutes': 9, 'seconds': 57}",86,29,2005
9,Arkansas State,Sun Belt,FG GOOD,"{'minutes': 2, 'seconds': 10}",2,"{'minutes': 6, 'seconds': 2}",65,252600197,25260019709,Oklahoma State,Big 12,4,True,2,"{'minutes': 8, 'seconds': 12}",62,3,2005
10,Oklahoma State,Big 12,FG MISSED,"{'minutes': 3, 'seconds': 54}",2,"{'minutes': 2, 'seconds': 8}",31,252600197,25260019710,Arkansas State,Sun Belt,9,False,2,"{'minutes': 6, 'seconds': 2}",67,36,2005
11,Arkansas State,Sun Belt,PUNT,{'seconds': 39},2,"{'minutes': 1, 'seconds': 29}",45,252600197,25260019711,Oklahoma State,Big 12,4,False,2,"{'minutes': 2, 'seconds': 8}",69,14,2005
