,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,USC,Pac-10,PUNT,"{'minutes': 1, 'seconds': 50}",1,"{'minutes': 13, 'seconds': 4}",56,252600030,25260003001,Arkansas,SEC,4,False,1,"{'minutes': 14, 'seconds': 54}",73,17,2005
1,Arkansas,SEC,RUSHING TD,{'seconds': 52},1,"{'minutes': 12, 'seconds': 12}",100,252600030,25260003002,USC,Pac-10,3,True,1,"{'minutes': 13, 'seconds': 4}",6,94,2005
2,USC,Pac-10,PASSING TD,"{'minutes': 1, 'seconds': 13}",1,"{'minutes': 10, 'seconds': 59}",0,252600030,25260003003,Arkansas,SEC,3,True,1,"{'minutes': 12, 'seconds': 12}",29,29,2005
3,Arkansas,SEC,PASSING TD,{'seconds': 6},1,"{'minutes': 10, 'seconds': 53}",100,252600030,25260003004,USC,Pac-10,1,True,1,"{'minutes': 10, 'seconds': 59}",71,29,2005
4,USC,Pac-10,PUNT,"{'minutes': 1, 'seconds': 21}",1,"{'minutes': 9, 'seconds': 32}",65,252600030,25260003005,Arkansas,SEC,5,False,1,"{'minutes': 10, 'seconds': 53}",80,15,2005
5,Arkansas,SEC,PASSING TD,{'seconds': 26},1,"{'minutes': 9, 'seconds': 6}",100,252600030,25260003006,USC,Pac-10,2,True,1,"{'minutes': 9, 'seconds': 32}",32,68,2005
6,USC,Pac-10,INT,"{'minutes': 4, 'seconds': 10}",1,"{'minutes': 4, 'seconds': 56}",39,252600030,25260003007,Arkansas,SEC,10,False,1,"{'minutes': 9, 'seconds': 6}",80,41,2005
7,Arkansas,SEC,RUSHING TD,{'seconds': 20},1,"{'minutes': 4, 'seconds': 36}",100,252600030,25260003008,USC,Pac-10,2,True,1,"{'minutes': 4, 'seconds': 56}",30,70,2005
8,USC,Pac-10,FG GOOD,"{'minutes': 6, 'seconds': 14}",2,"{'minutes': 13, 'seconds': 22}",13,252600030,25260003009,Arkansas,SEC,15,True,1,"{'minutes': 4, 'seconds': 36}",80,67,2005
9,Arkansas,SEC,RUSHING TD,"{'minutes': 7, 'seconds': 27}",2,"{'minutes': 5, 'seconds': 55}",100,252600030,25260003010,USC,Pac-10,16,True,2,"{'minutes': 13, 'seconds': 22}",15,85,2005
10,USC,Pac-10,PUNT,"{'minutes': 1, 'seconds': 55}",2,{'minutes': 4},51,252600030,25260003011,Arkansas,SEC,4,False,2,"{'minutes': 5, 'seconds': 55}",67,16,2005
11,Arkansas,SEC,PASSING TD,"{'minutes': 1, 'seconds': 39}",2,"{'minutes': 2, 'seconds': 21}",100,252600030,25260003012,USC,Pac-10,5,True,2,{'minutes': 4},20,80,2005
12,USC,Pac-10,PUNT,"{'minutes': 1, 'seconds': 42}",2,{'seconds': 39},73,252600030,25260003013,Arkansas,SEC,3,False,2,"{'minutes': 2, 'seconds': 21}",80,7,2005
13,Arkansas,SEC,END OF HALF,{'seconds': 39},2,{},54,252600030,25260003014,USC,Pac-10,3,False,2,{'seconds': 39},28,26,2005
14,Arkansas,SEC,RUSHING TD,"{'minutes': 1, 'seconds': 34}",3,"{'minutes': 13, 'seconds': 20}",100,252600030,25260003015,USC,Pac-10,4,True,3,"{'minutes': 14, 'seconds': 54}",14,86,2005
