,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Boston College,ACC,PASSING TD,"{'minutes': 7, 'seconds': 9}",1,"{'minutes': 7, 'seconds': 47}",0,252530103,25253010301,Army,FBS Independents,12,True,1,"{'minutes': 14, 'seconds': 56}",80,80,2005
1,Army,FBS Independents,RUSHING TD,"{'minutes': 3, 'seconds': 59}",1,"{'minutes': 3, 'seconds': 48}",100,252530103,25253010302,Boston College,ACC,9,True,1,"{'minutes': 7, 'seconds': 47}",30,70,2005
2,Boston College,ACC,PUNT,{'seconds': 54},1,"{'minutes': 2, 'seconds': 54}",85,252530103,25253010303,Army,FBS Independents,3,False,1,"{'minutes': 3, 'seconds': 48}",80,-5,2005
3,Army,FBS Independents,PASSING TD,"{'minutes': 1, 'seconds': 44}",1,"{'minutes': 1, 'seconds': 10}",100,252530103,25253010304,Boston College,ACC,5,True,1,"{'minutes': 2, 'seconds': 54}",55,45,2005
4,Boston College,ACC,PUNT,{'seconds': 51},1,{'seconds': 19},83,252530103,25253010305,Army,FBS Independents,3,False,1,"{'minutes': 1, 'seconds': 10}",84,1,2005
5,Army,FBS Independents,RUSHING TD,"{'minutes': 1, 'seconds': 29}",2,"{'minutes': 13, 'seconds': 32}",100,252530103,25253010306,Boston College,ACC,7,True,1,{'seconds': 19},53,47,2005
6,Boston College,ACC,FUMBLE,{'seconds': 54},2,"{'minutes': 12, 'seconds': 38}",59,252530103,25253010307,Army,FBS Independents,4,False,2,"{'minutes': 13, 'seconds': 32}",78,17,2005
7,Army,FBS Independents,PASSING TD,"{'minutes': 1, 'seconds': 16}",2,"{'minutes': 11, 'seconds': 22}",100,252530103,25253010308,Boston College,ACC,1,True,2,"{'minutes': 12, 'seconds': 38}",59,41,2005
8,Boston College,ACC,PUNT,"{'minutes': 4, 'seconds': 50}",2,"{'minutes': 6, 'seconds': 32}",45,252530103,25253010309,Army,FBS Independents,9,False,2,"{'minutes': 11, 'seconds': 22}",77,32,2005
9,Army,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 47}",2,"{'minutes': 4, 'seconds': 45}",19,252530103,25253010310,Boston College,ACC,3,False,2,"{'minutes': 6, 'seconds': 32}",10,9,2005
10,Boston College,ACC,FG MISSED,"{'minutes': 3, 'seconds': 13}",2,"{'minutes': 1, 'seconds': 32}",19,252530103,25253010311,Army,FBS Independents,9,False,2,"{'minutes': 4, 'seconds': 45}",63,44,2005
11,Army,FBS Independents,FG GOOD,"{'minutes': 1, 'seconds': 32}",2,{},96,252530103,25253010312,Boston College,ACC,9,True,2,"{'minutes': 1, 'seconds': 32}",21,75,2005
12,Army,FBS Independents,PUNT,"{'minutes': 2, 'seconds': 10}",3,"{'minutes': 12, 'seconds': 50}",37,252530103,25253010313,Boston College,ACC,4,False,3,{'minutes': 15},20,17,2005
13,Boston College,ACC,PUNT,"{'minutes': 1, 'seconds': 30}",3,"{'minutes': 11, 'seconds': 20}",55,252530103,25253010314,Army,FBS Independents,5,False,3,"{'minutes': 12, 'seconds': 50}",61,6,2005
14,Army,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 20}",3,{'minutes': 10},38,252530103,25253010315,Boston College,ACC,5,False,3,"{'minutes': 11, 'seconds': 20}",20,18,2005
15,Boston College,ACC,PUNT,"{'minutes': 2, 'seconds': 47}",3,"{'minutes': 7, 'seconds': 13}",90,252530103,25253010316,Army,FBS Independents,3,False,3,{'minutes': 10},85,-5,2005
16,Army,FBS Independents,RUSHING TD,"{'minutes': 2, 'seconds': 17}",3,"{'minutes': 4, 'seconds': 56}",100,252530103,25253010317,Boston College,ACC,6,True,3,"{'minutes': 7, 'seconds': 13}",44,56,2005
17,Boston College,ACC,INT,{'seconds': 35},3,"{'minutes': 4, 'seconds': 21}",84,252530103,25253010318,Army,FBS Independents,3,False,3,"{'minutes': 4, 'seconds': 56}",79,-5,2005
18,Army,FBS Independents,PUNT,{'minutes': 2},3,"{'minutes': 2, 'seconds': 21}",49,252530103,25253010319,Boston College,ACC,3,False,3,"{'minutes': 4, 'seconds': 21}",40,9,2005
19,Boston College,ACC,INT,"{'minutes': 2, 'seconds': 21}",4,{'minutes': 15},26,252530103,25253010320,Army,FBS Independents,8,False,3,"{'minutes': 2, 'seconds': 21}",84,58,2005
20,Army,FBS Independents,PUNT,"{'minutes': 4, 'seconds': 28}",4,"{'minutes': 10, 'seconds': 32}",42,252530103,25253010321,Boston College,ACC,7,False,4,{'minutes': 15},7,35,2005
21,Boston College,ACC,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 50}",4,"{'minutes': 6, 'seconds': 42}",25,252530103,25253010322,Army,FBS Independents,9,False,4,"{'minutes': 10, 'seconds': 32}",82,57,2005
22,Army,FBS Independents,RUSHING TD,"{'minutes': 6, 'seconds': 35}",4,{'seconds': 7},100,252530103,25253010323,Boston College,ACC,12,True,4,"{'minutes': 6, 'seconds': 42}",28,75,2005
23,Army,FBS Independents,FG GOOD,"{'minutes': 4, 'seconds': 36}",1,"{'minutes': 10, 'seconds': 24}",22,252600349,25260034901,Baylor,Big 12,10,True,1,{'minutes': 15},60,38,2005
