,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Auburn,SEC,PASSING TD,"{'minutes': 2, 'seconds': 39}",1,"{'minutes': 12, 'seconds': 21}",0,252460002,25246000201,Georgia Tech,ACC,7,True,1,{'minutes': 15},65,65,2005
1,Georgia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 13}",1,"{'minutes': 11, 'seconds': 8}",43,252460002,25246000202,Auburn,SEC,3,False,1,"{'minutes': 12, 'seconds': 21}",45,-2,2005
2,Auburn,SEC,FG GOOD,"{'minutes': 5, 'seconds': 47}",1,"{'minutes': 5, 'seconds': 21}",14,252460002,25246000203,Georgia Tech,ACC,12,True,1,"{'minutes': 11, 'seconds': 8}",78,64,2005
3,Georgia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 37}",1,"{'minutes': 3, 'seconds': 44}",32,252460002,25246000204,Auburn,SEC,3,False,1,"{'minutes': 5, 'seconds': 21}",24,8,2005
4,Auburn,SEC,PUNT,{'seconds': 39},1,"{'minutes': 3, 'seconds': 5}",86,252460002,25246000205,Georgia Tech,ACC,3,False,1,"{'minutes': 3, 'seconds': 44}",86,0,2005
5,Georgia Tech,ACC,PUNT,{'seconds': 45},1,"{'minutes': 2, 'seconds': 20}",53,252460002,25246000206,Auburn,SEC,3,False,1,"{'minutes': 3, 'seconds': 5}",53,0,2005
6,Auburn,SEC,END OF GAME,"{'minutes': 1, 'seconds': 28}",1,{'seconds': 52},24,252460002,25246000207,Georgia Tech,ACC,3,False,1,"{'minutes': 2, 'seconds': 20}",80,56,2005
7,Georgia Tech,ACC,PASSING TD,"{'minutes': 1, 'seconds': 22}",2,"{'minutes': 14, 'seconds': 9}",100,252460002,25246000208,Auburn,SEC,4,True,1,{'seconds': 52},22,78,2005
8,Auburn,SEC,PUNT,"{'minutes': 1, 'seconds': 58}",2,"{'minutes': 12, 'seconds': 11}",78,252460002,25246000209,Georgia Tech,ACC,4,False,2,"{'minutes': 14, 'seconds': 9}",84,6,2005
9,Georgia Tech,ACC,PUNT,"{'minutes': 3, 'seconds': 44}",2,"{'minutes': 8, 'seconds': 27}",55,252460002,25246000210,Auburn,SEC,7,False,2,"{'minutes': 12, 'seconds': 11}",65,-10,2005
10,Auburn,SEC,RUSHING TD,"{'minutes': 6, 'seconds': 44}",2,"{'minutes': 1, 'seconds': 43}",0,252460002,25246000211,Georgia Tech,ACC,12,True,2,"{'minutes': 8, 'seconds': 27}",77,77,2005
11,Georgia Tech,ACC,PASSING TD,"{'minutes': 1, 'seconds': 9}",2,{'seconds': 34},100,252460002,25246000212,Auburn,SEC,6,True,2,"{'minutes': 1, 'seconds': 43}",39,61,2005
12,Auburn,SEC,END OF HALF,{'seconds': 34},2,{},64,252460002,25246000213,Georgia Tech,ACC,2,False,2,{'seconds': 34},63,-1,2005
13,Georgia Tech,ACC,TURNOVER ON DOWNS,"{'minutes': 5, 'seconds': 9}",3,"{'minutes': 9, 'seconds': 51}",70,252460002,25246000214,Auburn,SEC,12,False,3,{'minutes': 15},20,50,2005
14,Auburn,SEC,PUNT,"{'minutes': 3, 'seconds': 4}",3,"{'minutes': 6, 'seconds': 47}",42,252460002,25246000215,Georgia Tech,ACC,8,False,3,"{'minutes': 9, 'seconds': 51}",70,28,2005
15,Georgia Tech,ACC,INT,"{'minutes': 3, 'seconds': 59}",3,"{'minutes': 2, 'seconds': 48}",73,252460002,25246000216,Auburn,SEC,10,False,3,"{'minutes': 6, 'seconds': 47}",4,69,2005
16,Auburn,SEC,INT,"{'minutes': 3, 'seconds': 23}",4,"{'minutes': 14, 'seconds': 25}",34,252460002,25246000217,Georgia Tech,ACC,9,False,3,"{'minutes': 2, 'seconds': 48}",85,51,2005
17,Georgia Tech,ACC,INT,"{'minutes': 1, 'seconds': 10}",4,"{'minutes': 13, 'seconds': 15}",22,252460002,25246000218,Auburn,SEC,3,False,4,"{'minutes': 14, 'seconds': 25}",15,7,2005
18,Auburn,SEC,FG GOOD,"{'minutes': 3, 'seconds': 9}",4,"{'minutes': 10, 'seconds': 6}",4,252460002,25246000219,Georgia Tech,ACC,7,True,4,"{'minutes': 13, 'seconds': 15}",19,15,2005
19,Georgia Tech,ACC,INT,"{'minutes': 10, 'seconds': 6}",4,{},66,252460002,25246000220,Auburn,SEC,5,False,4,"{'minutes': 10, 'seconds': 6}",28,38,2005
20,Auburn,SEC,PUNT,"{'minutes': 1, 'seconds': 55}",4,"{'minutes': 5, 'seconds': 57}",38,252460002,25246000221,Georgia Tech,ACC,3,False,0,{},45,27,2005
21,Georgia Tech,ACC,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 17}",4,"{'minutes': 3, 'seconds': 40}",38,252460002,25246000222,Auburn,SEC,6,False,4,"{'minutes': 5, 'seconds': 57}",7,31,2005
22,Auburn,SEC,INT,{},4,"{'minutes': 3, 'seconds': 40}",55,252460002,25246000224,Georgia Tech,ACC,1,False,4,"{'minutes': 3, 'seconds': 40}",45,-17,2005
23,Auburn,SEC,FG GOOD,"{'minutes': 2, 'seconds': 8}",4,"{'minutes': 1, 'seconds': 32}",11,252460002,25246000225,Georgia Tech,ACC,6,True,4,"{'minutes': 3, 'seconds': 40}",20,9,2005
24,Georgia Tech,ACC,FUMBLE,{'seconds': 29},4,"{'minutes': 1, 'seconds': 3}",56,252460002,25246000226,Auburn,SEC,3,False,4,"{'minutes': 1, 'seconds': 32}",44,12,2005
25,Auburn,SEC,END OF GAME,"{'minutes': 1, 'seconds': 3}",4,{},55,252460002,25246000227,Georgia Tech,ACC,2,False,4,"{'minutes': 1, 'seconds': 3}",57,1,2005
26,Mississippi State,SEC,PUNT,"{'minutes': 3, 'seconds': 5}",1,"{'minutes': 11, 'seconds': 55}",51,252530002,25253000201,Auburn,SEC,6,False,1,{'minutes': 15},20,31,2005
27,Auburn,SEC,PUNT,"{'minutes': 1, 'seconds': 31}",1,"{'minutes': 10, 'seconds': 24}",75,252530002,25253000202,Mississippi State,SEC,3,False,1,"{'minutes': 11, 'seconds': 55}",80,5,2005
28,Mississippi State,SEC,PASSING TD,"{'minutes': 3, 'seconds': 39}",1,"{'minutes': 6, 'seconds': 45}",100,252530002,25253000203,Auburn,SEC,8,True,1,"{'minutes': 10, 'seconds': 24}",41,59,2005
29,Auburn,SEC,FG MISSED,"{'minutes': 2, 'seconds': 39}",1,"{'minutes': 4, 'seconds': 6}",30,252530002,25253000204,Mississippi State,SEC,7,False,1,"{'minutes': 6, 'seconds': 45}",41,11,2005
30,Mississippi State,SEC,PASSING TD,"{'minutes': 6, 'seconds': 2}",2,"{'minutes': 13, 'seconds': 4}",100,252530002,25253000205,Auburn,SEC,13,True,1,"{'minutes': 4, 'seconds': 6}",30,70,2005
31,Auburn,SEC,PUNT,"{'minutes': 3, 'seconds': 13}",2,"{'minutes': 9, 'seconds': 51}",62,252530002,25253000206,Mississippi State,SEC,5,False,2,"{'minutes': 13, 'seconds': 4}",65,3,2005
32,Mississippi State,SEC,FG MISSED,"{'minutes': 3, 'seconds': 29}",2,"{'minutes': 6, 'seconds': 22}",74,252530002,25253000207,Auburn,SEC,7,False,2,"{'minutes': 9, 'seconds': 51}",23,51,2005
33,Auburn,SEC,PUNT,"{'minutes': 4, 'seconds': 39}",2,"{'minutes': 1, 'seconds': 43}",34,252530002,25253000208,Mississippi State,SEC,8,False,2,"{'minutes': 6, 'seconds': 22}",74,40,2005
34,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 43}",2,{},5,252530002,25253000209,Auburn,SEC,3,False,2,"{'minutes': 1, 'seconds': 43}",4,1,2005
35,Auburn,SEC,END OF HALF,{},2,{},31,252530002,25253000210,Mississippi State,SEC,1,False,2,{},31,0,2005
36,Auburn,SEC,INT,"{'minutes': 4, 'seconds': 19}",3,"{'minutes': 10, 'seconds': 31}",32,252530002,25253000211,Mississippi State,SEC,9,False,3,"{'minutes': 14, 'seconds': 50}",69,37,2005
37,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 38}",3,"{'minutes': 8, 'seconds': 53}",34,252530002,25253000212,Auburn,SEC,3,False,3,"{'minutes': 10, 'seconds': 31}",25,9,2005
38,Auburn,SEC,FUMBLE,{'seconds': 59},3,"{'minutes': 7, 'seconds': 54}",99,252530002,25253000213,Mississippi State,SEC,2,True,3,"{'minutes': 8, 'seconds': 53}",94,-5,2005
39,Mississippi State,SEC,FUMBLE RETURN TD,{'seconds': 4},3,"{'minutes': 7, 'seconds': 50}",99,252530002,25253000214,Auburn,SEC,1,True,3,"{'minutes': 7, 'seconds': 54}",97,1,2005
40,Auburn,SEC,PUNT,"{'minutes': 2, 'seconds': 12}",3,"{'minutes': 5, 'seconds': 38}",71,252530002,25253000215,Mississippi State,SEC,3,False,3,"{'minutes': 7, 'seconds': 50}",79,8,2005
41,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 12}",3,"{'minutes': 4, 'seconds': 26}",30,252530002,25253000216,Auburn,SEC,3,False,3,"{'minutes': 5, 'seconds': 38}",26,4,2005
42,Auburn,SEC,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 3}",3,"{'minutes': 1, 'seconds': 23}",27,252530002,25253000217,Mississippi State,SEC,9,False,3,"{'minutes': 4, 'seconds': 26}",62,35,2005
43,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 40}",4,"{'minutes': 14, 'seconds': 43}",25,252530002,25253000218,Auburn,SEC,3,False,3,"{'minutes': 1, 'seconds': 23}",27,-2,2005
44,Auburn,SEC,PUNT,"{'minutes': 1, 'seconds': 53}",4,"{'minutes': 12, 'seconds': 50}",55,252530002,25253000219,Mississippi State,SEC,3,False,4,"{'minutes': 14, 'seconds': 43}",63,8,2005
45,Mississippi State,SEC,PUNT,"{'minutes': 3, 'seconds': 28}",4,"{'minutes': 9, 'seconds': 22}",40,252530002,25253000220,Auburn,SEC,6,False,4,"{'minutes': 12, 'seconds': 50}",25,15,2005
46,Auburn,SEC,PUNT,"{'minutes': 1, 'seconds': 52}",4,"{'minutes': 7, 'seconds': 30}",78,252530002,25253000221,Mississippi State,SEC,3,False,4,"{'minutes': 9, 'seconds': 22}",82,4,2005
47,Mississippi State,SEC,FUMBLE,"{'minutes': 2, 'seconds': 5}",4,"{'minutes': 5, 'seconds': 25}",88,252530002,25253000222,Auburn,SEC,5,False,4,"{'minutes': 7, 'seconds': 30}",30,58,2005
