,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Boston College,ACC,PUNT,"{'minutes': 2, 'seconds': 25}",1,"{'minutes': 12, 'seconds': 35}",44,252460252,25246025201,BYU,Mountain West,6,False,1,{'minutes': 15},14,30,2005
1,BYU,Mountain West,PUNT,"{'minutes': 3, 'seconds': 7}",1,"{'minutes': 9, 'seconds': 28}",42,252460252,25246025202,Boston College,ACC,8,False,1,"{'minutes': 12, 'seconds': 35}",80,38,2005
2,Boston College,ACC,PUNT,"{'minutes': 5, 'seconds': 34}",1,"{'minutes': 3, 'seconds': 54}",54,252460252,25246025203,BYU,Mountain West,12,False,1,"{'minutes': 9, 'seconds': 28}",15,39,2005
3,BYU,Mountain West,PASSING TD,"{'minutes': 3, 'seconds': 29}",1,{'seconds': 25},0,252460252,25246025204,Boston College,ACC,10,True,1,"{'minutes': 3, 'seconds': 54}",80,80,2005
4,Boston College,ACC,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 25}",2,{'minutes': 12},69,252460252,25246025205,BYU,Mountain West,9,False,1,{'seconds': 25},16,53,2005
5,BYU,Mountain West,PUNT,"{'minutes': 2, 'seconds': 41}",2,"{'minutes': 9, 'seconds': 19}",52,252460252,25246025206,Boston College,ACC,4,False,2,{'minutes': 12},69,17,2005
6,Boston College,ACC,PUNT,"{'minutes': 1, 'seconds': 42}",2,"{'minutes': 7, 'seconds': 37}",40,252460252,25246025207,BYU,Mountain West,6,False,2,"{'minutes': 9, 'seconds': 19}",20,20,2005
7,BYU,Mountain West,PUNT,"{'minutes': 2, 'seconds': 54}",2,"{'minutes': 4, 'seconds': 43}",73,252460252,25246025208,Boston College,ACC,6,False,2,"{'minutes': 7, 'seconds': 37}",83,10,2005
8,Boston College,ACC,FG MISSED,"{'minutes': 4, 'seconds': 25}",2,{'seconds': 18},70,252460252,25246025209,BYU,Mountain West,11,False,2,"{'minutes': 4, 'seconds': 43}",27,43,2005
9,BYU,Mountain West,FG GOOD,{'seconds': 18},2,{},21,252460252,25246025210,Boston College,ACC,3,True,2,{'seconds': 18},56,35,2005
10,Boston College,ACC,Uncategorized,{},2,{},23,252460252,25246025211,BYU,Mountain West,0,False,2,{},23,0,2005
11,BYU,Mountain West,PUNT,"{'minutes': 2, 'seconds': 44}",3,"{'minutes': 12, 'seconds': 16}",64,252460252,25246025212,Boston College,ACC,6,False,3,{'minutes': 15},80,16,2005
12,Boston College,ACC,FG GOOD,"{'minutes': 2, 'seconds': 6}",3,"{'minutes': 10, 'seconds': 10}",83,252460252,25246025213,BYU,Mountain West,4,True,3,"{'minutes': 12, 'seconds': 16}",76,7,2005
13,BYU,Mountain West,PUNT,"{'minutes': 2, 'seconds': 14}",3,"{'minutes': 7, 'seconds': 56}",84,252460252,25246025214,Boston College,ACC,3,False,3,"{'minutes': 10, 'seconds': 10}",84,0,2005
14,Boston College,ACC,PUNT,"{'minutes': 3, 'seconds': 37}",3,"{'minutes': 4, 'seconds': 19}",66,252460252,25246025215,BYU,Mountain West,7,False,3,"{'minutes': 7, 'seconds': 56}",48,18,2005
15,BYU,Mountain West,PASSING TD,"{'minutes': 4, 'seconds': 26}",4,"{'minutes': 14, 'seconds': 53}",0,252460252,25246025216,Boston College,ACC,12,True,3,"{'minutes': 4, 'seconds': 19}",80,80,2005
16,Boston College,ACC,PUNT,"{'minutes': 2, 'seconds': 13}",4,"{'minutes': 12, 'seconds': 40}",26,252460252,25246025217,BYU,Mountain West,3,False,4,"{'minutes': 14, 'seconds': 53}",20,6,2005
17,BYU,Mountain West,FUMBLE,{'seconds': 12},4,"{'minutes': 12, 'seconds': 28}",30,252460252,25246025218,Boston College,ACC,2,False,4,"{'minutes': 12, 'seconds': 40}",36,6,2005
18,Boston College,ACC,PUNT,"{'minutes': 3, 'seconds': 39}",4,"{'minutes': 8, 'seconds': 49}",64,252460252,25246025219,BYU,Mountain West,7,False,4,"{'minutes': 12, 'seconds': 28}",30,34,2005
19,BYU,Mountain West,FG GOOD,"{'minutes': 4, 'seconds': 24}",4,"{'minutes': 4, 'seconds': 25}",8,252460252,25246025220,Boston College,ACC,10,True,4,"{'minutes': 8, 'seconds': 49}",80,72,2005
20,Boston College,ACC,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 55}",4,"{'minutes': 2, 'seconds': 30}",81,252460252,25246025221,BYU,Mountain West,13,False,4,"{'minutes': 4, 'seconds': 25}",20,61,2005
