,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Ball State,Mid-American,RUSHING TD,"{'minutes': 4, 'seconds': 1}",1,"{'minutes': 10, 'seconds': 59}",100,252462294,25246229401,Iowa,Big Ten,9,True,1,{'minutes': 15},44,56,2005
1,Iowa,Big Ten,PUNT,"{'minutes': 1, 'seconds': 1}",1,"{'minutes': 9, 'seconds': 58}",82,252462294,25246229402,Ball State,Mid-American,3,False,1,"{'minutes': 10, 'seconds': 59}",84,2,2005
2,Ball State,Mid-American,RUSHING TD,"{'minutes': 2, 'seconds': 49}",1,"{'minutes': 7, 'seconds': 9}",100,252462294,25246229403,Iowa,Big Ten,6,True,1,"{'minutes': 9, 'seconds': 58}",40,60,2005
3,Iowa,Big Ten,PUNT,"{'minutes': 1, 'seconds': 7}",1,"{'minutes': 6, 'seconds': 2}",58,252462294,25246229404,Ball State,Mid-American,4,False,1,"{'minutes': 7, 'seconds': 9}",75,17,2005
4,Ball State,Mid-American,FUMBLE,"{'minutes': 1, 'seconds': 51}",1,"{'minutes': 4, 'seconds': 11}",36,252462294,25246229405,Iowa,Big Ten,2,False,1,"{'minutes': 6, 'seconds': 2}",26,10,2005
5,Iowa,Big Ten,PUNT,"{'minutes': 1, 'seconds': 41}",1,"{'minutes': 2, 'seconds': 30}",39,252462294,25246229406,Ball State,Mid-American,3,True,1,"{'minutes': 4, 'seconds': 11}",36,-3,2005
6,Ball State,Mid-American,PUNT RETURN TD,{},1,"{'minutes': 2, 'seconds': 30}",100,252462294,25246229407,Iowa,Big Ten,1,True,1,"{'minutes': 2, 'seconds': 30}",97,89,2005
7,Iowa,Big Ten,FUMBLE,{},1,"{'minutes': 2, 'seconds': 30}",80,252462294,25246229408,Ball State,Mid-American,1,False,1,"{'minutes': 2, 'seconds': 30}",80,0,2005
8,Ball State,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 48}",1,{'seconds': 42},100,252462294,25246229409,Iowa,Big Ten,4,True,1,"{'minutes': 2, 'seconds': 30}",80,20,2005
9,Iowa,Big Ten,PUNT,"{'minutes': 1, 'seconds': 6}",2,{'minutes': 15},78,252462294,25246229410,Ball State,Mid-American,3,False,1,{'seconds': 42},79,1,2005
10,Ball State,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 27}",2,"{'minutes': 12, 'seconds': 33}",100,252462294,25246229411,Iowa,Big Ten,4,True,2,{'minutes': 15},62,38,2005
11,Iowa,Big Ten,PUNT,{'seconds': 6},2,"{'minutes': 12, 'seconds': 27}",80,252462294,25246229412,Ball State,Mid-American,3,False,2,"{'minutes': 12, 'seconds': 33}",71,-9,2005
12,Ball State,Mid-American,RUSHING TD,"{'minutes': 4, 'seconds': 17}",2,"{'minutes': 8, 'seconds': 10}",100,252462294,25246229413,Iowa,Big Ten,6,True,2,"{'minutes': 12, 'seconds': 27}",37,63,2005
13,Iowa,Big Ten,PUNT,{'seconds': 1},2,"{'minutes': 8, 'seconds': 9}",88,252462294,25246229414,Ball State,Mid-American,3,False,2,"{'minutes': 8, 'seconds': 10}",97,9,2005
14,Ball State,Mid-American,RUSHING TD,"{'minutes': 6, 'seconds': 23}",2,"{'minutes': 1, 'seconds': 46}",100,252462294,25246229415,Iowa,Big Ten,9,True,2,"{'minutes': 8, 'seconds': 9}",34,66,2005
15,Iowa,Big Ten,END OF HALF,"{'minutes': 1, 'seconds': 46}",2,{},89,252462294,25246229416,Ball State,Mid-American,3,False,2,"{'minutes': 1, 'seconds': 46}",89,-2,2005
16,Iowa,Big Ten,PUNT,"{'minutes': 1, 'seconds': 54}",3,"{'minutes': 13, 'seconds': 6}",81,252462294,25246229417,Ball State,Mid-American,3,False,3,{'minutes': 15},85,4,2005
17,Ball State,Mid-American,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 26}",3,"{'minutes': 10, 'seconds': 40}",74,252462294,25246229418,Iowa,Big Ten,6,False,3,"{'minutes': 13, 'seconds': 6}",49,25,2005
18,Iowa,Big Ten,PUNT,"{'minutes': 1, 'seconds': 51}",3,"{'minutes': 8, 'seconds': 49}",70,252462294,25246229419,Ball State,Mid-American,3,False,3,"{'minutes': 10, 'seconds': 40}",74,4,2005
19,Ball State,Mid-American,FUMBLE,{'seconds': 9},3,"{'minutes': 8, 'seconds': 40}",57,252462294,25246229420,Iowa,Big Ten,2,False,3,"{'minutes': 8, 'seconds': 49}",38,19,2005
20,Iowa,Big Ten,PUNT,"{'minutes': 3, 'seconds': 24}",3,"{'minutes': 5, 'seconds': 16}",41,252462294,25246229421,Ball State,Mid-American,6,False,3,"{'minutes': 8, 'seconds': 40}",57,16,2005
21,Ball State,Mid-American,RUSHING TD,"{'minutes': 5, 'seconds': 47}",4,"{'minutes': 14, 'seconds': 19}",100,252462294,25246229422,Iowa,Big Ten,11,True,3,"{'minutes': 5, 'seconds': 16}",20,80,2005
22,Iowa,Big Ten,PUNT,"{'minutes': 1, 'seconds': 39}",4,"{'minutes': 12, 'seconds': 40}",77,252462294,25246229423,Ball State,Mid-American,3,False,4,"{'minutes': 14, 'seconds': 19}",81,4,2005
23,Ball State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 53}",4,"{'minutes': 10, 'seconds': 47}",42,252462294,25246229424,Iowa,Big Ten,3,False,4,"{'minutes': 12, 'seconds': 40}",35,7,2005
24,Iowa,Big Ten,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 27}",4,"{'minutes': 6, 'seconds': 20}",24,252462294,25246229425,Ball State,Mid-American,11,False,4,"{'minutes': 10, 'seconds': 47}",85,61,2005
25,Ball State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 30}",4,"{'minutes': 4, 'seconds': 50}",32,252462294,25246229426,Iowa,Big Ten,3,False,4,"{'minutes': 6, 'seconds': 20}",24,8,2005
26,Iowa,Big Ten,PUNT,"{'minutes': 3, 'seconds': 44}",4,"{'minutes': 1, 'seconds': 6}",50,252462294,25246229427,Ball State,Mid-American,8,False,4,"{'minutes': 4, 'seconds': 50}",79,29,2005
27,Ball State,Mid-American,END OF GAME,"{'minutes': 1, 'seconds': 6}",4,{},29,252462294,25246229428,Iowa,Big Ten,2,False,4,"{'minutes': 1, 'seconds': 6}",20,9,2005
28,Ball State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 18}",1,"{'minutes': 13, 'seconds': 36}",65,252532050,25253205001,Bowling Green,Mid-American,3,False,1,"{'minutes': 14, 'seconds': 54}",74,9,2005
29,Bowling Green,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 12, 'seconds': 1}",100,252532050,25253205002,Ball State,Mid-American,3,True,1,"{'minutes': 13, 'seconds': 36}",31,69,2005
30,Ball State,Mid-American,PASSING TD,{'minutes': 2},1,"{'minutes': 10, 'seconds': 1}",0,252532050,25253205003,Bowling Green,Mid-American,8,True,1,"{'minutes': 12, 'seconds': 1}",37,37,2005
31,Bowling Green,Mid-American,PUNT,{'seconds': 57},1,"{'minutes': 9, 'seconds': 4}",49,252532050,25253205004,Ball State,Mid-American,3,False,1,"{'minutes': 10, 'seconds': 1}",46,3,2005
32,Ball State,Mid-American,PASSING TD,"{'minutes': 3, 'seconds': 9}",1,"{'minutes': 5, 'seconds': 55}",0,252532050,25253205005,Bowling Green,Mid-American,9,True,1,"{'minutes': 9, 'seconds': 4}",77,77,2005
