,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Army,FBS Independents,FG GOOD,"{'minutes': 4, 'seconds': 36}",1,"{'minutes': 10, 'seconds': 24}",22,252600349,25260034901,Baylor,Big 12,10,True,1,{'minutes': 15},60,38,2005
1,Baylor,Big 12,TURNOVER ON DOWNS,"{'minutes': 5, 'seconds': 42}",1,"{'minutes': 4, 'seconds': 42}",70,252600349,25260034902,Army,FBS Independents,10,False,1,"{'minutes': 10, 'seconds': 24}",26,44,2005
2,Army,FBS Independents,FG GOOD,"{'minutes': 4, 'seconds': 32}",1,{'seconds': 10},10,252600349,25260034903,Baylor,Big 12,10,True,1,"{'minutes': 4, 'seconds': 42}",51,60,2005
3,Baylor,Big 12,PUNT,"{'minutes': 2, 'seconds': 9}",2,"{'minutes': 13, 'seconds': 1}",61,252600349,25260034904,Army,FBS Independents,6,False,1,{'seconds': 10},21,40,2005
4,Army,FBS Independents,PUNT,"{'minutes': 2, 'seconds': 7}",2,"{'minutes': 10, 'seconds': 54}",71,252600349,25260034905,Baylor,Big 12,3,False,2,"{'minutes': 13, 'seconds': 1}",80,9,2005
5,Baylor,Big 12,FG GOOD,"{'minutes': 3, 'seconds': 26}",2,"{'minutes': 7, 'seconds': 28}",73,252600349,25260034906,Army,FBS Independents,9,True,2,"{'minutes': 10, 'seconds': 54}",47,26,2005
6,Army,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 51}",2,"{'minutes': 5, 'seconds': 37}",53,252600349,25260034907,Baylor,Big 12,4,False,2,"{'minutes': 7, 'seconds': 28}",80,27,2005
7,Baylor,Big 12,PUNT,"{'minutes': 1, 'seconds': 15}",2,"{'minutes': 4, 'seconds': 22}",30,252600349,25260034908,Army,FBS Independents,3,False,2,"{'minutes': 5, 'seconds': 37}",22,8,2005
8,Army,FBS Independents,INT,{'seconds': 32},2,"{'minutes': 3, 'seconds': 50}",61,252600349,25260034909,Baylor,Big 12,3,False,2,"{'minutes': 4, 'seconds': 22}",75,14,2005
9,Baylor,Big 12,PUNT,"{'minutes': 1, 'seconds': 17}",2,"{'minutes': 2, 'seconds': 33}",38,252600349,25260034910,Army,FBS Independents,3,False,2,"{'minutes': 3, 'seconds': 50}",31,7,2005
10,Army,FBS Independents,PASSING TD,"{'minutes': 1, 'seconds': 58}",2,{'seconds': 35},0,252600349,25260034911,Baylor,Big 12,8,True,2,"{'minutes': 2, 'seconds': 33}",59,59,2005
11,Baylor,Big 12,FG MISSED,{'seconds': 35},2,{},61,252600349,25260034912,Army,FBS Independents,6,False,2,{'seconds': 35},28,33,2005
12,Army,FBS Independents,END OF HALF,{},3,{'minutes': 15},10,252600349,25260034913,Baylor,Big 12,0,False,2,{},61,51,2005
13,Baylor,Big 12,PUNT,"{'minutes': 3, 'seconds': 29}",3,"{'minutes': 11, 'seconds': 31}",15,252600349,25260034914,Army,FBS Independents,5,False,3,{'minutes': 15},10,-5,2005
14,Army,FBS Independents,FUMBLE,{'seconds': 29},3,"{'minutes': 11, 'seconds': 2}",1,252600349,25260034915,Baylor,Big 12,4,False,3,"{'minutes': 11, 'seconds': 31}",37,36,2005
15,Baylor,Big 12,FG MISSED,"{'minutes': 6, 'seconds': 30}",3,"{'minutes': 4, 'seconds': 32}",70,252600349,25260034916,Army,FBS Independents,13,False,3,"{'minutes': 11, 'seconds': 2}",11,69,2005
