,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Wisconsin,Big Ten,PASSING TD,"{'minutes': 4, 'seconds': 10}",1,"{'minutes': 10, 'seconds': 50}",0,252460275,25246027501,Bowling Green,Mid-American,10,True,1,{'minutes': 15},80,80,2005
1,Bowling Green,Mid-American,PUNT,"{'minutes': 2, 'seconds': 7}",1,"{'minutes': 8, 'seconds': 43}",37,252460275,25246027502,Wisconsin,Big Ten,3,False,1,"{'minutes': 10, 'seconds': 50}",30,7,2005
2,Wisconsin,Big Ten,PASSING TD,"{'minutes': 5, 'seconds': 48}",1,"{'minutes': 2, 'seconds': 55}",0,252460275,25246027503,Bowling Green,Mid-American,13,True,1,"{'minutes': 8, 'seconds': 43}",75,75,2005
3,Bowling Green,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 59}",2,"{'minutes': 14, 'seconds': 49}",100,252460275,25246027504,Wisconsin,Big Ten,7,True,1,"{'minutes': 2, 'seconds': 55}",24,76,2005
4,Wisconsin,Big Ten,PASSING TD,{'seconds': 28},2,"{'minutes': 14, 'seconds': 21}",0,252460275,25246027505,Bowling Green,Mid-American,2,True,2,"{'minutes': 14, 'seconds': 49}",63,63,2005
5,Bowling Green,Mid-American,RUSHING TD,{'seconds': 8},2,"{'minutes': 14, 'seconds': 13}",100,252460275,25246027506,Wisconsin,Big Ten,1,True,2,"{'minutes': 14, 'seconds': 21}",92,8,2005
6,Wisconsin,Big Ten,PUNT,"{'minutes': 1, 'seconds': 34}",2,"{'minutes': 12, 'seconds': 39}",90,252460275,25246027507,Bowling Green,Mid-American,3,False,2,"{'minutes': 14, 'seconds': 13}",84,-6,2005
7,Bowling Green,Mid-American,INT,{'seconds': 5},2,"{'minutes': 12, 'seconds': 34}",76,252460275,25246027508,Wisconsin,Big Ten,1,False,2,"{'minutes': 12, 'seconds': 39}",76,0,2005
8,Wisconsin,Big Ten,PUNT,"{'minutes': 1, 'seconds': 59}",2,"{'minutes': 10, 'seconds': 35}",95,252460275,25246027509,Bowling Green,Mid-American,3,False,2,"{'minutes': 12, 'seconds': 34}",94,-1,2005
9,Bowling Green,Mid-American,RUSHING TD,"{'minutes': 3, 'seconds': 3}",2,"{'minutes': 7, 'seconds': 32}",100,252460275,25246027510,Wisconsin,Big Ten,6,True,2,"{'minutes': 10, 'seconds': 35}",55,45,2005
10,Wisconsin,Big Ten,PUNT,{'seconds': 52},2,"{'minutes': 6, 'seconds': 40}",78,252460275,25246027511,Bowling Green,Mid-American,3,False,2,"{'minutes': 7, 'seconds': 32}",80,2,2005
11,Bowling Green,Mid-American,RUSHING TD,"{'minutes': 1, 'seconds': 17}",2,"{'minutes': 5, 'seconds': 23}",100,252460275,25246027512,Wisconsin,Big Ten,4,True,2,"{'minutes': 6, 'seconds': 40}",52,48,2005
12,Wisconsin,Big Ten,RUSHING TD,"{'minutes': 2, 'seconds': 19}",2,"{'minutes': 3, 'seconds': 4}",0,252460275,25246027513,Bowling Green,Mid-American,6,True,2,"{'minutes': 5, 'seconds': 23}",77,77,2005
13,Bowling Green,Mid-American,RUSHING TD,"{'minutes': 2, 'seconds': 27}",2,{'seconds': 37},100,252460275,25246027514,Wisconsin,Big Ten,8,True,2,"{'minutes': 3, 'seconds': 4}",27,73,2005
14,Wisconsin,Big Ten,PASSING TD,{'seconds': 33},2,{'seconds': 4},0,252460275,25246027515,Bowling Green,Mid-American,6,True,2,{'seconds': 37},83,83,2005
15,Bowling Green,Mid-American,END OF HALF,{'seconds': 4},2,{},27,252460275,25246027516,Wisconsin,Big Ten,1,False,2,{'seconds': 4},27,0,2005
16,Bowling Green,Mid-American,RUSHING TD,"{'minutes': 3, 'seconds': 5}",3,"{'minutes': 11, 'seconds': 49}",100,252460275,25246027517,Wisconsin,Big Ten,8,True,3,"{'minutes': 14, 'seconds': 54}",34,66,2005
17,Wisconsin,Big Ten,PUNT,"{'minutes': 3, 'seconds': 16}",3,"{'minutes': 8, 'seconds': 33}",80,252460275,25246027518,Bowling Green,Mid-American,7,False,3,"{'minutes': 11, 'seconds': 49}",80,0,2005
18,Bowling Green,Mid-American,RUSHING TD,"{'minutes': 5, 'seconds': 39}",3,"{'minutes': 2, 'seconds': 54}",100,252460275,25246027519,Wisconsin,Big Ten,11,True,3,"{'minutes': 8, 'seconds': 33}",42,58,2005
19,Wisconsin,Big Ten,PUNT,{'seconds': 25},3,"{'minutes': 2, 'seconds': 29}",80,252460275,25246027520,Bowling Green,Mid-American,3,False,3,"{'minutes': 2, 'seconds': 54}",80,0,2005
20,Bowling Green,Mid-American,RUSHING TD,"{'minutes': 4, 'seconds': 56}",4,"{'minutes': 12, 'seconds': 33}",100,252460275,25246027521,Wisconsin,Big Ten,9,True,3,"{'minutes': 2, 'seconds': 29}",39,61,2005
21,Wisconsin,Big Ten,PASSING TD,"{'minutes': 2, 'seconds': 24}",4,"{'minutes': 10, 'seconds': 9}",0,252460275,25246027522,Bowling Green,Mid-American,7,True,4,"{'minutes': 12, 'seconds': 33}",80,80,2005
22,Bowling Green,Mid-American,PUNT,"{'minutes': 2, 'seconds': 15}",4,"{'minutes': 7, 'seconds': 54}",39,252460275,25246027523,Wisconsin,Big Ten,3,False,4,"{'minutes': 10, 'seconds': 9}",39,0,2005
23,Wisconsin,Big Ten,INT,"{'minutes': 1, 'seconds': 12}",4,"{'minutes': 6, 'seconds': 42}",40,252460275,25246027524,Bowling Green,Mid-American,6,False,4,"{'minutes': 7, 'seconds': 54}",61,21,2005
24,Bowling Green,Mid-American,PUNT,"{'minutes': 4, 'seconds': 46}",4,"{'minutes': 1, 'seconds': 56}",64,252460275,25246027525,Wisconsin,Big Ten,11,False,4,"{'minutes': 6, 'seconds': 42}",31,33,2005
25,Wisconsin,Big Ten,END OF GAME,"{'minutes': 1, 'seconds': 56}",4,{},1,252460275,25246027526,Bowling Green,Mid-American,11,False,4,"{'minutes': 1, 'seconds': 56}",80,79,2005
26,Ball State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 18}",1,"{'minutes': 13, 'seconds': 36}",65,252532050,25253205001,Bowling Green,Mid-American,3,False,1,"{'minutes': 14, 'seconds': 54}",74,9,2005
27,Bowling Green,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 12, 'seconds': 1}",100,252532050,25253205002,Ball State,Mid-American,3,True,1,"{'minutes': 13, 'seconds': 36}",31,69,2005
28,Ball State,Mid-American,PASSING TD,{'minutes': 2},1,"{'minutes': 10, 'seconds': 1}",0,252532050,25253205003,Bowling Green,Mid-American,8,True,1,"{'minutes': 12, 'seconds': 1}",37,37,2005
29,Bowling Green,Mid-American,PUNT,{'seconds': 57},1,"{'minutes': 9, 'seconds': 4}",49,252532050,25253205004,Ball State,Mid-American,3,False,1,"{'minutes': 10, 'seconds': 1}",46,3,2005
30,Ball State,Mid-American,PASSING TD,"{'minutes': 3, 'seconds': 9}",1,"{'minutes': 5, 'seconds': 55}",0,252532050,25253205005,Bowling Green,Mid-American,9,True,1,"{'minutes': 9, 'seconds': 4}",77,77,2005
31,Bowling Green,Mid-American,PUNT,"{'minutes': 1, 'seconds': 57}",1,"{'minutes': 3, 'seconds': 58}",42,252532050,25253205006,Ball State,Mid-American,3,False,1,"{'minutes': 5, 'seconds': 55}",35,7,2005
32,Ball State,Mid-American,FUMBLE,"{'minutes': 1, 'seconds': 43}",1,"{'minutes': 2, 'seconds': 15}",43,252532050,25253205007,Bowling Green,Mid-American,5,False,1,"{'minutes': 3, 'seconds': 58}",76,33,2005
33,Bowling Green,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 15}",1,{'minutes': 1},100,252532050,25253205008,Ball State,Mid-American,3,True,1,"{'minutes': 2, 'seconds': 15}",43,57,2005
34,Ball State,Mid-American,PASSING TD,"{'minutes': 3, 'seconds': 41}",2,"{'minutes': 12, 'seconds': 12}",0,252532050,25253205009,Bowling Green,Mid-American,10,True,1,{'minutes': 1},77,77,2005
35,Bowling Green,Mid-American,PUNT,"{'minutes': 2, 'seconds': 21}",2,"{'minutes': 9, 'seconds': 51}",27,252532050,25253205010,Ball State,Mid-American,3,False,2,"{'minutes': 12, 'seconds': 12}",24,3,2005
36,Ball State,Mid-American,PUNT,"{'minutes': 2, 'seconds': 54}",2,"{'minutes': 6, 'seconds': 57}",71,252532050,25253205011,Bowling Green,Mid-American,6,False,2,"{'minutes': 9, 'seconds': 51}",84,13,2005
37,Bowling Green,Mid-American,PUNT,"{'minutes': 1, 'seconds': 29}",2,"{'minutes': 5, 'seconds': 28}",44,252532050,25253205012,Ball State,Mid-American,3,False,2,"{'minutes': 6, 'seconds': 57}",37,7,2005
38,Ball State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 38}",2,"{'minutes': 3, 'seconds': 50}",74,252532050,25253205013,Bowling Green,Mid-American,3,False,2,"{'minutes': 5, 'seconds': 28}",79,5,2005
39,Bowling Green,Mid-American,PUNT,"{'minutes': 1, 'seconds': 50}",2,{'minutes': 2},39,252532050,25253205014,Ball State,Mid-American,3,False,2,"{'minutes': 3, 'seconds': 50}",38,1,2005
40,Ball State,Mid-American,FUMBLE,{'seconds': 30},2,"{'minutes': 1, 'seconds': 30}",9,252532050,25253205015,Bowling Green,Mid-American,4,False,2,{'minutes': 2},79,70,2005
41,Bowling Green,Mid-American,PUNT,"{'minutes': 1, 'seconds': 30}",2,{},30,252532050,25253205016,Ball State,Mid-American,4,False,2,"{'minutes': 1, 'seconds': 30}",9,21,2005
42,Ball State,Mid-American,END OF HALF,{},2,{},62,252532050,25253205017,Bowling Green,Mid-American,1,False,2,{},62,0,2005
43,Bowling Green,Mid-American,PUNT,"{'minutes': 4, 'seconds': 26}",3,"{'minutes': 10, 'seconds': 29}",43,252532050,25253205018,Ball State,Mid-American,6,False,3,"{'minutes': 14, 'seconds': 55}",21,22,2005
44,Ball State,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 34}",3,"{'minutes': 7, 'seconds': 55}",0,252532050,25253205019,Bowling Green,Mid-American,7,True,3,"{'minutes': 10, 'seconds': 29}",94,94,2005
45,Bowling Green,Mid-American,PUNT,"{'minutes': 1, 'seconds': 50}",3,"{'minutes': 6, 'seconds': 5}",25,252532050,25253205020,Ball State,Mid-American,3,False,3,"{'minutes': 7, 'seconds': 55}",17,8,2005
46,Ball State,Mid-American,FUMBLE,{'seconds': 15},3,"{'minutes': 5, 'seconds': 50}",71,252532050,25253205021,Bowling Green,Mid-American,1,False,3,"{'minutes': 6, 'seconds': 5}",74,3,2005
