,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Sacramento State,,PASSING TD,"{'minutes': 5, 'seconds': 41}",1,"{'minutes': 9, 'seconds': 19}",100,252460025,25246002501,California,Pac-10,10,True,1,{'minutes': 15},19,81,2005
1,California,Pac-10,PUNT,"{'minutes': 2, 'seconds': 19}",1,{'minutes': 7},71,252460025,25246002502,Sacramento State,,3,False,1,"{'minutes': 9, 'seconds': 19}",77,6,2005
2,Sacramento State,,PUNT,"{'minutes': 2, 'seconds': 21}",1,"{'minutes': 4, 'seconds': 39}",54,252460025,25246002503,California,Pac-10,3,False,1,{'minutes': 7},47,7,2005
3,California,Pac-10,PUNT,"{'minutes': 1, 'seconds': 43}",1,"{'minutes': 2, 'seconds': 56}",80,252460025,25246002504,Sacramento State,,3,False,1,"{'minutes': 4, 'seconds': 39}",86,6,2005
4,Sacramento State,,PUNT,"{'minutes': 1, 'seconds': 39}",1,"{'minutes': 1, 'seconds': 17}",54,252460025,25246002505,California,Pac-10,3,False,1,"{'minutes': 2, 'seconds': 56}",53,1,2005
5,California,Pac-10,PUNT,"{'minutes': 1, 'seconds': 25}",2,"{'minutes': 14, 'seconds': 52}",82,252460025,25246002506,Sacramento State,,3,False,1,"{'minutes': 1, 'seconds': 17}",83,1,2005
6,Sacramento State,,INT,"{'minutes': 2, 'seconds': 28}",2,"{'minutes': 12, 'seconds': 24}",59,252460025,25246002507,California,Pac-10,5,False,2,"{'minutes': 14, 'seconds': 52}",37,22,2005
7,California,Pac-10,PUNT,"{'minutes': 2, 'seconds': 20}",2,"{'minutes': 10, 'seconds': 4}",39,252460025,25246002508,Sacramento State,,5,False,2,"{'minutes': 12, 'seconds': 24}",63,24,2005
8,Sacramento State,,PUNT,"{'minutes': 3, 'seconds': 57}",2,"{'minutes': 6, 'seconds': 7}",39,252460025,25246002509,California,Pac-10,8,False,2,"{'minutes': 10, 'seconds': 4}",3,36,2005
9,California,Pac-10,FG GOOD,"{'minutes': 3, 'seconds': 31}",2,"{'minutes': 2, 'seconds': 36}",8,252460025,25246002510,Sacramento State,,8,True,2,"{'minutes': 6, 'seconds': 7}",82,74,2005
10,Sacramento State,,FG GOOD,"{'minutes': 1, 'seconds': 23}",2,"{'minutes': 1, 'seconds': 13}",66,252460025,25246002511,California,Pac-10,6,True,2,"{'minutes': 2, 'seconds': 36}",18,48,2005
11,California,Pac-10,PUNT,{'seconds': 37},2,{'seconds': 36},69,252460025,25246002512,Sacramento State,,3,False,2,"{'minutes': 1, 'seconds': 13}",78,9,2005
12,Sacramento State,,PUNT,{'seconds': 23},2,{'seconds': 13},44,252460025,25246002513,California,Pac-10,3,False,2,{'seconds': 36},44,0,2005
