,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
0,Charlotte,Conference USA,PUNT,"{'minutes': 1, 'seconds': 52}",1.0,"{'minutes': 13, 'seconds': 8}",22.0,400603926.0,4006039261,Kentucky,SEC,3.0,False,2015,1.0,{'minutes': 15},25.0,-3.0
1,Kentucky,SEC,PUNT,"{'minutes': 1, 'seconds': 4}",1.0,"{'minutes': 12, 'seconds': 4}",52.0,400603926.0,4006039262,Charlotte,Conference USA,3.0,False,2015,1.0,"{'minutes': 13, 'seconds': 8}",52.0,0.0
2,Charlotte,Conference USA,TD,"{'minutes': 3, 'seconds': 56}",1.0,"{'minutes': 8, 'seconds': 8}",100.0,400603926.0,4006039263,Kentucky,SEC,10.0,True,2015,1.0,"{'minutes': 12, 'seconds': 4}",15.0,85.0
3,Kentucky,SEC,PUNT,"{'minutes': 2, 'seconds': 18}",1.0,"{'minutes': 5, 'seconds': 50}",62.0,400603926.0,4006039264,Charlotte,Conference USA,6.0,False,2015,1.0,"{'minutes': 8, 'seconds': 8}",80.0,18.0
4,Charlotte,Conference USA,FG,"{'minutes': 5, 'seconds': 40}",1.0,{'seconds': 10},96.0,400603926.0,4006039265,Kentucky,SEC,14.0,True,2015,1.0,"{'minutes': 5, 'seconds': 50}",20.0,76.0
5,Kentucky,SEC,FG,"{'minutes': 2, 'seconds': 6}",2.0,"{'minutes': 12, 'seconds': 57}",6.0,400603926.0,4006039266,Charlotte,Conference USA,9.0,True,2015,1.0,{'seconds': 10},72.0,66.0
6,Charlotte,Conference USA,TD,"{'minutes': 5, 'seconds': 11}",2.0,"{'minutes': 7, 'seconds': 46}",100.0,400603926.0,4006039267,Kentucky,SEC,12.0,True,2015,2.0,"{'minutes': 12, 'seconds': 57}",26.0,74.0
7,Kentucky,SEC,PUNT,"{'minutes': 1, 'seconds': 7}",2.0,"{'minutes': 6, 'seconds': 39}",77.0,400603926.0,4006039268,Charlotte,Conference USA,3.0,False,2015,2.0,"{'minutes': 7, 'seconds': 46}",75.0,-2.0
8,Charlotte,Conference USA,FG,"{'minutes': 3, 'seconds': 53}",2.0,"{'minutes': 2, 'seconds': 46}",72.0,400603926.0,4006039269,Kentucky,SEC,9.0,True,2015,2.0,"{'minutes': 6, 'seconds': 39}",42.0,30.0
9,Charlotte,Conference USA,FUMBLE TD,"{'minutes': 1, 'seconds': 32}",1.0,"{'minutes': 13, 'seconds': 28}",39.0,400763587.0,4007635871,Georgia State,Sun Belt,4.0,True,2015,1.0,{'minutes': 15},27.0,16.0
10,Charlotte,Conference USA,PUNT,"{'minutes': 1, 'seconds': 57}",1.0,"{'minutes': 11, 'seconds': 31}",11.0,400763587.0,4007635872,Georgia State,Sun Belt,3.0,False,2015,1.0,"{'minutes': 13, 'seconds': 28}",23.0,-12.0
11,Georgia State,Sun Belt,FG,"{'minutes': 2, 'seconds': 33}",1.0,"{'minutes': 8, 'seconds': 58}",28.0,400763587.0,4007635873,Charlotte,Conference USA,8.0,True,2015,1.0,"{'minutes': 11, 'seconds': 31}",60.0,32.0
12,Charlotte,Conference USA,PUNT,"{'minutes': 2, 'seconds': 23}",1.0,"{'minutes': 6, 'seconds': 35}",29.0,400763587.0,4007635874,Georgia State,Sun Belt,5.0,False,2015,1.0,"{'minutes': 8, 'seconds': 58}",20.0,9.0
13,Georgia State,Sun Belt,FUMBLE,{'seconds': 6},1.0,"{'minutes': 6, 'seconds': 29}",83.0,400763587.0,4007635875,Charlotte,Conference USA,1.0,False,2015,1.0,"{'minutes': 6, 'seconds': 35}",83.0,-2.0
14,Charlotte,Conference USA,INT,{'seconds': 54},1.0,"{'minutes': 5, 'seconds': 35}",86.0,400763587.0,4007635876,Georgia State,Sun Belt,3.0,False,2015,1.0,"{'minutes': 6, 'seconds': 29}",85.0,1.0
15,Georgia State,Sun Belt,FG,"{'minutes': 4, 'seconds': 22}",1.0,"{'minutes': 1, 'seconds': 13}",18.0,400763587.0,4007635877,Charlotte,Conference USA,13.0,True,2015,1.0,"{'minutes': 5, 'seconds': 35}",80.0,62.0
16,Charlotte,Conference USA,FUMBLE,{'seconds': 25},1.0,{'seconds': 48},28.0,400763587.0,4007635878,Georgia State,Sun Belt,1.0,False,2015,1.0,"{'minutes': 1, 'seconds': 13}",28.0,29.0
17,Georgia State,Sun Belt,INT,"{'minutes': 3, 'seconds': 45}",2.0,"{'minutes': 12, 'seconds': 3}",9.0,400763587.0,4007635879,Charlotte,Conference USA,12.0,False,2015,1.0,{'seconds': 48},57.0,48.0
18,Presbyterian College,,PUNT,"{'minutes': 2, 'seconds': 14}",1.0,"{'minutes': 12, 'seconds': 46}",39.0,400763594.0,4007635941,Charlotte,Conference USA,6.0,False,2015,1.0,{'minutes': 15},19.0,20.0
19,Charlotte,Conference USA,PUNT,"{'minutes': 1, 'seconds': 57}",1.0,"{'minutes': 10, 'seconds': 49}",96.0,400763594.0,4007635942,Presbyterian College,,3.0,False,2015,1.0,"{'minutes': 12, 'seconds': 46}",86.0,-10.0
20,Presbyterian College,,FUMBLE,"{'minutes': 1, 'seconds': 17}",1.0,"{'minutes': 9, 'seconds': 32}",100.0,400763594.0,4007635943,Charlotte,Conference USA,5.0,False,2015,1.0,"{'minutes': 10, 'seconds': 49}",51.0,49.0
