,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Eastern Michigan,Mid-American,PASSING TD,"{'minutes': 4, 'seconds': 12}",1,"{'minutes': 10, 'seconds': 48}",100,252442132,25244213201,Cincinnati,Big East,10,True,1,{'minutes': 15},41,59,2005
1,Cincinnati,Big East,FG GOOD,"{'minutes': 4, 'seconds': 49}",1,"{'minutes': 5, 'seconds': 59}",3,252442132,25244213202,Eastern Michigan,Mid-American,14,True,1,"{'minutes': 10, 'seconds': 48}",70,67,2005
2,Eastern Michigan,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 21}",1,"{'minutes': 3, 'seconds': 38}",100,252442132,25244213203,Cincinnati,Big East,6,True,1,"{'minutes': 5, 'seconds': 59}",28,72,2005
3,Cincinnati,Big East,PASSING TD,"{'minutes': 1, 'seconds': 42}",1,"{'minutes': 1, 'seconds': 56}",0,252442132,25244213204,Eastern Michigan,Mid-American,4,True,1,"{'minutes': 3, 'seconds': 38}",51,51,2005
4,Eastern Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 46}",1,{'seconds': 10},39,252442132,25244213205,Cincinnati,Big East,4,False,1,"{'minutes': 1, 'seconds': 56}",20,19,2005
5,Cincinnati,Big East,PUNT,"{'minutes': 1, 'seconds': 23}",2,"{'minutes': 13, 'seconds': 27}",55,252442132,25244213206,Eastern Michigan,Mid-American,3,False,1,{'seconds': 10},59,4,2005
6,Eastern Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 36}",2,"{'minutes': 10, 'seconds': 51}",18,252442132,25244213207,Cincinnati,Big East,6,False,2,"{'minutes': 13, 'seconds': 27}",2,16,2005
7,Cincinnati,Big East,RUSHING TD,"{'minutes': 2, 'seconds': 34}",2,"{'minutes': 8, 'seconds': 17}",0,252442132,25244213208,Eastern Michigan,Mid-American,8,True,2,"{'minutes': 10, 'seconds': 51}",39,39,2005
8,Eastern Michigan,Mid-American,PUNT,"{'minutes': 4, 'seconds': 31}",2,"{'minutes': 3, 'seconds': 46}",37,252442132,25244213209,Cincinnati,Big East,7,False,2,"{'minutes': 8, 'seconds': 17}",6,31,2005
9,Cincinnati,Big East,FG GOOD,"{'minutes': 2, 'seconds': 2}",2,"{'minutes': 1, 'seconds': 44}",21,252442132,25244213210,Eastern Michigan,Mid-American,6,True,2,"{'minutes': 3, 'seconds': 46}",57,37,2005
10,Eastern Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 7}",2,{'seconds': 37},50,252442132,25244213211,Cincinnati,Big East,7,False,2,"{'minutes': 1, 'seconds': 44}",20,30,2005
11,Cincinnati,Big East,END OF HALF,{'seconds': 37},2,{},83,252442132,25244213212,Eastern Michigan,Mid-American,1,False,2,{'seconds': 37},82,-1,2005
12,Cincinnati,Big East,PUNT,{'seconds': 41},3,"{'minutes': 14, 'seconds': 19}",84,252442132,25244213213,Eastern Michigan,Mid-American,3,False,3,{'minutes': 15},77,-7,2005
13,Eastern Michigan,Mid-American,RUSHING TD,"{'minutes': 1, 'seconds': 18}",3,"{'minutes': 13, 'seconds': 1}",100,252442132,25244213214,Cincinnati,Big East,2,True,3,"{'minutes': 14, 'seconds': 19}",55,45,2005
14,Cincinnati,Big East,PUNT,"{'minutes': 2, 'seconds': 36}",3,"{'minutes': 10, 'seconds': 25}",61,252442132,25244213215,Eastern Michigan,Mid-American,6,False,3,"{'minutes': 13, 'seconds': 1}",80,19,2005
15,Eastern Michigan,Mid-American,Uncategorized,"{'minutes': 3, 'seconds': 43}",3,"{'minutes': 6, 'seconds': 42}",52,252442132,25244213216,Cincinnati,Big East,8,False,3,"{'minutes': 10, 'seconds': 25}",16,36,2005
16,Cincinnati,Big East,PUNT,"{'minutes': 3, 'seconds': 4}",3,"{'minutes': 3, 'seconds': 38}",68,252442132,25244213217,Eastern Michigan,Mid-American,6,False,3,"{'minutes': 6, 'seconds': 42}",84,16,2005
17,Eastern Michigan,Mid-American,RUSHING TD,"{'minutes': 5, 'seconds': 25}",4,"{'minutes': 13, 'seconds': 13}",100,252442132,25244213218,Cincinnati,Big East,12,True,3,"{'minutes': 3, 'seconds': 38}",14,86,2005
18,Cincinnati,Big East,RUSHING TD,"{'minutes': 2, 'seconds': 14}",4,"{'minutes': 10, 'seconds': 59}",0,252442132,25244213219,Eastern Michigan,Mid-American,6,True,4,"{'minutes': 13, 'seconds': 13}",81,81,2005
19,Eastern Michigan,Mid-American,FUMBLE,"{'minutes': 3, 'seconds': 45}",4,"{'minutes': 7, 'seconds': 14}",52,252442132,25244213220,Cincinnati,Big East,7,False,4,"{'minutes': 10, 'seconds': 59}",7,45,2005
20,Cincinnati,Big East,PUNT,{'seconds': 56},4,"{'minutes': 6, 'seconds': 18}",40,252442132,25244213221,Eastern Michigan,Mid-American,5,False,4,"{'minutes': 7, 'seconds': 14}",52,12,2005
21,Eastern Michigan,Mid-American,TURNOVER ON DOWNS,"{'minutes': 5, 'seconds': 27}",4,{'seconds': 51},48,252442132,25244213222,Cincinnati,Big East,11,False,4,"{'minutes': 6, 'seconds': 18}",2,46,2005
22,Cincinnati,Big East,TURNOVER ON DOWNS,{'seconds': 33},4,{'seconds': 18},39,252442132,25244213223,Eastern Michigan,Mid-American,4,False,4,{'seconds': 51},48,9,2005
23,Eastern Michigan,Mid-American,END OF GAME,{'seconds': 18},4,{},38,252442132,25244213224,Cincinnati,Big East,1,False,4,{'seconds': 18},39,-1,2005
24,Penn State,Big Ten,INT,"{'minutes': 1, 'seconds': 10}",1,"{'minutes': 13, 'seconds': 50}",81,252530213,25253021301,Cincinnati,Big East,3,False,1,{'minutes': 15},80,-1,2005
25,Cincinnati,Big East,RUSHING TD,"{'minutes': 2, 'seconds': 19}",1,"{'minutes': 11, 'seconds': 31}",100,252530213,25253021302,Penn State,Big Ten,6,True,1,"{'minutes': 13, 'seconds': 50}",75,25,2005
26,Penn State,Big Ten,PUNT,"{'minutes': 3, 'seconds': 21}",1,"{'minutes': 8, 'seconds': 10}",55,252530213,25253021303,Cincinnati,Big East,8,False,1,"{'minutes': 11, 'seconds': 31}",80,25,2005
27,Cincinnati,Big East,INT,"{'minutes': 1, 'seconds': 34}",1,"{'minutes': 6, 'seconds': 36}",33,252530213,25253021304,Penn State,Big Ten,4,False,1,"{'minutes': 8, 'seconds': 10}",10,23,2005
28,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 55}",1,"{'minutes': 3, 'seconds': 41}",38,252530213,25253021305,Cincinnati,Big East,6,False,1,"{'minutes': 6, 'seconds': 36}",50,12,2005
29,Cincinnati,Big East,PUNT,"{'minutes': 3, 'seconds': 6}",1,{'seconds': 35},39,252530213,25253021306,Penn State,Big Ten,6,False,1,"{'minutes': 3, 'seconds': 41}",20,19,2005
30,Penn State,Big Ten,FG GOOD,"{'minutes': 5, 'seconds': 24}",2,"{'minutes': 10, 'seconds': 6}",7,252530213,25253021307,Cincinnati,Big East,14,True,1,{'seconds': 35},76,69,2005
31,Cincinnati,Big East,PUNT,{'seconds': 59},2,"{'minutes': 9, 'seconds': 7}",19,252530213,25253021308,Penn State,Big Ten,3,False,2,"{'minutes': 10, 'seconds': 6}",22,-3,2005
32,Penn State,Big Ten,PUNT,"{'minutes': 3, 'seconds': 35}",2,"{'minutes': 5, 'seconds': 32}",44,252530213,25253021309,Cincinnati,Big East,6,False,2,"{'minutes': 9, 'seconds': 7}",52,8,2005
33,Cincinnati,Big East,PASSING TD,"{'minutes': 3, 'seconds': 40}",2,"{'minutes': 1, 'seconds': 52}",100,252530213,25253021310,Penn State,Big Ten,9,True,2,"{'minutes': 5, 'seconds': 32}",20,80,2005
34,Penn State,Big Ten,END OF HALF,"{'minutes': 1, 'seconds': 52}",2,{},64,252530213,25253021311,Cincinnati,Big East,3,False,2,"{'minutes': 1, 'seconds': 52}",75,11,2005
35,Cincinnati,Big East,FUMBLE,"{'minutes': 3, 'seconds': 7}",3,"{'minutes': 13, 'seconds': 45}",76,252530213,25253021312,Penn State,Big Ten,4,False,0,{},31,45,2005
