,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Clemson,ACC,FG GOOD,"{'minutes': 3, 'seconds': 20}",1,"{'minutes': 11, 'seconds': 40}",17,252460228,25246022801,Texas A&M,Big 12,11,True,1,{'minutes': 15},80,63,2005
1,Texas A&M,Big 12,PUNT,"{'minutes': 5, 'seconds': 12}",1,"{'minutes': 6, 'seconds': 28}",54,252460228,25246022802,Clemson,ACC,10,False,1,"{'minutes': 11, 'seconds': 40}",14,40,2005
2,Clemson,ACC,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 46}",1,"{'minutes': 3, 'seconds': 42}",34,252460228,25246022803,Texas A&M,Big 12,8,False,1,"{'minutes': 6, 'seconds': 28}",71,37,2005
3,Texas A&M,Big 12,FG GOOD,"{'minutes': 3, 'seconds': 37}",2,"{'minutes': 14, 'seconds': 58}",96,252460228,25246022804,Clemson,ACC,8,True,1,"{'minutes': 3, 'seconds': 42}",34,62,2005
4,Clemson,ACC,PUNT,"{'minutes': 2, 'seconds': 14}",2,"{'minutes': 12, 'seconds': 44}",93,252460228,25246022805,Texas A&M,Big 12,3,True,2,"{'minutes': 14, 'seconds': 58}",80,-13,2005
5,Texas A&M,Big 12,Uncategorized,{},2,"{'minutes': 12, 'seconds': 44}",54,252460228,25246022806,Clemson,ACC,0,True,2,"{'minutes': 12, 'seconds': 44}",54,0,2005
6,Clemson,ACC,RUSHING TD,{'minutes': 3},2,"{'minutes': 9, 'seconds': 44}",0,252460228,25246022807,Texas A&M,Big 12,8,True,2,"{'minutes': 12, 'seconds': 44}",86,86,2005
7,Texas A&M,Big 12,FG GOOD,"{'minutes': 4, 'seconds': 46}",2,"{'minutes': 4, 'seconds': 58}",95,252460228,25246022808,Clemson,ACC,11,True,2,"{'minutes': 9, 'seconds': 44}",20,75,2005
8,Clemson,ACC,INT,{'seconds': 57},2,"{'minutes': 4, 'seconds': 1}",38,252460228,25246022809,Texas A&M,Big 12,3,False,2,"{'minutes': 4, 'seconds': 58}",63,25,2005
9,Texas A&M,Big 12,FG GOOD,"{'minutes': 4, 'seconds': 1}",2,{},91,252460228,25246022810,Clemson,ACC,9,True,2,"{'minutes': 4, 'seconds': 1}",57,34,2005
10,Texas A&M,Big 12,END OF HALF,{'seconds': 3},2,{},60,252460228,25246022812,Clemson,ACC,1,False,2,{'seconds': 3},60,0,2005
11,Texas A&M,Big 12,PUNT,"{'minutes': 1, 'seconds': 7}",3,"{'minutes': 13, 'seconds': 53}",20,252460228,25246022813,Clemson,ACC,3,False,3,{'minutes': 15},24,-4,2005
12,Clemson,ACC,PUNT,"{'minutes': 2, 'seconds': 26}",3,"{'minutes': 11, 'seconds': 27}",39,252460228,25246022814,Texas A&M,Big 12,5,False,3,"{'minutes': 13, 'seconds': 53}",51,12,2005
