,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
0,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 29}",1.0,"{'minutes': 12, 'seconds': 31}",75.0,282430213.0,28243021301,Coastal Carolina,,5.0,False,2008,1.0,{'minutes': 15},94.0,11.0
1,Coastal Carolina,,RUSHING TD,"{'minutes': 1, 'seconds': 29}",1.0,"{'minutes': 11, 'seconds': 2}",100.0,282430213.0,28243021302,Penn State,Big Ten,4.0,True,2008,1.0,"{'minutes': 12, 'seconds': 31}",57.0,43.0
2,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 46}",1.0,"{'minutes': 8, 'seconds': 16}",50.0,282430213.0,28243021303,Coastal Carolina,,6.0,False,2008,1.0,"{'minutes': 11, 'seconds': 2}",87.0,37.0
3,Coastal Carolina,,RUSHING TD,"{'minutes': 2, 'seconds': 8}",1.0,"{'minutes': 6, 'seconds': 8}",100.0,282430213.0,28243021304,Penn State,Big Ten,5.0,True,2008,1.0,"{'minutes': 8, 'seconds': 16}",20.0,80.0
4,Penn State,Big Ten,PUNT,"{'minutes': 3, 'seconds': 18}",1.0,"{'minutes': 2, 'seconds': 50}",62.0,282430213.0,28243021305,Coastal Carolina,,7.0,False,2008,1.0,"{'minutes': 6, 'seconds': 8}",72.0,10.0
5,Coastal Carolina,,PUNT,"{'minutes': 1, 'seconds': 42}",1.0,"{'minutes': 1, 'seconds': 8}",17.0,282430213.0,28243021306,Penn State,Big Ten,3.0,False,2008,1.0,"{'minutes': 2, 'seconds': 50}",14.0,3.0
6,Penn State,Big Ten,PASSING TD,"{'minutes': 2, 'seconds': 30}",2.0,"{'minutes': 13, 'seconds': 24}",0.0,282430213.0,28243021307,Coastal Carolina,,7.0,True,2008,1.0,"{'minutes': 1, 'seconds': 8}",62.0,62.0
7,Coastal Carolina,,KICKOFF RETURN TD,{},2.0,"{'minutes': 13, 'seconds': 24}",100.0,282430213.0,28243021308,Penn State,Big Ten,0.0,True,2008,2.0,"{'minutes': 13, 'seconds': 24}",11.0,89.0
8,Penn State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 42}",2.0,"{'minutes': 11, 'seconds': 42}",79.0,282430213.0,28243021309,Coastal Carolina,,3.0,False,2008,2.0,"{'minutes': 13, 'seconds': 24}",88.0,9.0
9,Coastal Carolina,,PASSING TD,"{'minutes': 3, 'seconds': 35}",2.0,"{'minutes': 8, 'seconds': 7}",100.0,282430213.0,28243021310,Penn State,Big Ten,7.0,True,2008,2.0,"{'minutes': 11, 'seconds': 42}",33.0,67.0
10,Penn State,Big Ten,INT,{'seconds': 36},2.0,"{'minutes': 7, 'seconds': 31}",62.0,282430213.0,28243021311,Coastal Carolina,,2.0,False,2008,2.0,"{'minutes': 8, 'seconds': 7}",72.0,10.0
11,Coastal Carolina,,RUSHING TD,"{'minutes': 1, 'seconds': 49}",2.0,"{'minutes': 5, 'seconds': 42}",100.0,282430213.0,28243021312,Penn State,Big Ten,4.0,True,2008,2.0,"{'minutes': 7, 'seconds': 31}",55.0,45.0
12,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 9}",2.0,"{'minutes': 3, 'seconds': 33}",75.0,282430213.0,28243021313,Coastal Carolina,,3.0,False,2008,2.0,"{'minutes': 5, 'seconds': 42}",79.0,4.0
13,Coastal Carolina,,FG GOOD,"{'minutes': 3, 'seconds': 5}",2.0,{'seconds': 28},96.0,282430213.0,28243021314,Penn State,Big Ten,12.0,True,2008,2.0,"{'minutes': 3, 'seconds': 33}",31.0,65.0
