,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Colorado,Big 12,PUNT,"{'minutes': 2, 'seconds': 24}",1,"{'minutes': 12, 'seconds': 36}",71,252460038,25246003801,Colorado State,Mountain West,3,False,1,{'minutes': 15},80,9,2005
1,Colorado State,Mountain West,INT,"{'minutes': 3, 'seconds': 43}",1,"{'minutes': 8, 'seconds': 53}",25,252460038,25246003802,Colorado,Big 12,1,False,1,"{'minutes': 12, 'seconds': 36}",27,35,2005
2,Colorado,Big 12,PUNT,"{'minutes': 3, 'seconds': 28}",1,"{'minutes': 5, 'seconds': 25}",54,252460038,25246003803,Colorado State,Mountain West,5,False,1,"{'minutes': 8, 'seconds': 53}",75,21,2005
3,Colorado State,Mountain West,FUMBLE,{'seconds': 48},1,"{'minutes': 4, 'seconds': 37}",28,252460038,25246003804,Colorado,Big 12,2,False,1,"{'minutes': 5, 'seconds': 25}",24,4,2005
4,Colorado,Big 12,RUSHING TD,"{'minutes': 1, 'seconds': 58}",1,"{'minutes': 2, 'seconds': 39}",0,252460038,25246003805,Colorado State,Mountain West,6,True,1,"{'minutes': 4, 'seconds': 37}",28,28,2005
5,Colorado State,Mountain West,PUNT,"{'minutes': 2, 'seconds': 26}",1,{'seconds': 13},28,252460038,25246003806,Colorado,Big 12,3,False,1,"{'minutes': 2, 'seconds': 39}",20,8,2005
6,Colorado,Big 12,TURNOVER ON DOWNS,{},2,"{'minutes': 13, 'seconds': 15}",15,252460038,25246003807,Colorado State,Mountain West,1,False,1,{'seconds': 13},80,65,2005
7,Colorado State,Mountain West,FG GOOD,"{'minutes': 1, 'seconds': 1}",2,"{'minutes': 12, 'seconds': 14}",85,252460038,25246003808,Colorado,Big 12,4,True,2,"{'minutes': 13, 'seconds': 15}",85,32,2005
8,Colorado,Big 12,FG MISSED,"{'minutes': 4, 'seconds': 13}",2,"{'minutes': 8, 'seconds': 1}",27,252460038,25246003809,Colorado State,Mountain West,9,False,2,"{'minutes': 12, 'seconds': 14}",74,47,2005
9,Colorado State,Mountain West,RUSHING TD,"{'minutes': 4, 'seconds': 33}",2,"{'minutes': 3, 'seconds': 28}",100,252460038,25246003810,Colorado,Big 12,11,True,2,"{'minutes': 8, 'seconds': 1}",27,73,2005
10,Colorado,Big 12,PASSING TD,"{'minutes': 2, 'seconds': 53}",2,{'seconds': 35},0,252460038,25246003811,Colorado State,Mountain West,9,True,2,"{'minutes': 3, 'seconds': 28}",68,68,2005
11,Colorado State,Mountain West,END OF HALF,{'seconds': 35},2,{},66,252460038,25246003812,Colorado,Big 12,3,False,2,{'seconds': 35},20,46,2005
12,Colorado State,Mountain West,PUNT,"{'minutes': 4, 'seconds': 8}",3,"{'minutes': 10, 'seconds': 52}",54,252460038,25246003813,Colorado,Big 12,9,False,3,{'minutes': 15},20,34,2005
13,Colorado,Big 12,PASSING TD,"{'minutes': 5, 'seconds': 48}",3,"{'minutes': 5, 'seconds': 4}",0,252460038,25246003814,Colorado State,Mountain West,11,True,3,"{'minutes': 10, 'seconds': 52}",81,81,2005
14,Colorado State,Mountain West,PUNT,"{'minutes': 1, 'seconds': 44}",3,"{'minutes': 3, 'seconds': 20}",41,252460038,25246003815,Colorado,Big 12,5,False,3,"{'minutes': 5, 'seconds': 4}",20,21,2005
