,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Connecticut,Big East,PUNT,"{'minutes': 1, 'seconds': 51}",1,"{'minutes': 13, 'seconds': 9}",71,252440041,25244004101,Buffalo,Mid-American,3,False,1,{'minutes': 15},80,9,2005
1,Buffalo,Mid-American,FG GOOD,"{'minutes': 6, 'seconds': 46}",1,"{'minutes': 6, 'seconds': 23}",92,252440041,25244004102,Connecticut,Big East,13,True,1,"{'minutes': 13, 'seconds': 9}",37,55,2005
2,Connecticut,Big East,PUNT,"{'minutes': 1, 'seconds': 42}",1,"{'minutes': 4, 'seconds': 41}",63,252440041,25244004103,Buffalo,Mid-American,3,False,1,"{'minutes': 6, 'seconds': 23}",64,1,2005
3,Buffalo,Mid-American,PUNT,"{'minutes': 2, 'seconds': 13}",1,"{'minutes': 2, 'seconds': 28}",40,252440041,25244004104,Connecticut,Big East,6,False,1,"{'minutes': 4, 'seconds': 41}",21,19,2005
4,Connecticut,Big East,PUNT,"{'minutes': 1, 'seconds': 29}",1,{'seconds': 59},65,252440041,25244004105,Buffalo,Mid-American,3,False,1,"{'minutes': 2, 'seconds': 28}",63,-2,2005
5,Buffalo,Mid-American,FG MISSED,"{'minutes': 2, 'seconds': 23}",2,"{'minutes': 13, 'seconds': 36}",73,252440041,25244004106,Connecticut,Big East,6,False,1,{'seconds': 59},37,36,2005
6,Connecticut,Big East,PUNT,"{'minutes': 1, 'seconds': 35}",2,"{'minutes': 12, 'seconds': 1}",67,252440041,25244004107,Buffalo,Mid-American,3,False,2,"{'minutes': 13, 'seconds': 36}",73,6,2005
7,Buffalo,Mid-American,PUNT,"{'minutes': 1, 'seconds': 3}",2,"{'minutes': 10, 'seconds': 58}",91,252440041,25244004108,Connecticut,Big East,3,False,2,"{'minutes': 12, 'seconds': 1}",47,44,2005
8,Connecticut,Big East,PUNT,"{'minutes': 1, 'seconds': 55}",2,"{'minutes': 9, 'seconds': 3}",73,252440041,25244004109,Buffalo,Mid-American,3,False,2,"{'minutes': 10, 'seconds': 58}",79,6,2005
9,Buffalo,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 19}",2,"{'minutes': 7, 'seconds': 44}",100,252440041,25244004110,Connecticut,Big East,3,True,2,"{'minutes': 9, 'seconds': 3}",65,35,2005
10,Connecticut,Big East,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 4}",2,"{'minutes': 5, 'seconds': 40}",61,252440041,25244004111,Buffalo,Mid-American,5,False,2,"{'minutes': 7, 'seconds': 44}",80,19,2005
11,Buffalo,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 4, 'seconds': 9}",100,252440041,25244004112,Connecticut,Big East,4,True,2,"{'minutes': 5, 'seconds': 40}",61,39,2005
12,Connecticut,Big East,PUNT,"{'minutes': 2, 'seconds': 32}",2,"{'minutes': 1, 'seconds': 37}",68,252440041,25244004113,Buffalo,Mid-American,6,False,2,"{'minutes': 4, 'seconds': 9}",84,16,2005
13,Buffalo,Mid-American,RUSHING TD,{'seconds': 31},2,"{'minutes': 1, 'seconds': 6}",100,252440041,25244004114,Connecticut,Big East,3,True,2,"{'minutes': 1, 'seconds': 37}",58,42,2005
14,Connecticut,Big East,PUNT,{'seconds': 36},2,{'seconds': 30},80,252440041,25244004115,Buffalo,Mid-American,3,False,2,"{'minutes': 1, 'seconds': 6}",79,-1,2005
15,Buffalo,Mid-American,INT,{'seconds': 30},2,{},60,252440041,25244004116,Connecticut,Big East,2,False,2,{'seconds': 30},54,6,2005
16,Connecticut,Big East,END OF HALF,{},2,{},95,252440041,25244004117,Buffalo,Mid-American,1,False,2,{},95,0,2005
17,Buffalo,Mid-American,PUNT,"{'minutes': 2, 'seconds': 57}",3,"{'minutes': 11, 'seconds': 55}",62,252440041,25244004118,Connecticut,Big East,4,False,3,"{'minutes': 14, 'seconds': 52}",50,12,2005
18,Connecticut,Big East,PUNT,"{'minutes': 2, 'seconds': 29}",3,"{'minutes': 9, 'seconds': 26}",38,252440041,25244004119,Buffalo,Mid-American,6,False,3,"{'minutes': 11, 'seconds': 55}",99,61,2005
19,Buffalo,Mid-American,RUSHING TD,"{'minutes': 5, 'seconds': 36}",3,"{'minutes': 3, 'seconds': 50}",100,252440041,25244004120,Connecticut,Big East,11,True,3,"{'minutes': 9, 'seconds': 26}",16,84,2005
20,Connecticut,Big East,PUNT,"{'minutes': 1, 'seconds': 59}",3,"{'minutes': 1, 'seconds': 51}",72,252440041,25244004121,Buffalo,Mid-American,3,False,3,"{'minutes': 3, 'seconds': 50}",80,8,2005
