,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Duke,ACC,PUNT,{'minutes': 2},1,"{'minutes': 12, 'seconds': 48}",61,252460151,25246015101,East Carolina,Conference USA,3,False,1,"{'minutes': 14, 'seconds': 48}",57,4,2005
1,East Carolina,Conference USA,PUNT,"{'minutes': 2, 'seconds': 12}",1,"{'minutes': 10, 'seconds': 36}",87,252460151,25246015102,Duke,ACC,3,False,1,"{'minutes': 12, 'seconds': 48}",87,0,2005
2,Duke,ACC,RUSHING TD,{'seconds': 55},1,"{'minutes': 9, 'seconds': 41}",100,252460151,25246015103,East Carolina,Conference USA,2,True,1,"{'minutes': 10, 'seconds': 36}",96,4,2005
3,East Carolina,Conference USA,KICKOFF RETURN TD,{},1,"{'minutes': 9, 'seconds': 41}",0,252460151,25246015104,Duke,ACC,1,True,1,"{'minutes': 9, 'seconds': 41}",3,100,2005
4,Duke,ACC,PASSING TD,"{'minutes': 3, 'seconds': 10}",1,"{'minutes': 6, 'seconds': 31}",100,252460151,25246015105,East Carolina,Conference USA,6,True,1,"{'minutes': 9, 'seconds': 41}",24,76,2005
5,East Carolina,Conference USA,PUNT,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 4, 'seconds': 56}",68,252460151,25246015106,Duke,ACC,3,False,1,"{'minutes': 6, 'seconds': 31}",72,4,2005
6,Duke,ACC,PUNT,"{'minutes': 1, 'seconds': 29}",1,"{'minutes': 3, 'seconds': 27}",49,252460151,25246015107,East Carolina,Conference USA,3,False,1,"{'minutes': 4, 'seconds': 56}",42,7,2005
7,East Carolina,Conference USA,PUNT,"{'minutes': 2, 'seconds': 18}",1,"{'minutes': 1, 'seconds': 9}",45,252460151,25246015108,Duke,ACC,5,False,1,"{'minutes': 3, 'seconds': 27}",57,12,2005
8,Duke,ACC,FUMBLE,"{'minutes': 1, 'seconds': 9}",1,{},18,252460151,25246015109,East Carolina,Conference USA,3,False,1,"{'minutes': 1, 'seconds': 9}",4,14,2005
9,East Carolina,Conference USA,FUMBLE,"{'minutes': 1, 'seconds': 26}",2,"{'minutes': 13, 'seconds': 34}",16,252460151,25246015110,Duke,ACC,3,False,1,{},19,3,2005
10,Duke,ACC,FUMBLE,"{'minutes': 1, 'seconds': 35}",2,"{'minutes': 11, 'seconds': 59}",52,252460151,25246015111,East Carolina,Conference USA,5,False,2,"{'minutes': 13, 'seconds': 34}",16,36,2005
11,East Carolina,Conference USA,RUSHING TD,"{'minutes': 3, 'seconds': 50}",2,"{'minutes': 8, 'seconds': 9}",0,252460151,25246015112,Duke,ACC,9,True,2,"{'minutes': 11, 'seconds': 59}",52,52,2005
12,Duke,ACC,FG GOOD,"{'minutes': 3, 'seconds': 57}",2,"{'minutes': 4, 'seconds': 12}",85,252460151,25246015113,East Carolina,Conference USA,8,True,2,"{'minutes': 8, 'seconds': 9}",34,51,2005
