,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Kansas,Big 12,Uncategorized,{},1,{'minutes': 15},118,252462305,25246230501,Florida Atlantic,Sun Belt,8,False,1,{'minutes': 15},80,38,2005
1,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 31}",1,"{'minutes': 11, 'seconds': 29}",20,252462305,25246230502,Kansas,Big 12,3,False,1,{'minutes': 15},20,0,2005
2,Kansas,Big 12,SF,"{'minutes': 1, 'seconds': 21}",1,"{'minutes': 10, 'seconds': 8}",100,252462305,25246230503,Florida Atlantic,Sun Belt,2,True,1,"{'minutes': 11, 'seconds': 29}",89,-11,2005
3,Florida Atlantic,Sun Belt,INT,{'seconds': 32},1,"{'minutes': 9, 'seconds': 36}",72,252462305,25246230504,Kansas,Big 12,4,False,1,"{'minutes': 10, 'seconds': 8}",46,26,2005
4,Kansas,Big 12,PUNT,"{'minutes': 1, 'seconds': 13}",1,"{'minutes': 8, 'seconds': 23}",71,252462305,25246230505,Florida Atlantic,Sun Belt,3,False,1,"{'minutes': 9, 'seconds': 36}",76,5,2005
5,Florida Atlantic,Sun Belt,RUSHING TD,"{'minutes': 7, 'seconds': 49}",1,{'seconds': 34},100,252462305,25246230506,Kansas,Big 12,12,True,1,"{'minutes': 8, 'seconds': 23}",29,71,2005
6,Kansas,Big 12,PASSING TD,{'seconds': 15},1,{'seconds': 19},0,252462305,25246230507,Florida Atlantic,Sun Belt,1,True,1,{'seconds': 34},66,66,2005
7,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 32}",2,"{'minutes': 12, 'seconds': 49}",46,252462305,25246230508,Kansas,Big 12,7,False,1,{'seconds': 19},15,31,2005
8,Kansas,Big 12,PUNT,"{'minutes': 3, 'seconds': 8}",2,"{'minutes': 9, 'seconds': 41}",63,252462305,25246230509,Florida Atlantic,Sun Belt,6,False,2,"{'minutes': 12, 'seconds': 49}",93,30,2005
9,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 38}",2,"{'minutes': 8, 'seconds': 3}",28,252462305,25246230510,Kansas,Big 12,3,False,2,"{'minutes': 9, 'seconds': 41}",21,7,2005
10,Kansas,Big 12,PUNT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 6, 'seconds': 32}",68,252462305,25246230511,Florida Atlantic,Sun Belt,3,False,2,"{'minutes': 8, 'seconds': 3}",68,0,2005
11,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 3}",2,"{'minutes': 4, 'seconds': 29}",45,252462305,25246230512,Kansas,Big 12,7,False,2,"{'minutes': 6, 'seconds': 32}",23,22,2005
12,Kansas,Big 12,PUNT,"{'minutes': 3, 'seconds': 11}",2,"{'minutes': 1, 'seconds': 18}",79,252462305,25246230513,Florida Atlantic,Sun Belt,5,False,2,"{'minutes': 4, 'seconds': 29}",90,11,2005
13,Florida Atlantic,Sun Belt,INT,{'seconds': 8},2,"{'minutes': 1, 'seconds': 10}",60,252462305,25246230514,Kansas,Big 12,2,False,2,"{'minutes': 1, 'seconds': 18}",39,21,2005
14,Kansas,Big 12,END OF HALF,"{'minutes': 1, 'seconds': 10}",2,{},78,252462305,25246230515,Florida Atlantic,Sun Belt,2,False,2,"{'minutes': 1, 'seconds': 10}",74,-4,2005
15,Florida Atlantic,Sun Belt,FG GOOD,"{'minutes': 2, 'seconds': 39}",3,"{'minutes': 12, 'seconds': 21}",74,252462305,25246230516,Kansas,Big 12,8,True,3,{'minutes': 15},30,44,2005
