,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Florida International,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 29}",1,"{'minutes': 11, 'seconds': 31}",63,252532641,25253264101,Texas Tech,Big 12,9,False,1,{'minutes': 15},20,43,2005
1,Texas Tech,Big 12,PUNT,"{'minutes': 1, 'seconds': 48}",1,"{'minutes': 9, 'seconds': 43}",77,252532641,25253264102,Florida International,Sun Belt,3,False,1,"{'minutes': 11, 'seconds': 31}",80,3,2005
2,Florida International,Sun Belt,RUSHING TD,"{'minutes': 1, 'seconds': 19}",1,"{'minutes': 8, 'seconds': 24}",100,252532641,25253264103,Texas Tech,Big 12,6,True,1,"{'minutes': 9, 'seconds': 43}",40,60,2005
3,Texas Tech,Big 12,FUMBLE,"{'minutes': 2, 'seconds': 27}",1,"{'minutes': 5, 'seconds': 57}",54,252532641,25253264104,Florida International,Sun Belt,5,False,1,"{'minutes': 8, 'seconds': 24}",80,26,2005
4,Florida International,Sun Belt,PASSING TD,"{'minutes': 1, 'seconds': 50}",1,"{'minutes': 4, 'seconds': 7}",100,252532641,25253264105,Texas Tech,Big 12,4,True,1,"{'minutes': 5, 'seconds': 57}",54,46,2005
5,Texas Tech,Big 12,FUMBLE,"{'minutes': 3, 'seconds': 30}",1,{'seconds': 37},3,252532641,25253264106,Florida International,Sun Belt,10,False,1,"{'minutes': 4, 'seconds': 7}",65,62,2005
6,Florida International,Sun Belt,RUSHING TD,"{'minutes': 2, 'seconds': 55}",2,"{'minutes': 12, 'seconds': 17}",100,252532641,25253264107,Texas Tech,Big 12,12,True,1,{'seconds': 37},3,97,2005
7,Texas Tech,Big 12,FG GOOD,"{'minutes': 5, 'seconds': 28}",2,"{'minutes': 6, 'seconds': 49}",19,252532641,25253264108,Florida International,Sun Belt,15,True,2,"{'minutes': 12, 'seconds': 17}",80,61,2005
8,Florida International,Sun Belt,PASSING TD,"{'minutes': 2, 'seconds': 11}",2,"{'minutes': 4, 'seconds': 38}",100,252532641,25253264109,Texas Tech,Big 12,4,True,2,"{'minutes': 6, 'seconds': 49}",20,80,2005
9,Texas Tech,Big 12,Uncategorized,"{'minutes': -7, 'seconds': -26}",2,"{'minutes': 12, 'seconds': 4}",15,252532641,25253264110,Florida International,Sun Belt,10,False,2,"{'minutes': 4, 'seconds': 38}",50,-35,2005
10,Florida International,Sun Belt,END OF HALF,"{'minutes': 12, 'seconds': 4}",2,{},63,252532641,25253264111,Texas Tech,Big 12,6,False,2,"{'minutes': 12, 'seconds': 4}",15,48,2005
11,Texas Tech,Big 12,PUNT,"{'minutes': 2, 'seconds': 52}",3,"{'minutes': 12, 'seconds': 8}",54,252532641,25253264112,Florida International,Sun Belt,7,False,3,{'minutes': 15},80,26,2005
