,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Weber State,,RUSHING TD,"{'minutes': 5, 'seconds': 2}",1,"{'minutes': 9, 'seconds': 52}",100,252530278,25253027801,Fresno State,Western Athletic,10,True,1,"{'minutes': 14, 'seconds': 54}",28,72,2005
1,Fresno State,Western Athletic,INT,{'seconds': 7},1,"{'minutes': 9, 'seconds': 45}",80,252530278,25253027802,Weber State,,1,False,1,"{'minutes': 9, 'seconds': 52}",80,0,2005
2,Weber State,,PASSING TD,{'seconds': 7},1,"{'minutes': 9, 'seconds': 38}",100,252530278,25253027803,Fresno State,Western Athletic,1,True,1,"{'minutes': 9, 'seconds': 45}",71,29,2005
3,Fresno State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 48}",1,"{'minutes': 7, 'seconds': 50}",77,252530278,25253027804,Weber State,,3,False,1,"{'minutes': 9, 'seconds': 38}",80,3,2005
4,Weber State,,RUSHING TD,"{'minutes': 2, 'seconds': 10}",1,"{'minutes': 5, 'seconds': 40}",100,252530278,25253027805,Fresno State,Western Athletic,5,True,1,"{'minutes': 7, 'seconds': 50}",35,65,2005
5,Fresno State,Western Athletic,FG GOOD,"{'minutes': 7, 'seconds': 4}",2,"{'minutes': 13, 'seconds': 27}",5,252530278,25253027806,Weber State,,16,True,1,"{'minutes': 5, 'seconds': 40}",93,88,2005
6,Weber State,,PASSING TD,"{'minutes': 2, 'seconds': 59}",2,"{'minutes': 10, 'seconds': 28}",100,252530278,25253027807,Fresno State,Western Athletic,6,True,2,"{'minutes': 13, 'seconds': 27}",26,74,2005
7,Fresno State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 45}",2,"{'minutes': 8, 'seconds': 43}",79,252530278,25253027808,Weber State,,3,False,2,"{'minutes': 10, 'seconds': 28}",78,-1,2005
8,Weber State,,FG MISSED,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 7, 'seconds': 12}",64,252530278,25253027809,Fresno State,Western Athletic,4,False,2,"{'minutes': 8, 'seconds': 43}",61,3,2005
9,Fresno State,Western Athletic,PUNT,{'seconds': 42},2,"{'minutes': 6, 'seconds': 30}",57,252530278,25253027810,Weber State,,3,True,2,"{'minutes': 7, 'seconds': 12}",64,7,2005
10,Weber State,,PUNT RETURN TD,{},2,"{'minutes': 6, 'seconds': 30}",100,252530278,25253027811,Fresno State,Western Athletic,1,True,2,"{'minutes': 6, 'seconds': 30}",97,96,2005
11,Fresno State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 22}",2,"{'minutes': 5, 'seconds': 8}",79,252530278,25253027812,Weber State,,3,False,2,"{'minutes': 6, 'seconds': 30}",85,6,2005
12,Weber State,,RUSHING TD,"{'minutes': 2, 'seconds': 19}",2,"{'minutes': 2, 'seconds': 49}",100,252530278,25253027813,Fresno State,Western Athletic,5,True,2,"{'minutes': 5, 'seconds': 8}",63,37,2005
13,Fresno State,Western Athletic,PASSING TD,"{'minutes': 2, 'seconds': 29}",2,{'seconds': 20},0,252530278,25253027814,Weber State,,7,True,2,"{'minutes': 2, 'seconds': 49}",67,67,2005
14,Weber State,,END OF HALF,{'seconds': 20},2,{},19,252530278,25253027815,Fresno State,Western Athletic,1,False,2,{'seconds': 20},20,-1,2005
15,Fresno State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 11}",3,"{'minutes': 13, 'seconds': 39}",90,252530278,25253027816,Weber State,,3,False,3,"{'minutes': 14, 'seconds': 50}",90,0,2005
16,Weber State,,PUNT,"{'minutes': 1, 'seconds': 56}",3,"{'minutes': 11, 'seconds': 43}",62,252530278,25253027817,Fresno State,Western Athletic,3,False,3,"{'minutes': 13, 'seconds': 39}",59,3,2005
17,Fresno State,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 44}",3,"{'minutes': 8, 'seconds': 59}",52,252530278,25253027818,Weber State,,6,True,3,"{'minutes': 11, 'seconds': 43}",95,43,2005
