,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
0,Georgia,SEC,PUNT,{'seconds': 56},1.0,"{'minutes': 14, 'seconds': 4}",84.0,282430061.0,28243006101,Georgia Southern,,3.0,False,2008,1.0,{'minutes': 15},80.0,-4.0
1,Georgia Southern,,RUSHING TD,"{'minutes': 1, 'seconds': 44}",1.0,"{'minutes': 12, 'seconds': 20}",100.0,282430061.0,28243006102,Georgia,SEC,5.0,True,2008,1.0,"{'minutes': 14, 'seconds': 4}",43.0,57.0
2,Georgia,SEC,PUNT,"{'minutes': 1, 'seconds': 51}",1.0,"{'minutes': 10, 'seconds': 29}",70.0,282430061.0,28243006103,Georgia Southern,,3.0,False,2008,1.0,"{'minutes': 12, 'seconds': 20}",76.0,6.0
3,Georgia Southern,,FG GOOD,"{'minutes': 2, 'seconds': 4}",1.0,"{'minutes': 8, 'seconds': 25}",64.0,282430061.0,28243006104,Georgia,SEC,4.0,True,2008,1.0,"{'minutes': 10, 'seconds': 29}",59.0,5.0
4,Georgia,SEC,FG MISSED,"{'minutes': 5, 'seconds': 3}",1.0,"{'minutes': 3, 'seconds': 22}",19.0,282430061.0,28243006105,Georgia Southern,,9.0,False,2008,1.0,"{'minutes': 8, 'seconds': 25}",52.0,33.0
5,Georgia Southern,,FUMBLE,{'seconds': 20},1.0,"{'minutes': 3, 'seconds': 2}",35.0,282430061.0,28243006106,Georgia,SEC,3.0,False,2008,1.0,"{'minutes': 3, 'seconds': 22}",20.0,15.0
6,Georgia,SEC,INT,"{'minutes': 3, 'seconds': 45}",2.0,"{'minutes': 14, 'seconds': 17}",10.0,282430061.0,28243006107,Georgia Southern,,9.0,False,2008,1.0,"{'minutes': 3, 'seconds': 2}",35.0,25.0
7,Georgia Southern,,PASSING TD,"{'minutes': 1, 'seconds': 39}",2.0,"{'minutes': 12, 'seconds': 38}",100.0,282430061.0,28243006108,Georgia,SEC,4.0,True,2008,2.0,"{'minutes': 14, 'seconds': 17}",20.0,80.0
8,Georgia,SEC,PUNT,"{'minutes': 3, 'seconds': 53}",2.0,"{'minutes': 8, 'seconds': 45}",42.0,282430061.0,28243006109,Georgia Southern,,9.0,False,2008,2.0,"{'minutes': 12, 'seconds': 38}",76.0,34.0
9,Georgia Southern,,PUNT,"{'minutes': 3, 'seconds': 54}",2.0,"{'minutes': 4, 'seconds': 51}",50.0,282430061.0,28243006110,Georgia,SEC,8.0,False,2008,2.0,"{'minutes': 8, 'seconds': 45}",1.0,49.0
10,Georgia,SEC,PUNT,"{'minutes': 1, 'seconds': 50}",2.0,"{'minutes': 3, 'seconds': 1}",75.0,282430061.0,28243006111,Georgia Southern,,3.0,False,2008,2.0,"{'minutes': 4, 'seconds': 51}",82.0,7.0
11,Georgia Southern,,RUSHING TD,"{'minutes': 2, 'seconds': 37}",2.0,{'seconds': 24},100.0,282430061.0,28243006112,Georgia,SEC,7.0,True,2008,2.0,"{'minutes': 3, 'seconds': 1}",28.0,80.0
12,Georgia,SEC,END OF HALF,{'seconds': 24},2.0,{},71.0,282430061.0,28243006113,Georgia Southern,,1.0,False,2008,2.0,{'seconds': 24},73.0,2.0
13,Georgia Southern,,RUSHING TD,{'seconds': 46},3.0,"{'minutes': 14, 'seconds': 14}",100.0,282430061.0,28243006114,Georgia,SEC,2.0,True,2008,3.0,{'minutes': 15},29.0,71.0
14,Georgia,SEC,PUNT,"{'minutes': 1, 'seconds': 33}",3.0,"{'minutes': 12, 'seconds': 41}",63.0,282430061.0,28243006115,Georgia Southern,,3.0,False,2008,3.0,"{'minutes': 14, 'seconds': 14}",70.0,7.0
15,Georgia Southern,,PUNT,"{'minutes': 1, 'seconds': 33}",3.0,"{'minutes': 11, 'seconds': 8}",37.0,282430061.0,28243006116,Georgia,SEC,3.0,False,2008,3.0,"{'minutes': 12, 'seconds': 41}",33.0,4.0
16,Georgia,SEC,PUNT,"{'minutes': 3, 'seconds': 25}",3.0,"{'minutes': 7, 'seconds': 43}",65.0,282430061.0,28243006117,Georgia Southern,,5.0,False,2008,3.0,"{'minutes': 11, 'seconds': 8}",80.0,15.0
