,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
0,Georgia State,,PASSING TD,"{'minutes': 3, 'seconds': 19}",1.0,"{'minutes': 11, 'seconds': 41}",100.0,303220333.0,30322033301,Alabama,SEC,8.0,True,2010,1.0,{'minutes': 15},33.0,67.0
1,Alabama,SEC,INT,"{'minutes': 2, 'seconds': 37}",1.0,"{'minutes': 9, 'seconds': 4}",21.0,303220333.0,30322033302,Georgia State,,4.0,False,2010,1.0,"{'minutes': 11, 'seconds': 41}",85.0,46.0
2,Georgia State,,RUSHING TD,"{'minutes': 5, 'seconds': 9}",1.0,"{'minutes': 3, 'seconds': 55}",100.0,303220333.0,30322033303,Alabama,SEC,11.0,True,2010,1.0,"{'minutes': 9, 'seconds': 4}",29.0,71.0
3,Alabama,SEC,PUNT,{'seconds': 52},1.0,"{'minutes': 3, 'seconds': 3}",13.0,303220333.0,30322033304,Georgia State,,3.0,False,2010,1.0,"{'minutes': 3, 'seconds': 55}",86.0,-1.0
4,Georgia State,,FG MISSED,"{'minutes': 2, 'seconds': 34}",1.0,{'seconds': 29},86.0,303220333.0,30322033305,Alabama,SEC,5.0,False,2010,1.0,"{'minutes': 3, 'seconds': 3}",38.0,26.0
5,Alabama,SEC,INT TD,"{'minutes': 1, 'seconds': 20}",2.0,"{'minutes': 14, 'seconds': 9}",100.0,303220333.0,30322033306,Georgia State,,3.0,True,2010,1.0,{'seconds': 29},63.0,4.0
6,Alabama,SEC,PUNT,"{'minutes': 2, 'seconds': 20}",2.0,"{'minutes': 11, 'seconds': 49}",22.0,303220333.0,30322033307,Georgia State,,3.0,False,2010,2.0,"{'minutes': 14, 'seconds': 9}",74.0,2.0
7,Georgia State,,PASSING TD,"{'minutes': 1, 'seconds': 52}",2.0,"{'minutes': 9, 'seconds': 57}",100.0,303220333.0,30322033308,Alabama,SEC,4.0,True,2010,2.0,"{'minutes': 11, 'seconds': 49}",28.0,72.0
8,Alabama,SEC,PUNT RETURN TD,"{'minutes': 2, 'seconds': 49}",2.0,"{'minutes': 7, 'seconds': 8}",100.0,303220333.0,30322033309,Georgia State,,5.0,True,2010,2.0,"{'minutes': 9, 'seconds': 57}",85.0,22.0
9,Georgia State,,RUSHING TD,"{'minutes': 7, 'seconds': 8}",2.0,{},100.0,303220333.0,30322033310,Alabama,SEC,4.0,True,2010,2.0,"{'minutes': 7, 'seconds': 8}",65.0,35.0
10,Alabama,SEC,TD,{},0.0,{},97.0,303220333.0,30322033311,Georgia State,,4.0,True,2010,0.0,{},3.0,97.0
11,Georgia State,,FG MISSED,"{'minutes': 5, 'seconds': 2}",2.0,{},70.0,303220333.0,30322033312,Alabama,SEC,11.0,False,2010,2.0,"{'minutes': 5, 'seconds': 2}",31.0,60.0
12,Alabama,SEC,END OF HALF,{},2.0,{},80.0,303220333.0,30322033313,Georgia State,,0.0,False,2010,2.0,{},80.0,0.0
13,Alabama,SEC,INT,"{'minutes': 1, 'seconds': 6}",3.0,"{'minutes': 13, 'seconds': 54}",66.0,303220333.0,30322033314,Georgia State,,3.0,False,2010,3.0,{'minutes': 15},78.0,-10.0
14,Georgia State,,PASSING TD,"{'minutes': 4, 'seconds': 2}",3.0,"{'minutes': 9, 'seconds': 52}",100.0,303220333.0,30322033315,Alabama,SEC,7.0,True,2010,3.0,"{'minutes': 13, 'seconds': 54}",66.0,34.0
15,Alabama,SEC,INT,"{'minutes': 1, 'seconds': 43}",3.0,"{'minutes': 8, 'seconds': 9}",81.0,303220333.0,30322033316,Georgia State,,5.0,False,2010,3.0,"{'minutes': 9, 'seconds': 52}",74.0,14.0
16,Georgia State,,RUSHING TD,"{'minutes': 1, 'seconds': 55}",3.0,"{'minutes': 6, 'seconds': 14}",100.0,303220333.0,30322033317,Alabama,SEC,4.0,True,2010,3.0,"{'minutes': 8, 'seconds': 9}",81.0,19.0
17,Alabama,SEC,TURNOVER ON DOWNS,"{'minutes': 5, 'seconds': 29}",3.0,{'seconds': 45},50.0,303220333.0,30322033318,Georgia State,,10.0,False,2010,3.0,"{'minutes': 6, 'seconds': 14}",72.0,22.0
18,Georgia State,,END OF GAME,{'seconds': 45},3.0,{},86.0,303220333.0,30322033319,Alabama,SEC,3.0,True,2010,3.0,{'seconds': 45},50.0,14.0
19,Alabama,SEC,PUNT,"{'minutes': 2, 'seconds': 25}",4.0,"{'minutes': 12, 'seconds': 25}",6.0,303220333.0,30322033320,Georgia State,,3.0,False,2010,4.0,"{'minutes': 14, 'seconds': 50}",74.0,-1.0
20,Georgia State,,PUNT,"{'minutes': 4, 'seconds': 31}",4.0,"{'minutes': 7, 'seconds': 54}",62.0,303220333.0,30322033321,Alabama,SEC,6.0,False,2010,4.0,"{'minutes': 12, 'seconds': 25}",44.0,16.0
21,Alabama,SEC,PUNT,"{'minutes': 1, 'seconds': 52}",4.0,"{'minutes': 6, 'seconds': 2}",51.0,303220333.0,30322033322,Georgia State,,3.0,False,2010,4.0,"{'minutes': 7, 'seconds': 54}",88.0,-1.0
22,Georgia State,,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 20}",4.0,"{'minutes': 3, 'seconds': 42}",90.0,303220333.0,30322033323,Alabama,SEC,4.0,False,2010,4.0,"{'minutes': 6, 'seconds': 2}",51.0,9.0
23,Alabama,SEC,END OF HALF,"{'minutes': 3, 'seconds': 42}",4.0,{},28.0,303220333.0,30322033324,Georgia State,,7.0,False,2010,4.0,"{'minutes': 3, 'seconds': 42}",60.0,38.0
24,Houston,Conference USA,PUNT,{'minutes': 1},1.0,{'minutes': 14},88.0,312670248.0,31267024801,Georgia State,,3.0,False,2011,1.0,{'minutes': 15},91.0,3.0
25,Georgia State,,PASSING TD,"{'minutes': 1, 'seconds': 51}",1.0,"{'minutes': 12, 'seconds': 9}",100.0,312670248.0,31267024802,Houston,Conference USA,6.0,True,2011,1.0,{'minutes': 14},48.0,52.0
26,Houston,Conference USA,PUNT,{},1.0,"{'minutes': 12, 'seconds': 9}",81.0,312670248.0,31267024803,Georgia State,,3.0,False,2011,1.0,"{'minutes': 12, 'seconds': 9}",80.0,-1.0
27,Georgia State,,PUNT,"{'minutes': 1, 'seconds': 36}",1.0,"{'minutes': 10, 'seconds': 33}",54.0,312670248.0,31267024804,Houston,Conference USA,3.0,False,2011,1.0,"{'minutes': 12, 'seconds': 9}",50.0,4.0
28,Houston,Conference USA,PUNT,{'seconds': 46},1.0,"{'minutes': 9, 'seconds': 47}",81.0,312670248.0,31267024805,Georgia State,,3.0,False,2011,1.0,"{'minutes': 10, 'seconds': 33}",83.0,2.0
29,Georgia State,,RUSHING TD,"{'minutes': 3, 'seconds': 1}",1.0,"{'minutes': 6, 'seconds': 46}",100.0,312670248.0,31267024806,Houston,Conference USA,6.0,True,2011,1.0,"{'minutes': 9, 'seconds': 47}",48.0,52.0
30,Houston,Conference USA,PUNT,"{'minutes': 3, 'seconds': 13}",1.0,"{'minutes': 3, 'seconds': 33}",54.0,312670248.0,31267024807,Georgia State,,5.0,False,2011,1.0,"{'minutes': 6, 'seconds': 46}",86.0,32.0
31,Georgia State,,PASSING TD,"{'minutes': 3, 'seconds': 33}",1.0,{},100.0,312670248.0,31267024808,Houston,Conference USA,10.0,True,2011,1.0,"{'minutes': 3, 'seconds': 33}",20.0,80.0
32,Houston,Conference USA,PUNT,{},2.0,{'minutes': 15},78.0,312670248.0,31267024809,Georgia State,,3.0,False,2011,2.0,{'minutes': 15},80.0,2.0
33,Georgia State,,RUSHING TD,"{'minutes': 3, 'seconds': 1}",2.0,"{'minutes': 11, 'seconds': 59}",100.0,312670248.0,31267024810,Houston,Conference USA,7.0,True,2011,2.0,{'minutes': 15},40.0,60.0
34,Houston,Conference USA,PUNT,"{'minutes': 3, 'seconds': 50}",2.0,"{'minutes': 8, 'seconds': 9}",36.0,312670248.0,31267024811,Georgia State,,6.0,False,2011,2.0,"{'minutes': 11, 'seconds': 59}",71.0,35.0
35,Georgia State,,FUMBLE,{'seconds': 11},2.0,"{'minutes': 7, 'seconds': 58}",74.0,312670248.0,31267024812,Houston,Conference USA,5.0,False,2011,2.0,"{'minutes': 8, 'seconds': 9}",20.0,54.0
36,Houston,Conference USA,PUNT,"{'minutes': 1, 'seconds': 38}",2.0,"{'minutes': 6, 'seconds': 20}",75.0,312670248.0,31267024813,Georgia State,,3.0,False,2011,2.0,"{'minutes': 7, 'seconds': 58}",74.0,-1.0
37,Georgia State,,RUSHING TD,"{'minutes': 4, 'seconds': 13}",2.0,"{'minutes': 2, 'seconds': 7}",45.0,312670248.0,31267024814,Houston,Conference USA,8.0,True,2011,2.0,"{'minutes': 6, 'seconds': 20}",29.0,71.0
38,Houston,Conference USA,END OF HALF,"{'minutes': 2, 'seconds': 7}",2.0,{},60.0,312670248.0,31267024815,Georgia State,,6.0,False,2011,2.0,"{'minutes': 2, 'seconds': 7}",87.0,27.0
39,Georgia State,,TURNOVER ON DOWNS,{},3.0,{'minutes': 15},85.0,312670248.0,31267024816,Houston,Conference USA,9.0,False,2011,3.0,{'minutes': 15},38.0,47.0
40,Houston,Conference USA,PUNT,"{'minutes': 4, 'seconds': 36}",3.0,"{'minutes': 10, 'seconds': 24}",80.0,312670248.0,31267024817,Georgia State,,3.0,False,2011,3.0,{'minutes': 15},85.0,5.0
41,Georgia State,,FUMBLE,{},3.0,"{'minutes': 10, 'seconds': 24}",60.0,312670248.0,31267024818,Houston,Conference USA,4.0,False,2011,3.0,"{'minutes': 10, 'seconds': 24}",14.0,46.0
42,Houston,Conference USA,FUMBLE,"{'minutes': 2, 'seconds': 21}",3.0,"{'minutes': 8, 'seconds': 3}",39.0,312670248.0,31267024819,Georgia State,,3.0,False,2011,3.0,"{'minutes': 10, 'seconds': 24}",37.0,-2.0
43,Georgia State,,RUSHING TD,{'seconds': 30},3.0,"{'minutes': 7, 'seconds': 33}",100.0,312670248.0,31267024820,Houston,Conference USA,2.0,True,2011,3.0,"{'minutes': 8, 'seconds': 3}",39.0,61.0
44,Houston,Conference USA,INT,"{'minutes': 2, 'seconds': 21}",3.0,"{'minutes': 5, 'seconds': 12}",10.0,312670248.0,31267024821,Georgia State,,6.0,False,2011,3.0,"{'minutes': 7, 'seconds': 33}",79.0,69.0
45,Georgia State,,RUSHING TD,"{'minutes': 3, 'seconds': 43}",3.0,"{'minutes': 1, 'seconds': 29}",100.0,312670248.0,31267024822,Houston,Conference USA,10.0,True,2011,3.0,"{'minutes': 5, 'seconds': 12}",28.0,72.0
46,Houston,Conference USA,PUNT,"{'minutes': 3, 'seconds': 25}",4.0,"{'minutes': 13, 'seconds': 4}",49.0,312670248.0,31267024823,Georgia State,,6.0,False,2011,3.0,"{'minutes': 1, 'seconds': 29}",81.0,32.0
47,Georgia State,,PASSING TD,"{'minutes': 3, 'seconds': 19}",4.0,"{'minutes': 9, 'seconds': 45}",100.0,312670248.0,31267024824,Houston,Conference USA,9.0,True,2011,4.0,"{'minutes': 13, 'seconds': 4}",20.0,80.0
48,Houston,Conference USA,TURNOVER ON DOWNS,{'minutes': 4},4.0,"{'minutes': 5, 'seconds': 45}",45.0,312670248.0,31267024825,Georgia State,,9.0,False,2011,4.0,"{'minutes': 9, 'seconds': 45}",80.0,35.0
49,Georgia State,,PUNT,{'seconds': 49},4.0,"{'minutes': 4, 'seconds': 56}",38.0,312670248.0,31267024826,Houston,Conference USA,3.0,False,2011,4.0,"{'minutes': 5, 'seconds': 45}",45.0,-7.0
50,Houston,Conference USA,PUNT,{},4.0,"{'minutes': 4, 'seconds': 56}",76.0,312670248.0,31267024827,Georgia State,,3.0,False,2011,4.0,"{'minutes': 4, 'seconds': 56}",84.0,8.0
51,Georgia State,,END OF GAME,"{'minutes': 4, 'seconds': 56}",4.0,{},89.0,312670248.0,31267024828,Houston,Conference USA,7.0,False,2011,4.0,"{'minutes': 4, 'seconds': 56}",66.0,23.0
52,Georgia State,,RUSHING TD,"{'minutes': 4, 'seconds': 14}",1.0,"{'minutes': 10, 'seconds': 46}",100.0,322522633.0,32252263301,Tennessee,SEC,13.0,True,2012,1.0,{'minutes': 15},22.0,78.0
53,Tennessee,SEC,FG GOOD,"{'minutes': 6, 'seconds': 40}",1.0,"{'minutes': 4, 'seconds': 6}",15.0,322522633.0,32252263302,Georgia State,,14.0,True,2012,1.0,"{'minutes': 10, 'seconds': 46}",75.0,60.0
