,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Georgia,SEC,INT,{'seconds': 7},1,"{'minutes': 14, 'seconds': 46}",75,252460061,25246006101,Boise State,Western Athletic,1,False,1,"{'minutes': 14, 'seconds': 53}",75,0,2005
1,Boise State,Western Athletic,RUSHING TD,"{'minutes': 1, 'seconds': 57}",1,"{'minutes': 12, 'seconds': 49}",100,252460061,25246006102,Georgia,SEC,4,True,1,"{'minutes': 14, 'seconds': 46}",65,35,2005
2,Georgia,SEC,INT,"{'minutes': 2, 'seconds': 40}",1,"{'minutes': 10, 'seconds': 9}",47,252460061,25246006103,Boise State,Western Athletic,5,False,1,"{'minutes': 12, 'seconds': 49}",72,25,2005
3,Boise State,Western Athletic,PASSING TD,"{'minutes': 1, 'seconds': 21}",1,"{'minutes': 8, 'seconds': 48}",100,252460061,25246006104,Georgia,SEC,4,True,1,"{'minutes': 10, 'seconds': 9}",38,62,2005
4,Georgia,SEC,PUNT,"{'minutes': 2, 'seconds': 15}",1,"{'minutes': 6, 'seconds': 33}",60,252460061,25246006105,Boise State,Western Athletic,5,False,1,"{'minutes': 8, 'seconds': 48}",76,16,2005
5,Georgia,SEC,FUMBLE,{'seconds': 55},1,"{'minutes': 5, 'seconds': 38}",20,252460061,25246006107,Boise State,Western Athletic,2,False,1,"{'minutes': 6, 'seconds': 33}",24,4,2005
6,Boise State,Western Athletic,PUNT,"{'minutes': 3, 'seconds': 14}",1,"{'minutes': 2, 'seconds': 24}",35,252460061,25246006108,Georgia,SEC,6,False,1,"{'minutes': 5, 'seconds': 38}",20,15,2005
7,Georgia,SEC,PUNT,"{'minutes': 3, 'seconds': 42}",2,"{'minutes': 13, 'seconds': 42}",66,252460061,25246006109,Boise State,Western Athletic,6,False,1,"{'minutes': 2, 'seconds': 24}",85,19,2005
8,Boise State,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 12}",2,"{'minutes': 11, 'seconds': 30}",50,252460061,25246006110,Georgia,SEC,5,False,2,"{'minutes': 13, 'seconds': 42}",76,-26,2005
9,Georgia,SEC,INT,"{'minutes': 1, 'seconds': 15}",2,"{'minutes': 10, 'seconds': 15}",59,252460061,25246006111,Boise State,Western Athletic,4,False,2,"{'minutes': 11, 'seconds': 30}",79,20,2005
10,Boise State,Western Athletic,FG GOOD,"{'minutes': 1, 'seconds': 44}",2,"{'minutes': 8, 'seconds': 31}",74,252460061,25246006112,Georgia,SEC,4,True,2,"{'minutes': 10, 'seconds': 15}",59,15,2005
11,Georgia,SEC,INT,"{'minutes': 2, 'seconds': 58}",2,"{'minutes': 5, 'seconds': 33}",38,252460061,25246006113,Boise State,Western Athletic,8,False,2,"{'minutes': 8, 'seconds': 31}",72,34,2005
12,Boise State,Western Athletic,PUNT,"{'minutes': 4, 'seconds': 7}",2,"{'minutes': 1, 'seconds': 26}",49,252460061,25246006114,Georgia,SEC,7,False,2,"{'minutes': 5, 'seconds': 33}",19,30,2005
13,Georgia,SEC,FUMBLE,{'seconds': 38},2,{'seconds': 48},81,252460061,25246006115,Boise State,Western Athletic,3,False,2,"{'minutes': 1, 'seconds': 26}",80,-1,2005
14,Boise State,Western Athletic,PASSING TD,{'seconds': 15},2,{'seconds': 33},100,252460061,25246006116,Georgia,SEC,1,True,2,{'seconds': 48},81,19,2005
15,Georgia,SEC,END OF HALF,{'seconds': 33},2,{},54,252460061,25246006117,Boise State,Western Athletic,3,False,2,{'seconds': 33},71,17,2005
16,Boise State,Western Athletic,PASSING TD,"{'minutes': 1, 'seconds': 28}",3,"{'minutes': 13, 'seconds': 22}",100,252460061,25246006118,Georgia,SEC,3,True,3,"{'minutes': 14, 'seconds': 50}",32,68,2005
17,Georgia,SEC,PUNT,"{'minutes': 1, 'seconds': 54}",3,"{'minutes': 11, 'seconds': 28}",62,252460061,25246006119,Boise State,Western Athletic,3,False,3,"{'minutes': 13, 'seconds': 22}",68,6,2005
