,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Illinois,Big Ten,FG MISSED,"{'minutes': 4, 'seconds': 46}",1,"{'minutes': 10, 'seconds': 14}",17,252460356,25246035601,Rutgers,Big East,10,False,1,{'minutes': 15},80,63,2005
1,Rutgers,Big East,PUNT,"{'minutes': 1, 'seconds': 4}",1,"{'minutes': 9, 'seconds': 10}",11,252460356,25246035602,Illinois,Big Ten,3,False,1,"{'minutes': 10, 'seconds': 14}",20,-9,2005
2,Illinois,Big Ten,FG GOOD,"{'minutes': 1, 'seconds': 46}",1,"{'minutes': 7, 'seconds': 24}",4,252460356,25246035603,Rutgers,Big East,6,True,1,"{'minutes': 9, 'seconds': 10}",47,43,2005
3,Rutgers,Big East,INT,"{'minutes': 1, 'seconds': 7}",1,"{'minutes': 6, 'seconds': 17}",55,252460356,25246035604,Illinois,Big Ten,5,False,1,"{'minutes': 7, 'seconds': 24}",40,15,2005
4,Illinois,Big Ten,FG MISSED,"{'minutes': 2, 'seconds': 20}",1,"{'minutes': 3, 'seconds': 57}",26,252460356,25246035605,Rutgers,Big East,4,False,1,"{'minutes': 6, 'seconds': 17}",34,8,2005
5,Rutgers,Big East,PASSING TD,"{'minutes': 3, 'seconds': 17}",1,{'seconds': 40},100,252460356,25246035606,Illinois,Big Ten,11,True,1,"{'minutes': 3, 'seconds': 57}",26,74,2005
6,Illinois,Big Ten,PASSING TD,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 14, 'seconds': 9}",0,252460356,25246035607,Rutgers,Big East,4,True,1,{'seconds': 40},80,80,2005
7,Rutgers,Big East,PUNT,{'seconds': 56},2,"{'minutes': 13, 'seconds': 13}",19,252460356,25246035608,Illinois,Big Ten,3,False,2,"{'minutes': 14, 'seconds': 9}",14,5,2005
8,Illinois,Big Ten,FG GOOD,"{'minutes': 3, 'seconds': 53}",2,"{'minutes': 9, 'seconds': 20}",8,252460356,25246035609,Rutgers,Big East,8,True,2,"{'minutes': 13, 'seconds': 13}",67,59,2005
9,Rutgers,Big East,INT,{'seconds': 45},2,"{'minutes': 8, 'seconds': 35}",34,252460356,25246035610,Illinois,Big Ten,3,False,2,"{'minutes': 9, 'seconds': 20}",20,14,2005
10,Illinois,Big Ten,PUNT,"{'minutes': 1, 'seconds': 51}",2,"{'minutes': 6, 'seconds': 44}",43,252460356,25246035611,Rutgers,Big East,3,False,2,"{'minutes': 8, 'seconds': 35}",50,7,2005
11,Rutgers,Big East,PUNT,"{'minutes': 2, 'seconds': 39}",2,"{'minutes': 4, 'seconds': 5}",5,252460356,25246035612,Illinois,Big Ten,3,False,2,"{'minutes': 6, 'seconds': 44}",3,2,2005
12,Illinois,Big Ten,PUNT,"{'minutes': 1, 'seconds': 43}",2,"{'minutes': 2, 'seconds': 22}",49,252460356,25246035613,Rutgers,Big East,3,False,2,"{'minutes': 4, 'seconds': 5}",45,-4,2005
13,Rutgers,Big East,FUMBLE,{'seconds': 56},2,"{'minutes': 1, 'seconds': 26}",81,252460356,25246035614,Illinois,Big Ten,1,False,2,"{'minutes': 2, 'seconds': 22}",13,-4,2005
14,Illinois,Big Ten,PASSING TD,{'seconds': 17},2,"{'minutes': 1, 'seconds': 9}",0,252460356,25246035615,Rutgers,Big East,1,True,2,"{'minutes': 1, 'seconds': 26}",19,19,2005
15,Rutgers,Big East,END OF HALF,"{'minutes': 1, 'seconds': 9}",2,{},17,252460356,25246035616,Illinois,Big Ten,3,False,2,"{'minutes': 1, 'seconds': 9}",20,-3,2005
16,Rutgers,Big East,PUNT,{'seconds': 50},3,"{'minutes': 14, 'seconds': 10}",40,252460356,25246035617,Illinois,Big Ten,8,False,3,{'minutes': 15},20,40,2005
17,Illinois,Big Ten,PASSING TD,"{'minutes': 3, 'seconds': 17}",3,"{'minutes': 10, 'seconds': 53}",0,252460356,25246035618,Rutgers,Big East,2,True,3,"{'minutes': 14, 'seconds': 10}",89,89,2005
18,Rutgers,Big East,FG GOOD,"{'minutes': 3, 'seconds': 50}",3,"{'minutes': 7, 'seconds': 3}",90,252460356,25246035619,Illinois,Big Ten,9,True,3,"{'minutes': 10, 'seconds': 53}",20,70,2005
19,Illinois,Big Ten,PUNT,"{'minutes': 3, 'seconds': 3}",3,{'minutes': 4},47,252460356,25246035620,Rutgers,Big East,8,False,3,"{'minutes': 7, 'seconds': 3}",76,29,2005
20,Rutgers,Big East,PUNT,"{'minutes': 2, 'seconds': 10}",3,"{'minutes': 1, 'seconds': 50}",25,252460356,25246035621,Illinois,Big Ten,3,False,3,{'minutes': 4},26,-1,2005
21,Illinois,Big Ten,FG MISSED,"{'minutes': 1, 'seconds': 45}",3,{'seconds': 5},29,252460356,25246035622,Rutgers,Big East,6,False,3,"{'minutes': 1, 'seconds': 50}",58,29,2005
22,Rutgers,Big East,FG GOOD,"{'minutes': 3, 'seconds': 11}",4,"{'minutes': 11, 'seconds': 54}",85,252460356,25246035623,Illinois,Big Ten,10,True,3,{'seconds': 5},29,56,2005
23,Illinois,Big Ten,PUNT,{'seconds': 45},4,"{'minutes': 11, 'seconds': 9}",73,252460356,25246035624,Rutgers,Big East,3,False,4,"{'minutes': 11, 'seconds': 54}",80,7,2005
24,Rutgers,Big East,PASSING TD,"{'minutes': 2, 'seconds': 29}",4,"{'minutes': 8, 'seconds': 40}",100,252460356,25246035625,Illinois,Big Ten,3,True,4,"{'minutes': 11, 'seconds': 9}",46,54,2005
25,Illinois,Big Ten,FG MISSED,"{'minutes': 4, 'seconds': 46}",4,"{'minutes': 3, 'seconds': 54}",26,252460356,25246035626,Rutgers,Big East,12,False,4,"{'minutes': 8, 'seconds': 40}",80,54,2005
26,Rutgers,Big East,PASSING TD,"{'minutes': 2, 'seconds': 41}",4,"{'minutes': 1, 'seconds': 13}",100,252460356,25246035627,Illinois,Big Ten,9,True,4,"{'minutes': 3, 'seconds': 54}",35,65,2005
27,Illinois,Big Ten,PUNT,{'seconds': 38},4,{'seconds': 35},84,252460356,25246035628,Rutgers,Big East,3,False,4,"{'minutes': 1, 'seconds': 13}",80,-4,2005
28,Rutgers,Big East,FG MISSED,{'seconds': 35},4,{},65,252460356,25246035629,Illinois,Big Ten,6,False,4,{'seconds': 35},39,26,2005
29,Rutgers,Big East,Uncategorized,{},4,{},130,252460356,25246035630,Illinois,Big Ten,10,True,4,{},25,65,2005
30,San José State,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 5}",1,"{'minutes': 12, 'seconds': 48}",43,252530356,25253035601,Illinois,Big Ten,3,False,1,"{'minutes': 14, 'seconds': 53}",48,-5,2005
31,Illinois,Big Ten,RUSHING TD,{'seconds': 57},1,"{'minutes': 11, 'seconds': 51}",0,252530356,25253035602,San José State,Western Athletic,3,True,1,"{'minutes': 12, 'seconds': 48}",19,19,2005
32,San José State,Western Athletic,RUSHING TD,"{'minutes': 3, 'seconds': 51}",1,{'minutes': 8},100,252530356,25253035603,Illinois,Big Ten,11,True,1,"{'minutes': 11, 'seconds': 51}",24,76,2005
