,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Iowa State,Big 12,FUMBLE,{'seconds': 44},1,"{'minutes': 14, 'seconds': 16}",44,252530066,25253006601,Iowa,Big Ten,3,False,1,{'minutes': 15},80,36,2005
1,Iowa,Big Ten,INT,"{'minutes': 2, 'seconds': 25}",1,"{'minutes': 11, 'seconds': 51}",74,252530066,25253006602,Iowa State,Big 12,8,False,1,"{'minutes': 14, 'seconds': 16}",44,30,2005
2,Iowa State,Big 12,PUNT,"{'minutes': 2, 'seconds': 28}",1,"{'minutes': 9, 'seconds': 23}",85,252530066,25253006603,Iowa,Big Ten,3,False,1,"{'minutes': 11, 'seconds': 51}",79,-6,2005
3,Iowa,Big Ten,PUNT,"{'minutes': 1, 'seconds': 2}",1,"{'minutes': 8, 'seconds': 21}",53,252530066,25253006604,Iowa State,Big 12,3,False,1,"{'minutes': 9, 'seconds': 23}",55,-2,2005
4,Iowa State,Big 12,FUMBLE,"{'minutes': 1, 'seconds': 6}",1,"{'minutes': 7, 'seconds': 15}",88,252530066,25253006605,Iowa,Big Ten,3,False,1,"{'minutes': 8, 'seconds': 21}",97,9,2005
5,Iowa,Big Ten,PASSING TD,{'seconds': 42},1,"{'minutes': 6, 'seconds': 33}",100,252530066,25253006606,Iowa State,Big 12,2,True,1,"{'minutes': 7, 'seconds': 15}",88,12,2005
6,Iowa State,Big 12,PUNT,"{'minutes': 2, 'seconds': 29}",1,"{'minutes': 4, 'seconds': 4}",52,252530066,25253006607,Iowa,Big Ten,6,False,1,"{'minutes': 6, 'seconds': 33}",80,28,2005
7,Iowa,Big Ten,PUNT,"{'minutes': 4, 'seconds': 4}",1,{},45,252530066,25253006608,Iowa State,Big 12,7,False,1,"{'minutes': 4, 'seconds': 4}",20,25,2005
8,Iowa State,Big 12,PUNT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 13, 'seconds': 29}",61,252530066,25253006609,Iowa,Big Ten,4,False,1,{},85,24,2005
9,Iowa,Big Ten,PUNT,"{'minutes': 2, 'seconds': 22}",2,"{'minutes': 11, 'seconds': 7}",41,252530066,25253006610,Iowa State,Big 12,5,False,2,"{'minutes': 13, 'seconds': 29}",24,17,2005
10,Iowa State,Big 12,INT,"{'minutes': 1, 'seconds': 45}",2,"{'minutes': 9, 'seconds': 22}",50,252530066,25253006611,Iowa,Big Ten,4,False,2,"{'minutes': 11, 'seconds': 7}",68,18,2005
11,Iowa,Big Ten,FG GOOD,"{'minutes': 5, 'seconds': 16}",2,"{'minutes': 4, 'seconds': 6}",88,252530066,25253006612,Iowa State,Big 12,11,True,2,"{'minutes': 9, 'seconds': 22}",46,42,2005
12,Iowa State,Big 12,END OF HALF,{'seconds': 55},2,"{'minutes': 3, 'seconds': 11}",0,252530066,25253006613,Iowa,Big Ten,0,True,2,"{'minutes': 4, 'seconds': 6}",83,-3,2005
13,Iowa,Big Ten,INT RETURN TOUCH,{'seconds': 5},2,"{'minutes': 3, 'seconds': 6}",100,252530066,25253006614,Iowa State,Big 12,1,True,2,"{'minutes': 3, 'seconds': 11}",97,28,2005
14,Iowa State,Big 12,PUNT,"{'minutes': 1, 'seconds': 5}",2,"{'minutes': 2, 'seconds': 1}",85,252530066,25253006615,Iowa,Big Ten,3,False,2,"{'minutes': 3, 'seconds': 6}",91,6,2005
15,Iowa,Big Ten,PUNT,{'seconds': 32},2,"{'minutes': 1, 'seconds': 29}",43,252530066,25253006616,Iowa State,Big 12,3,False,2,"{'minutes': 2, 'seconds': 1}",34,9,2005
16,Iowa State,Big 12,PUNT,{'seconds': 32},2,{'seconds': 57},57,252530066,25253006617,Iowa,Big Ten,3,False,2,"{'minutes': 1, 'seconds': 29}",66,9,2005
17,Iowa,Big Ten,END OF HALF,{'seconds': 57},2,{},18,252530066,25253006618,Iowa State,Big 12,2,False,2,{'seconds': 57},20,-2,2005
18,Iowa,Big Ten,PUNT,{'minutes': 2},3,{'minutes': 13},32,252530066,25253006619,Iowa State,Big 12,4,False,3,{'minutes': 15},20,12,2005
19,Iowa State,Big 12,FG GOOD,"{'minutes': 2, 'seconds': 16}",3,"{'minutes': 10, 'seconds': 44}",26,252530066,25253006620,Iowa,Big Ten,6,True,3,{'minutes': 13},60,34,2005
20,Iowa,Big Ten,PUNT,"{'minutes': 1, 'seconds': 35}",3,"{'minutes': 9, 'seconds': 9}",26,252530066,25253006621,Iowa State,Big 12,3,False,3,"{'minutes': 10, 'seconds': 44}",20,6,2005
21,Iowa State,Big 12,PUNT,"{'minutes': 2, 'seconds': 16}",3,"{'minutes': 6, 'seconds': 53}",72,252530066,25253006622,Iowa,Big Ten,7,False,3,"{'minutes': 9, 'seconds': 9}",97,25,2005
22,Iowa,Big Ten,FG MISSED,"{'minutes': 5, 'seconds': 55}",3,{'seconds': 58},80,252530066,25253006623,Iowa State,Big 12,13,False,3,"{'minutes': 6, 'seconds': 53}",22,58,2005
23,Iowa State,Big 12,PUNT,{'seconds': 51},3,{'seconds': 7},70,252530066,25253006624,Iowa,Big Ten,4,False,3,{'seconds': 58},80,10,2005
24,Iowa,Big Ten,PUNT,"{'minutes': 3, 'seconds': 41}",4,"{'minutes': 11, 'seconds': 26}",59,252530066,25253006625,Iowa State,Big 12,8,False,3,{'seconds': 7},37,22,2005
25,Iowa State,Big 12,FUMBLE,"{'minutes': 3, 'seconds': 9}",4,"{'minutes': 8, 'seconds': 17}",20,252530066,25253006626,Iowa,Big Ten,11,False,4,"{'minutes': 11, 'seconds': 26}",80,60,2005
26,Iowa,Big Ten,RUSHING TD,"{'minutes': 4, 'seconds': 27}",4,"{'minutes': 3, 'seconds': 50}",100,252530066,25253006627,Iowa State,Big 12,9,True,4,"{'minutes': 8, 'seconds': 17}",20,80,2005
27,Iowa State,Big 12,END OF GAME,"{'minutes': 1, 'seconds': 22}",4,"{'minutes': 2, 'seconds': 28}",43,252530066,25253006628,Iowa,Big Ten,9,False,4,"{'minutes': 3, 'seconds': 50}",80,37,2005
28,Iowa,Big Ten,Uncategorized,"{'minutes': 1, 'seconds': 3}",4,"{'minutes': 1, 'seconds': 25}",51,252530066,25253006629,Iowa State,Big 12,4,False,4,"{'minutes': 2, 'seconds': 28}",43,8,2005
29,Iowa State,Big 12,END OF GAME,"{'minutes': 1, 'seconds': 25}",4,{},30,252530066,25253006630,Iowa,Big Ten,6,False,4,"{'minutes': 1, 'seconds': 25}",80,50,2005
30,Iowa State,Big 12,INT,"{'minutes': 1, 'seconds': 53}",1,"{'minutes': 13, 'seconds': 2}",49,252670349,25267034901,Army,FBS Independents,4,False,1,"{'minutes': 14, 'seconds': 55}",19,30,2005
31,Army,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 11, 'seconds': 27}",57,252670349,25267034902,Iowa State,Big 12,3,False,1,"{'minutes': 13, 'seconds': 2}",66,9,2005
32,Iowa State,Big 12,INT,{'seconds': 56},1,"{'minutes': 10, 'seconds': 31}",27,252670349,25267034903,Army,FBS Independents,3,False,1,"{'minutes': 11, 'seconds': 27}",23,4,2005
33,Army,FBS Independents,Uncategorized,"{'minutes': 4, 'seconds': 49}",1,"{'minutes': 5, 'seconds': 42}",78,252670349,25267034904,Iowa State,Big 12,9,True,1,"{'minutes': 10, 'seconds': 31}",39,39,2005
34,Iowa State,Big 12,PASSING TD,"{'minutes': 3, 'seconds': 25}",1,"{'minutes': 2, 'seconds': 17}",100,252670349,25267034905,Army,FBS Independents,8,True,1,"{'minutes': 5, 'seconds': 42}",20,80,2005
35,Army,FBS Independents,INT,"{'minutes': 2, 'seconds': 57}",2,"{'minutes': 14, 'seconds': 20}",56,252670349,25267034906,Iowa State,Big 12,6,False,1,"{'minutes': 2, 'seconds': 17}",79,23,2005
36,Iowa State,Big 12,PUNT,"{'minutes': 2, 'seconds': 5}",2,"{'minutes': 12, 'seconds': 15}",56,252670349,25267034907,Army,FBS Independents,5,False,2,"{'minutes': 14, 'seconds': 20}",43,13,2005
37,Army,FBS Independents,PUNT,"{'minutes': 3, 'seconds': 22}",2,"{'minutes': 8, 'seconds': 53}",74,252670349,25267034908,Iowa State,Big 12,5,False,2,"{'minutes': 12, 'seconds': 15}",95,21,2005
38,Iowa State,Big 12,PASSING TD,"{'minutes': 1, 'seconds': 55}",2,"{'minutes': 6, 'seconds': 58}",100,252670349,25267034909,Army,FBS Independents,4,True,2,"{'minutes': 8, 'seconds': 53}",68,32,2005
39,Army,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 25}",2,"{'minutes': 5, 'seconds': 33}",67,252670349,25267034910,Iowa State,Big 12,4,False,2,"{'minutes': 6, 'seconds': 58}",80,13,2005
40,Iowa State,Big 12,PUNT,"{'minutes': 1, 'seconds': 40}",2,"{'minutes': 3, 'seconds': 53}",40,252670349,25267034911,Army,FBS Independents,5,False,2,"{'minutes': 5, 'seconds': 33}",24,16,2005
41,Army,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 57}",2,"{'minutes': 1, 'seconds': 56}",58,252670349,25267034912,Iowa State,Big 12,4,False,2,"{'minutes': 3, 'seconds': 53}",72,14,2005
42,Iowa State,Big 12,FG MISSED,"{'minutes': 1, 'seconds': 56}",2,{},69,252670349,25267034913,Army,FBS Independents,12,False,2,"{'minutes': 1, 'seconds': 56}",17,52,2005
43,Army,FBS Independents,END OF HALF,{},2,{},69,252670349,25267034914,Iowa State,Big 12,1,False,2,{},69,0,2005
44,Army,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 59}",3,"{'minutes': 12, 'seconds': 53}",55,252670349,25267034915,Iowa State,Big 12,3,False,3,"{'minutes': 14, 'seconds': 52}",43,-12,2005
45,Iowa State,Big 12,PUNT,"{'minutes': 2, 'seconds': 27}",3,"{'minutes': 10, 'seconds': 26}",24,252670349,25267034916,Army,FBS Independents,5,False,3,"{'minutes': 12, 'seconds': 53}",14,10,2005
46,Army,FBS Independents,PASSING TD,"{'minutes': 1, 'seconds': 33}",3,"{'minutes': 8, 'seconds': 53}",0,252670349,25267034917,Iowa State,Big 12,4,True,3,"{'minutes': 10, 'seconds': 26}",23,23,2005
47,Iowa State,Big 12,PUNT,"{'minutes': 3, 'seconds': 34}",3,"{'minutes': 5, 'seconds': 19}",38,252670349,25267034918,Army,FBS Independents,5,False,3,"{'minutes': 8, 'seconds': 53}",22,16,2005
48,Army,FBS Independents,INT,{'seconds': 4},3,"{'minutes': 5, 'seconds': 15}",72,252670349,25267034919,Iowa State,Big 12,1,False,3,"{'minutes': 5, 'seconds': 19}",72,0,2005
49,Iowa State,Big 12,RUSHING TD,"{'minutes': 4, 'seconds': 39}",3,{'seconds': 36},100,252670349,25267034920,Army,FBS Independents,10,True,3,"{'minutes': 5, 'seconds': 15}",60,40,2005
50,Army,FBS Independents,INT,"{'minutes': 1, 'seconds': 26}",4,"{'minutes': 14, 'seconds': 10}",10,252670349,25267034921,Iowa State,Big 12,4,False,3,{'seconds': 36},32,22,2005
51,Iowa State,Big 12,INT,{'seconds': 48},4,"{'minutes': 13, 'seconds': 22}",6,252670349,25267034922,Army,FBS Independents,2,False,4,"{'minutes': 14, 'seconds': 10}",4,2,2005
52,Army,FBS Independents,RUSHING TD,"{'minutes': 2, 'seconds': 15}",4,"{'minutes': 11, 'seconds': 7}",0,252670349,25267034923,Iowa State,Big 12,5,True,4,"{'minutes': 13, 'seconds': 22}",27,27,2005
53,Iowa State,Big 12,PUNT,"{'minutes': 1, 'seconds': 25}",4,"{'minutes': 9, 'seconds': 42}",19,252670349,25267034924,Army,FBS Independents,4,False,4,"{'minutes': 11, 'seconds': 7}",20,-1,2005
54,Army,FBS Independents,RUSHING TD,"{'minutes': 2, 'seconds': 52}",4,"{'minutes': 6, 'seconds': 50}",0,252670349,25267034925,Iowa State,Big 12,6,True,4,"{'minutes': 9, 'seconds': 42}",48,48,2005
55,Iowa State,Big 12,TURNOVER ON DOWNS,"{'minutes': 6, 'seconds': 20}",4,{'seconds': 30},78,252670349,25267034926,Army,FBS Independents,15,False,4,"{'minutes': 6, 'seconds': 50}",20,58,2005
56,Army,FBS Independents,PUNT,{'seconds': 20},4,{'seconds': 10},78,252670349,25267034927,Iowa State,Big 12,3,False,4,{'seconds': 30},78,0,2005
57,Iowa State,Big 12,END OF GAME,{'seconds': 10},4,{},47,252670349,25267034928,Army,FBS Independents,1,False,4,{'seconds': 10},54,-7,2005
