,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Kansas State,Big 12,FG GOOD,"{'minutes': 5, 'seconds': 25}",1,"{'minutes': 9, 'seconds': 35}",73,252530276,25253027601,Marshall,Conference USA,10,True,1,{'minutes': 15},16,57,2005
1,Kansas State,Big 12,Uncategorized,{'seconds': 51},1,"{'minutes': 8, 'seconds': 51}",100,252530276,25253027603,Marshall,Conference USA,2,True,1,"{'minutes': 9, 'seconds': 42}",89,11,2005
2,Marshall,Conference USA,Uncategorized,"{'minutes': 3, 'seconds': 5}",1,"{'minutes': 5, 'seconds': 46}",116,252530276,25253027604,Kansas State,Big 12,7,True,1,"{'minutes': 8, 'seconds': 51}",58,58,2005
3,Kansas State,Big 12,PUNT,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 4, 'seconds': 11}",22,252530276,25253027605,Marshall,Conference USA,3,False,1,"{'minutes': 5, 'seconds': 46}",18,4,2005
4,Marshall,Conference USA,PASSING TD,"{'minutes': 4, 'seconds': 8}",1,{'seconds': 3},0,252530276,25253027606,Kansas State,Big 12,6,True,1,"{'minutes': 4, 'seconds': 11}",73,73,2005
5,Marshall,Conference USA,PASSING TD,"{'minutes': 3, 'seconds': 47}",2,"{'minutes': 11, 'seconds': 10}",0,252530276,25253027608,Kansas State,Big 12,9,True,1,{'seconds': 16},55,55,2005
6,Kansas State,Big 12,PUNT,"{'minutes': 1, 'seconds': 56}",2,"{'minutes': 9, 'seconds': 14}",34,252530276,25253027609,Marshall,Conference USA,5,False,2,"{'minutes': 11, 'seconds': 10}",24,10,2005
7,Marshall,Conference USA,INT,"{'minutes': 1, 'seconds': 49}",2,"{'minutes': 7, 'seconds': 25}",64,252530276,25253027610,Kansas State,Big 12,4,False,2,"{'minutes': 9, 'seconds': 14}",80,16,2005
8,Kansas State,Big 12,FG GOOD,"{'minutes': 2, 'seconds': 18}",2,"{'minutes': 5, 'seconds': 7}",96,252530276,25253027611,Marshall,Conference USA,4,True,2,"{'minutes': 7, 'seconds': 25}",94,2,2005
9,Marshall,Conference USA,PUNT,"{'minutes': 2, 'seconds': 22}",2,"{'minutes': 2, 'seconds': 45}",80,252530276,25253027612,Kansas State,Big 12,3,False,2,"{'minutes': 5, 'seconds': 7}",73,-7,2005
10,Kansas State,Big 12,FUMBLE,"{'minutes': 1, 'seconds': 33}",2,"{'minutes': 1, 'seconds': 45}",97,252530276,25253027614,Marshall,Conference USA,2,False,2,"{'minutes': 3, 'seconds': 18}",51,46,2005
11,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 4}",2,{'seconds': 41},88,252530276,25253027615,Kansas State,Big 12,3,False,2,"{'minutes': 1, 'seconds': 45}",97,9,2005
12,Kansas State,Big 12,INT,{'seconds': 41},2,{},49,252530276,25253027616,Marshall,Conference USA,6,False,2,{'seconds': 41},38,11,2005
13,Marshall,Conference USA,END OF HALF,{},2,{},91,252530276,25253027617,Kansas State,Big 12,1,False,2,{},91,0,2005
14,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 44}",3,"{'minutes': 13, 'seconds': 1}",81,252530276,25253027618,Kansas State,Big 12,3,False,3,"{'minutes': 14, 'seconds': 45}",86,5,2005
15,Kansas State,Big 12,FG MISSED,"{'minutes': 3, 'seconds': 51}",3,"{'minutes': 9, 'seconds': 10}",70,252530276,25253027619,Marshall,Conference USA,10,False,3,"{'minutes': 13, 'seconds': 1}",41,29,2005
16,Marshall,Conference USA,FG MISSED,"{'minutes': 5, 'seconds': 54}",3,"{'minutes': 3, 'seconds': 16}",28,252530276,25253027620,Kansas State,Big 12,10,False,3,"{'minutes': 9, 'seconds': 10}",70,42,2005
17,Kansas State,Big 12,RUSHING TD,"{'minutes': 4, 'seconds': 4}",4,"{'minutes': 14, 'seconds': 12}",100,252530276,25253027621,Marshall,Conference USA,8,True,3,"{'minutes': 3, 'seconds': 16}",28,72,2005
18,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 32}",4,"{'minutes': 12, 'seconds': 40}",68,252530276,25253027622,Kansas State,Big 12,3,False,4,"{'minutes': 14, 'seconds': 12}",68,0,2005
19,Kansas State,Big 12,PUNT,{'seconds': 56},4,"{'minutes': 11, 'seconds': 44}",14,252530276,25253027623,Marshall,Conference USA,3,False,4,"{'minutes': 12, 'seconds': 40}",18,-4,2005
20,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 6}",4,"{'minutes': 10, 'seconds': 38}",58,252530276,25253027624,Kansas State,Big 12,3,False,4,"{'minutes': 11, 'seconds': 44}",66,8,2005
21,Kansas State,Big 12,FUMBLE,"{'minutes': 3, 'seconds': 9}",4,"{'minutes': 7, 'seconds': 29}",96,252530276,25253027625,Marshall,Conference USA,7,False,4,"{'minutes': 10, 'seconds': 38}",24,72,2005
22,Marshall,Conference USA,FUMBLE,"{'minutes': 6, 'seconds': 31}",4,{'seconds': 58},24,252530276,25253027626,Kansas State,Big 12,15,False,4,"{'minutes': 7, 'seconds': 29}",96,72,2005
23,Kansas State,Big 12,INT,{'seconds': 56},4,{'seconds': 2},79,252530276,25253027627,Marshall,Conference USA,7,False,4,{'seconds': 58},24,55,2005
24,Marshall,Conference USA,END OF GAME,{'seconds': 2},4,{},83,252530276,25253027628,Kansas State,Big 12,1,False,4,{'seconds': 2},81,-2,2005
25,Kansas State,Big 12,PUNT,"{'minutes': 1, 'seconds': 53}",1,"{'minutes': 13, 'seconds': 7}",16,252740201,25274020101,Oklahoma,Big 12,3,False,1,{'minutes': 15},20,-4,2005
26,Oklahoma,Big 12,FUMBLE,"{'minutes': 2, 'seconds': 42}",1,"{'minutes': 10, 'seconds': 25}",49,252740201,25274020102,Kansas State,Big 12,4,False,1,"{'minutes': 13, 'seconds': 7}",54,5,2005
27,Kansas State,Big 12,PUNT,{'seconds': 55},1,"{'minutes': 9, 'seconds': 30}",48,252740201,25274020103,Oklahoma,Big 12,3,False,1,"{'minutes': 10, 'seconds': 25}",49,-1,2005
28,Oklahoma,Big 12,PUNT,{'minutes': 3},1,"{'minutes': 6, 'seconds': 30}",84,252740201,25274020104,Kansas State,Big 12,5,False,1,"{'minutes': 9, 'seconds': 30}",80,-4,2005
29,Kansas State,Big 12,RUSHING TD,"{'minutes': 1, 'seconds': 8}",1,"{'minutes': 5, 'seconds': 22}",100,252740201,25274020105,Oklahoma,Big 12,3,True,1,"{'minutes': 6, 'seconds': 30}",67,33,2005
30,Oklahoma,Big 12,SF,"{'minutes': 1, 'seconds': 2}",1,"{'minutes': 4, 'seconds': 20}",100,252740201,25274020106,Kansas State,Big 12,4,True,1,"{'minutes': 5, 'seconds': 22}",71,-29,2005
31,Kansas State,Big 12,PUNT,"{'minutes': 2, 'seconds': 58}",1,"{'minutes': 1, 'seconds': 22}",61,252740201,25274020107,Oklahoma,Big 12,4,False,1,"{'minutes': 4, 'seconds': 20}",47,14,2005
32,Oklahoma,Big 12,PUNT,"{'minutes': 3, 'seconds': 42}",2,"{'minutes': 12, 'seconds': 40}",75,252740201,25274020108,Kansas State,Big 12,8,False,1,"{'minutes': 1, 'seconds': 22}",80,5,2005
33,Kansas State,Big 12,FG GOOD,"{'minutes': 2, 'seconds': 45}",2,"{'minutes': 9, 'seconds': 55}",87,252740201,25274020109,Oklahoma,Big 12,7,True,2,"{'minutes': 12, 'seconds': 40}",67,20,2005
34,Oklahoma,Big 12,PUNT,"{'minutes': 5, 'seconds': 57}",2,"{'minutes': 3, 'seconds': 58}",62,252740201,25274020110,Kansas State,Big 12,8,False,2,"{'minutes': 9, 'seconds': 55}",80,18,2005
