,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Michigan State,Big Ten,Uncategorized,{},0,{},-77,252460127,25246012700,Kent State,Mid-American,3,False,0,{},53,-77,2005
1,Kent State,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 50}",1,"{'minutes': 12, 'seconds': 10}",100,252460127,25246012701,Michigan State,Big Ten,8,True,0,{},60,68,2005
2,Michigan State,Big Ten,PUNT,{'seconds': 45},1,"{'minutes': 11, 'seconds': 25}",62,252460127,25246012702,Kent State,Mid-American,3,False,1,"{'minutes': 12, 'seconds': 10}",65,3,2005
3,Kent State,Mid-American,RUSHING TD,"{'minutes': 2, 'seconds': 48}",1,"{'minutes': 8, 'seconds': 37}",100,252460127,25246012703,Michigan State,Big Ten,7,True,1,"{'minutes': 11, 'seconds': 25}",61,39,2005
4,Michigan State,Big Ten,INT,{'seconds': 32},1,"{'minutes': 8, 'seconds': 5}",49,252460127,25246012704,Kent State,Mid-American,4,False,1,"{'minutes': 8, 'seconds': 37}",85,36,2005
5,Kent State,Mid-American,FUMBLE,{'seconds': 57},1,"{'minutes': 7, 'seconds': 8}",78,252460127,25246012705,Michigan State,Big Ten,7,False,1,"{'minutes': 8, 'seconds': 5}",39,49,2005
6,Michigan State,Big Ten,PUNT,"{'minutes': 3, 'seconds': 49}",1,"{'minutes': 3, 'seconds': 19}",43,252460127,25246012706,Kent State,Mid-American,5,False,1,"{'minutes': 7, 'seconds': 8}",78,35,2005
7,Kent State,Mid-American,PUNT,{'seconds': 43},1,"{'minutes': 2, 'seconds': 36}",23,252460127,25246012707,Michigan State,Big Ten,3,False,1,"{'minutes': 3, 'seconds': 19}",20,3,2005
8,Michigan State,Big Ten,PASSING TD,"{'minutes': 2, 'seconds': 6}",1,{'seconds': 30},0,252460127,25246012708,Kent State,Mid-American,4,True,1,"{'minutes': 2, 'seconds': 36}",61,61,2005
9,Kent State,Mid-American,RUSHING TD,"{'minutes': 2, 'seconds': 55}",2,"{'minutes': 12, 'seconds': 29}",100,252460127,25246012709,Michigan State,Big Ten,9,True,1,{'seconds': 30},17,83,2005
10,Michigan State,Big Ten,PUNT,{'seconds': 49},2,"{'minutes': 11, 'seconds': 40}",85,252460127,25246012710,Kent State,Mid-American,3,False,2,"{'minutes': 12, 'seconds': 29}",78,-7,2005
11,Kent State,Mid-American,RUSHING TD,{'seconds': 56},2,"{'minutes': 10, 'seconds': 44}",100,252460127,25246012711,Michigan State,Big Ten,3,True,2,"{'minutes': 11, 'seconds': 40}",33,67,2005
12,Michigan State,Big Ten,PASSING TD,"{'minutes': 2, 'seconds': 42}",2,"{'minutes': 8, 'seconds': 2}",0,252460127,25246012712,Kent State,Mid-American,9,True,2,"{'minutes': 10, 'seconds': 44}",80,80,2005
13,Kent State,Mid-American,INT,"{'minutes': 4, 'seconds': 24}",2,"{'minutes': 3, 'seconds': 38}",20,252460127,25246012713,Michigan State,Big Ten,1,False,2,"{'minutes': 8, 'seconds': 2}",35,55,2005
14,Michigan State,Big Ten,PUNT,{'seconds': 38},2,{'minutes': 3},73,252460127,25246012714,Kent State,Mid-American,3,False,2,"{'minutes': 3, 'seconds': 38}",80,7,2005
15,Kent State,Mid-American,RUSHING TD,{'minutes': 3},2,{},100,252460127,25246012715,Michigan State,Big Ten,9,True,2,{'minutes': 3},33,67,2005
16,Michigan State,Big Ten,END OF HALF,{'seconds': 37},2,{'minutes': 15},87,252460127,25246012716,Kent State,Mid-American,1,False,0,{},85,-2,2005
17,Michigan State,Big Ten,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 37}",3,"{'minutes': 11, 'seconds': 23}",31,252460127,25246012717,Kent State,Mid-American,13,False,3,{'minutes': 15},80,49,2005
18,Kent State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 11}",3,"{'minutes': 10, 'seconds': 12}",31,252460127,25246012718,Michigan State,Big Ten,3,False,3,"{'minutes': 11, 'seconds': 23}",31,0,2005
19,Michigan State,Big Ten,PUNT,"{'minutes': 3, 'seconds': 2}",3,"{'minutes': 7, 'seconds': 10}",47,252460127,25246012719,Kent State,Mid-American,5,False,3,"{'minutes': 10, 'seconds': 12}",60,13,2005
20,Kent State,Mid-American,FUMBLE,"{'minutes': 1, 'seconds': 57}",3,"{'minutes': 5, 'seconds': 13}",94,252460127,25246012720,Michigan State,Big Ten,6,False,3,"{'minutes': 7, 'seconds': 10}",8,86,2005
21,Michigan State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 19}",3,"{'minutes': 3, 'seconds': 54}",94,252460127,25246012721,Kent State,Mid-American,3,False,3,"{'minutes': 5, 'seconds': 13}",94,0,2005
22,Kent State,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 13}",3,"{'minutes': 2, 'seconds': 41}",100,252460127,25246012722,Michigan State,Big Ten,3,True,3,"{'minutes': 3, 'seconds': 54}",58,42,2005
23,Michigan State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 3}",3,{'seconds': 38},69,252460127,25246012723,Kent State,Mid-American,6,False,3,"{'minutes': 2, 'seconds': 41}",74,5,2005
24,Kent State,Mid-American,RUSHING TD,"{'minutes': 2, 'seconds': 32}",4,"{'minutes': 12, 'seconds': 55}",100,252460127,25246012724,Michigan State,Big Ten,9,True,3,{'seconds': 38},34,66,2005
25,Michigan State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 14}",4,"{'minutes': 10, 'seconds': 41}",55,252460127,25246012725,Kent State,Mid-American,6,False,4,"{'minutes': 12, 'seconds': 55}",79,24,2005
26,Kent State,Mid-American,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 41}",4,{'minutes': 6},84,252460127,25246012726,Michigan State,Big Ten,10,False,4,"{'minutes': 10, 'seconds': 41}",7,77,2005
27,Michigan State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 8}",4,"{'minutes': 4, 'seconds': 52}",78,252460127,25246012727,Kent State,Mid-American,3,False,4,{'minutes': 6},84,6,2005
28,Kent State,Mid-American,PUNT,"{'minutes': 2, 'seconds': 7}",4,"{'minutes': 2, 'seconds': 45}",22,252460127,25246012728,Michigan State,Big Ten,3,False,4,"{'minutes': 4, 'seconds': 52}",39,-17,2005
29,Michigan State,Big Ten,PUNT,{'minutes': 2},4,{'seconds': 45},53,252460127,25246012729,Kent State,Mid-American,3,False,4,"{'minutes': 2, 'seconds': 45}",56,3,2005
30,Kent State,Mid-American,END OF GAME,{'seconds': 45},4,{},23,252460127,25246012730,Michigan State,Big Ten,1,False,4,{'seconds': 45},20,3,2005
31,Miami (OH),Mid-American,Uncategorized,{},1,{'minutes': 15},35,252602309,25260230901,Kent State,Mid-American,0,False,1,{'minutes': 15},35,0,2005
32,Kent State,Mid-American,FUMBLE,"{'minutes': 1, 'seconds': 29}",1,"{'minutes': 13, 'seconds': 31}",30,252602309,25260230902,Miami (OH),Mid-American,5,False,1,{'minutes': 15},79,49,2005
33,Miami (OH),Mid-American,PUNT,"{'minutes': 1, 'seconds': 17}",1,"{'minutes': 12, 'seconds': 14}",34,252602309,25260230903,Kent State,Mid-American,3,False,1,"{'minutes': 13, 'seconds': 31}",32,2,2005
34,Kent State,Mid-American,RUSHING TD,"{'minutes': 3, 'seconds': 21}",1,"{'minutes': 8, 'seconds': 53}",0,252602309,25260230904,Miami (OH),Mid-American,8,True,1,"{'minutes': 12, 'seconds': 14}",73,73,2005
35,Miami (OH),Mid-American,PUNT,"{'minutes': 1, 'seconds': 55}",1,"{'minutes': 6, 'seconds': 58}",23,252602309,25260230905,Kent State,Mid-American,5,False,1,"{'minutes': 8, 'seconds': 53}",20,3,2005
36,Kent State,Mid-American,FG GOOD,"{'minutes': 3, 'seconds': 17}",1,"{'minutes': 3, 'seconds': 41}",23,252602309,25260230906,Miami (OH),Mid-American,8,True,1,"{'minutes': 6, 'seconds': 58}",49,21,2005
37,Miami (OH),Mid-American,PUNT,{'seconds': 5},1,"{'minutes': 3, 'seconds': 36}",49,252602309,25260230907,Kent State,Mid-American,4,False,1,"{'minutes': 3, 'seconds': 41}",23,26,2005
38,Kent State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 39}",2,"{'minutes': 14, 'seconds': 49}",55,252602309,25260230908,Miami (OH),Mid-American,9,False,1,"{'minutes': 3, 'seconds': 36}",80,25,2005
39,Miami (OH),Mid-American,PUNT,"{'minutes': 1, 'seconds': 22}",2,"{'minutes': 13, 'seconds': 27}",38,252602309,25260230909,Kent State,Mid-American,5,False,2,"{'minutes': 14, 'seconds': 49}",19,19,2005
40,Kent State,Mid-American,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 24}",2,"{'minutes': 9, 'seconds': 3}",29,252602309,25260230910,Miami (OH),Mid-American,8,False,2,"{'minutes': 13, 'seconds': 27}",74,45,2005
41,Miami (OH),Mid-American,PUNT,"{'minutes': 1, 'seconds': 26}",2,"{'minutes': 7, 'seconds': 37}",36,252602309,25260230911,Kent State,Mid-American,3,False,2,"{'minutes': 9, 'seconds': 3}",29,7,2005
42,Kent State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 37}",2,{'minutes': 6},52,252602309,25260230912,Miami (OH),Mid-American,4,False,2,"{'minutes': 7, 'seconds': 37}",77,25,2005
43,Miami (OH),Mid-American,INT,"{'minutes': 2, 'seconds': 53}",2,"{'minutes': 3, 'seconds': 7}",82,252602309,25260230913,Kent State,Mid-American,10,False,2,{'minutes': 6},9,73,2005
44,Miami (OH),Mid-American,FG MISSED,"{'minutes': 3, 'seconds': 5}",2,{'seconds': 2},75,252602309,25260230915,Kent State,Mid-American,9,False,2,"{'minutes': 3, 'seconds': 7}",28,47,2005
45,Kent State,Mid-American,END OF HALF,{'seconds': 2},2,{},76,252602309,25260230916,Miami (OH),Mid-American,1,False,2,{'seconds': 2},75,-1,2005
46,Miami (OH),Mid-American,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 23}",3,"{'minutes': 12, 'seconds': 37}",77,252602309,25260230917,Kent State,Mid-American,8,False,3,{'minutes': 15},25,52,2005
47,Kent State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 44}",3,"{'minutes': 10, 'seconds': 53}",73,252602309,25260230918,Miami (OH),Mid-American,4,False,3,"{'minutes': 12, 'seconds': 37}",77,4,2005
48,Miami (OH),Mid-American,FG GOOD,"{'minutes': 4, 'seconds': 48}",3,"{'minutes': 6, 'seconds': 5}",77,252602309,25260230919,Kent State,Mid-American,11,True,3,"{'minutes': 10, 'seconds': 53}",26,51,2005
49,Kent State,Mid-American,PASSING TD,"{'minutes': 6, 'seconds': 8}",4,"{'minutes': 14, 'seconds': 57}",0,252602309,25260230920,Miami (OH),Mid-American,15,True,3,"{'minutes': 6, 'seconds': 5}",80,80,2005
50,Miami (OH),Mid-American,PASSING TD,{'seconds': 37},4,"{'minutes': 14, 'seconds': 20}",100,252602309,25260230921,Kent State,Mid-American,3,True,4,"{'minutes': 14, 'seconds': 57}",20,80,2005
51,Kent State,Mid-American,FG GOOD,"{'minutes': 4, 'seconds': 12}",4,"{'minutes': 10, 'seconds': 8}",2,252602309,25260230922,Miami (OH),Mid-American,12,True,4,"{'minutes': 14, 'seconds': 20}",74,72,2005
52,Miami (OH),Mid-American,PUNT,{'seconds': 22},4,"{'minutes': 9, 'seconds': 46}",22,252602309,25260230923,Kent State,Mid-American,3,False,4,"{'minutes': 10, 'seconds': 8}",22,0,2005
53,Kent State,Mid-American,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 27}",4,"{'minutes': 7, 'seconds': 19}",40,252602309,25260230924,Miami (OH),Mid-American,7,False,4,"{'minutes': 9, 'seconds': 46}",49,9,2005
54,Miami (OH),Mid-American,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 34}",4,"{'minutes': 5, 'seconds': 45}",44,252602309,25260230925,Kent State,Mid-American,4,False,4,"{'minutes': 7, 'seconds': 19}",40,4,2005
55,Kent State,Mid-American,INT,{'seconds': 45},4,{'minutes': 5},70,252602309,25260230926,Miami (OH),Mid-American,3,False,4,"{'minutes': 5, 'seconds': 45}",44,-26,2005
56,Miami (OH),Mid-American,INT,"{'minutes': 1, 'seconds': 8}",4,"{'minutes': 3, 'seconds': 52}",30,252602309,25260230927,Kent State,Mid-American,2,False,4,{'minutes': 5},15,15,2005
57,Kent State,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 37}",4,"{'minutes': 2, 'seconds': 15}",0,252602309,25260230928,Miami (OH),Mid-American,4,True,4,"{'minutes': 3, 'seconds': 52}",29,29,2005
58,Miami (OH),Mid-American,TURNOVER ON DOWNS,{'seconds': 42},4,"{'minutes': 1, 'seconds': 33}",15,252602309,25260230929,Kent State,Mid-American,4,False,4,"{'minutes': 2, 'seconds': 15}",20,-5,2005
59,Kent State,Mid-American,END OF GAME,"{'minutes': 1, 'seconds': 33}",4,{},6,252602309,25260230930,Miami (OH),Mid-American,3,False,4,"{'minutes': 1, 'seconds': 33}",15,9,2005
60,Ohio,Mid-American,INT,"{'minutes': 2, 'seconds': 18}",1,"{'minutes': 12, 'seconds': 32}",46,252670195,25267019501,Kent State,Mid-American,5,False,1,"{'minutes': 14, 'seconds': 50}",51,5,2005
61,Kent State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 1}",1,"{'minutes': 11, 'seconds': 31}",27,252670195,25267019502,Ohio,Mid-American,3,False,1,"{'minutes': 12, 'seconds': 32}",22,5,2005
62,Ohio,Mid-American,PUNT,"{'minutes': 11, 'seconds': 31}",1,{},50,252670195,25267019503,Kent State,Mid-American,3,True,1,"{'minutes': 11, 'seconds': 31}",50,0,2005
63,Kent State,Mid-American,SF,{},1,"{'minutes': 9, 'seconds': 56}",20,252670195,25267019504,Ohio,Mid-American,1,False,0,{},0,4,2005
64,Ohio,Mid-American,INT,"{'minutes': 3, 'seconds': 55}",1,"{'minutes': 6, 'seconds': 1}",26,252670195,25267019505,Kent State,Mid-American,9,False,1,"{'minutes': 9, 'seconds': 56}",61,35,2005
65,Kent State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 53}",1,"{'minutes': 4, 'seconds': 8}",60,252670195,25267019506,Ohio,Mid-American,4,False,1,"{'minutes': 6, 'seconds': 1}",42,18,2005
66,Ohio,Mid-American,PUNT,"{'minutes': 2, 'seconds': 46}",1,"{'minutes': 1, 'seconds': 22}",48,252670195,25267019507,Kent State,Mid-American,6,False,1,"{'minutes': 4, 'seconds': 8}",92,44,2005
67,Kent State,Mid-American,RUSHING TD,"{'minutes': 3, 'seconds': 50}",2,"{'minutes': 12, 'seconds': 28}",100,252670195,25267019508,Ohio,Mid-American,11,True,1,"{'minutes': 1, 'seconds': 22}",1,99,2005
68,Ohio,Mid-American,INT,"{'minutes': 2, 'seconds': 17}",2,"{'minutes': 10, 'seconds': 11}",52,252670195,25267019509,Kent State,Mid-American,8,False,2,"{'minutes': 12, 'seconds': 28}",85,33,2005
69,Kent State,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 33}",2,"{'minutes': 8, 'seconds': 38}",100,252670195,25267019510,Ohio,Mid-American,3,True,2,"{'minutes': 10, 'seconds': 11}",89,11,2005
70,Ohio,Mid-American,PUNT,"{'minutes': 1, 'seconds': 50}",2,"{'minutes': 6, 'seconds': 48}",62,252670195,25267019511,Kent State,Mid-American,6,False,2,"{'minutes': 8, 'seconds': 38}",81,19,2005
71,Kent State,Mid-American,RUSHING TD,"{'minutes': 3, 'seconds': 46}",2,"{'minutes': 3, 'seconds': 2}",100,252670195,25267019512,Ohio,Mid-American,7,True,2,"{'minutes': 6, 'seconds': 48}",11,89,2005
72,Ohio,Mid-American,INT,{'seconds': 7},2,"{'minutes': 2, 'seconds': 55}",77,252670195,25267019513,Kent State,Mid-American,1,False,2,"{'minutes': 3, 'seconds': 2}",77,0,2005
73,Kent State,Mid-American,INT,{'seconds': 55},2,{'minutes': 2},100,252670195,25267019514,Ohio,Mid-American,0,True,2,"{'minutes': 2, 'seconds': 55}",76,7,2005
74,Ohio,Mid-American,INT RETURN TOUCH,{},2,{'minutes': 2},0,252670195,25267019515,Kent State,Mid-American,1,True,2,{'minutes': 2},3,73,2005
75,Kent State,Mid-American,END OF HALF,{'minutes': 2},2,{},47,252670195,25267019516,Ohio,Mid-American,5,False,2,{'minutes': 2},27,20,2005
76,Kent State,Mid-American,INT,"{'minutes': 1, 'seconds': 34}",3,"{'minutes': 13, 'seconds': 26}",21,252670195,25267019517,Ohio,Mid-American,3,False,3,{'minutes': 15},20,1,2005
77,Ohio,Mid-American,FG GOOD,{'seconds': 51},3,"{'minutes': 12, 'seconds': 35}",16,252670195,25267019518,Kent State,Mid-American,4,True,3,"{'minutes': 13, 'seconds': 26}",21,5,2005
78,Kent State,Mid-American,FG MISSED,"{'minutes': 3, 'seconds': 23}",3,"{'minutes': 9, 'seconds': 12}",74,252670195,25267019519,Ohio,Mid-American,8,False,3,"{'minutes': 12, 'seconds': 35}",20,54,2005
79,Ohio,Mid-American,PUNT,"{'minutes': 2, 'seconds': 21}",3,"{'minutes': 6, 'seconds': 51}",56,252670195,25267019520,Kent State,Mid-American,5,False,3,"{'minutes': 9, 'seconds': 12}",74,18,2005
80,Kent State,Mid-American,RUSHING TD,"{'minutes': 5, 'seconds': 27}",3,"{'minutes': 1, 'seconds': 24}",100,252670195,25267019521,Ohio,Mid-American,12,True,3,"{'minutes': 6, 'seconds': 51}",20,80,2005
81,Ohio,Mid-American,RUSHING TD,"{'minutes': 1, 'seconds': 18}",3,{'seconds': 6},0,252670195,25267019522,Kent State,Mid-American,3,True,3,"{'minutes': 1, 'seconds': 24}",91,91,2005
82,Kent State,Mid-American,RUSHING TD,"{'minutes': 1, 'seconds': 6}",4,"{'minutes': 13, 'seconds': 55}",100,252670195,25267019523,Ohio,Mid-American,5,True,3,{'seconds': 6},15,85,2005
83,Ohio,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 12}",4,"{'minutes': 12, 'seconds': 43}",0,252670195,25267019524,Kent State,Mid-American,4,True,4,"{'minutes': 13, 'seconds': 55}",86,86,2005
