,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Kentucky,SEC,RUSHING TD,"{'minutes': 6, 'seconds': 33}",1,"{'minutes': 8, 'seconds': 22}",0,252470096,25247009601,Louisville,Big East,13,True,1,"{'minutes': 14, 'seconds': 55}",77,77,2005
1,Louisville,Big East,RUSHING TD,"{'minutes': 4, 'seconds': 14}",1,"{'minutes': 4, 'seconds': 8}",100,252470096,25247009602,Kentucky,SEC,10,True,1,"{'minutes': 8, 'seconds': 22}",20,80,2005
2,Kentucky,SEC,RUSHING TD,"{'minutes': 4, 'seconds': 14}",2,"{'minutes': 14, 'seconds': 45}",0,252470096,25247009603,Louisville,Big East,10,True,1,"{'minutes': 4, 'seconds': 8}",76,76,2005
3,Louisville,Big East,PUNT,{'minutes': 4},2,"{'minutes': 10, 'seconds': 45}",42,252470096,25247009604,Kentucky,SEC,7,False,2,"{'minutes': 14, 'seconds': 45}",22,20,2005
4,Kentucky,SEC,PUNT,"{'minutes': 2, 'seconds': 44}",2,"{'minutes': 8, 'seconds': 1}",54,252470096,25247009605,Louisville,Big East,5,False,2,"{'minutes': 10, 'seconds': 45}",67,13,2005
5,Louisville,Big East,FUMBLE,{'seconds': 50},2,"{'minutes': 7, 'seconds': 11}",83,252470096,25247009606,Kentucky,SEC,2,False,2,"{'minutes': 8, 'seconds': 1}",25,58,2005
6,Kentucky,SEC,RUSHING TD,{'seconds': 48},2,"{'minutes': 6, 'seconds': 23}",0,252470096,25247009607,Louisville,Big East,2,True,2,"{'minutes': 7, 'seconds': 11}",83,83,2005
7,Louisville,Big East,FUMBLE,"{'minutes': 2, 'seconds': 12}",2,"{'minutes': 4, 'seconds': 11}",33,252470096,25247009608,Kentucky,SEC,4,False,2,"{'minutes': 6, 'seconds': 23}",21,12,2005
8,Kentucky,SEC,RUSHING TD,"{'minutes': 2, 'seconds': 58}",2,"{'minutes': 1, 'seconds': 13}",0,252470096,25247009609,Louisville,Big East,8,True,2,"{'minutes': 4, 'seconds': 11}",48,33,2005
9,Louisville,Big East,PUNT,"{'minutes': 1, 'seconds': 13}",2,{},16,252470096,25247009610,Kentucky,SEC,3,False,2,"{'minutes': 1, 'seconds': 13}",13,3,2005
10,Kentucky,SEC,FG MISSED,{},2,{},4,252470096,25247009611,Louisville,Big East,1,False,2,{},4,0,2005
11,Louisville,Big East,END OF HALF,{},2,{},20,252470096,25247009612,Kentucky,SEC,1,False,2,{},20,0,2005
12,Louisville,Big East,FG GOOD,"{'minutes': 3, 'seconds': 38}",3,"{'minutes': 11, 'seconds': 14}",81,252470096,25247009613,Kentucky,SEC,9,True,3,"{'minutes': 14, 'seconds': 52}",23,58,2005
13,Kentucky,SEC,PUNT,"{'minutes': 2, 'seconds': 46}",3,"{'minutes': 8, 'seconds': 28}",44,252470096,25247009614,Louisville,Big East,6,False,3,"{'minutes': 11, 'seconds': 14}",68,24,2005
14,Louisville,Big East,PASSING TD,"{'minutes': 2, 'seconds': 37}",3,"{'minutes': 5, 'seconds': 51}",100,252470096,25247009615,Kentucky,SEC,6,True,3,"{'minutes': 8, 'seconds': 28}",20,80,2005
15,Kentucky,SEC,FG GOOD,"{'minutes': 6, 'seconds': 34}",4,"{'minutes': 14, 'seconds': 17}",1,252470096,25247009616,Louisville,Big East,13,True,3,"{'minutes': 5, 'seconds': 51}",78,77,2005
16,Louisville,Big East,PASSING TD,"{'minutes': 2, 'seconds': 25}",4,"{'minutes': 11, 'seconds': 52}",100,252470096,25247009617,Kentucky,SEC,7,True,4,"{'minutes': 14, 'seconds': 17}",24,76,2005
17,Kentucky,SEC,PUNT,"{'minutes': 1, 'seconds': 40}",4,"{'minutes': 10, 'seconds': 12}",89,252470096,25247009618,Louisville,Big East,3,False,4,"{'minutes': 11, 'seconds': 52}",93,4,2005
18,Louisville,Big East,PUNT,"{'minutes': 2, 'seconds': 22}",4,"{'minutes': 7, 'seconds': 50}",41,252470096,25247009619,Kentucky,SEC,3,False,4,"{'minutes': 10, 'seconds': 12}",58,-17,2005
19,Kentucky,SEC,PUNT,{'seconds': 29},4,"{'minutes': 7, 'seconds': 21}",78,252470096,25247009620,Louisville,Big East,3,False,4,"{'minutes': 7, 'seconds': 50}",78,0,2005
20,Louisville,Big East,FUMBLE,{'minutes': 1},4,"{'minutes': 6, 'seconds': 21}",98,252470096,25247009621,Kentucky,SEC,4,False,4,"{'minutes': 7, 'seconds': 21}",67,31,2005
21,Kentucky,SEC,END OF GAME,"{'minutes': 6, 'seconds': 21}",4,{},34,252470096,25247009622,Louisville,Big East,12,False,4,"{'minutes': 6, 'seconds': 21}",98,64,2005
22,Indiana,Big Ten,PUNT,"{'minutes': 2, 'seconds': 11}",1,"{'minutes': 12, 'seconds': 46}",82,252600084,25260008401,Kentucky,SEC,3,False,1,"{'minutes': 14, 'seconds': 57}",88,6,2005
23,Kentucky,SEC,FG GOOD,"{'minutes': 2, 'seconds': 27}",1,"{'minutes': 10, 'seconds': 19}",96,252600084,25260008402,Indiana,Big Ten,6,True,1,"{'minutes': 12, 'seconds': 46}",44,52,2005
24,Indiana,Big Ten,PUNT,"{'minutes': 2, 'seconds': 22}",1,"{'minutes': 7, 'seconds': 57}",58,252600084,25260008403,Kentucky,SEC,5,False,1,"{'minutes': 10, 'seconds': 19}",65,7,2005
25,Kentucky,SEC,PASSING TD,"{'minutes': 3, 'seconds': 55}",1,"{'minutes': 4, 'seconds': 2}",100,252600084,25260008404,Indiana,Big Ten,10,True,1,"{'minutes': 7, 'seconds': 57}",14,86,2005
26,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 19}",1,"{'minutes': 2, 'seconds': 43}",70,252600084,25260008405,Kentucky,SEC,3,False,1,"{'minutes': 4, 'seconds': 2}",72,2,2005
27,Kentucky,SEC,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 37}",2,"{'minutes': 14, 'seconds': 6}",69,252600084,25260008406,Indiana,Big Ten,8,False,1,"{'minutes': 2, 'seconds': 43}",32,37,2005
28,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 57}",2,"{'minutes': 12, 'seconds': 9}",60,252600084,25260008407,Kentucky,SEC,3,False,2,"{'minutes': 14, 'seconds': 6}",69,9,2005
29,Kentucky,SEC,PUNT,"{'minutes': 3, 'seconds': 22}",2,"{'minutes': 8, 'seconds': 47}",45,252600084,25260008408,Indiana,Big Ten,6,False,2,"{'minutes': 12, 'seconds': 9}",19,26,2005
30,Indiana,Big Ten,PUNT,{'seconds': 57},2,"{'minutes': 7, 'seconds': 50}",74,252600084,25260008409,Kentucky,SEC,3,False,2,"{'minutes': 8, 'seconds': 47}",66,-8,2005
31,Kentucky,SEC,PASSING TD,"{'minutes': 5, 'seconds': 47}",2,"{'minutes': 2, 'seconds': 3}",100,252600084,25260008410,Indiana,Big Ten,10,True,2,"{'minutes': 7, 'seconds': 50}",39,61,2005
