,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Arizona State,Pac-10,PUNT,{'minutes': 2},1,{'minutes': 13},51,252530099,25253009901,LSU,SEC,4,False,1,{'minutes': 15},80,29,2005
1,LSU,SEC,PUNT,"{'minutes': 3, 'seconds': 13}",1,"{'minutes': 9, 'seconds': 47}",20,252530099,25253009902,Arizona State,Pac-10,7,False,1,{'minutes': 13},3,17,2005
2,Arizona State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 29}",1,"{'minutes': 8, 'seconds': 18}",54,252530099,25253009903,LSU,SEC,3,False,1,"{'minutes': 9, 'seconds': 47}",59,5,2005
3,LSU,SEC,FUMBLE,"{'minutes': 11, 'seconds': 2}",2,"{'minutes': 12, 'seconds': 11}",81,252530099,25253009904,Arizona State,Pac-10,19,False,1,"{'minutes': 8, 'seconds': 18}",1,80,2005
4,Arizona State,Pac-10,TURNOVER ON DOWNS,{},2,"{'minutes': 12, 'seconds': 11}",7,252530099,25253009905,LSU,SEC,18,True,2,"{'minutes': 12, 'seconds': 11}",81,92,2005
5,LSU,SEC,PASSING TD,{'seconds': 50},2,"{'minutes': 9, 'seconds': 50}",100,252530099,25253009908,Arizona State,Pac-10,2,True,0,{},60,40,2005
6,Arizona State,Pac-10,RUSHING TD,"{'minutes': 3, 'seconds': 35}",2,"{'minutes': 6, 'seconds': 15}",0,252530099,25253009909,LSU,SEC,11,True,2,"{'minutes': 9, 'seconds': 50}",80,80,2005
7,LSU,SEC,FG GOOD,"{'minutes': 2, 'seconds': 17}",2,"{'minutes': 3, 'seconds': 58}",91,252530099,25253009910,Arizona State,Pac-10,8,True,2,"{'minutes': 6, 'seconds': 15}",20,71,2005
8,Arizona State,Pac-10,PUNT,"{'minutes': 3, 'seconds': 14}",2,{'seconds': 44},75,252530099,25253009911,LSU,SEC,5,False,2,"{'minutes': 3, 'seconds': 58}",80,5,2005
9,LSU,SEC,END OF HALF,{'seconds': 44},2,{},23,252530099,25253009912,Arizona State,Pac-10,1,False,2,{'seconds': 44},15,8,2005
10,Arizona State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 49}",3,"{'minutes': 12, 'seconds': 11}",71,252530099,25253009913,LSU,SEC,5,False,3,{'minutes': 15},80,9,2005
11,LSU,SEC,PASSING TD,"{'minutes': 6, 'seconds': 13}",3,"{'minutes': 5, 'seconds': 58}",100,252530099,25253009914,Arizona State,Pac-10,14,True,3,"{'minutes': 12, 'seconds': 11}",25,75,2005
12,Arizona State,Pac-10,FUMBLE,{'seconds': 26},3,"{'minutes': 5, 'seconds': 32}",52,252530099,25253009915,LSU,SEC,4,False,3,"{'minutes': 5, 'seconds': 58}",80,28,2005
13,LSU,SEC,FUMBLE,{'seconds': 46},3,"{'minutes': 4, 'seconds': 46}",94,252530099,25253009916,Arizona State,Pac-10,3,False,3,"{'minutes': 5, 'seconds': 32}",55,42,2005
14,Arizona State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 6}",3,"{'minutes': 2, 'seconds': 40}",70,252530099,25253009917,LSU,SEC,5,False,3,"{'minutes': 4, 'seconds': 46}",94,24,2005
15,LSU,SEC,FG MISSED,"{'minutes': 2, 'seconds': 53}",4,"{'minutes': 14, 'seconds': 47}",69,252530099,25253009918,Arizona State,Pac-10,10,True,3,"{'minutes': 2, 'seconds': 40}",19,50,2005
16,Arizona State,Pac-10,TD,{},4,"{'minutes': 14, 'seconds': 47}",65,252530099,25253009919,LSU,SEC,1,True,4,"{'minutes': 14, 'seconds': 47}",3,65,2005
17,LSU,SEC,PUNT,"{'minutes': 14, 'seconds': 47}",4,{},41,252530099,25253009920,Arizona State,Pac-10,5,False,4,"{'minutes': 14, 'seconds': 47}",20,21,2005
18,Arizona State,Pac-10,PUNT RETURN TD,{},4,"{'minutes': 13, 'seconds': 27}",29,252530099,25253009921,LSU,SEC,1,True,0,{},3,29,2005
19,LSU,SEC,PASSING TD,{'minutes': 2},4,"{'minutes': 11, 'seconds': 27}",50,252530099,25253009922,Arizona State,Pac-10,8,True,4,"{'minutes': 13, 'seconds': 27}",20,26,2005
20,Arizona State,Pac-10,RUSHING TD,"{'minutes': 3, 'seconds': 1}",4,"{'minutes': 8, 'seconds': 26}",0,252530099,25253009923,LSU,SEC,7,True,4,"{'minutes': 11, 'seconds': 27}",80,80,2005
21,LSU,SEC,PASSING TD,"{'minutes': 4, 'seconds': 22}",4,"{'minutes': 4, 'seconds': 4}",100,252530099,25253009924,Arizona State,Pac-10,13,True,4,"{'minutes': 8, 'seconds': 26}",20,80,2005
22,Arizona State,Pac-10,PASSING TD,"{'minutes': 2, 'seconds': 51}",4,"{'minutes': 1, 'seconds': 13}",0,252530099,25253009925,LSU,SEC,10,True,4,"{'minutes': 4, 'seconds': 4}",91,91,2005
23,LSU,SEC,TURNOVER ON DOWNS,{'seconds': 42},4,{'seconds': 31},72,252530099,25253009926,Arizona State,Pac-10,6,False,4,"{'minutes': 1, 'seconds': 13}",20,52,2005
24,Arizona State,Pac-10,Uncategorized,{'seconds': 31},4,{},67,252530099,25253009927,LSU,SEC,3,False,4,{'seconds': 31},72,-5,2005
25,LSU,SEC,FUMBLE,"{'minutes': 2, 'seconds': 1}",1,"{'minutes': 12, 'seconds': 52}",81,252690099,25269009901,Tennessee,SEC,3,False,1,"{'minutes': 14, 'seconds': 53}",88,7,2005
26,Tennessee,SEC,RUSHING TD,{'seconds': 14},1,"{'minutes': 12, 'seconds': 38}",100,252690099,25269009902,LSU,SEC,1,True,1,"{'minutes': 12, 'seconds': 52}",81,19,2005
27,LSU,SEC,PUNT,"{'minutes': 1, 'seconds': 29}",1,"{'minutes': 11, 'seconds': 9}",84,252690099,25269009903,Tennessee,SEC,3,False,1,"{'minutes': 12, 'seconds': 38}",80,-4,2005
28,Tennessee,SEC,PUNT,"{'minutes': 1, 'seconds': 33}",1,"{'minutes': 9, 'seconds': 36}",64,252690099,25269009904,LSU,SEC,3,False,1,"{'minutes': 11, 'seconds': 9}",60,4,2005
29,LSU,SEC,PUNT,"{'minutes': 1, 'seconds': 50}",1,"{'minutes': 7, 'seconds': 46}",82,252690099,25269009905,Tennessee,SEC,4,False,1,"{'minutes': 9, 'seconds': 36}",94,12,2005
30,Tennessee,SEC,FUMBLE,"{'minutes': 1, 'seconds': 23}",1,"{'minutes': 6, 'seconds': 23}",70,252690099,25269009906,LSU,SEC,5,False,1,"{'minutes': 7, 'seconds': 46}",42,28,2005
31,LSU,SEC,PUNT,"{'minutes': 2, 'seconds': 1}",1,"{'minutes': 4, 'seconds': 22}",53,252690099,25269009907,Tennessee,SEC,4,False,1,"{'minutes': 6, 'seconds': 23}",70,17,2005
32,Tennessee,SEC,PUNT,"{'minutes': 1, 'seconds': 9}",1,"{'minutes': 3, 'seconds': 13}",18,252690099,25269009908,LSU,SEC,3,False,1,"{'minutes': 4, 'seconds': 22}",15,3,2005
33,LSU,SEC,PUNT,"{'minutes': 1, 'seconds': 43}",1,"{'minutes': 1, 'seconds': 30}",49,252690099,25269009909,Tennessee,SEC,4,False,1,"{'minutes': 3, 'seconds': 13}",58,9,2005
34,Tennessee,SEC,PUNT,"{'minutes': 1, 'seconds': 7}",1,{'seconds': 23},16,252690099,25269009910,LSU,SEC,3,False,1,"{'minutes': 1, 'seconds': 30}",13,3,2005
35,LSU,SEC,PUNT,{'seconds': 32},2,"{'minutes': 14, 'seconds': 51}",59,252690099,25269009911,Tennessee,SEC,3,False,1,{'seconds': 23},63,4,2005
36,Tennessee,SEC,RUSHING TD,"{'minutes': 1, 'seconds': 27}",2,"{'minutes': 13, 'seconds': 24}",100,252690099,25269009912,LSU,SEC,4,True,2,"{'minutes': 14, 'seconds': 51}",30,70,2005
37,LSU,SEC,PUNT,"{'minutes': 3, 'seconds': 25}",2,"{'minutes': 9, 'seconds': 59}",66,252690099,25269009913,Tennessee,SEC,7,False,2,"{'minutes': 13, 'seconds': 24}",77,11,2005
38,Tennessee,SEC,PUNT,"{'minutes': 2, 'seconds': 10}",2,"{'minutes': 7, 'seconds': 49}",57,252690099,25269009914,LSU,SEC,3,False,2,"{'minutes': 9, 'seconds': 59}",53,4,2005
