,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Louisiana Monroe,Sun Belt,Uncategorized,{'seconds': 42},1,"{'minutes': 14, 'seconds': 18}",20,252532751,25253275101,Wyoming,Mountain West,0,False,1,{'minutes': 15},20,0,2005
1,Wyoming,Mountain West,Uncategorized,"{'minutes': 4, 'seconds': 40}",1,"{'minutes': 9, 'seconds': 38}",63,252532751,25253275102,Louisiana Monroe,Sun Belt,0,False,1,"{'minutes': 14, 'seconds': 18}",63,0,2005
2,Louisiana Monroe,Sun Belt,Uncategorized,"{'minutes': 1, 'seconds': 17}",1,"{'minutes': 8, 'seconds': 21}",29,252532751,25253275103,Wyoming,Mountain West,0,False,1,"{'minutes': 9, 'seconds': 38}",29,0,2005
3,Wyoming,Mountain West,Uncategorized,{'seconds': 56},1,"{'minutes': 7, 'seconds': 25}",70,252532751,25253275104,Louisiana Monroe,Sun Belt,0,False,1,"{'minutes': 8, 'seconds': 21}",70,0,2005
4,Louisiana Monroe,Sun Belt,Uncategorized,"{'minutes': 4, 'seconds': 48}",1,"{'minutes': 2, 'seconds': 37}",18,252532751,25253275105,Wyoming,Mountain West,0,False,1,"{'minutes': 7, 'seconds': 25}",18,0,2005
5,Wyoming,Mountain West,Uncategorized,"{'minutes': 2, 'seconds': 37}",1,{},80,252532751,25253275106,Louisiana Monroe,Sun Belt,0,False,1,"{'minutes': 2, 'seconds': 37}",80,0,2005
6,Wyoming,Mountain West,Uncategorized,{'seconds': 51},2,"{'minutes': 13, 'seconds': 29}",24,252532751,25253275108,Louisiana Monroe,Sun Belt,0,False,2,"{'minutes': 14, 'seconds': 20}",24,0,2005
7,Louisiana Monroe,Sun Belt,Uncategorized,"{'minutes': 2, 'seconds': 22}",2,"{'minutes': 11, 'seconds': 7}",29,252532751,25253275109,Wyoming,Mountain West,0,False,2,"{'minutes': 13, 'seconds': 29}",29,0,2005
8,Wyoming,Mountain West,Uncategorized,"{'minutes': 1, 'seconds': 16}",2,"{'minutes': 9, 'seconds': 51}",82,252532751,25253275110,Louisiana Monroe,Sun Belt,0,False,2,"{'minutes': 11, 'seconds': 7}",82,0,2005
9,Louisiana Monroe,Sun Belt,Uncategorized,"{'minutes': 2, 'seconds': 51}",2,{'minutes': 7},42,252532751,25253275111,Wyoming,Mountain West,0,False,2,"{'minutes': 9, 'seconds': 51}",42,0,2005
10,Wyoming,Mountain West,Uncategorized,{'seconds': 25},2,"{'minutes': 6, 'seconds': 35}",80,252532751,25253275112,Louisiana Monroe,Sun Belt,0,False,2,{'minutes': 7},80,0,2005
11,Louisiana Monroe,Sun Belt,Uncategorized,"{'minutes': 5, 'seconds': 15}",2,"{'minutes': 1, 'seconds': 20}",65,252532751,25253275113,Wyoming,Mountain West,0,False,2,"{'minutes': 6, 'seconds': 35}",65,0,2005
12,Wyoming,Mountain West,Uncategorized,{'seconds': 40},2,{'seconds': 40},80,252532751,25253275114,Louisiana Monroe,Sun Belt,0,False,2,"{'minutes': 1, 'seconds': 20}",80,0,2005
13,Louisiana Monroe,Sun Belt,Uncategorized,{'seconds': 40},2,{},27,252532751,25253275115,Wyoming,Mountain West,0,False,2,{'seconds': 40},27,0,2005
14,Wyoming,Mountain West,Uncategorized,{'seconds': 39},3,"{'minutes': 14, 'seconds': 21}",75,252532751,25253275116,Louisiana Monroe,Sun Belt,0,False,3,{'minutes': 15},75,0,2005
15,Louisiana Monroe,Sun Belt,Uncategorized,"{'minutes': 3, 'seconds': 29}",3,"{'minutes': 10, 'seconds': 52}",32,252532751,25253275117,Wyoming,Mountain West,0,False,3,"{'minutes': 14, 'seconds': 21}",32,0,2005
16,Wyoming,Mountain West,Uncategorized,{'seconds': 54},3,"{'minutes': 9, 'seconds': 58}",80,252532751,25253275118,Louisiana Monroe,Sun Belt,0,False,3,"{'minutes': 10, 'seconds': 52}",80,0,2005
17,Louisiana Monroe,Sun Belt,Uncategorized,{'seconds': 49},3,"{'minutes': 9, 'seconds': 9}",42,252532751,25253275119,Wyoming,Mountain West,0,False,3,"{'minutes': 9, 'seconds': 58}",42,0,2005
18,Wyoming,Mountain West,Uncategorized,"{'minutes': 4, 'seconds': 24}",3,"{'minutes': 4, 'seconds': 45}",80,252532751,25253275120,Louisiana Monroe,Sun Belt,0,False,3,"{'minutes': 9, 'seconds': 9}",80,0,2005
19,Wyoming,Mountain West,Uncategorized,"{'minutes': 4, 'seconds': 45}",3,{},24,252532751,25253275121,Louisiana Monroe,Sun Belt,0,False,3,"{'minutes': 4, 'seconds': 45}",24,0,2005
20,Louisiana Monroe,Sun Belt,Uncategorized,{},3,"{'minutes': 3, 'seconds': 29}",26,252532751,25253275123,Wyoming,Mountain West,0,False,3,"{'minutes': 3, 'seconds': 29}",26,0,2005
21,Wyoming,Mountain West,Uncategorized,"{'minutes': 2, 'seconds': 29}",3,{'minutes': 1},59,252532751,25253275124,Louisiana Monroe,Sun Belt,0,False,3,"{'minutes': 3, 'seconds': 29}",59,0,2005
22,Louisiana Monroe,Sun Belt,Uncategorized,{'minutes': 1},3,{},39,252532751,25253275125,Wyoming,Mountain West,0,False,3,{'minutes': 1},39,0,2005
23,Wyoming,Mountain West,Uncategorized,"{'minutes': 1, 'seconds': 27}",4,"{'minutes': 9, 'seconds': 46}",28,252532751,25253275126,Louisiana Monroe,Sun Belt,0,False,4,"{'minutes': 11, 'seconds': 13}",28,0,2005
24,Louisiana Monroe,Sun Belt,Uncategorized,"{'minutes': 4, 'seconds': 14}",4,"{'minutes': 5, 'seconds': 32}",27,252532751,25253275127,Wyoming,Mountain West,0,False,4,"{'minutes': 9, 'seconds': 46}",27,0,2005
25,Wyoming,Mountain West,Uncategorized,"{'minutes': 4, 'seconds': 17}",4,"{'minutes': 1, 'seconds': 15}",88,252532751,25253275128,Louisiana Monroe,Sun Belt,0,False,4,"{'minutes': 5, 'seconds': 32}",88,0,2005
26,Louisiana Monroe,Sun Belt,Uncategorized,"{'minutes': 1, 'seconds': 15}",4,{},33,252532751,25253275129,Wyoming,Mountain West,0,False,4,"{'minutes': 1, 'seconds': 15}",33,0,2005
27,Georgia,SEC,PUNT,"{'minutes': 5, 'seconds': 26}",1,"{'minutes': 9, 'seconds': 34}",50,252600061,25260006101,Louisiana Monroe,Sun Belt,9,False,1,{'minutes': 15},71,30,2005
28,Louisiana Monroe,Sun Belt,RUSHING TD,"{'minutes': 3, 'seconds': 10}",1,"{'minutes': 6, 'seconds': 24}",100,252600061,25260006102,Georgia,SEC,7,True,1,"{'minutes': 9, 'seconds': 34}",5,95,2005
29,Georgia,SEC,PUNT,"{'minutes': 2, 'seconds': 45}",1,"{'minutes': 3, 'seconds': 39}",85,252600061,25260006103,Louisiana Monroe,Sun Belt,3,False,1,"{'minutes': 6, 'seconds': 24}",80,-5,2005
30,Louisiana Monroe,Sun Belt,PASSING TD,"{'minutes': 2, 'seconds': 59}",1,{'seconds': 40},100,252600061,25260006104,Georgia,SEC,5,True,1,"{'minutes': 3, 'seconds': 39}",34,66,2005
31,Georgia,SEC,PUNT,"{'minutes': 3, 'seconds': 5}",2,"{'minutes': 12, 'seconds': 35}",59,252600061,25260006105,Louisiana Monroe,Sun Belt,5,False,1,{'seconds': 40},79,20,2005
32,Louisiana Monroe,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 16}",2,"{'minutes': 10, 'seconds': 19}",18,252600061,25260006106,Georgia,SEC,3,False,2,"{'minutes': 12, 'seconds': 35}",10,8,2005
33,Louisiana Monroe,Sun Belt,FG GOOD,"{'minutes': 3, 'seconds': 20}",2,"{'minutes': 6, 'seconds': 59}",77,252600061,25260006108,Georgia,SEC,7,True,2,"{'minutes': 10, 'seconds': 19}",55,22,2005
34,Georgia,SEC,PUNT,"{'minutes': 1, 'seconds': 22}",2,"{'minutes': 5, 'seconds': 37}",93,252600061,25260006109,Louisiana Monroe,Sun Belt,3,False,2,"{'minutes': 6, 'seconds': 59}",95,2,2005
