,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Louisiana Tech,Western Athletic,Uncategorized,{},0,{},0,252530057,25253005700,Florida,SEC,5,True,0,{},65,0,2005
1,Florida,SEC,INT,"{'minutes': 1, 'seconds': 2}",1,"{'minutes': 7, 'seconds': 30}",41,252530057,25253005701,Louisiana Tech,Western Athletic,4,False,1,"{'minutes': 8, 'seconds': 32}",53,12,2005
2,Louisiana Tech,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 40}",1,"{'minutes': 5, 'seconds': 50}",23,252530057,25253005702,Florida,SEC,3,False,1,"{'minutes': 7, 'seconds': 30}",15,8,2005
3,Florida,SEC,PUNT,"{'minutes': 1, 'seconds': 43}",1,"{'minutes': 4, 'seconds': 7}",54,252530057,25253005703,Louisiana Tech,Western Athletic,4,False,1,"{'minutes': 5, 'seconds': 50}",68,14,2005
4,Louisiana Tech,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 26}",1,"{'minutes': 1, 'seconds': 41}",58,252530057,25253005704,Florida,SEC,4,False,1,"{'minutes': 4, 'seconds': 7}",27,31,2005
5,Florida,SEC,PUNT,"{'minutes': 3, 'seconds': 2}",2,"{'minutes': 13, 'seconds': 39}",44,252530057,25253005705,Louisiana Tech,Western Athletic,8,False,1,"{'minutes': 1, 'seconds': 41}",86,42,2005
6,Louisiana Tech,Western Athletic,RUSHING TD,"{'minutes': 1, 'seconds': 48}",2,"{'minutes': 11, 'seconds': 51}",100,252530057,25253005706,Florida,SEC,5,True,2,"{'minutes': 13, 'seconds': 39}",47,53,2005
7,Florida,SEC,PUNT,"{'minutes': 2, 'seconds': 38}",2,"{'minutes': 9, 'seconds': 13}",63,252530057,25253005707,Louisiana Tech,Western Athletic,5,False,2,"{'minutes': 11, 'seconds': 51}",81,18,2005
8,Louisiana Tech,Western Athletic,PASSING TD,"{'minutes': 3, 'seconds': 13}",2,{'minutes': 6},100,252530057,25253005708,Florida,SEC,6,True,2,"{'minutes': 9, 'seconds': 13}",28,72,2005
9,Florida,SEC,INT,"{'minutes': 1, 'seconds': 32}",2,"{'minutes': 4, 'seconds': 28}",58,252530057,25253005709,Louisiana Tech,Western Athletic,3,False,2,{'minutes': 6},65,7,2005
