,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Louisiana,Sun Belt,FUMBLE,"{'minutes': 2, 'seconds': 32}",1,"{'minutes': 12, 'seconds': 25}",88,252460251,25246025101,Texas,Big 12,7,False,1,"{'minutes': 14, 'seconds': 57}",20,68,2005
1,Texas,Big 12,PUNT,"{'minutes': 2, 'seconds': 6}",1,"{'minutes': 10, 'seconds': 19}",96,252460251,25246025102,Louisiana,Sun Belt,3,False,1,"{'minutes': 12, 'seconds': 25}",88,-8,2005
2,Louisiana,Sun Belt,RUSHING TD,"{'minutes': 1, 'seconds': 51}",1,"{'minutes': 8, 'seconds': 28}",100,252460251,25246025103,Texas,Big 12,6,True,1,"{'minutes': 10, 'seconds': 19}",65,35,2005
3,Texas,Big 12,FG GOOD,"{'minutes': 3, 'seconds': 2}",1,"{'minutes': 5, 'seconds': 26}",30,252460251,25246025104,Louisiana,Sun Belt,7,True,1,"{'minutes': 8, 'seconds': 28}",70,40,2005
4,Louisiana,Sun Belt,Uncategorized,"{'minutes': 2, 'seconds': 26}",1,{'minutes': 3},96,252460251,25246025105,Texas,Big 12,7,True,1,"{'minutes': 5, 'seconds': 26}",35,61,2005
5,Texas,Big 12,PUNT,"{'minutes': 1, 'seconds': 2}",1,"{'minutes': 1, 'seconds': 58}",94,252460251,25246025106,Louisiana,Sun Belt,3,False,1,{'minutes': 3},96,2,2005
6,Louisiana,Sun Belt,PASSING TD,"{'minutes': 3, 'seconds': 16}",2,"{'minutes': 13, 'seconds': 42}",100,252460251,25246025107,Texas,Big 12,8,True,1,"{'minutes': 1, 'seconds': 58}",43,57,2005
7,Texas,Big 12,PUNT,"{'minutes': 3, 'seconds': 40}",2,"{'minutes': 10, 'seconds': 2}",45,252460251,25246025108,Louisiana,Sun Belt,8,False,2,"{'minutes': 13, 'seconds': 42}",80,35,2005
8,Louisiana,Sun Belt,RUSHING TD,"{'minutes': 2, 'seconds': 24}",2,"{'minutes': 7, 'seconds': 38}",100,252460251,25246025109,Texas,Big 12,5,True,2,"{'minutes': 10, 'seconds': 2}",9,91,2005
9,Texas,Big 12,INT,"{'minutes': 1, 'seconds': 11}",2,"{'minutes': 6, 'seconds': 27}",74,252460251,25246025110,Louisiana,Sun Belt,3,False,2,"{'minutes': 7, 'seconds': 38}",80,6,2005
10,Louisiana,Sun Belt,PASSING TD,{'seconds': 5},2,"{'minutes': 6, 'seconds': 22}",100,252460251,25246025111,Texas,Big 12,1,True,2,"{'minutes': 6, 'seconds': 27}",79,21,2005
11,Texas,Big 12,PUNT,"{'minutes': 3, 'seconds': 7}",2,"{'minutes': 3, 'seconds': 15}",65,252460251,25246025112,Louisiana,Sun Belt,6,False,2,"{'minutes': 6, 'seconds': 22}",80,15,2005
12,Louisiana,Sun Belt,PASSING TD,"{'minutes': 2, 'seconds': 44}",2,{'seconds': 31},100,252460251,25246025113,Texas,Big 12,7,True,2,"{'minutes': 3, 'seconds': 15}",40,60,2005
13,Texas,Big 12,END OF HALF,{'seconds': 31},2,{},77,252460251,25246025114,Louisiana,Sun Belt,1,False,2,{'seconds': 31},81,4,2005
14,Texas,Big 12,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 9}",3,"{'minutes': 13, 'seconds': 48}",82,252460251,25246025115,Louisiana,Sun Belt,3,False,3,"{'minutes': 14, 'seconds': 57}",80,-2,2005
15,Louisiana,Sun Belt,INT,"{'minutes': 1, 'seconds': 47}",3,"{'minutes': 12, 'seconds': 1}",75,252460251,25246025116,Texas,Big 12,4,False,3,"{'minutes': 13, 'seconds': 48}",50,25,2005
16,Texas,Big 12,PUNT,"{'minutes': 2, 'seconds': 22}",3,"{'minutes': 9, 'seconds': 39}",81,252460251,25246025117,Louisiana,Sun Belt,3,False,3,"{'minutes': 12, 'seconds': 1}",88,7,2005
17,Louisiana,Sun Belt,RUSHING TD,"{'minutes': 1, 'seconds': 17}",3,"{'minutes': 8, 'seconds': 22}",100,252460251,25246025118,Texas,Big 12,4,True,3,"{'minutes': 9, 'seconds': 39}",90,10,2005
18,Texas,Big 12,PUNT,"{'minutes': 1, 'seconds': 34}",3,"{'minutes': 6, 'seconds': 48}",73,252460251,25246025119,Louisiana,Sun Belt,3,False,3,"{'minutes': 8, 'seconds': 22}",80,7,2005
19,Louisiana,Sun Belt,RUSHING TD,"{'minutes': 2, 'seconds': 24}",3,"{'minutes': 4, 'seconds': 24}",100,252460251,25246025120,Texas,Big 12,5,True,3,"{'minutes': 6, 'seconds': 48}",65,35,2005
20,Texas,Big 12,PUNT,"{'minutes': 3, 'seconds': 49}",3,{'seconds': 35},45,252460251,25246025121,Louisiana,Sun Belt,8,False,3,"{'minutes': 4, 'seconds': 24}",81,36,2005
