,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,William & Mary,,FG GOOD,"{'minutes': 1, 'seconds': 24}",1,"{'minutes': 13, 'seconds': 32}",89,252440276,25244027601,Marshall,Conference USA,5,True,1,"{'minutes': 14, 'seconds': 56}",22,67,2005
1,Marshall,Conference USA,FG GOOD,"{'minutes': 1, 'seconds': 5}",1,"{'minutes': 12, 'seconds': 27}",30,252440276,25244027602,William & Mary,,5,True,1,"{'minutes': 13, 'seconds': 32}",72,42,2005
2,William & Mary,,PUNT,"{'minutes': 2, 'seconds': 5}",1,"{'minutes': 10, 'seconds': 22}",53,252440276,25244027603,Marshall,Conference USA,5,False,1,"{'minutes': 12, 'seconds': 27}",35,18,2005
3,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 30}",1,"{'minutes': 8, 'seconds': 52}",88,252440276,25244027604,William & Mary,,3,False,1,"{'minutes': 10, 'seconds': 22}",89,1,2005
4,William & Mary,,RUSHING TD,"{'minutes': 3, 'seconds': 14}",1,"{'minutes': 5, 'seconds': 38}",100,252440276,25244027605,Marshall,Conference USA,7,True,1,"{'minutes': 8, 'seconds': 52}",56,44,2005
5,Marshall,Conference USA,PUNT,{'minutes': 1},1,"{'minutes': 4, 'seconds': 38}",76,252440276,25244027606,William & Mary,,3,False,1,"{'minutes': 5, 'seconds': 38}",80,4,2005
6,William & Mary,,PUNT,"{'minutes': 2, 'seconds': 46}",1,"{'minutes': 1, 'seconds': 52}",55,252440276,25244027607,Marshall,Conference USA,5,False,1,"{'minutes': 4, 'seconds': 38}",50,5,2005
7,Marshall,Conference USA,PUNT,{'seconds': 57},1,{'seconds': 55},73,252440276,25244027608,William & Mary,,3,False,1,"{'minutes': 1, 'seconds': 52}",82,9,2005
8,William & Mary,,FG MISSED,"{'minutes': 2, 'seconds': 32}",2,"{'minutes': 13, 'seconds': 23}",65,252440276,25244027609,Marshall,Conference USA,8,False,1,{'seconds': 55},39,26,2005
9,Marshall,Conference USA,INT,"{'minutes': 2, 'seconds': 58}",2,"{'minutes': 10, 'seconds': 25}",40,252440276,25244027610,William & Mary,,6,False,2,"{'minutes': 13, 'seconds': 23}",65,25,2005
10,William & Mary,,INT,{'seconds': 43},2,"{'minutes': 9, 'seconds': 42}",19,252440276,25244027611,Marshall,Conference USA,2,False,2,"{'minutes': 10, 'seconds': 25}",20,-1,2005
11,Marshall,Conference USA,FUMBLE RETURN TD,"{'minutes': 2, 'seconds': 18}",2,"{'minutes': 7, 'seconds': 24}",0,252440276,25244027612,William & Mary,,6,True,2,"{'minutes': 9, 'seconds': 42}",27,27,2005
12,William & Mary,,PASSING TD,"{'minutes': 1, 'seconds': 53}",2,"{'minutes': 5, 'seconds': 31}",100,252440276,25244027613,Marshall,Conference USA,5,True,2,"{'minutes': 7, 'seconds': 24}",20,80,2005
13,Marshall,Conference USA,FUMBLE,"{'minutes': 1, 'seconds': 16}",2,"{'minutes': 4, 'seconds': 15}",29,252440276,25244027614,William & Mary,,4,False,2,"{'minutes': 5, 'seconds': 31}",65,36,2005
14,William & Mary,,PASSING TD,"{'minutes': 2, 'seconds': 49}",2,"{'minutes': 1, 'seconds': 26}",100,252440276,25244027615,Marshall,Conference USA,7,True,2,"{'minutes': 4, 'seconds': 15}",29,71,2005
15,Marshall,Conference USA,END OF HALF,"{'minutes': 1, 'seconds': 26}",2,{},56,252440276,25244027616,William & Mary,,4,False,2,"{'minutes': 1, 'seconds': 26}",81,25,2005
16,Marshall,Conference USA,PASSING TD,"{'minutes': 4, 'seconds': 38}",3,"{'minutes': 10, 'seconds': 21}",0,252440276,25244027617,William & Mary,,11,True,3,"{'minutes': 14, 'seconds': 59}",80,80,2005
17,William & Mary,,PUNT,"{'minutes': 1, 'seconds': 38}",3,"{'minutes': 8, 'seconds': 43}",20,252440276,25244027618,Marshall,Conference USA,3,False,3,"{'minutes': 10, 'seconds': 21}",17,3,2005
18,Marshall,Conference USA,PASSING TD,"{'minutes': 5, 'seconds': 46}",3,"{'minutes': 2, 'seconds': 57}",0,252440276,25244027619,William & Mary,,11,True,3,"{'minutes': 8, 'seconds': 43}",62,62,2005
19,William & Mary,,FUMBLE,{'seconds': 23},3,"{'minutes': 2, 'seconds': 34}",34,252440276,25244027620,Marshall,Conference USA,3,False,3,"{'minutes': 2, 'seconds': 57}",29,5,2005
20,Marshall,Conference USA,FUMBLE,{'seconds': 8},3,"{'minutes': 2, 'seconds': 26}",30,252440276,25244027621,William & Mary,,2,True,3,"{'minutes': 2, 'seconds': 34}",34,4,2005
21,William & Mary,,FUMBLE RETURN TD,"{'minutes': 1, 'seconds': 23}",3,"{'minutes': 1, 'seconds': 3}",30,252440276,25244027622,Marshall,Conference USA,1,False,3,"{'minutes': 2, 'seconds': 26}",97,70,2005
22,Marshall,Conference USA,PUNT,"{'minutes': 2, 'seconds': 4}",4,"{'minutes': 13, 'seconds': 59}",45,252440276,25244027623,William & Mary,,4,False,3,"{'minutes': 1, 'seconds': 3}",68,23,2005
23,William & Mary,,PASSING TD,"{'minutes': 4, 'seconds': 13}",4,"{'minutes': 9, 'seconds': 46}",100,252440276,25244027624,Marshall,Conference USA,11,True,4,"{'minutes': 13, 'seconds': 59}",16,84,2005
24,Marshall,Conference USA,PUNT,"{'minutes': 2, 'seconds': 22}",4,"{'minutes': 7, 'seconds': 24}",68,252440276,25244027625,William & Mary,,5,False,4,"{'minutes': 9, 'seconds': 46}",80,12,2005
25,William & Mary,,PUNT,"{'minutes': 3, 'seconds': 46}",4,"{'minutes': 3, 'seconds': 38}",49,252440276,25244027626,Marshall,Conference USA,6,False,4,"{'minutes': 7, 'seconds': 24}",30,19,2005
26,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 4}",4,"{'minutes': 2, 'seconds': 34}",73,252440276,25244027627,William & Mary,,3,False,4,"{'minutes': 3, 'seconds': 38}",77,4,2005
27,William & Mary,,END OF GAME,"{'minutes': 2, 'seconds': 34}",4,{},73,252440276,25244027628,Marshall,Conference USA,4,False,4,"{'minutes': 2, 'seconds': 34}",59,14,2005
28,Kansas State,Big 12,FG GOOD,"{'minutes': 5, 'seconds': 25}",1,"{'minutes': 9, 'seconds': 35}",73,252530276,25253027601,Marshall,Conference USA,10,True,1,{'minutes': 15},16,57,2005
29,Kansas State,Big 12,Uncategorized,{'seconds': 51},1,"{'minutes': 8, 'seconds': 51}",100,252530276,25253027603,Marshall,Conference USA,2,True,1,"{'minutes': 9, 'seconds': 42}",89,11,2005
30,Marshall,Conference USA,Uncategorized,"{'minutes': 3, 'seconds': 5}",1,"{'minutes': 5, 'seconds': 46}",116,252530276,25253027604,Kansas State,Big 12,7,True,1,"{'minutes': 8, 'seconds': 51}",58,58,2005
31,Kansas State,Big 12,PUNT,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 4, 'seconds': 11}",22,252530276,25253027605,Marshall,Conference USA,3,False,1,"{'minutes': 5, 'seconds': 46}",18,4,2005
32,Marshall,Conference USA,PASSING TD,"{'minutes': 4, 'seconds': 8}",1,{'seconds': 3},0,252530276,25253027606,Kansas State,Big 12,6,True,1,"{'minutes': 4, 'seconds': 11}",73,73,2005
33,Marshall,Conference USA,PASSING TD,"{'minutes': 3, 'seconds': 47}",2,"{'minutes': 11, 'seconds': 10}",0,252530276,25253027608,Kansas State,Big 12,9,True,1,{'seconds': 16},55,55,2005
34,Kansas State,Big 12,PUNT,"{'minutes': 1, 'seconds': 56}",2,"{'minutes': 9, 'seconds': 14}",34,252530276,25253027609,Marshall,Conference USA,5,False,2,"{'minutes': 11, 'seconds': 10}",24,10,2005
35,Marshall,Conference USA,INT,"{'minutes': 1, 'seconds': 49}",2,"{'minutes': 7, 'seconds': 25}",64,252530276,25253027610,Kansas State,Big 12,4,False,2,"{'minutes': 9, 'seconds': 14}",80,16,2005
36,Kansas State,Big 12,FG GOOD,"{'minutes': 2, 'seconds': 18}",2,"{'minutes': 5, 'seconds': 7}",96,252530276,25253027611,Marshall,Conference USA,4,True,2,"{'minutes': 7, 'seconds': 25}",94,2,2005
37,Marshall,Conference USA,PUNT,"{'minutes': 2, 'seconds': 22}",2,"{'minutes': 2, 'seconds': 45}",80,252530276,25253027612,Kansas State,Big 12,3,False,2,"{'minutes': 5, 'seconds': 7}",73,-7,2005
38,Kansas State,Big 12,FUMBLE,"{'minutes': 1, 'seconds': 33}",2,"{'minutes': 1, 'seconds': 45}",97,252530276,25253027614,Marshall,Conference USA,2,False,2,"{'minutes': 3, 'seconds': 18}",51,46,2005
39,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 4}",2,{'seconds': 41},88,252530276,25253027615,Kansas State,Big 12,3,False,2,"{'minutes': 1, 'seconds': 45}",97,9,2005
40,Kansas State,Big 12,INT,{'seconds': 41},2,{},49,252530276,25253027616,Marshall,Conference USA,6,False,2,{'seconds': 41},38,11,2005
41,Marshall,Conference USA,END OF HALF,{},2,{},91,252530276,25253027617,Kansas State,Big 12,1,False,2,{},91,0,2005
42,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 44}",3,"{'minutes': 13, 'seconds': 1}",81,252530276,25253027618,Kansas State,Big 12,3,False,3,"{'minutes': 14, 'seconds': 45}",86,5,2005
43,Kansas State,Big 12,FG MISSED,"{'minutes': 3, 'seconds': 51}",3,"{'minutes': 9, 'seconds': 10}",70,252530276,25253027619,Marshall,Conference USA,10,False,3,"{'minutes': 13, 'seconds': 1}",41,29,2005
44,Marshall,Conference USA,FG MISSED,"{'minutes': 5, 'seconds': 54}",3,"{'minutes': 3, 'seconds': 16}",28,252530276,25253027620,Kansas State,Big 12,10,False,3,"{'minutes': 9, 'seconds': 10}",70,42,2005
45,Kansas State,Big 12,RUSHING TD,"{'minutes': 4, 'seconds': 4}",4,"{'minutes': 14, 'seconds': 12}",100,252530276,25253027621,Marshall,Conference USA,8,True,3,"{'minutes': 3, 'seconds': 16}",28,72,2005
46,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 32}",4,"{'minutes': 12, 'seconds': 40}",68,252530276,25253027622,Kansas State,Big 12,3,False,4,"{'minutes': 14, 'seconds': 12}",68,0,2005
47,Kansas State,Big 12,PUNT,{'seconds': 56},4,"{'minutes': 11, 'seconds': 44}",14,252530276,25253027623,Marshall,Conference USA,3,False,4,"{'minutes': 12, 'seconds': 40}",18,-4,2005
48,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 6}",4,"{'minutes': 10, 'seconds': 38}",58,252530276,25253027624,Kansas State,Big 12,3,False,4,"{'minutes': 11, 'seconds': 44}",66,8,2005
