,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Ole Miss,SEC,Uncategorized,{},1,{'minutes': 15},35,252480235,25248023501,Memphis,Conference USA,0,False,1,{'minutes': 15},35,0,2005
1,Memphis,Conference USA,FG GOOD,"{'minutes': 1, 'seconds': 51}",1,"{'minutes': 13, 'seconds': 9}",18,252480235,25248023502,Ole Miss,SEC,6,True,1,{'minutes': 15},65,47,2005
2,Ole Miss,SEC,PUNT,"{'minutes': 1, 'seconds': 30}",1,"{'minutes': 11, 'seconds': 39}",20,252480235,25248023503,Memphis,Conference USA,3,False,1,"{'minutes': 13, 'seconds': 9}",20,0,2005
3,Memphis,Conference USA,INT,"{'minutes': 4, 'seconds': 33}",1,"{'minutes': 7, 'seconds': 6}",38,252480235,25248023504,Ole Miss,SEC,8,False,1,"{'minutes': 11, 'seconds': 39}",55,17,2005
4,Ole Miss,SEC,FG GOOD,"{'minutes': 4, 'seconds': 58}",1,"{'minutes': 2, 'seconds': 8}",83,252480235,25248023505,Memphis,Conference USA,10,True,1,"{'minutes': 7, 'seconds': 6}",19,64,2005
5,Memphis,Conference USA,FG MISSED,"{'minutes': 6, 'seconds': 23}",2,"{'minutes': 10, 'seconds': 45}",9,252480235,25248023506,Ole Miss,SEC,13,False,1,"{'minutes': 2, 'seconds': 8}",80,71,2005
6,Ole Miss,SEC,FG GOOD,"{'minutes': 6, 'seconds': 10}",2,"{'minutes': 4, 'seconds': 35}",71,252480235,25248023507,Memphis,Conference USA,12,True,2,"{'minutes': 10, 'seconds': 45}",20,51,2005
7,Memphis,Conference USA,PUNT,"{'minutes': 1, 'seconds': 41}",2,"{'minutes': 2, 'seconds': 54}",69,252480235,25248023508,Ole Miss,SEC,3,False,2,"{'minutes': 4, 'seconds': 35}",73,4,2005
8,Ole Miss,SEC,PUNT,"{'minutes': 1, 'seconds': 24}",2,"{'minutes': 1, 'seconds': 30}",45,252480235,25248023509,Memphis,Conference USA,3,False,2,"{'minutes': 2, 'seconds': 54}",42,3,2005
9,Memphis,Conference USA,INT,"{'minutes': 1, 'seconds': 30}",2,{},40,252480235,25248023510,Ole Miss,SEC,5,False,2,"{'minutes': 1, 'seconds': 30}",67,27,2005
10,Memphis,Conference USA,END OF HALF,{},3,{'minutes': 15},70,252480235,25248023511,Ole Miss,SEC,0,False,2,{},15,15,2005
11,Ole Miss,SEC,PUNT,"{'minutes': 1, 'seconds': 14}",3,"{'minutes': 13, 'seconds': 46}",25,252480235,25248023512,Memphis,Conference USA,3,False,3,{'minutes': 15},20,5,2005
12,Memphis,Conference USA,PUNT,"{'minutes': 2, 'seconds': 26}",3,"{'minutes': 11, 'seconds': 20}",68,252480235,25248023513,Ole Miss,SEC,5,False,3,"{'minutes': 13, 'seconds': 46}",70,2,2005
13,Ole Miss,SEC,PUNT,"{'minutes': 1, 'seconds': 55}",3,"{'minutes': 9, 'seconds': 25}",18,252480235,25248023514,Memphis,Conference USA,3,False,3,"{'minutes': 11, 'seconds': 20}",15,3,2005
14,Memphis,Conference USA,FG MISSED,"{'minutes': 1, 'seconds': 59}",3,"{'minutes': 7, 'seconds': 26}",23,252480235,25248023515,Ole Miss,SEC,7,False,3,"{'minutes': 9, 'seconds': 25}",57,34,2005
15,Ole Miss,SEC,INT,{'seconds': 10},3,"{'minutes': 7, 'seconds': 16}",24,252480235,25248023516,Memphis,Conference USA,1,False,3,"{'minutes': 7, 'seconds': 26}",24,0,2005
16,Memphis,Conference USA,RUSHING TD,"{'minutes': 1, 'seconds': 31}",3,"{'minutes': 5, 'seconds': 45}",0,252480235,25248023517,Ole Miss,SEC,4,True,3,"{'minutes': 7, 'seconds': 16}",17,17,2005
17,Ole Miss,SEC,PUNT,"{'minutes': 4, 'seconds': 6}",3,"{'minutes': 1, 'seconds': 39}",44,252480235,25248023518,Memphis,Conference USA,6,False,3,"{'minutes': 5, 'seconds': 45}",20,24,2005
18,Memphis,Conference USA,PUNT,"{'minutes': 2, 'seconds': 31}",4,"{'minutes': 14, 'seconds': 8}",60,252480235,25248023519,Ole Miss,SEC,6,False,3,"{'minutes': 1, 'seconds': 39}",78,18,2005
19,Ole Miss,SEC,PUNT,{'seconds': 48},4,"{'minutes': 13, 'seconds': 20}",37,252480235,25248023520,Memphis,Conference USA,3,False,4,"{'minutes': 14, 'seconds': 8}",35,2,2005
20,Memphis,Conference USA,PUNT,"{'minutes': 1, 'seconds': 14}",4,"{'minutes': 12, 'seconds': 6}",54,252480235,25248023521,Ole Miss,SEC,3,False,4,"{'minutes': 13, 'seconds': 20}",53,-1,2005
21,Ole Miss,SEC,PUNT,"{'minutes': 3, 'seconds': 16}",4,"{'minutes': 8, 'seconds': 50}",50,252480235,25248023522,Memphis,Conference USA,8,False,4,"{'minutes': 12, 'seconds': 6}",26,24,2005
22,Memphis,Conference USA,PUNT,"{'minutes': 3, 'seconds': 42}",4,"{'minutes': 5, 'seconds': 8}",77,252480235,25248023523,Ole Miss,SEC,6,False,4,"{'minutes': 8, 'seconds': 50}",99,22,2005
23,Ole Miss,SEC,FUMBLE,"{'minutes': 2, 'seconds': 31}",4,"{'minutes': 2, 'seconds': 37}",70,252480235,25248023524,Memphis,Conference USA,6,False,4,"{'minutes': 5, 'seconds': 8}",35,35,2005
24,Memphis,Conference USA,PUNT,"{'minutes': 1, 'seconds': 5}",4,"{'minutes': 1, 'seconds': 32}",80,252480235,25248023525,Ole Miss,SEC,3,False,4,"{'minutes': 2, 'seconds': 37}",70,-10,2005
25,Ole Miss,SEC,INT,"{'minutes': 1, 'seconds': 15}",4,{'seconds': 17},94,252480235,25248023526,Memphis,Conference USA,11,False,4,"{'minutes': 1, 'seconds': 32}",50,44,2005
26,Memphis,Conference USA,END OF GAME,{'seconds': 17},4,{},68,252480235,25248023527,Ole Miss,SEC,1,False,4,{'seconds': 17},66,-2,2005
27,Chattanooga,,PUNT,"{'minutes': 1, 'seconds': 37}",1,"{'minutes': 13, 'seconds': 23}",46,252600235,25260023501,Memphis,Conference USA,5,False,1,{'minutes': 15},24,22,2005
