,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Miami (OH),Mid-American,PASSING TD,"{'minutes': 5, 'seconds': 36}",1,"{'minutes': 9, 'seconds': 24}",100,252460194,25246019401,Ohio State,Big Ten,12,True,1,{'minutes': 15},26,74,2005
1,Ohio State,Big Ten,PUNT,"{'minutes': 5, 'seconds': 15}",1,"{'minutes': 4, 'seconds': 9}",61,252460194,25246019402,Miami (OH),Mid-American,8,False,1,"{'minutes': 9, 'seconds': 24}",80,19,2005
2,Miami (OH),Mid-American,FG GOOD,{'minutes': 3},1,"{'minutes': 1, 'seconds': 9}",97,252460194,25246019403,Ohio State,Big Ten,9,True,1,"{'minutes': 4, 'seconds': 9}",34,63,2005
3,Ohio State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 9}",2,{'minutes': 15},81,252460194,25246019404,Miami (OH),Mid-American,3,False,1,"{'minutes': 1, 'seconds': 9}",80,-1,2005
4,Miami (OH),Mid-American,INT,"{'minutes': 3, 'seconds': 35}",2,"{'minutes': 11, 'seconds': 25}",83,252460194,25246019405,Ohio State,Big Ten,8,False,2,{'minutes': 15},54,29,2005
5,Ohio State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 8}",2,"{'minutes': 9, 'seconds': 17}",50,252460194,25246019406,Miami (OH),Mid-American,6,False,2,"{'minutes': 11, 'seconds': 25}",80,30,2005
6,Miami (OH),Mid-American,FG GOOD,"{'minutes': 6, 'seconds': 38}",2,"{'minutes': 2, 'seconds': 39}",90,252460194,25246019407,Ohio State,Big Ten,14,True,2,"{'minutes': 9, 'seconds': 17}",20,70,2005
7,Ohio State,Big Ten,PUNT,{'minutes': 1},2,"{'minutes': 1, 'seconds': 39}",95,252460194,25246019408,Miami (OH),Mid-American,3,False,2,"{'minutes': 2, 'seconds': 39}",80,-15,2005
8,Miami (OH),Mid-American,INT,{'seconds': 16},2,"{'minutes': 1, 'seconds': 23}",23,252460194,25246019409,Ohio State,Big Ten,1,True,2,"{'minutes': 1, 'seconds': 39}",77,-34,2005
9,Miami (OH),Mid-American,Uncategorized,{'seconds': 2},2,"{'minutes': 1, 'seconds': 21}",75,252460194,25246019410,Ohio State,Big Ten,0,True,2,"{'minutes': 1, 'seconds': 23}",75,0,2005
10,Ohio State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 5}",2,{'seconds': 16},51,252460194,25246019411,Miami (OH),Mid-American,7,False,2,"{'minutes': 1, 'seconds': 21}",80,29,2005
11,Miami (OH),Mid-American,END OF HALF,{'seconds': 16},2,{},10,252460194,25246019412,Ohio State,Big Ten,1,False,2,{'seconds': 16},11,-1,2005
12,Ohio State,Big Ten,PUNT,"{'minutes': 3, 'seconds': 39}",3,"{'minutes': 11, 'seconds': 16}",45,252460194,25246019413,Miami (OH),Mid-American,7,False,3,"{'minutes': 14, 'seconds': 55}",81,36,2005
13,Miami (OH),Mid-American,RUSHING TD,"{'minutes': 4, 'seconds': 11}",3,"{'minutes': 7, 'seconds': 5}",100,252460194,25246019414,Ohio State,Big Ten,10,True,3,"{'minutes': 11, 'seconds': 16}",20,80,2005
14,Ohio State,Big Ten,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 54}",3,"{'minutes': 3, 'seconds': 11}",41,252460194,25246019415,Miami (OH),Mid-American,11,False,3,"{'minutes': 7, 'seconds': 5}",85,44,2005
15,Miami (OH),Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 3}",3,"{'minutes': 2, 'seconds': 8}",100,252460194,25246019416,Ohio State,Big Ten,3,True,3,"{'minutes': 3, 'seconds': 11}",41,59,2005
16,Ohio State,Big Ten,PUNT,{'seconds': 57},3,"{'minutes': 1, 'seconds': 11}",75,252460194,25246019417,Miami (OH),Mid-American,3,False,3,"{'minutes': 2, 'seconds': 8}",80,5,2005
