,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Florida State,ACC,FG MISSED,"{'minutes': 2, 'seconds': 58}",1,"{'minutes': 11, 'seconds': 55}",31,252480052,25248005201,Miami,ACC,7,False,1,"{'minutes': 14, 'seconds': 53}",66,35,2005
1,Miami,ACC,PUNT,"{'minutes': 1, 'seconds': 27}",1,"{'minutes': 10, 'seconds': 28}",33,252480052,25248005202,Florida State,ACC,3,False,1,"{'minutes': 11, 'seconds': 55}",31,2,2005
2,Florida State,ACC,INT,{},1,"{'minutes': 10, 'seconds': 28}",72,252480052,25248005203,Miami,ACC,1,False,1,"{'minutes': 10, 'seconds': 28}",72,0,2005
3,Miami,ACC,RUSHING TD,"{'minutes': 1, 'seconds': 55}",1,"{'minutes': 8, 'seconds': 33}",100,252480052,25248005204,Florida State,ACC,5,True,1,"{'minutes': 10, 'seconds': 28}",71,29,2005
4,Florida State,ACC,PUNT,"{'minutes': 1, 'seconds': 40}",1,"{'minutes': 6, 'seconds': 53}",77,252480052,25248005205,Miami,ACC,3,False,1,"{'minutes': 8, 'seconds': 33}",82,5,2005
5,Miami,ACC,FG GOOD,"{'minutes': 3, 'seconds': 11}",1,"{'minutes': 3, 'seconds': 42}",80,252480052,25248005206,Florida State,ACC,7,True,1,"{'minutes': 6, 'seconds': 53}",35,45,2005
6,Florida State,ACC,FG MISSED,"{'minutes': 3, 'seconds': 14}",1,{'seconds': 28},23,252480052,25248005207,Miami,ACC,8,False,1,"{'minutes': 3, 'seconds': 42}",74,51,2005
7,Miami,ACC,PUNT,"{'minutes': 1, 'seconds': 24}",2,"{'minutes': 14, 'seconds': 4}",20,252480052,25248005208,Florida State,ACC,3,False,1,{'seconds': 28},23,-3,2005
8,Florida State,ACC,INT,"{'minutes': 2, 'seconds': 5}",2,"{'minutes': 11, 'seconds': 59}",48,252480052,25248005209,Miami,ACC,5,False,2,"{'minutes': 14, 'seconds': 4}",69,21,2005
9,Miami,ACC,PUNT,"{'minutes': 1, 'seconds': 9}",2,"{'minutes': 10, 'seconds': 50}",43,252480052,25248005210,Florida State,ACC,3,False,2,"{'minutes': 11, 'seconds': 59}",43,0,2005
10,Florida State,ACC,PUNT,"{'minutes': 1, 'seconds': 3}",2,"{'minutes': 9, 'seconds': 47}",68,252480052,25248005211,Miami,ACC,3,False,2,"{'minutes': 10, 'seconds': 50}",85,17,2005
11,Miami,ACC,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 6}",2,"{'minutes': 8, 'seconds': 41}",66,252480052,25248005212,Florida State,ACC,4,False,2,"{'minutes': 9, 'seconds': 47}",45,21,2005
12,Florida State,ACC,PASSING TD,"{'minutes': 1, 'seconds': 36}",2,"{'minutes': 7, 'seconds': 5}",0,252480052,25248005213,Miami,ACC,5,True,2,"{'minutes': 8, 'seconds': 41}",66,66,2005
13,Miami,ACC,PUNT,"{'minutes': 1, 'seconds': 37}",2,"{'minutes': 5, 'seconds': 28}",30,252480052,25248005214,Florida State,ACC,5,False,2,"{'minutes': 7, 'seconds': 5}",20,10,2005
14,Florida State,ACC,PUNT,"{'minutes': 1, 'seconds': 38}",2,"{'minutes': 3, 'seconds': 50}",62,252480052,25248005215,Miami,ACC,3,False,2,"{'minutes': 5, 'seconds': 28}",56,-6,2005
15,Miami,ACC,INT,{'seconds': 6},2,"{'minutes': 3, 'seconds': 44}",30,252480052,25248005216,Florida State,ACC,1,False,2,"{'minutes': 3, 'seconds': 50}",30,0,2005
16,Florida State,ACC,PUNT,{'minutes': 3},2,{'seconds': 44},45,252480052,25248005217,Miami,ACC,4,False,2,"{'minutes': 3, 'seconds': 44}",61,16,2005
17,Miami,ACC,FUMBLE,{'seconds': 35},2,{'seconds': 9},42,252480052,25248005218,Florida State,ACC,3,False,2,{'seconds': 44},20,22,2005
18,Florida State,ACC,END OF HALF,{'seconds': 9},2,{},42,252480052,25248005219,Miami,ACC,1,False,2,{'seconds': 9},42,0,2005
19,Miami,ACC,PUNT,{'seconds': 39},3,"{'minutes': 14, 'seconds': 21}",44,252480052,25248005220,Florida State,ACC,6,False,3,{'minutes': 15},20,24,2005
20,Florida State,ACC,PUNT,"{'minutes': 1, 'seconds': 31}",3,"{'minutes': 12, 'seconds': 50}",71,252480052,25248005221,Miami,ACC,3,False,3,"{'minutes': 14, 'seconds': 21}",74,3,2005
21,Miami,ACC,FG MISSED,"{'minutes': 2, 'seconds': 18}",3,"{'minutes': 10, 'seconds': 32}",92,252480052,25248005222,Florida State,ACC,4,False,3,"{'minutes': 12, 'seconds': 50}",98,-6,2005
22,Florida State,ACC,PUNT,"{'minutes': 3, 'seconds': 23}",3,"{'minutes': 7, 'seconds': 9}",36,252480052,25248005223,Miami,ACC,6,False,3,"{'minutes': 10, 'seconds': 32}",80,44,2005
23,Miami,ACC,PUNT,"{'minutes': 2, 'seconds': 11}",3,"{'minutes': 4, 'seconds': 58}",16,252480052,25248005224,Florida State,ACC,4,False,3,"{'minutes': 7, 'seconds': 9}",4,12,2005
24,Florida State,ACC,PUNT,"{'minutes': 1, 'seconds': 45}",3,"{'minutes': 3, 'seconds': 13}",47,252480052,25248005225,Miami,ACC,3,False,3,"{'minutes': 4, 'seconds': 58}",40,-7,2005
25,Miami,ACC,PUNT,"{'minutes': 1, 'seconds': 43}",3,"{'minutes': 1, 'seconds': 30}",31,252480052,25248005226,Florida State,ACC,5,False,3,"{'minutes': 3, 'seconds': 13}",15,16,2005
26,Florida State,ACC,PUNT,"{'minutes': 2, 'seconds': 17}",4,"{'minutes': 14, 'seconds': 13}",83,252480052,25248005227,Miami,ACC,3,False,3,"{'minutes': 1, 'seconds': 30}",67,-16,2005
27,Miami,ACC,PUNT,"{'minutes': 2, 'seconds': 12}",4,"{'minutes': 12, 'seconds': 1}",58,252480052,25248005228,Florida State,ACC,4,False,4,"{'minutes': 14, 'seconds': 13}",55,3,2005
28,Florida State,ACC,FUMBLE,"{'minutes': 9, 'seconds': 39}",4,"{'minutes': 2, 'seconds': 22}",16,252480052,25248005229,Miami,ACC,18,False,4,"{'minutes': 12, 'seconds': 1}",97,81,2005
29,Miami,ACC,END OF GAME,"{'minutes': 2, 'seconds': 22}",4,{},21,252480052,25248005230,Florida State,ACC,4,False,4,"{'minutes': 2, 'seconds': 22}",16,5,2005
30,Miami,ACC,PUNT,"{'minutes': 1, 'seconds': 34}",1,"{'minutes': 13, 'seconds': 26}",31,252600228,25260022801,Clemson,ACC,5,False,1,{'minutes': 15},20,11,2005
31,Clemson,ACC,PUNT,"{'minutes': 2, 'seconds': 20}",1,"{'minutes': 11, 'seconds': 6}",63,252600228,25260022802,Miami,ACC,5,False,1,"{'minutes': 13, 'seconds': 26}",64,1,2005
32,Miami,ACC,PUNT,"{'minutes': 2, 'seconds': 5}",1,"{'minutes': 9, 'seconds': 1}",21,252600228,25260022803,Clemson,ACC,4,False,1,"{'minutes': 11, 'seconds': 6}",14,7,2005
33,Clemson,ACC,PUNT,"{'minutes': 2, 'seconds': 34}",1,"{'minutes': 6, 'seconds': 27}",50,252600228,25260022804,Miami,ACC,4,False,1,"{'minutes': 9, 'seconds': 1}",49,-1,2005
34,Miami,ACC,PUNT,"{'minutes': 1, 'seconds': 41}",1,"{'minutes': 4, 'seconds': 46}",29,252600228,25260022805,Clemson,ACC,3,False,1,"{'minutes': 6, 'seconds': 27}",20,9,2005
35,Clemson,ACC,FG GOOD,"{'minutes': 4, 'seconds': 26}",1,{'seconds': 20},20,252600228,25260022806,Miami,ACC,11,True,1,"{'minutes': 4, 'seconds': 46}",67,47,2005
36,Miami,ACC,PASSING TD,{'minutes': 1},2,"{'minutes': 14, 'seconds': 14}",100,252600228,25260022807,Clemson,ACC,5,True,1,{'seconds': 20},16,84,2005
37,Clemson,ACC,PUNT,"{'minutes': 1, 'seconds': 41}",2,"{'minutes': 12, 'seconds': 33}",51,252600228,25260022808,Miami,ACC,3,False,2,"{'minutes': 14, 'seconds': 14}",47,-4,2005
38,Miami,ACC,PUNT,"{'minutes': 1, 'seconds': 39}",2,"{'minutes': 10, 'seconds': 54}",37,252600228,25260022809,Clemson,ACC,3,False,2,"{'minutes': 12, 'seconds': 33}",26,11,2005
39,Clemson,ACC,PUNT,"{'minutes': 1, 'seconds': 6}",2,"{'minutes': 9, 'seconds': 48}",67,252600228,25260022810,Miami,ACC,3,False,2,"{'minutes': 10, 'seconds': 54}",73,6,2005
40,Miami,ACC,FG GOOD,"{'minutes': 5, 'seconds': 12}",2,"{'minutes': 4, 'seconds': 36}",82,252600228,25260022811,Clemson,ACC,11,True,2,"{'minutes': 9, 'seconds': 48}",20,62,2005
41,Clemson,ACC,FG GOOD,"{'minutes': 2, 'seconds': 5}",2,"{'minutes': 2, 'seconds': 31}",20,252600228,25260022812,Miami,ACC,7,True,2,"{'minutes': 4, 'seconds': 36}",70,50,2005
42,Miami,ACC,END OF HALF,"{'minutes': 2, 'seconds': 31}",2,{},48,252600228,25260022813,Clemson,ACC,5,False,2,"{'minutes': 2, 'seconds': 31}",21,27,2005
43,Clemson,ACC,PUNT,"{'minutes': 3, 'seconds': 1}",3,"{'minutes': 11, 'seconds': 52}",59,252600228,25260022814,Miami,ACC,6,False,3,"{'minutes': 14, 'seconds': 53}",57,-2,2005
44,Miami,ACC,PUNT,"{'minutes': 2, 'seconds': 4}",3,"{'minutes': 9, 'seconds': 48}",13,252600228,25260022815,Clemson,ACC,3,False,3,"{'minutes': 11, 'seconds': 52}",7,6,2005
45,Clemson,ACC,PASSING TD,"{'minutes': 5, 'seconds': 23}",3,"{'minutes': 4, 'seconds': 25}",0,252600228,25260022816,Miami,ACC,9,True,3,"{'minutes': 9, 'seconds': 48}",47,47,2005
46,Miami,ACC,FG MISSED,"{'minutes': 2, 'seconds': 26}",3,"{'minutes': 1, 'seconds': 59}",67,252600228,25260022817,Clemson,ACC,8,False,3,"{'minutes': 4, 'seconds': 25}",35,32,2005
47,Clemson,ACC,RUSHING TD,"{'minutes': 2, 'seconds': 39}",4,"{'minutes': 14, 'seconds': 14}",0,252600228,25260022818,Miami,ACC,7,True,3,"{'minutes': 1, 'seconds': 59}",67,67,2005
48,Miami,ACC,PUNT,"{'minutes': 2, 'seconds': 35}",4,"{'minutes': 11, 'seconds': 39}",47,252600228,25260022819,Clemson,ACC,5,False,4,"{'minutes': 14, 'seconds': 14}",21,26,2005
49,Clemson,ACC,PUNT,"{'minutes': 4, 'seconds': 38}",4,"{'minutes': 7, 'seconds': 1}",47,252600228,25260022820,Miami,ACC,8,False,4,"{'minutes': 11, 'seconds': 39}",77,30,2005
50,Miami,ACC,RUSHING TD,"{'minutes': 4, 'seconds': 3}",4,"{'minutes': 2, 'seconds': 58}",100,252600228,25260022821,Clemson,ACC,10,True,4,"{'minutes': 7, 'seconds': 1}",19,81,2005
51,Clemson,ACC,PUNT,"{'minutes': 1, 'seconds': 38}",4,"{'minutes': 1, 'seconds': 20}",85,252600228,25260022822,Miami,ACC,3,False,4,"{'minutes': 2, 'seconds': 58}",80,-5,2005
52,Miami,ACC,FG GOOD,"{'minutes': 1, 'seconds': 5}",4,{'seconds': 15},90,252600228,25260022823,Clemson,ACC,8,True,4,"{'minutes': 1, 'seconds': 20}",44,46,2005
53,Clemson,ACC,END OF GAME,{'seconds': 15},4,{},77,252600228,25260022824,Miami,ACC,1,False,4,{'seconds': 15},80,3,2005
54,Clemson,ACC,RUSHING TD,{},5,{'minutes': 15},0,252600228,25260022825,Miami,ACC,5,True,5,{'minutes': 15},75,25,2005
55,Miami,ACC,PASSING TD,{},5,{'minutes': 15},100,252600228,25260022826,Clemson,ACC,6,True,5,{'minutes': 15},65,25,2005
56,Miami,ACC,FG GOOD,{},5,{'minutes': 15},78,252600228,25260022828,Clemson,ACC,4,True,5,{'minutes': 15},75,3,2005
57,Clemson,ACC,FG GOOD,{},5,{'minutes': 15},2,252600228,25260022829,Miami,ACC,6,True,5,{'minutes': 15},25,23,2005
58,Clemson,ACC,RUSHING TD,{},5,{'minutes': 15},0,252600228,25260022830,Miami,ACC,2,True,5,{'minutes': 15},25,25,2005
59,Miami,ACC,INT,{},5,{'minutes': 15},75,252600228,25260022831,Clemson,ACC,2,False,5,{'minutes': 15},75,0,2005
