,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Northern Illinois,Mid-American,PASSING TD,"{'minutes': 5, 'seconds': 26}",1,"{'minutes': 9, 'seconds': 29}",100,252460130,25246013001,Michigan,Big Ten,14,True,1,"{'minutes': 14, 'seconds': 55}",26,74,2005
1,Michigan,Big Ten,FG GOOD,"{'minutes': 6, 'seconds': 55}",1,"{'minutes': 2, 'seconds': 34}",7,252460130,25246013002,Northern Illinois,Mid-American,16,True,1,"{'minutes': 9, 'seconds': 29}",93,86,2005
2,Northern Illinois,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 14}",1,{'seconds': 20},100,252460130,25246013003,Michigan,Big Ten,6,True,1,"{'minutes': 2, 'seconds': 34}",22,78,2005
3,Michigan,Big Ten,RUSHING TD,{'seconds': 33},2,"{'minutes': 14, 'seconds': 40}",0,252460130,25246013004,Northern Illinois,Mid-American,2,True,1,{'seconds': 20},80,80,2005
4,Northern Illinois,Mid-American,RUSHING TD,"{'minutes': 5, 'seconds': 52}",2,"{'minutes': 8, 'seconds': 48}",100,252460130,25246013005,Michigan,Big Ten,13,True,2,"{'minutes': 14, 'seconds': 40}",30,70,2005
5,Michigan,Big Ten,PUNT,"{'minutes': 1, 'seconds': 4}",2,"{'minutes': 7, 'seconds': 44}",80,252460130,25246013006,Northern Illinois,Mid-American,3,False,2,"{'minutes': 8, 'seconds': 48}",80,0,2005
6,Northern Illinois,Mid-American,FG MISSED,"{'minutes': 2, 'seconds': 34}",2,"{'minutes': 5, 'seconds': 10}",69,252460130,25246013007,Michigan,Big Ten,6,False,2,"{'minutes': 7, 'seconds': 44}",42,27,2005
7,Michigan,Big Ten,FUMBLE,{'seconds': 56},2,"{'minutes': 4, 'seconds': 14}",13,252460130,25246013008,Northern Illinois,Mid-American,3,False,2,"{'minutes': 5, 'seconds': 10}",69,56,2005
8,Northern Illinois,Mid-American,PUNT,"{'minutes': 2, 'seconds': 49}",2,"{'minutes': 1, 'seconds': 25}",46,252460130,25246013009,Michigan,Big Ten,7,False,2,"{'minutes': 4, 'seconds': 14}",13,33,2005
9,Northern Illinois,Mid-American,RUSHING TD,{'seconds': 58},2,{'seconds': 27},100,252460130,25246013011,Michigan,Big Ten,3,True,2,"{'minutes': 1, 'seconds': 25}",86,14,2005
10,Michigan,Big Ten,END OF HALF,{'seconds': 27},2,{},81,252460130,25246013012,Northern Illinois,Mid-American,1,False,2,{'seconds': 27},80,-1,2005
11,Michigan,Big Ten,FG MISSED,"{'minutes': 3, 'seconds': 46}",3,"{'minutes': 11, 'seconds': 14}",18,252460130,25246013013,Northern Illinois,Mid-American,10,False,3,{'minutes': 15},80,62,2005
12,Northern Illinois,Mid-American,TURNOVER ON DOWNS,"{'minutes': 6, 'seconds': 25}",3,"{'minutes': 4, 'seconds': 49}",90,252460130,25246013014,Michigan,Big Ten,14,False,3,"{'minutes': 11, 'seconds': 14}",24,66,2005
13,Michigan,Big Ten,FUMBLE,"{'minutes': 1, 'seconds': 14}",3,"{'minutes': 3, 'seconds': 35}",63,252460130,25246013015,Northern Illinois,Mid-American,3,False,3,"{'minutes': 4, 'seconds': 49}",90,27,2005
14,Northern Illinois,Mid-American,FUMBLE,"{'minutes': 1, 'seconds': 8}",3,"{'minutes': 2, 'seconds': 27}",98,252460130,25246013016,Michigan,Big Ten,4,False,3,"{'minutes': 3, 'seconds': 35}",63,35,2005
15,Michigan,Big Ten,INT,"{'minutes': 2, 'seconds': 41}",4,"{'minutes': 14, 'seconds': 46}",85,252460130,25246013017,Northern Illinois,Mid-American,6,False,3,"{'minutes': 2, 'seconds': 27}",98,13,2005
16,Northern Illinois,Mid-American,FG GOOD,"{'minutes': 1, 'seconds': 36}",4,"{'minutes': 13, 'seconds': 10}",79,252460130,25246013018,Michigan,Big Ten,4,True,4,"{'minutes': 14, 'seconds': 46}",74,5,2005
17,Michigan,Big Ten,FUMBLE,"{'minutes': 1, 'seconds': 3}",4,"{'minutes': 12, 'seconds': 7}",66,252460130,25246013019,Northern Illinois,Mid-American,3,False,4,"{'minutes': 13, 'seconds': 10}",75,9,2005
18,Northern Illinois,Mid-American,FG GOOD,"{'minutes': 2, 'seconds': 53}",4,"{'minutes': 9, 'seconds': 14}",95,252460130,25246013020,Michigan,Big Ten,6,True,4,"{'minutes': 12, 'seconds': 7}",66,29,2005
19,Michigan,Big Ten,RUSHING TD,"{'minutes': 6, 'seconds': 9}",4,"{'minutes': 3, 'seconds': 5}",0,252460130,25246013021,Northern Illinois,Mid-American,12,True,4,"{'minutes': 9, 'seconds': 14}",80,80,2005
20,Northern Illinois,Mid-American,END OF GAME,"{'minutes': 3, 'seconds': 5}",4,{},79,252460130,25246013022,Michigan,Big Ten,7,False,4,"{'minutes': 3, 'seconds': 5}",56,23,2005
21,Michigan,Big Ten,PASSING TD,"{'minutes': 3, 'seconds': 1}",1,"{'minutes': 11, 'seconds': 56}",0,252530130,25253013001,Notre Dame,FBS Independents,12,True,1,"{'minutes': 14, 'seconds': 57}",76,76,2005
22,Notre Dame,FBS Independents,PUNT,"{'minutes': 2, 'seconds': 43}",1,"{'minutes': 9, 'seconds': 13}",39,252530130,25253013002,Michigan,Big Ten,6,False,1,"{'minutes': 11, 'seconds': 56}",19,20,2005
