,attendance,away_conference,away_line_scores,away_points,away_team,conference_game,home_conference,home_line_scores,home_points,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week
0,,,[],15,Cumberland,,FBS Independents,[],6,Mississippi State,3376,False,1902,regular,1902-10-17T00:00:00.000Z,,,6
1,,FBS Independents,[],21,Ole Miss,,FBS Independents,[],0,Mississippi State,3447,False,1902,regular,1902-10-25T00:00:00.000Z,,,7
2,,FBS Independents,[],11,Tulane,,FBS Independents,[],11,Mississippi State,3486,False,1902,regular,1902-11-01T00:00:00.000Z,,,8
3,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],27,Alabama,3513,False,1902,regular,1902-11-08T00:00:00.000Z,,,9
4,,FBS Independents,[],26,Mississippi State,,,[],0,Samford,3575,False,1902,regular,1902-11-15T00:00:00.000Z,,,10
5,,FBS Independents,[],6,LSU,,FBS Independents,[],0,Mississippi State,3634,False,1902,regular,1902-11-27T00:00:00.000Z,,,12
6,,FBS Independents,[],0,Alabama,,,[],11,Mississippi State,3837,False,1903,regular,1903-10-16T00:00:00.000Z,,,6
7,,FBS Independents,[],61,Vanderbilt,,FBS Independents,[],0,Mississippi State,4214,False,1904,regular,1904-10-01T00:00:00.000Z,,,3
8,,FBS Independents,[],6,Alabama,,FBS Independents,[],0,Mississippi State,4293,False,1904,regular,1904-10-15T00:00:00.000Z,,,5
9,,FBS Independents,[],5,Mississippi State,,FBS Independents,[],17,Ole Miss,4373,False,1904,regular,1904-10-22T00:00:00.000Z,,,6
10,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],10,Tulane,4434,False,1904,regular,1904-10-29T00:00:00.000Z,,,7
11,,FBS Independents,[],0,Tennessee Medical College,,FBS Independents,[],59,Mississippi State,4484,False,1904,regular,1904-11-11T00:00:00.000Z,,,9
12,,,[],27,Cumberland,,FBS Independents,[],5,Mississippi State,4531,False,1904,regular,1904-11-18T00:00:00.000Z,,,10
13,,,[],5,Louisiana Tech,,FBS Independents,[],32,Mississippi State,4593,False,1904,regular,1904-11-25T00:00:00.000Z,,,11
14,,,[],0,Mississippi State,,FBS Independents,[],34,Alabama,4768,False,1905,regular,1905-10-14T00:00:00.000Z,,,5
15,,FBS Independents,[],18,Auburn,,,[],0,Mississippi State,4870,False,1905,regular,1905-10-27T00:00:00.000Z,,,7
16,,,[],0,Samford,,FBS Independents,[],30,Mississippi State,5146,False,1906,regular,1906-09-29T00:00:00.000Z,,,2
17,,,[],0,Marion,,FBS Independents,[],62,Mississippi State,5234,False,1906,regular,1906-10-13T00:00:00.000Z,,,4
18,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],0,LSU,5309,False,1906,regular,1906-10-27T00:00:00.000Z,,,6
19,,FBS Independents,[],16,Alabama,,FBS Independents,[],4,Mississippi State,5328,False,1906,regular,1906-11-03T00:00:00.000Z,,,7
20,,FBS Independents,[],5,Mississippi State,,FBS Independents,[],29,Ole Miss,5464,False,1906,regular,1906-11-29T00:00:00.000Z,,,11
21,,,[],0,Rhodes,,FBS Independents,[],7,Mississippi State,5512,False,1907,regular,1907-10-02T00:00:00.000Z,,,3
22,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],38,Sewanee Univ. of the South,5568,False,1907,regular,1907-10-10T00:00:00.000Z,,,4
23,,FBS Independents,[],12,Mississippi State,,FBS Independents,[],5,Samford,5590,False,1907,regular,1907-10-12T00:00:00.000Z,,,4
24,,,[],0,Union (Tennessee),,FBS Independents,[],80,Mississippi State,5631,False,1907,regular,1907-10-19T00:00:00.000Z,,,5
25,,,[],0,Mercer,,FBS Independents,[],75,Mississippi State,5656,False,1907,regular,1907-10-24T00:00:00.000Z,,,6
26,,FBS Independents,[],0,Drury,,FBS Independents,[],6,Mississippi State,5693,False,1907,regular,1907-10-30T00:00:00.000Z,,,7
27,,FBS Independents,[],11,Mississippi State,,FBS Independents,[],23,LSU,5749,False,1907,regular,1907-11-09T00:00:00.000Z,,,8
28,,FBS Independents,[],4,Mississippi State,,FBS Independents,[],11,Tennessee,5798,False,1907,regular,1907-11-16T00:00:00.000Z,,,9
29,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],15,Mississippi State,5840,False,1907,regular,1907-11-28T00:00:00.000Z,,,11
30,,,[],0,Louisiana Tech,,FBS Independents,[],47,Mississippi State,5962,False,1908,regular,1908-10-10T00:00:00.000Z,,,4
31,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],23,Georgia Tech,6001,False,1908,regular,1908-10-17T00:00:00.000Z,,,5
32,,,[],6,Louisiana,,FBS Independents,[],5,Mississippi State,6032,False,1908,regular,1908-10-23T00:00:00.000Z,,,6
33,,,[],5,Transylvania,,FBS Independents,[],12,Mississippi State,6093,False,1908,regular,1908-10-31T00:00:00.000Z,,,7
34,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],50,LSU,6128,False,1908,regular,1908-11-07T00:00:00.000Z,,,8
35,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],23,Tulane,6181,False,1908,regular,1908-11-14T00:00:00.000Z,,,9
36,,FBS Independents,[],6,Ole Miss,,FBS Independents,[],44,Mississippi State,6233,False,1908,regular,1908-11-26T00:00:00.000Z,,,11
37,,,[],0,Birmingham,,FBS Independents,[],21,Mississippi State,6303,False,1909,regular,1909-10-02T00:00:00.000Z,,,3
38,,,[],6,Cumberland,,FBS Independents,[],34,Mississippi State,6353,False,1909,regular,1909-10-09T00:00:00.000Z,,,4
39,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],15,LSU,6409,False,1909,regular,1909-10-16T00:00:00.000Z,,,5
40,,,[],0,Rhodes,,FBS Independents,[],31,Mississippi State,6430,False,1909,regular,1909-10-22T00:00:00.000Z,,,6
41,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],2,Tulane,6501,False,1909,regular,1909-10-30T00:00:00.000Z,,,7
42,,,[],0,Union (Tennessee),,FBS Independents,[],25,Mississippi State,6515,False,1909,regular,1909-11-02T00:00:00.000Z,,,8
43,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],6,Samford,6554,False,1909,regular,1909-11-08T00:00:00.000Z,,,8
44,,FBS Independents,[],6,Chattanooga,,FBS Independents,[],37,Mississippi State,6579,False,1909,regular,1909-11-13T00:00:00.000Z,,,9
45,,FBS Independents,[],5,Mississippi State,,FBS Independents,[],9,Ole Miss,6641,False,1909,regular,1909-11-25T00:00:00.000Z,,,11
46,,,[],0,Mississippi College,,FBS Independents,[],24,Mississippi State,6709,False,1910,regular,1910-10-01T00:00:00.000Z,,,3
47,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],6,Auburn,6735,False,1910,regular,1910-10-08T00:00:00.000Z,,,4
48,,,[],0,Tennessee-Memphis,,FBS Independents,[],6,Mississippi State,6809,False,1910,regular,1910-10-15T00:00:00.000Z,,,5
49,,FBS Independents,[],0,LSU,,FBS Independents,[],3,Mississippi State,6832,False,1910,regular,1910-10-21T00:00:00.000Z,,,6
50,,FBS Independents,[],0,Tennessee,,FBS Independents,[],48,Mississippi State,6919,False,1910,regular,1910-10-31T00:00:00.000Z,,,7
51,,FBS Independents,[],10,Mississippi State,,FBS Independents,[],0,Tulane,6943,False,1910,regular,1910-11-05T00:00:00.000Z,,,8
52,,,[],0,Birmingham,,FBS Independents,[],46,Mississippi State,6982,False,1910,regular,1910-11-12T00:00:00.000Z,,,9
53,,FBS Independents,[],0,Samford,,FBS Independents,[],82,Mississippi State,7004,False,1910,regular,1910-11-18T00:00:00.000Z,,,10
54,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],30,Ole Miss,7043,False,1910,regular,1910-11-24T00:00:00.000Z,,,11
55,,FBS Independents,[],6,Mississippi College,,FBS Independents,[],27,Mississippi State,7072,False,1911,regular,1911-09-29T00:00:00.000Z,,,2
56,,,[],0,Rhodes,,FBS Independents,[],30,Mississippi State,7137,False,1911,regular,1911-10-07T00:00:00.000Z,,,3
57,,FBS Independents,[],0,Samford,,FBS Independents,[],48,Mississippi State,7190,False,1911,regular,1911-10-14T00:00:00.000Z,,,4
58,,FBS Independents,[],6,Mississippi State,,FBS Independents,[],6,Alabama,7215,False,1911,regular,1911-10-21T00:00:00.000Z,,,5
59,,FBS Independents,[],5,Mississippi State,,FBS Independents,[],11,Auburn,7259,False,1911,regular,1911-10-28T00:00:00.000Z,,,6
60,,,[],0,Birmingham,,FBS Independents,[],62,Mississippi State,7300,False,1911,regular,1911-11-03T00:00:00.000Z,,,7
61,,FBS Independents,[],0,LSU,,FBS Independents,[],6,Mississippi State,7377,False,1911,regular,1911-11-12T00:00:00.000Z,,,8
62,,FBS Independents,[],5,Tulane,,FBS Independents,[],4,Mississippi State,7417,False,1911,regular,1911-11-20T00:00:00.000Z,,,9
63,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],6,Mississippi State,7454,False,1911,regular,1911-11-30T00:00:00.000Z,,,11
64,,FBS Independents,[],12,Mississippi State,,,[],0,Havana A.C.,7468,False,1911,regular,1912-01-01T00:00:00.000Z,,,13
65,,FBS Independents,[],0,Mississippi College,,FBS Independents,[],19,Mississippi State,7515,False,1912,regular,1912-10-04T00:00:00.000Z,,,3
66,,,[],0,Tennessee Medical College,,FBS Independents,[],32,Mississippi State,7599,False,1912,regular,1912-10-12T00:00:00.000Z,,,4
67,,FBS Independents,[],0,Alabama,,FBS Independents,[],7,Mississippi State,7621,False,1912,regular,1912-10-18T00:00:00.000Z,,,5
68,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],7,Auburn,7667,False,1912,regular,1912-10-26T00:00:00.000Z,,,6
69,,FBS Independents,[],7,Mississippi State,,FBS Independents,[],0,LSU,7730,False,1912,regular,1912-11-02T00:00:00.000Z,,,7
70,,FBS Independents,[],24,Mississippi State,,FBS Independents,[],27,Tulane,7784,False,1912,regular,1912-11-09T00:00:00.000Z,,,8
71,,FBS Independents,[],7,Mississippi State,,FBS Independents,[],41,Texas A&M,7825,False,1912,regular,1912-11-16T00:00:00.000Z,,,9
72,,,[],0,Samford,,FBS Independents,[],66,Mississippi State,7958,False,1913,regular,1913-10-04T00:00:00.000Z,,,3
73,,,[],13,Mississippi College,,FBS Independents,[],14,Mississippi State,7985,False,1913,regular,1913-10-10T00:00:00.000Z,,,4
74,,,[],0,Transylvania,,FBS Independents,[],31,Mississippi State,8039,False,1913,regular,1913-10-17T00:00:00.000Z,,,5
75,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],34,Auburn,8090,False,1913,regular,1913-10-25T00:00:00.000Z,,,6
76,,FBS Independents,[],6,Mississippi State,,FBS Independents,[],0,Texas A&M,8156,False,1913,regular,1913-11-01T00:00:00.000Z,,,7
77,,FBS Independents,[],0,Tulane,,FBS Independents,[],32,Mississippi State,8197,False,1913,regular,1913-11-08T00:00:00.000Z,,,8
78,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],0,LSU,8237,False,1913,regular,1913-11-15T00:00:00.000Z,,,9
79,,FBS Independents,[],7,Mississippi State,,FBS Independents,[],0,Alabama,8297,False,1913,regular,1913-11-27T00:00:00.000Z,,,11
80,,,[],0,Marion,,FBS Independents,[],54,Mississippi State,8383,False,1914,regular,1914-10-03T00:00:00.000Z,,,3
81,,,[],0,Cumberland,,FBS Independents,[],77,Mississippi State,8446,False,1914,regular,1914-10-10T00:00:00.000Z,,,4
