,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Mississippi State,SEC,PUNT,"{'minutes': 7, 'seconds': 39}",1,"{'minutes': 7, 'seconds': 21}",34,252460344,25246034401,Murray State,,12,False,1,{'minutes': 15},96,62,2005
1,Murray State,,FG GOOD,"{'minutes': 3, 'seconds': 14}",1,"{'minutes': 4, 'seconds': 7}",79,252460344,25246034402,Mississippi State,SEC,9,True,1,"{'minutes': 7, 'seconds': 21}",13,66,2005
2,Mississippi State,SEC,RUSHING TD,"{'minutes': 1, 'seconds': 22}",1,"{'minutes': 2, 'seconds': 45}",0,252460344,25246034403,Murray State,,5,True,1,"{'minutes': 4, 'seconds': 7}",80,80,2005
3,Murray State,,PUNT,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 1, 'seconds': 10}",22,252460344,25246034404,Mississippi State,SEC,3,False,1,"{'minutes': 2, 'seconds': 45}",16,-4,2005
4,Mississippi State,SEC,PUNT,{'minutes': 4},2,"{'minutes': 12, 'seconds': 10}",35,252460344,25246034405,Murray State,,6,False,1,"{'minutes': 1, 'seconds': 10}",51,16,2005
5,Murray State,,PASSING TD,"{'minutes': 5, 'seconds': 24}",2,"{'minutes': 6, 'seconds': 46}",100,252460344,25246034406,Mississippi State,SEC,12,True,2,"{'minutes': 12, 'seconds': 10}",5,95,2005
6,Mississippi State,SEC,FUMBLE,"{'minutes': 1, 'seconds': 55}",2,"{'minutes': 4, 'seconds': 51}",51,252460344,25246034407,Murray State,,5,False,2,"{'minutes': 6, 'seconds': 46}",82,31,2005
7,Murray State,,PASSING TD,{'seconds': 20},2,"{'minutes': 4, 'seconds': 31}",100,252460344,25246034408,Mississippi State,SEC,1,True,2,"{'minutes': 4, 'seconds': 51}",51,49,2005
8,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 13}",2,"{'minutes': 2, 'seconds': 18}",51,252460344,25246034409,Murray State,,4,False,2,"{'minutes': 4, 'seconds': 31}",71,20,2005
9,Murray State,,PUNT,"{'minutes': 1, 'seconds': 29}",2,{'seconds': 49},20,252460344,25246034410,Mississippi State,SEC,4,False,2,"{'minutes': 2, 'seconds': 18}",9,11,2005
10,Mississippi State,SEC,END OF HALF,{'seconds': 49},2,{},50,252460344,25246034411,Murray State,,5,False,2,{'seconds': 49},60,10,2005
11,Murray State,,PASSING TD,"{'minutes': 2, 'seconds': 24}",3,"{'minutes': 12, 'seconds': 28}",100,252460344,25246034412,Mississippi State,SEC,6,True,3,"{'minutes': 14, 'seconds': 52}",33,67,2005
12,Mississippi State,SEC,Uncategorized,"{'minutes': 2, 'seconds': 21}",3,"{'minutes': 10, 'seconds': 7}",94,252460344,25246034413,Murray State,,4,False,3,"{'minutes': 12, 'seconds': 28}",80,14,2005
13,Murray State,,PASSING TD,"{'minutes': 3, 'seconds': 45}",3,"{'minutes': 6, 'seconds': 22}",100,252460344,25246034414,Mississippi State,SEC,10,True,3,"{'minutes': 10, 'seconds': 7}",26,74,2005
14,Mississippi State,SEC,INT,{'seconds': 9},3,"{'minutes': 6, 'seconds': 13}",87,252460344,25246034415,Murray State,,1,False,3,"{'minutes': 6, 'seconds': 22}",87,0,2005
15,Murray State,,Uncategorized,"{'minutes': 3, 'seconds': 1}",3,"{'minutes': 3, 'seconds': 12}",83,252460344,25246034416,Mississippi State,SEC,6,True,3,"{'minutes': 6, 'seconds': 13}",69,14,2005
16,Mississippi State,SEC,PUNT,"{'minutes': 3, 'seconds': 23}",4,"{'minutes': 14, 'seconds': 49}",68,252460344,25246034417,Murray State,,5,False,3,"{'minutes': 3, 'seconds': 12}",83,15,2005
