,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Missouri,Big 12,Uncategorized,"{'minutes': 4, 'seconds': 11}",1,"{'minutes': 10, 'seconds': 44}",73,252530142,25253014201,New Mexico,Mountain West,0,False,1,"{'minutes': 14, 'seconds': 55}",73,0,2005
1,New Mexico,Mountain West,Uncategorized,"{'minutes': 2, 'seconds': 51}",1,"{'minutes': 7, 'seconds': 53}",32,252530142,25253014202,Missouri,Big 12,0,False,1,"{'minutes': 10, 'seconds': 44}",32,0,2005
2,Missouri,Big 12,Uncategorized,"{'minutes': 5, 'seconds': 5}",1,"{'minutes': 2, 'seconds': 48}",80,252530142,25253014203,New Mexico,Mountain West,0,False,1,"{'minutes': 7, 'seconds': 53}",80,0,2005
3,New Mexico,Mountain West,Uncategorized,{'seconds': 38},1,"{'minutes': 2, 'seconds': 10}",23,252530142,25253014204,Missouri,Big 12,0,False,1,"{'minutes': 2, 'seconds': 48}",23,0,2005
4,Missouri,Big 12,Uncategorized,"{'minutes': 1, 'seconds': 38}",1,{'seconds': 32},56,252530142,25253014205,New Mexico,Mountain West,0,False,1,"{'minutes': 2, 'seconds': 10}",56,0,2005
5,New Mexico,Mountain West,Uncategorized,{'seconds': 32},1,{},19,252530142,25253014206,Missouri,Big 12,0,False,1,{'seconds': 32},19,0,2005
6,Missouri,Big 12,Uncategorized,"{'minutes': 2, 'seconds': 40}",2,"{'minutes': 11, 'seconds': 15}",78,252530142,25253014207,New Mexico,Mountain West,0,False,2,"{'minutes': 13, 'seconds': 55}",78,0,2005
7,New Mexico,Mountain West,Uncategorized,"{'minutes': 3, 'seconds': 48}",2,"{'minutes': 7, 'seconds': 27}",20,252530142,25253014208,Missouri,Big 12,0,False,2,"{'minutes': 11, 'seconds': 15}",20,0,2005
8,Missouri,Big 12,Uncategorized,"{'minutes': 2, 'seconds': 56}",2,"{'minutes': 4, 'seconds': 31}",70,252530142,25253014209,New Mexico,Mountain West,0,False,2,"{'minutes': 7, 'seconds': 27}",70,0,2005
9,New Mexico,Mountain West,Uncategorized,"{'minutes': 4, 'seconds': 4}",2,{'seconds': 27},20,252530142,25253014210,Missouri,Big 12,0,False,2,"{'minutes': 4, 'seconds': 31}",20,0,2005
