,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Navy,FBS Independents,FG GOOD,"{'minutes': 4, 'seconds': 13}",1,"{'minutes': 10, 'seconds': 42}",9,252462426,25246242601,Maryland,ACC,10,True,1,"{'minutes': 14, 'seconds': 55}",75,66,2005
1,Maryland,ACC,RUSHING TD,"{'minutes': 6, 'seconds': 5}",1,"{'minutes': 4, 'seconds': 37}",100,252462426,25246242602,Navy,FBS Independents,12,True,1,"{'minutes': 10, 'seconds': 42}",20,80,2005
2,Navy,FBS Independents,INT,"{'minutes': 1, 'seconds': 17}",1,"{'minutes': 3, 'seconds': 20}",59,252462426,25246242603,Maryland,ACC,3,False,1,"{'minutes': 4, 'seconds': 37}",69,10,2005
3,Maryland,ACC,RUSHING TD,"{'minutes': 3, 'seconds': 20}",1,{},100,252462426,25246242604,Navy,FBS Independents,6,True,1,"{'minutes': 3, 'seconds': 20}",49,51,2005
4,Navy,FBS Independents,INT,{},2,"{'minutes': 11, 'seconds': 49}",46,252462426,25246242605,Maryland,ACC,1,False,1,{},84,26,2005
5,Maryland,ACC,FUMBLE,"{'minutes': 3, 'seconds': 29}",2,"{'minutes': 8, 'seconds': 20}",81,252462426,25246242606,Navy,FBS Independents,6,False,2,"{'minutes': 11, 'seconds': 49}",54,27,2005
6,Navy,FBS Independents,PUNT,"{'minutes': 3, 'seconds': 7}",2,"{'minutes': 5, 'seconds': 13}",70,252462426,25246242607,Maryland,ACC,5,False,2,"{'minutes': 8, 'seconds': 20}",81,11,2005
7,Maryland,ACC,PUNT,"{'minutes': 1, 'seconds': 53}",2,"{'minutes': 3, 'seconds': 20}",55,252462426,25246242608,Navy,FBS Independents,4,False,2,"{'minutes': 5, 'seconds': 13}",38,17,2005
8,Navy,FBS Independents,FG GOOD,"{'minutes': 3, 'seconds': 15}",2,{'seconds': 5},9,252462426,25246242609,Maryland,ACC,15,True,2,"{'minutes': 3, 'seconds': 20}",95,86,2005
9,Maryland,ACC,END OF HALF,{'seconds': 5},2,{},22,252462426,25246242610,Navy,FBS Independents,1,False,2,{'seconds': 5},23,-1,2005
10,Maryland,ACC,PUNT,"{'minutes': 1, 'seconds': 58}",3,"{'minutes': 13, 'seconds': 2}",17,252462426,25246242611,Navy,FBS Independents,2,False,3,{'minutes': 15},21,-4,2005
11,Navy,FBS Independents,PUNT,"{'minutes': 3, 'seconds': 45}",3,"{'minutes': 9, 'seconds': 17}",62,252462426,25246242612,Maryland,ACC,7,False,3,"{'minutes': 13, 'seconds': 2}",77,15,2005
12,Maryland,ACC,PUNT,"{'minutes': 5, 'seconds': 43}",3,"{'minutes': 3, 'seconds': 34}",57,252462426,25246242613,Navy,FBS Independents,9,False,3,"{'minutes': 9, 'seconds': 17}",20,37,2005
13,Navy,FBS Independents,FG GOOD,"{'minutes': 3, 'seconds': 34}",3,{},22,252462426,25246242614,Maryland,ACC,8,True,3,"{'minutes': 3, 'seconds': 34}",80,58,2005
14,Maryland,ACC,PUNT,"{'minutes': 2, 'seconds': 10}",4,"{'minutes': 12, 'seconds': 50}",37,252462426,25246242615,Navy,FBS Independents,3,False,3,{},29,8,2005
15,Navy,FBS Independents,RUSHING TD,"{'minutes': 3, 'seconds': 35}",4,"{'minutes': 9, 'seconds': 15}",0,252462426,25246242616,Maryland,ACC,9,True,4,"{'minutes': 12, 'seconds': 50}",66,66,2005
