,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Nebraska,Big 12,PUNT,"{'minutes': 1, 'seconds': 45}",1,"{'minutes': 13, 'seconds': 15}",81,252460158,25246015801,Maine,,3,False,1,{'minutes': 15},82,1,2005
1,Maine,,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 35}",1,"{'minutes': 10, 'seconds': 40}",77,252460158,25246015802,Nebraska,Big 12,6,False,1,"{'minutes': 13, 'seconds': 15}",57,20,2005
2,Nebraska,Big 12,PUNT,"{'minutes': 4, 'seconds': 36}",1,"{'minutes': 6, 'seconds': 4}",56,252460158,25246015803,Maine,,9,False,1,"{'minutes': 10, 'seconds': 40}",77,21,2005
3,Maine,,PUNT,"{'minutes': 3, 'seconds': 6}",1,"{'minutes': 2, 'seconds': 58}",47,252460158,25246015804,Nebraska,Big 12,7,False,1,"{'minutes': 6, 'seconds': 4}",19,28,2005
4,Nebraska,Big 12,PUNT,"{'minutes': 3, 'seconds': 52}",2,"{'minutes': 14, 'seconds': 6}",86,252460158,25246015805,Maine,,6,False,1,"{'minutes': 2, 'seconds': 58}",89,3,2005
5,Maine,,FUMBLE,"{'minutes': 2, 'seconds': 16}",2,"{'minutes': 11, 'seconds': 50}",86,252460158,25246015806,Nebraska,Big 12,8,False,2,"{'minutes': 14, 'seconds': 6}",48,38,2005
6,Nebraska,Big 12,PUNT,"{'minutes': 2, 'seconds': 35}",2,"{'minutes': 9, 'seconds': 15}",71,252460158,25246015807,Maine,,5,False,2,"{'minutes': 11, 'seconds': 50}",86,15,2005
7,Nebraska,Big 12,PUNT,"{'minutes': 1, 'seconds': 52}",2,"{'minutes': 7, 'seconds': 23}",44,252460158,25246015809,Maine,,3,False,2,"{'minutes': 9, 'seconds': 15}",41,-4,2005
8,Maine,,FG GOOD,"{'minutes': 2, 'seconds': 11}",2,"{'minutes': 5, 'seconds': 12}",94,252460158,25246015810,Nebraska,Big 12,5,True,2,"{'minutes': 7, 'seconds': 23}",19,75,2005
9,Nebraska,Big 12,PUNT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 3, 'seconds': 41}",87,252460158,25246015811,Maine,,3,False,2,"{'minutes': 5, 'seconds': 12}",70,-17,2005
