,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Washington State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 44}",1,"{'minutes': 12, 'seconds': 16}",37,252522440,25252244001,Nevada,Western Athletic,5,False,1,{'minutes': 15},20,17,2005
1,Nevada,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 13}",1,"{'minutes': 10, 'seconds': 3}",49,252522440,25252244002,Washington State,Pac-10,3,False,1,"{'minutes': 12, 'seconds': 16}",68,19,2005
2,Washington State,Pac-10,PUNT,"{'minutes': 3, 'seconds': 22}",1,"{'minutes': 6, 'seconds': 41}",35,252522440,25252244003,Nevada,Western Athletic,7,False,1,"{'minutes': 10, 'seconds': 3}",14,21,2005
3,Nevada,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 43}",1,"{'minutes': 4, 'seconds': 58}",45,252522440,25252244004,Washington State,Pac-10,5,False,1,"{'minutes': 6, 'seconds': 41}",70,25,2005
4,Washington State,Pac-10,INT,"{'minutes': 1, 'seconds': 45}",1,"{'minutes': 3, 'seconds': 13}",30,252522440,25252244005,Nevada,Western Athletic,4,True,1,"{'minutes': 4, 'seconds': 58}",12,18,2005
5,Nevada,Western Athletic,INT RETURN TOUCH,{},1,"{'minutes': 3, 'seconds': 13}",37,252522440,25252244006,Washington State,Pac-10,1,True,1,"{'minutes': 3, 'seconds': 13}",3,37,2005
6,Washington State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 48}",1,"{'minutes': 1, 'seconds': 25}",21,252522440,25252244007,Nevada,Western Athletic,3,False,1,"{'minutes': 3, 'seconds': 13}",20,1,2005
7,Nevada,Western Athletic,PASSING TD,"{'minutes': 1, 'seconds': 5}",1,{'seconds': 20},0,252522440,25252244008,Washington State,Pac-10,4,True,1,"{'minutes': 1, 'seconds': 25}",44,44,2005
8,Washington State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 2}",2,"{'minutes': 13, 'seconds': 18}",12,252522440,25252244009,Nevada,Western Athletic,3,False,1,{'seconds': 20},13,-1,2005
9,Nevada,Western Athletic,FG GOOD,"{'minutes': 3, 'seconds': 27}",2,"{'minutes': 9, 'seconds': 51}",1,252522440,25252244010,Washington State,Pac-10,8,True,2,"{'minutes': 13, 'seconds': 18}",49,48,2005
10,Washington State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 53}",2,"{'minutes': 7, 'seconds': 58}",49,252522440,25252244011,Nevada,Western Athletic,5,False,2,"{'minutes': 9, 'seconds': 51}",20,29,2005
11,Nevada,Western Athletic,PASSING TD,"{'minutes': 4, 'seconds': 30}",2,"{'minutes': 3, 'seconds': 28}",0,252522440,25252244012,Washington State,Pac-10,12,True,2,"{'minutes': 7, 'seconds': 58}",99,99,2005
12,Washington State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 7}",2,"{'minutes': 1, 'seconds': 21}",45,252522440,25252244013,Nevada,Western Athletic,5,False,2,"{'minutes': 3, 'seconds': 28}",24,21,2005
13,Nevada,Western Athletic,FG GOOD,"{'minutes': 1, 'seconds': 4}",2,{'seconds': 17},11,252522440,25252244014,Washington State,Pac-10,9,True,2,"{'minutes': 1, 'seconds': 21}",56,45,2005
14,Washington State,Pac-10,END OF HALF,{'seconds': 17},2,{},26,252522440,25252244015,Nevada,Western Athletic,1,False,2,{'seconds': 17},26,0,2005
15,Nevada,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 40}",3,"{'minutes': 13, 'seconds': 10}",76,252522440,25252244016,Washington State,Pac-10,5,False,3,"{'minutes': 14, 'seconds': 50}",92,16,2005
16,Washington State,Pac-10,PASSING TD,"{'minutes': 2, 'seconds': 5}",3,"{'minutes': 11, 'seconds': 5}",100,252522440,25252244017,Nevada,Western Athletic,4,True,3,"{'minutes': 13, 'seconds': 10}",52,48,2005
17,Nevada,Western Athletic,PASSING TD,{'seconds': 41},3,"{'minutes': 10, 'seconds': 24}",0,252522440,25252244018,Washington State,Pac-10,4,True,3,"{'minutes': 11, 'seconds': 5}",66,66,2005
18,Washington State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 18}",3,"{'minutes': 8, 'seconds': 6}",40,252522440,25252244019,Nevada,Western Athletic,7,True,3,"{'minutes': 10, 'seconds': 24}",10,30,2005
19,Nevada,Western Athletic,PUNT RETURN TD,{},3,"{'minutes': 8, 'seconds': 6}",0,252522440,25252244020,Washington State,Pac-10,1,True,3,"{'minutes': 8, 'seconds': 6}",3,86,2005
20,Washington State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 31}",3,"{'minutes': 6, 'seconds': 35}",23,252522440,25252244021,Nevada,Western Athletic,3,False,3,"{'minutes': 8, 'seconds': 6}",20,3,2005
21,Nevada,Western Athletic,PASSING TD,"{'minutes': 2, 'seconds': 5}",3,"{'minutes': 4, 'seconds': 30}",0,252522440,25252244022,Washington State,Pac-10,5,True,3,"{'minutes': 6, 'seconds': 35}",70,70,2005
22,Washington State,Pac-10,RUSHING TD,"{'minutes': 4, 'seconds': 10}",3,{'seconds': 20},100,252522440,25252244023,Nevada,Western Athletic,12,True,3,"{'minutes': 4, 'seconds': 30}",21,79,2005
23,Nevada,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 22}",4,"{'minutes': 13, 'seconds': 58}",73,252522440,25252244024,Washington State,Pac-10,3,False,3,{'seconds': 20},67,-6,2005
24,Washington State,Pac-10,RUSHING TD,"{'minutes': 1, 'seconds': 13}",4,"{'minutes': 12, 'seconds': 45}",100,252522440,25252244025,Nevada,Western Athletic,4,True,4,"{'minutes': 13, 'seconds': 58}",28,72,2005
25,Nevada,Western Athletic,RUSHING TD,"{'minutes': 5, 'seconds': 33}",4,"{'minutes': 7, 'seconds': 12}",0,252522440,25252244026,Washington State,Pac-10,11,True,4,"{'minutes': 12, 'seconds': 45}",64,64,2005
26,Washington State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 20}",4,"{'minutes': 4, 'seconds': 52}",50,252522440,25252244027,Nevada,Western Athletic,4,False,4,"{'minutes': 7, 'seconds': 12}",20,30,2005
27,Nevada,Western Athletic,FUMBLE,"{'minutes': 1, 'seconds': 24}",4,"{'minutes': 3, 'seconds': 28}",19,252522440,25252244028,Washington State,Pac-10,3,False,4,"{'minutes': 4, 'seconds': 52}",85,66,2005
28,Washington State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 1}",4,"{'minutes': 1, 'seconds': 27}",41,252522440,25252244029,Nevada,Western Athletic,7,False,4,"{'minutes': 3, 'seconds': 28}",19,22,2005
29,Nevada,Western Athletic,END OF GAME,"{'minutes': 1, 'seconds': 27}",4,{},79,252522440,25252244030,Washington State,Pac-10,3,False,4,"{'minutes': 1, 'seconds': 27}",73,-6,2005
30,UNLV,Mountain West,RUSHING TD,"{'minutes': 5, 'seconds': 6}",1,"{'minutes': 9, 'seconds': 53}",100,252602440,25260244001,Nevada,Western Athletic,13,True,1,"{'minutes': 14, 'seconds': 59}",20,80,2005
31,Nevada,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 44}",1,"{'minutes': 8, 'seconds': 9}",63,252602440,25260244002,UNLV,Mountain West,5,False,1,"{'minutes': 9, 'seconds': 53}",82,19,2005
32,UNLV,Mountain West,FG GOOD,"{'minutes': 4, 'seconds': 57}",1,"{'minutes': 3, 'seconds': 12}",94,252602440,25260244003,Nevada,Western Athletic,14,True,1,"{'minutes': 8, 'seconds': 9}",23,71,2005
33,Nevada,Western Athletic,RUSHING TD,"{'minutes': 1, 'seconds': 11}",1,"{'minutes': 2, 'seconds': 1}",0,252602440,25260244004,UNLV,Mountain West,3,True,1,"{'minutes': 3, 'seconds': 12}",82,82,2005
34,UNLV,Mountain West,FUMBLE,"{'minutes': 1, 'seconds': 29}",1,{'seconds': 32},30,252602440,25260244005,Nevada,Western Athletic,3,False,1,"{'minutes': 2, 'seconds': 1}",20,10,2005
35,Nevada,Western Athletic,PUNT,"{'minutes': 4, 'seconds': 34}",2,"{'minutes': 10, 'seconds': 58}",43,252602440,25260244006,UNLV,Mountain West,6,False,1,{'seconds': 32},21,-13,2005
36,UNLV,Mountain West,PUNT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 9, 'seconds': 27}",30,252602440,25260244007,Nevada,Western Athletic,3,False,2,"{'minutes': 10, 'seconds': 58}",26,4,2005
37,Nevada,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 38}",2,"{'minutes': 7, 'seconds': 49}",71,252602440,25260244008,UNLV,Mountain West,3,False,2,"{'minutes': 9, 'seconds': 27}",80,9,2005
38,UNLV,Mountain West,PUNT,"{'minutes': 3, 'seconds': 50}",2,"{'minutes': 3, 'seconds': 59}",57,252602440,25260244009,Nevada,Western Athletic,6,False,2,"{'minutes': 7, 'seconds': 49}",40,17,2005
39,Nevada,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 13}",2,"{'minutes': 1, 'seconds': 46}",69,252602440,25260244010,UNLV,Mountain West,5,False,2,"{'minutes': 3, 'seconds': 59}",93,24,2005
40,UNLV,Mountain West,FG MISSED,"{'minutes': 1, 'seconds': 46}",2,{},72,252602440,25260244011,Nevada,Western Athletic,10,True,2,"{'minutes': 1, 'seconds': 46}",21,51,2005
41,Nevada,Western Athletic,FUMBLE,{'seconds': 12},3,"{'minutes': 14, 'seconds': 42}",77,252602440,25260244012,UNLV,Mountain West,2,False,3,"{'minutes': 14, 'seconds': 54}",72,-5,2005
42,UNLV,Mountain West,FG MISSED,"{'minutes': 3, 'seconds': 44}",3,"{'minutes': 10, 'seconds': 58}",96,252602440,25260244013,Nevada,Western Athletic,8,False,3,"{'minutes': 14, 'seconds': 42}",77,19,2005
43,Nevada,Western Athletic,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 43}",3,"{'minutes': 6, 'seconds': 15}",46,252602440,25260244014,UNLV,Mountain West,8,False,3,"{'minutes': 10, 'seconds': 58}",80,34,2005
44,UNLV,Mountain West,FG GOOD,"{'minutes': 3, 'seconds': 50}",3,"{'minutes': 2, 'seconds': 25}",91,252602440,25260244015,Nevada,Western Athletic,10,True,3,"{'minutes': 6, 'seconds': 15}",46,45,2005
45,Nevada,Western Athletic,FUMBLE,{'seconds': 42},3,"{'minutes': 1, 'seconds': 43}",20,252602440,25260244016,UNLV,Mountain West,3,False,3,"{'minutes': 2, 'seconds': 25}",62,42,2005
46,UNLV,Mountain West,PUNT,"{'minutes': 1, 'seconds': 53}",4,"{'minutes': 14, 'seconds': 50}",24,252602440,25260244017,Nevada,Western Athletic,3,False,3,"{'minutes': 1, 'seconds': 43}",20,4,2005
47,Nevada,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 1}",4,"{'minutes': 13, 'seconds': 49}",84,252602440,25260244018,UNLV,Mountain West,3,False,4,"{'minutes': 14, 'seconds': 50}",85,1,2005
48,UNLV,Mountain West,PUNT,"{'minutes': 1, 'seconds': 34}",4,"{'minutes': 12, 'seconds': 15}",45,252602440,25260244019,Nevada,Western Athletic,3,False,4,"{'minutes': 13, 'seconds': 49}",49,-4,2005
49,Nevada,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 58}",4,"{'minutes': 10, 'seconds': 17}",97,252602440,25260244020,UNLV,Mountain West,3,False,4,"{'minutes': 12, 'seconds': 15}",91,-6,2005
50,UNLV,Mountain West,FG GOOD,"{'minutes': 2, 'seconds': 8}",4,"{'minutes': 8, 'seconds': 9}",95,252602440,25260244021,Nevada,Western Athletic,7,True,4,"{'minutes': 10, 'seconds': 17}",56,39,2005
51,Nevada,Western Athletic,INT,"{'minutes': 2, 'seconds': 38}",4,"{'minutes': 5, 'seconds': 31}",56,252602440,25260244022,UNLV,Mountain West,8,False,4,"{'minutes': 8, 'seconds': 9}",80,24,2005
52,UNLV,Mountain West,RUSHING TD,"{'minutes': 3, 'seconds': 5}",4,"{'minutes': 2, 'seconds': 26}",100,252602440,25260244023,Nevada,Western Athletic,6,True,4,"{'minutes': 5, 'seconds': 31}",66,34,2005
53,Nevada,Western Athletic,PUNT,{'seconds': 26},4,{'minutes': 2},85,252602440,25260244024,UNLV,Mountain West,3,False,4,"{'minutes': 2, 'seconds': 26}",85,0,2005
54,Nevada,Western Athletic,PASSING TD,{'seconds': 51},4,"{'minutes': 1, 'seconds': 9}",0,252602440,25260244026,UNLV,Mountain West,7,True,4,{'minutes': 2},28,28,2005
55,UNLV,Mountain West,END OF GAME,"{'minutes': 1, 'seconds': 9}",4,{},33,252602440,25260244027,Nevada,Western Athletic,3,False,4,"{'minutes': 1, 'seconds': 9}",39,-6,2005
56,Nevada,Western Athletic,PASSING TD,"{'minutes': 2, 'seconds': 29}",1,"{'minutes': 12, 'seconds': 31}",100,252670036,25267003601,Colorado State,Mountain West,5,True,1,{'minutes': 15},40,60,2005
57,Colorado State,Mountain West,PUNT,"{'minutes': 3, 'seconds': 12}",1,"{'minutes': 9, 'seconds': 19}",42,252670036,25267003602,Nevada,Western Athletic,7,False,1,"{'minutes': 12, 'seconds': 31}",80,38,2005
