,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Georgia Tech,ACC,PUNT,"{'minutes': 4, 'seconds': 32}",1,"{'minutes': 10, 'seconds': 22}",70,252530059,25253005901,North Carolina,ACC,6,False,1,"{'minutes': 14, 'seconds': 54}",75,5,2005
1,North Carolina,ACC,PASSING TD,"{'minutes': 5, 'seconds': 39}",1,"{'minutes': 4, 'seconds': 43}",100,252530059,25253005902,Georgia Tech,ACC,11,True,1,"{'minutes': 10, 'seconds': 22}",14,86,2005
2,Georgia Tech,ACC,PUNT,"{'minutes': 2, 'seconds': 41}",1,"{'minutes': 2, 'seconds': 2}",51,252530059,25253005903,North Carolina,ACC,6,False,1,"{'minutes': 4, 'seconds': 43}",80,29,2005
3,North Carolina,ACC,PUNT,"{'minutes': 2, 'seconds': 15}",2,"{'minutes': 14, 'seconds': 47}",31,252530059,25253005904,Georgia Tech,ACC,5,False,1,"{'minutes': 2, 'seconds': 2}",23,8,2005
4,Georgia Tech,ACC,PUNT,{'seconds': 56},2,"{'minutes': 13, 'seconds': 51}",67,252530059,25253005905,North Carolina,ACC,3,False,2,"{'minutes': 14, 'seconds': 47}",73,6,2005
5,North Carolina,ACC,PASSING TD,"{'minutes': 4, 'seconds': 17}",2,"{'minutes': 9, 'seconds': 34}",100,252530059,25253005906,Georgia Tech,ACC,9,True,2,"{'minutes': 13, 'seconds': 51}",19,81,2005
6,Georgia Tech,ACC,RUSHING TD,"{'minutes': 4, 'seconds': 1}",2,"{'minutes': 5, 'seconds': 33}",0,252530059,25253005907,North Carolina,ACC,9,True,2,"{'minutes': 9, 'seconds': 34}",65,65,2005
7,North Carolina,ACC,PUNT,"{'minutes': 1, 'seconds': 43}",2,"{'minutes': 3, 'seconds': 50}",32,252530059,25253005908,Georgia Tech,ACC,3,False,2,"{'minutes': 5, 'seconds': 33}",24,8,2005
8,Georgia Tech,ACC,PASSING TD,"{'minutes': 2, 'seconds': 17}",2,"{'minutes': 1, 'seconds': 33}",0,252530059,25253005909,North Carolina,ACC,3,True,2,"{'minutes': 3, 'seconds': 50}",82,82,2005
9,North Carolina,ACC,TURNOVER ON DOWNS,{'seconds': 54},2,{'seconds': 39},60,252530059,25253005910,Georgia Tech,ACC,7,False,2,"{'minutes': 1, 'seconds': 33}",26,34,2005
10,Georgia Tech,ACC,PUNT,{'seconds': 20},2,{'seconds': 19},57,252530059,25253005911,North Carolina,ACC,3,False,2,{'seconds': 39},60,3,2005
11,North Carolina,ACC,END OF HALF,{'seconds': 19},2,{},22,252530059,25253005912,Georgia Tech,ACC,1,False,2,{'seconds': 19},23,-1,2005
12,North Carolina,ACC,FG GOOD,"{'minutes': 4, 'seconds': 10}",3,"{'minutes': 10, 'seconds': 50}",95,252530059,25253005913,Georgia Tech,ACC,10,True,3,{'minutes': 15},20,75,2005
13,Georgia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 37}",3,"{'minutes': 9, 'seconds': 13}",45,252530059,25253005914,North Carolina,ACC,4,False,3,"{'minutes': 10, 'seconds': 50}",65,20,2005
14,North Carolina,ACC,PUNT,"{'minutes': 2, 'seconds': 53}",3,"{'minutes': 6, 'seconds': 20}",21,252530059,25253005915,Georgia Tech,ACC,6,False,3,"{'minutes': 9, 'seconds': 13}",5,16,2005
15,Georgia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 2}",3,"{'minutes': 5, 'seconds': 18}",56,252530059,25253005916,North Carolina,ACC,3,False,3,"{'minutes': 6, 'seconds': 20}",51,-5,2005
16,North Carolina,ACC,FG GOOD,"{'minutes': 3, 'seconds': 49}",3,"{'minutes': 1, 'seconds': 29}",95,252530059,25253005917,Georgia Tech,ACC,10,True,3,"{'minutes': 5, 'seconds': 18}",5,90,2005
17,Georgia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 45}",4,"{'minutes': 14, 'seconds': 44}",79,252530059,25253005918,North Carolina,ACC,6,False,3,"{'minutes': 1, 'seconds': 29}",80,1,2005
18,North Carolina,ACC,RUSHING TD,"{'minutes': 2, 'seconds': 12}",4,"{'minutes': 12, 'seconds': 32}",100,252530059,25253005919,Georgia Tech,ACC,8,True,4,"{'minutes': 14, 'seconds': 44}",45,55,2005
19,Georgia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 16}",4,"{'minutes': 11, 'seconds': 16}",68,252530059,25253005920,North Carolina,ACC,3,False,4,"{'minutes': 12, 'seconds': 32}",73,5,2005
20,North Carolina,ACC,PUNT,"{'minutes': 1, 'seconds': 4}",4,"{'minutes': 10, 'seconds': 12}",20,252530059,25253005921,Georgia Tech,ACC,3,False,4,"{'minutes': 11, 'seconds': 16}",12,8,2005
21,Georgia Tech,ACC,INT,"{'minutes': 3, 'seconds': 25}",4,"{'minutes': 6, 'seconds': 47}",4,252530059,25253005922,North Carolina,ACC,7,False,4,"{'minutes': 10, 'seconds': 12}",73,69,2005
22,North Carolina,ACC,PUNT,{'minutes': 1},4,"{'minutes': 5, 'seconds': 47}",4,252530059,25253005923,Georgia Tech,ACC,3,False,4,"{'minutes': 6, 'seconds': 47}",10,-6,2005
23,Georgia Tech,ACC,PASSING TD,"{'minutes': 1, 'seconds': 33}",4,"{'minutes': 4, 'seconds': 14}",0,252530059,25253005924,North Carolina,ACC,6,True,4,"{'minutes': 5, 'seconds': 47}",52,52,2005
24,North Carolina,ACC,PUNT,"{'minutes': 1, 'seconds': 23}",4,"{'minutes': 2, 'seconds': 51}",22,252530059,25253005925,Georgia Tech,ACC,3,False,4,"{'minutes': 4, 'seconds': 14}",20,2,2005
25,Georgia Tech,ACC,INT,{'seconds': 57},4,"{'minutes': 1, 'seconds': 54}",47,252530059,25253005926,North Carolina,ACC,4,False,4,"{'minutes': 2, 'seconds': 51}",59,12,2005
26,North Carolina,ACC,PUNT,"{'minutes': 1, 'seconds': 10}",4,{'seconds': 44},44,252530059,25253005927,Georgia Tech,ACC,3,False,4,"{'minutes': 1, 'seconds': 54}",35,9,2005
27,Georgia Tech,ACC,INT,{'seconds': 36},4,{'seconds': 8},98,252530059,25253005928,North Carolina,ACC,2,False,4,{'seconds': 44},81,-17,2005
28,North Carolina,ACC,END OF GAME,{'seconds': 8},4,{},59,252530059,25253005929,Georgia Tech,ACC,1,False,4,{'seconds': 8},60,-1,2005
29,North Carolina,ACC,PUNT,"{'minutes': 1, 'seconds': 48}",1,"{'minutes': 13, 'seconds': 12}",58,252600153,25260015301,Wisconsin,Big Ten,5,False,1,{'minutes': 15},80,22,2005
30,Wisconsin,Big Ten,PUNT,"{'minutes': 3, 'seconds': 47}",1,"{'minutes': 9, 'seconds': 25}",30,252600153,25260015302,North Carolina,ACC,6,False,1,"{'minutes': 13, 'seconds': 12}",5,25,2005
31,North Carolina,ACC,FUMBLE,"{'minutes': 3, 'seconds': 43}",1,"{'minutes': 5, 'seconds': 42}",8,252600153,25260015303,Wisconsin,Big Ten,9,False,1,"{'minutes': 9, 'seconds': 25}",69,61,2005
32,Wisconsin,Big Ten,PUNT,{'seconds': 50},1,"{'minutes': 4, 'seconds': 52}",10,252600153,25260015304,North Carolina,ACC,3,False,1,"{'minutes': 5, 'seconds': 42}",8,2,2005
33,North Carolina,ACC,RUSHING TD,"{'minutes': 3, 'seconds': 54}",1,{'seconds': 58},0,252600153,25260015305,Wisconsin,Big Ten,8,True,1,"{'minutes': 4, 'seconds': 52}",45,45,2005
34,Wisconsin,Big Ten,INT,"{'minutes': 1, 'seconds': 40}",2,"{'minutes': 14, 'seconds': 17}",51,252600153,25260015306,North Carolina,ACC,5,False,1,{'seconds': 58},39,12,2005
35,North Carolina,ACC,PUNT,"{'minutes': 1, 'seconds': 40}",2,"{'minutes': 12, 'seconds': 37}",93,252600153,25260015307,Wisconsin,Big Ten,3,False,2,"{'minutes': 14, 'seconds': 17}",94,1,2005
36,Wisconsin,Big Ten,PUNT,"{'minutes': 1, 'seconds': 39}",2,"{'minutes': 10, 'seconds': 58}",60,252600153,25260015308,North Carolina,ACC,3,False,2,"{'minutes': 12, 'seconds': 37}",66,-6,2005
37,North Carolina,ACC,PUNT,"{'minutes': 1, 'seconds': 33}",2,"{'minutes': 9, 'seconds': 25}",87,252600153,25260015309,Wisconsin,Big Ten,3,False,2,"{'minutes': 10, 'seconds': 58}",80,-7,2005
38,Wisconsin,Big Ten,FG GOOD,"{'minutes': 2, 'seconds': 52}",2,"{'minutes': 6, 'seconds': 33}",74,252600153,25260015310,North Carolina,ACC,5,True,2,"{'minutes': 9, 'seconds': 25}",47,27,2005
39,North Carolina,ACC,FG MISSED,"{'minutes': 4, 'seconds': 27}",2,"{'minutes': 2, 'seconds': 6}",35,252600153,25260015311,Wisconsin,Big Ten,11,False,2,"{'minutes': 6, 'seconds': 33}",74,39,2005
40,Wisconsin,Big Ten,PUNT,"{'minutes': 1, 'seconds': 9}",2,{'seconds': 57},31,252600153,25260015312,North Carolina,ACC,3,False,2,"{'minutes': 2, 'seconds': 6}",35,-4,2005
41,North Carolina,ACC,END OF HALF,{'seconds': 57},2,{},71,252600153,25260015313,Wisconsin,Big Ten,2,False,2,{'seconds': 57},71,0,2005
42,Wisconsin,Big Ten,PUNT,"{'minutes': 1, 'seconds': 11}",3,"{'minutes': 13, 'seconds': 49}",29,252600153,25260015314,North Carolina,ACC,4,False,3,{'minutes': 15},16,13,2005
43,North Carolina,ACC,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 35}",3,"{'minutes': 9, 'seconds': 14}",12,252600153,25260015315,Wisconsin,Big Ten,8,False,3,"{'minutes': 13, 'seconds': 49}",71,59,2005
44,Wisconsin,Big Ten,PUNT,"{'minutes': 1, 'seconds': 27}",3,"{'minutes': 7, 'seconds': 47}",26,252600153,25260015316,North Carolina,ACC,4,False,3,"{'minutes': 9, 'seconds': 14}",12,14,2005
45,North Carolina,ACC,PUNT,"{'minutes': 2, 'seconds': 18}",3,"{'minutes': 5, 'seconds': 29}",56,252600153,25260015317,Wisconsin,Big Ten,6,False,3,"{'minutes': 7, 'seconds': 47}",76,20,2005
46,Wisconsin,Big Ten,PUNT,{'minutes': 4},3,"{'minutes': 1, 'seconds': 29}",47,252600153,25260015318,North Carolina,ACC,7,False,3,"{'minutes': 5, 'seconds': 29}",2,45,2005
47,North Carolina,ACC,PUNT,"{'minutes': 1, 'seconds': 8}",3,{'seconds': 21},97,252600153,25260015319,Wisconsin,Big Ten,3,False,3,"{'minutes': 1, 'seconds': 29}",85,-12,2005
48,Wisconsin,Big Ten,PUNT,{'seconds': 26},4,"{'minutes': 14, 'seconds': 53}",47,252600153,25260015320,North Carolina,ACC,3,False,3,{'seconds': 21},47,0,2005
49,North Carolina,ACC,PUNT,"{'minutes': 1, 'seconds': 36}",4,"{'minutes': 13, 'seconds': 17}",61,252600153,25260015321,Wisconsin,Big Ten,3,False,4,"{'minutes': 14, 'seconds': 53}",65,4,2005
50,Wisconsin,Big Ten,FG MISSED,"{'minutes': 2, 'seconds': 5}",4,"{'minutes': 11, 'seconds': 12}",67,252600153,25260015322,North Carolina,ACC,6,False,4,"{'minutes': 13, 'seconds': 17}",14,53,2005
51,North Carolina,ACC,RUSHING TD,{'minutes': 4},4,"{'minutes': 7, 'seconds': 12}",0,252600153,25260015323,Wisconsin,Big Ten,8,True,4,"{'minutes': 11, 'seconds': 12}",67,67,2005
52,Wisconsin,Big Ten,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 32}",4,"{'minutes': 5, 'seconds': 40}",49,252600153,25260015324,North Carolina,ACC,7,False,4,"{'minutes': 7, 'seconds': 12}",20,29,2005
