,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,North Texas,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 46}",1,"{'minutes': 12, 'seconds': 14}",56,252600249,25260024901,Tulsa,Conference USA,6,False,1,{'minutes': 15},80,24,2005
1,Tulsa,Conference USA,PUNT,"{'minutes': 3, 'seconds': 6}",1,"{'minutes': 9, 'seconds': 8}",33,252600249,25260024902,North Texas,Sun Belt,5,False,1,"{'minutes': 12, 'seconds': 14}",13,20,2005
2,North Texas,Sun Belt,PUNT,{'seconds': 58},1,"{'minutes': 8, 'seconds': 10}",77,252600249,25260024903,Tulsa,Conference USA,3,False,1,"{'minutes': 9, 'seconds': 8}",78,1,2005
3,Tulsa,Conference USA,PUNT,"{'minutes': 4, 'seconds': 34}",1,"{'minutes': 3, 'seconds': 36}",53,252600249,25260024904,North Texas,Sun Belt,8,False,1,"{'minutes': 8, 'seconds': 10}",50,3,2005
4,North Texas,Sun Belt,SF,"{'minutes': 3, 'seconds': 23}",1,{'seconds': 13},100,252600249,25260024905,Tulsa,Conference USA,6,True,1,"{'minutes': 3, 'seconds': 36}",98,-2,2005
5,Tulsa,Conference USA,PUNT,"{'minutes': 1, 'seconds': 41}",2,"{'minutes': 13, 'seconds': 24}",33,252600249,25260024906,North Texas,Sun Belt,3,False,1,{'seconds': 13},33,0,2005
6,North Texas,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 35}",2,"{'minutes': 10, 'seconds': 49}",50,252600249,25260024907,Tulsa,Conference USA,5,False,2,"{'minutes': 13, 'seconds': 24}",63,13,2005
7,Tulsa,Conference USA,SF,"{'minutes': 1, 'seconds': 1}",2,"{'minutes': 9, 'seconds': 48}",0,252600249,25260024908,North Texas,Sun Belt,2,True,2,"{'minutes': 10, 'seconds': 49}",1,-1,2005
8,North Texas,Sun Belt,FG GOOD,"{'minutes': 3, 'seconds': 27}",2,"{'minutes': 6, 'seconds': 21}",25,252600249,25260024909,Tulsa,Conference USA,7,True,2,"{'minutes': 9, 'seconds': 48}",52,27,2005
9,Tulsa,Conference USA,PUNT,"{'minutes': 2, 'seconds': 18}",2,"{'minutes': 4, 'seconds': 3}",24,252600249,25260024910,North Texas,Sun Belt,3,False,2,"{'minutes': 6, 'seconds': 21}",25,-1,2005
10,North Texas,Sun Belt,RUSHING TD,"{'minutes': 1, 'seconds': 14}",2,"{'minutes': 2, 'seconds': 49}",0,252600249,25260024911,Tulsa,Conference USA,3,True,2,"{'minutes': 4, 'seconds': 3}",37,37,2005
11,Tulsa,Conference USA,PUNT,{'seconds': 33},2,"{'minutes': 2, 'seconds': 16}",15,252600249,25260024912,North Texas,Sun Belt,3,False,2,"{'minutes': 2, 'seconds': 49}",20,-5,2005
12,North Texas,Sun Belt,PASSING TD,"{'minutes': 1, 'seconds': 3}",2,"{'minutes': 1, 'seconds': 13}",0,252600249,25260024913,Tulsa,Conference USA,6,True,2,"{'minutes': 2, 'seconds': 16}",54,54,2005
13,Tulsa,Conference USA,PUNT,{'seconds': 28},2,{'seconds': 45},43,252600249,25260024914,North Texas,Sun Belt,4,False,2,"{'minutes': 1, 'seconds': 13}",20,23,2005
14,North Texas,Sun Belt,END OF HALF,{'seconds': 45},2,{},76,252600249,25260024915,Tulsa,Conference USA,1,False,2,{'seconds': 45},74,-2,2005
