,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Notre Dame,FBS Independents,PASSING TD,"{'minutes': 4, 'seconds': 6}",1,"{'minutes': 10, 'seconds': 54}",100,252460221,25246022101,Pittsburgh,Big East,8,True,1,{'minutes': 15},27,73,2005
1,Pittsburgh,Big East,PASSING TD,"{'minutes': 2, 'seconds': 40}",1,"{'minutes': 8, 'seconds': 14}",0,252460221,25246022102,Notre Dame,FBS Independents,6,True,1,"{'minutes': 10, 'seconds': 54}",78,78,2005
2,Notre Dame,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 36}",1,"{'minutes': 6, 'seconds': 38}",29,252460221,25246022103,Pittsburgh,Big East,3,False,1,"{'minutes': 8, 'seconds': 14}",24,5,2005
3,Pittsburgh,Big East,INT,"{'minutes': 1, 'seconds': 15}",1,"{'minutes': 5, 'seconds': 23}",58,252460221,25246022104,Notre Dame,FBS Independents,4,False,1,"{'minutes': 6, 'seconds': 38}",80,22,2005
4,Notre Dame,FBS Independents,FG GOOD,"{'minutes': 3, 'seconds': 43}",1,"{'minutes': 1, 'seconds': 40}",68,252460221,25246022105,Pittsburgh,Big East,7,True,1,"{'minutes': 5, 'seconds': 23}",46,22,2005
5,Pittsburgh,Big East,RUSHING TD,"{'minutes': 3, 'seconds': 33}",2,"{'minutes': 13, 'seconds': 4}",0,252460221,25246022106,Notre Dame,FBS Independents,9,True,1,"{'minutes': 1, 'seconds': 40}",65,65,2005
6,Notre Dame,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 56}",2,"{'minutes': 11, 'seconds': 8}",40,252460221,25246022107,Pittsburgh,Big East,3,False,2,"{'minutes': 13, 'seconds': 4}",37,3,2005
7,Pittsburgh,Big East,RUSHING TD,"{'minutes': 4, 'seconds': 20}",2,"{'minutes': 6, 'seconds': 48}",0,252460221,25246022108,Notre Dame,FBS Independents,9,True,2,"{'minutes': 11, 'seconds': 8}",65,65,2005
8,Pittsburgh,Big East,PASSING TD,"{'minutes': 1, 'seconds': 5}",2,"{'minutes': 5, 'seconds': 54}",0,252460221,25246022110,Notre Dame,FBS Independents,2,True,2,"{'minutes': 6, 'seconds': 59}",19,19,2005
9,Notre Dame,FBS Independents,FG GOOD,"{'minutes': 1, 'seconds': 41}",2,"{'minutes': 4, 'seconds': 13}",94,252460221,25246022111,Pittsburgh,Big East,5,True,2,"{'minutes': 5, 'seconds': 54}",39,55,2005
10,Pittsburgh,Big East,RUSHING TD,"{'minutes': 2, 'seconds': 34}",2,"{'minutes': 1, 'seconds': 39}",0,252460221,25246022112,Notre Dame,FBS Independents,8,True,2,"{'minutes': 4, 'seconds': 13}",70,70,2005
11,Notre Dame,FBS Independents,INT,"{'minutes': 1, 'seconds': 38}",2,{'seconds': 1},59,252460221,25246022113,Pittsburgh,Big East,9,False,2,"{'minutes': 1, 'seconds': 39}",24,35,2005
