,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Oklahoma State,Big 12,PUNT,"{'minutes': 1, 'seconds': 43}",1,"{'minutes': 13, 'seconds': 17}",85,252460197,25246019701,Montana State,,3,False,1,{'minutes': 15},80,-5,2005
1,Montana State,,RUSHING TD,"{'minutes': 3, 'seconds': 28}",1,"{'minutes': 9, 'seconds': 49}",100,252460197,25246019702,Oklahoma State,Big 12,9,True,1,"{'minutes': 13, 'seconds': 17}",44,56,2005
2,Oklahoma State,Big 12,Uncategorized,"{'minutes': 7, 'seconds': 26}",1,"{'minutes': 2, 'seconds': 23}",133,252460197,25246019703,Montana State,,13,True,1,"{'minutes': 9, 'seconds': 49}",70,63,2005
3,Montana State,,Uncategorized,"{'minutes': 2, 'seconds': 23}",1,{},53,252460197,25246019704,Oklahoma State,Big 12,8,False,1,"{'minutes': 2, 'seconds': 23}",7,46,2005
4,Oklahoma State,Big 12,PUNT,"{'minutes': 1, 'seconds': 11}",2,"{'minutes': 13, 'seconds': 49}",85,252460197,25246019705,Montana State,,3,False,0,{},91,6,2005
5,Montana State,,FUMBLE,"{'minutes': 1, 'seconds': 29}",2,"{'minutes': 12, 'seconds': 20}",73,252460197,25246019706,Oklahoma State,Big 12,3,False,2,"{'minutes': 13, 'seconds': 49}",70,3,2005
6,Oklahoma State,Big 12,RUSHING TD,"{'minutes': 2, 'seconds': 56}",2,"{'minutes': 9, 'seconds': 24}",0,252460197,25246019707,Montana State,,6,True,2,"{'minutes': 12, 'seconds': 20}",73,73,2005
7,Montana State,,PUNT,"{'minutes': 2, 'seconds': 3}",2,"{'minutes': 7, 'seconds': 21}",38,252460197,25246019708,Oklahoma State,Big 12,4,False,2,"{'minutes': 9, 'seconds': 24}",19,19,2005
8,Oklahoma State,Big 12,PUNT,"{'minutes': 2, 'seconds': 45}",2,"{'minutes': 4, 'seconds': 36}",59,252460197,25246019709,Montana State,,7,False,2,"{'minutes': 7, 'seconds': 21}",84,25,2005
9,Montana State,,PUNT,"{'minutes': 3, 'seconds': 24}",2,"{'minutes': 1, 'seconds': 12}",52,252460197,25246019710,Oklahoma State,Big 12,5,False,2,"{'minutes': 4, 'seconds': 36}",15,37,2005
10,Oklahoma State,Big 12,PUNT,{'minutes': 1},2,{'seconds': 12},96,252460197,25246019711,Montana State,,3,False,2,"{'minutes': 1, 'seconds': 12}",97,1,2005
11,Montana State,,END OF HALF,{'seconds': 12},2,{},77,252460197,25246019712,Oklahoma State,Big 12,1,False,2,{'seconds': 12},54,23,2005
12,Montana State,,PASSING TD,"{'minutes': 3, 'seconds': 17}",3,"{'minutes': 11, 'seconds': 43}",100,252460197,25246019713,Oklahoma State,Big 12,7,True,3,{'minutes': 15},20,80,2005
13,Oklahoma State,Big 12,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 6}",3,"{'minutes': 10, 'seconds': 37}",83,252460197,25246019714,Montana State,,4,False,3,"{'minutes': 11, 'seconds': 43}",92,9,2005
14,Montana State,,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 42}",3,"{'minutes': 7, 'seconds': 55}",99,252460197,25246019715,Oklahoma State,Big 12,6,False,3,"{'minutes': 10, 'seconds': 37}",83,16,2005
15,Oklahoma State,Big 12,FUMBLE,"{'minutes': 4, 'seconds': 45}",3,"{'minutes': 3, 'seconds': 10}",21,252460197,25246019716,Montana State,,12,False,3,"{'minutes': 7, 'seconds': 55}",99,78,2005
16,Montana State,,PUNT,"{'minutes': 2, 'seconds': 57}",3,{'seconds': 13},28,252460197,25246019717,Oklahoma State,Big 12,3,False,3,"{'minutes': 3, 'seconds': 10}",21,7,2005
17,Oklahoma State,Big 12,PUNT,"{'minutes': 1, 'seconds': 50}",4,"{'minutes': 13, 'seconds': 23}",62,252460197,25246019718,Montana State,,3,False,3,{'seconds': 13},62,0,2005
18,Montana State,,PUNT,"{'minutes': 3, 'seconds': 53}",4,"{'minutes': 9, 'seconds': 30}",59,252460197,25246019719,Oklahoma State,Big 12,11,False,4,"{'minutes': 13, 'seconds': 23}",15,44,2005
19,Oklahoma State,Big 12,END OF GAME,"{'minutes': 4, 'seconds': 46}",4,"{'minutes': 4, 'seconds': 44}",44,252460197,25246019720,Montana State,,9,False,4,"{'minutes': 9, 'seconds': 30}",80,36,2005
20,Montana State,,END OF GAME,"{'minutes': 4, 'seconds': 44}",4,{},75,252460197,25246019721,Oklahoma State,Big 12,8,False,4,"{'minutes': 4, 'seconds': 44}",20,55,2005
21,Oklahoma State,Big 12,PUNT,"{'minutes': 1, 'seconds': 57}",1,"{'minutes': 13, 'seconds': 3}",39,252512226,25251222601,Florida Atlantic,Sun Belt,4,False,1,{'minutes': 15},20,19,2005
22,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 3}",1,{'minutes': 10},47,252512226,25251222602,Oklahoma State,Big 12,7,False,1,"{'minutes': 13, 'seconds': 3}",81,34,2005
23,Florida Atlantic,Sun Belt,FG GOOD,"{'minutes': 1, 'seconds': 31}",1,"{'minutes': 8, 'seconds': 29}",13,252512226,25251222604,Oklahoma State,Big 12,4,True,1,{'minutes': 10},19,6,2005
24,Florida Atlantic,Sun Belt,FG GOOD,"{'minutes': 4, 'seconds': 21}",1,"{'minutes': 4, 'seconds': 8}",27,252512226,25251222605,Oklahoma State,Big 12,9,True,1,"{'minutes': 8, 'seconds': 29}",48,26,2005
25,Oklahoma State,Big 12,FG GOOD,"{'minutes': 4, 'seconds': 47}",2,"{'minutes': 14, 'seconds': 13}",90,252512226,25251222606,Florida Atlantic,Sun Belt,10,True,1,"{'minutes': 4, 'seconds': 8}",22,68,2005
26,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 37}",2,"{'minutes': 11, 'seconds': 36}",46,252512226,25251222607,Oklahoma State,Big 12,3,False,2,"{'minutes': 14, 'seconds': 13}",56,10,2005
27,Oklahoma State,Big 12,FUMBLE,{'seconds': 58},2,"{'minutes': 10, 'seconds': 38}",5,252512226,25251222608,Florida Atlantic,Sun Belt,3,False,2,"{'minutes': 11, 'seconds': 36}",7,-2,2005
28,Florida Atlantic,Sun Belt,RUSHING TD,"{'minutes': 1, 'seconds': 34}",2,"{'minutes': 9, 'seconds': 4}",0,252512226,25251222609,Oklahoma State,Big 12,3,True,2,"{'minutes': 10, 'seconds': 38}",5,5,2005
29,Oklahoma State,Big 12,PUNT,"{'minutes': 4, 'seconds': 2}",2,"{'minutes': 5, 'seconds': 2}",45,252512226,25251222610,Florida Atlantic,Sun Belt,7,False,2,"{'minutes': 9, 'seconds': 4}",23,22,2005
30,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 42}",2,"{'minutes': 3, 'seconds': 20}",94,252512226,25251222611,Oklahoma State,Big 12,3,False,2,"{'minutes': 5, 'seconds': 2}",98,4,2005
31,Oklahoma State,Big 12,PUNT,"{'minutes': 1, 'seconds': 1}",2,"{'minutes': 2, 'seconds': 19}",40,252512226,25251222612,Florida Atlantic,Sun Belt,3,False,2,"{'minutes': 3, 'seconds': 20}",43,-3,2005
32,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 16}",2,{'seconds': 3},38,252512226,25251222613,Oklahoma State,Big 12,7,False,2,"{'minutes': 2, 'seconds': 19}",70,32,2005
33,Oklahoma State,Big 12,END OF HALF,{'seconds': 3},2,{},20,252512226,25251222614,Florida Atlantic,Sun Belt,1,False,2,{'seconds': 3},20,0,2005
34,Florida Atlantic,Sun Belt,FUMBLE,"{'minutes': 2, 'seconds': 11}",3,"{'minutes': 12, 'seconds': 40}",45,252512226,25251222615,Oklahoma State,Big 12,8,False,3,"{'minutes': 14, 'seconds': 51}",54,9,2005
35,Oklahoma State,Big 12,PUNT,{'minutes': 2},3,"{'minutes': 10, 'seconds': 40}",34,252512226,25251222616,Florida Atlantic,Sun Belt,3,False,3,"{'minutes': 12, 'seconds': 40}",45,-11,2005
36,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 46}",3,"{'minutes': 8, 'seconds': 54}",58,252512226,25251222617,Oklahoma State,Big 12,4,False,3,"{'minutes': 10, 'seconds': 40}",83,25,2005
37,Oklahoma State,Big 12,FUMBLE,{'seconds': 51},3,"{'minutes': 8, 'seconds': 3}",22,252512226,25251222618,Florida Atlantic,Sun Belt,3,False,3,"{'minutes': 8, 'seconds': 54}",17,5,2005
38,Florida Atlantic,Sun Belt,RUSHING TD,"{'minutes': 1, 'seconds': 42}",3,"{'minutes': 6, 'seconds': 21}",0,252512226,25251222619,Oklahoma State,Big 12,5,True,3,"{'minutes': 8, 'seconds': 3}",22,22,2005
39,Oklahoma State,Big 12,Uncategorized,"{'minutes': 3, 'seconds': 8}",3,"{'minutes': 3, 'seconds': 13}",62,252512226,25251222620,Florida Atlantic,Sun Belt,7,False,3,"{'minutes': 6, 'seconds': 21}",24,38,2005
40,Oklahoma State,Big 12,PUNT,"{'minutes': 1, 'seconds': 26}",3,"{'minutes': 1, 'seconds': 47}",40,252512226,25251222621,Florida Atlantic,Sun Belt,2,False,3,"{'minutes': 3, 'seconds': 13}",62,-22,2005
41,Oklahoma State,Big 12,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 34}",4,"{'minutes': 13, 'seconds': 13}",85,252512226,25251222622,Florida Atlantic,Sun Belt,9,False,3,"{'minutes': 1, 'seconds': 47}",39,46,2005
42,Florida Atlantic,Sun Belt,FG GOOD,"{'minutes': 4, 'seconds': 23}",4,"{'minutes': 8, 'seconds': 50}",11,252512226,25251222623,Oklahoma State,Big 12,13,True,4,"{'minutes': 13, 'seconds': 13}",65,54,2005
43,Oklahoma State,Big 12,PUNT,"{'minutes': 3, 'seconds': 13}",4,"{'minutes': 5, 'seconds': 37}",55,252512226,25251222624,Florida Atlantic,Sun Belt,6,False,4,"{'minutes': 8, 'seconds': 50}",35,20,2005
44,Florida Atlantic,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 38}",4,"{'minutes': 1, 'seconds': 59}",58,252512226,25251222625,Oklahoma State,Big 12,6,False,4,"{'minutes': 5, 'seconds': 37}",80,22,2005
45,Oklahoma State,Big 12,PUNT,"{'minutes': 1, 'seconds': 59}",4,{},25,252512226,25251222626,Florida Atlantic,Sun Belt,3,False,4,"{'minutes': 1, 'seconds': 59}",21,4,2005
46,Arkansas State,Sun Belt,Uncategorized,{},0,{},-75,252600197,25260019700,Oklahoma State,Big 12,3,False,0,{},65,-75,2005
47,Oklahoma State,Big 12,PUNT,"{'minutes': 3, 'seconds': 25}",1,"{'minutes': 11, 'seconds': 15}",43,252600197,25260019701,Arkansas State,Sun Belt,3,False,1,"{'minutes': 14, 'seconds': 40}",38,-5,2005
48,Arkansas State,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 14}",1,"{'minutes': 8, 'seconds': 1}",38,252600197,25260019702,Oklahoma State,Big 12,6,False,1,"{'minutes': 11, 'seconds': 15}",15,23,2005
49,Arkansas State,Sun Belt,RUSHING TD,"{'minutes': 6, 'seconds': 11}",1,"{'minutes': 1, 'seconds': 50}",35,252600197,25260019703,Oklahoma State,Big 12,13,False,1,"{'minutes': 8, 'seconds': 1}",47,3,2005
50,Oklahoma State,Big 12,PUNT,"{'minutes': 1, 'seconds': 4}",1,{'seconds': 46},93,252600197,25260019704,Arkansas State,Sun Belt,3,False,1,"{'minutes': 1, 'seconds': 50}",98,5,2005
51,Arkansas State,Sun Belt,Uncategorized,{'seconds': 46},1,{},100,252600197,25260019705,Oklahoma State,Big 12,1,True,1,{'seconds': 46},59,41,2005
52,Oklahoma State,Big 12,PUNT,"{'minutes': 2, 'seconds': 41}",2,"{'minutes': 12, 'seconds': 12}",67,252600197,25260019706,Arkansas State,Sun Belt,6,False,2,"{'minutes': 14, 'seconds': 53}",77,10,2005
53,Arkansas State,Sun Belt,FUMBLE,"{'minutes': 2, 'seconds': 15}",2,"{'minutes': 9, 'seconds': 57}",86,252600197,25260019707,Oklahoma State,Big 12,6,False,2,"{'minutes': 12, 'seconds': 12}",44,42,2005
54,Oklahoma State,Big 12,FUMBLE,"{'minutes': 1, 'seconds': 45}",2,"{'minutes': 8, 'seconds': 12}",57,252600197,25260019708,Arkansas State,Sun Belt,4,False,2,"{'minutes': 9, 'seconds': 57}",86,29,2005
55,Arkansas State,Sun Belt,FG GOOD,"{'minutes': 2, 'seconds': 10}",2,"{'minutes': 6, 'seconds': 2}",65,252600197,25260019709,Oklahoma State,Big 12,4,True,2,"{'minutes': 8, 'seconds': 12}",62,3,2005
56,Oklahoma State,Big 12,FG MISSED,"{'minutes': 3, 'seconds': 54}",2,"{'minutes': 2, 'seconds': 8}",31,252600197,25260019710,Arkansas State,Sun Belt,9,False,2,"{'minutes': 6, 'seconds': 2}",67,36,2005
57,Arkansas State,Sun Belt,PUNT,{'seconds': 39},2,"{'minutes': 1, 'seconds': 29}",45,252600197,25260019711,Oklahoma State,Big 12,4,False,2,"{'minutes': 2, 'seconds': 8}",69,14,2005
58,Arkansas State,Sun Belt,FG GOOD,"{'minutes': 1, 'seconds': 1}",2,{'seconds': 46},84,252600197,25260019713,Oklahoma State,Big 12,4,True,2,"{'minutes': 1, 'seconds': 47}",81,3,2005
59,Oklahoma State,Big 12,END OF HALF,{'seconds': 46},2,{},76,252600197,25260019714,Arkansas State,Sun Belt,1,False,2,{'seconds': 46},82,6,2005
