,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
0,Old Dominion,,PASSING TD,"{'minutes': 4, 'seconds': 51}",1.0,"{'minutes': 10, 'seconds': 9}",100.0,332430151.0,33243015101,East Carolina,Conference USA,10.0,True,2013,1.0,{'minutes': 15},25.0,75.0
1,East Carolina,Conference USA,FG GOOD,"{'minutes': 3, 'seconds': 1}",1.0,"{'minutes': 7, 'seconds': 8}",10.0,332430151.0,33243015102,Old Dominion,,10.0,True,2013,1.0,"{'minutes': 10, 'seconds': 9}",75.0,65.0
2,Old Dominion,,FG MISSED,"{'minutes': 4, 'seconds': 16}",1.0,"{'minutes': 2, 'seconds': 52}",76.0,332430151.0,33243015103,East Carolina,Conference USA,9.0,False,2013,1.0,"{'minutes': 7, 'seconds': 8}",25.0,51.0
3,East Carolina,Conference USA,PUNT,{},1.0,"{'minutes': 2, 'seconds': 52}",75.0,332430151.0,33243015104,Old Dominion,,3.0,False,2013,1.0,"{'minutes': 2, 'seconds': 52}",76.0,1.0
4,Old Dominion,,PUNT,{'seconds': 58},2.0,{'minutes': 15},43.0,332430151.0,33243015105,East Carolina,Conference USA,3.0,False,2013,1.0,"{'minutes': 2, 'seconds': 52}",48.0,-5.0
5,East Carolina,Conference USA,PASSING TD,"{'minutes': 4, 'seconds': 18}",2.0,"{'minutes': 10, 'seconds': 42}",0.0,332430151.0,33243015106,Old Dominion,,10.0,True,2013,2.0,{'minutes': 15},95.0,95.0
6,Old Dominion,,PASSING TD,"{'minutes': 5, 'seconds': 40}",2.0,"{'minutes': 5, 'seconds': 2}",100.0,332430151.0,33243015107,East Carolina,Conference USA,16.0,True,2013,2.0,"{'minutes': 10, 'seconds': 42}",25.0,75.0
7,East Carolina,Conference USA,PASSING TD,"{'minutes': 2, 'seconds': 37}",2.0,"{'minutes': 2, 'seconds': 25}",0.0,332430151.0,33243015108,Old Dominion,,7.0,True,2013,2.0,"{'minutes': 5, 'seconds': 2}",74.0,74.0
8,Old Dominion,,PASSING TD,"{'minutes': 2, 'seconds': 25}",2.0,{},100.0,332430151.0,33243015109,East Carolina,Conference USA,9.0,True,2013,2.0,"{'minutes': 2, 'seconds': 25}",25.0,75.0
9,East Carolina,Conference USA,FUMBLE,{'seconds': 51},3.0,"{'minutes': 14, 'seconds': 9}",74.0,332430151.0,33243015110,Old Dominion,,3.0,False,2013,3.0,{'minutes': 15},75.0,1.0
10,Old Dominion,,FUMBLE RETURN TD,{},3.0,"{'minutes': 14, 'seconds': 9}",100.0,332430151.0,33243015111,East Carolina,Conference USA,0.0,True,2013,3.0,"{'minutes': 14, 'seconds': 9}",74.0,26.0
11,East Carolina,Conference USA,RUSHING TD,"{'minutes': 4, 'seconds': 27}",3.0,"{'minutes': 9, 'seconds': 42}",0.0,332430151.0,33243015112,Old Dominion,,11.0,True,2013,3.0,"{'minutes': 14, 'seconds': 9}",75.0,75.0
12,Old Dominion,,RUSHING TD,"{'minutes': 2, 'seconds': 26}",3.0,"{'minutes': 7, 'seconds': 16}",100.0,332430151.0,33243015113,East Carolina,Conference USA,6.0,True,2013,3.0,"{'minutes': 9, 'seconds': 42}",23.0,77.0
