,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
2346,Ole Miss,SEC,INT,"{'minutes': 2, 'seconds': 56}",1,"{'minutes': 12, 'seconds': 4}",26,332410238,33241023801,Vanderbilt,SEC,6,False,1,{'minutes': 15},11,15,2013
2347,Vanderbilt,SEC,FG GOOD,"{'minutes': 1, 'seconds': 42}",1,"{'minutes': 10, 'seconds': 22}",37,332410238,33241023802,Ole Miss,SEC,6,True,1,"{'minutes': 12, 'seconds': 4}",31,18,2013
2348,Ole Miss,SEC,PUNT,"{'minutes': 1, 'seconds': 1}",1,"{'minutes': 9, 'seconds': 21}",26,332410238,33241023803,Vanderbilt,SEC,3,False,1,"{'minutes': 10, 'seconds': 22}",25,1,2013
2349,Vanderbilt,SEC,RUSHING TD,"{'minutes': 3, 'seconds': 17}",1,"{'minutes': 6, 'seconds': 4}",0,332410238,33241023804,Ole Miss,SEC,9,True,1,"{'minutes': 9, 'seconds': 21}",42,42,2013
2350,Ole Miss,SEC,PUNT,"{'minutes': 1, 'seconds': 36}",1,"{'minutes': 4, 'seconds': 28}",33,332410238,33241023805,Vanderbilt,SEC,3,False,1,"{'minutes': 6, 'seconds': 4}",25,8,2013
2351,Vanderbilt,SEC,PUNT,"{'minutes': 1, 'seconds': 28}",1,{'minutes': 3},80,332410238,33241023806,Ole Miss,SEC,3,False,1,"{'minutes': 4, 'seconds': 28}",74,-6,2013
2352,Ole Miss,SEC,RUSHING TD,"{'minutes': 6, 'seconds': 13}",2,"{'minutes': 11, 'seconds': 47}",100,332410238,33241023807,Vanderbilt,SEC,12,True,1,{'minutes': 3},29,71,2013
2353,Vanderbilt,SEC,PUNT,"{'minutes': 1, 'seconds': 18}",2,"{'minutes': 10, 'seconds': 29}",79,332410238,33241023808,Ole Miss,SEC,3,False,2,"{'minutes': 11, 'seconds': 47}",75,-4,2013
2354,Ole Miss,SEC,PASSING TD,{'seconds': 11},2,"{'minutes': 10, 'seconds': 18}",100,332410238,33241023809,Vanderbilt,SEC,1,True,2,"{'minutes': 10, 'seconds': 29}",45,55,2013
2355,Vanderbilt,SEC,PUNT,"{'minutes': 3, 'seconds': 32}",2,"{'minutes': 6, 'seconds': 46}",11,332410238,33241023810,Ole Miss,SEC,9,False,2,"{'minutes': 10, 'seconds': 18}",86,47,2013
