,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Oregon State,Pac-10,PASSING TD,"{'minutes': 1, 'seconds': 55}",1,"{'minutes': 13, 'seconds': 5}",0,252530204,25253020401,Boise State,Western Athletic,6,True,1,{'minutes': 15},88,88,2005
1,Boise State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 58}",1,"{'minutes': 11, 'seconds': 7}",26,252530204,25253020402,Oregon State,Pac-10,3,False,1,"{'minutes': 13, 'seconds': 5}",26,0,2005
2,Oregon State,Pac-10,PASSING TD,"{'minutes': 3, 'seconds': 46}",1,"{'minutes': 7, 'seconds': 21}",0,252530204,25253020403,Boise State,Western Athletic,9,True,1,"{'minutes': 11, 'seconds': 7}",38,62,2005
3,Boise State,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 47}",1,"{'minutes': 4, 'seconds': 34}",45,252530204,25253020404,Oregon State,Pac-10,5,False,1,"{'minutes': 7, 'seconds': 21}",27,18,2005
4,Oregon State,Pac-10,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 18}",1,"{'minutes': 1, 'seconds': 16}",25,252530204,25253020405,Boise State,Western Athletic,12,False,1,"{'minutes': 4, 'seconds': 34}",93,68,2005
5,Boise State,Western Athletic,RUSHING TD,"{'minutes': 1, 'seconds': 16}",1,{},100,252530204,25253020406,Oregon State,Pac-10,4,True,1,"{'minutes': 1, 'seconds': 16}",25,75,2005
6,Oregon State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 13}",2,"{'minutes': 12, 'seconds': 47}",72,252530204,25253020407,Boise State,Western Athletic,3,False,1,{},69,-3,2005
7,Oregon State,Pac-10,FUMBLE,{'seconds': 55},2,"{'minutes': 11, 'seconds': 52}",52,252530204,25253020409,Boise State,Western Athletic,1,False,2,"{'minutes': 12, 'seconds': 47}",42,-10,2005
8,Boise State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 23}",2,"{'minutes': 10, 'seconds': 29}",50,252530204,25253020410,Oregon State,Pac-10,3,False,2,"{'minutes': 11, 'seconds': 52}",52,-2,2005
9,Oregon State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 8, 'seconds': 58}",96,252530204,25253020411,Boise State,Western Athletic,3,False,2,"{'minutes': 10, 'seconds': 29}",92,-4,2005
10,Boise State,Western Athletic,FG MISSED,"{'minutes': 1, 'seconds': 53}",2,"{'minutes': 7, 'seconds': 5}",83,252530204,25253020412,Oregon State,Pac-10,6,False,2,"{'minutes': 8, 'seconds': 58}",69,14,2005
11,Oregon State,Pac-10,FG GOOD,"{'minutes': 2, 'seconds': 17}",2,"{'minutes': 4, 'seconds': 48}",24,252530204,25253020413,Boise State,Western Athletic,7,True,2,"{'minutes': 7, 'seconds': 5}",74,50,2005
12,Boise State,Western Athletic,RUSHING TD,"{'minutes': 1, 'seconds': 51}",2,"{'minutes': 2, 'seconds': 57}",100,252530204,25253020414,Oregon State,Pac-10,5,True,2,"{'minutes': 4, 'seconds': 48}",19,81,2005
13,Oregon State,Pac-10,END OF HALF,"{'minutes': 2, 'seconds': 57}",2,{},7,252530204,25253020415,Boise State,Western Athletic,9,False,2,"{'minutes': 2, 'seconds': 57}",42,35,2005
14,Boise State,Western Athletic,Uncategorized,{},2,{},7,252530204,25253020416,Oregon State,Pac-10,0,False,2,{},7,0,2005
15,Oregon State,Pac-10,PASSING TD,"{'minutes': 2, 'seconds': 11}",3,"{'minutes': 12, 'seconds': 41}",0,252530204,25253020418,Boise State,Western Athletic,5,True,3,"{'minutes': 14, 'seconds': 52}",31,31,2005
16,Boise State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 34}",3,"{'minutes': 11, 'seconds': 7}",56,252530204,25253020419,Oregon State,Pac-10,4,False,3,"{'minutes': 12, 'seconds': 41}",31,25,2005
17,Oregon State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 37}",3,"{'minutes': 8, 'seconds': 30}",66,252530204,25253020420,Boise State,Western Athletic,5,False,3,"{'minutes': 11, 'seconds': 7}",84,18,2005
18,Boise State,Western Athletic,FG GOOD,"{'minutes': 2, 'seconds': 55}",3,"{'minutes': 5, 'seconds': 35}",77,252530204,25253020421,Oregon State,Pac-10,7,True,3,"{'minutes': 8, 'seconds': 30}",75,2,2005
19,Oregon State,Pac-10,FUMBLE,"{'minutes': 1, 'seconds': 12}",3,"{'minutes': 4, 'seconds': 23}",60,252530204,25253020422,Boise State,Western Athletic,3,False,3,"{'minutes': 5, 'seconds': 35}",66,6,2005
20,Boise State,Western Athletic,FG GOOD,"{'minutes': 2, 'seconds': 6}",3,"{'minutes': 2, 'seconds': 17}",85,252530204,25253020423,Oregon State,Pac-10,7,True,3,"{'minutes': 4, 'seconds': 23}",60,25,2005
21,Oregon State,Pac-10,FG GOOD,"{'minutes': 2, 'seconds': 17}",3,{},19,252530204,25253020424,Boise State,Western Athletic,5,True,3,"{'minutes': 2, 'seconds': 17}",55,36,2005
22,Boise State,Western Athletic,PASSING TD,"{'minutes': 5, 'seconds': 7}",4,"{'minutes': 9, 'seconds': 47}",100,252530204,25253020425,Oregon State,Pac-10,12,True,4,"{'minutes': 14, 'seconds': 54}",26,74,2005
23,Oregon State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 12}",4,"{'minutes': 8, 'seconds': 35}",79,252530204,25253020426,Boise State,Western Athletic,3,False,4,"{'minutes': 9, 'seconds': 47}",66,-13,2005
24,Boise State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 24}",4,"{'minutes': 7, 'seconds': 11}",48,252530204,25253020427,Oregon State,Pac-10,3,False,4,"{'minutes': 8, 'seconds': 35}",42,6,2005
25,Oregon State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 30}",4,"{'minutes': 5, 'seconds': 41}",80,252530204,25253020428,Boise State,Western Athletic,3,False,4,"{'minutes': 7, 'seconds': 11}",84,4,2005
26,Boise State,Western Athletic,FG GOOD,"{'minutes': 4, 'seconds': 44}",4,{'seconds': 57},88,252530204,25253020429,Oregon State,Pac-10,12,True,4,"{'minutes': 5, 'seconds': 41}",39,49,2005
27,Oregon State,Pac-10,END OF GAME,{'seconds': 57},4,{},59,252530204,25253020430,Boise State,Western Athletic,7,False,4,{'seconds': 57},86,27,2005
28,Oregon State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 17}",1,"{'minutes': 13, 'seconds': 38}",31,252600097,25260009701,Louisville,Big East,4,False,1,"{'minutes': 14, 'seconds': 55}",22,9,2005
29,Louisville,Big East,RUSHING TD,"{'minutes': 4, 'seconds': 55}",1,"{'minutes': 8, 'seconds': 43}",0,252600097,25260009702,Oregon State,Pac-10,11,True,1,"{'minutes': 13, 'seconds': 38}",68,68,2005
30,Oregon State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 3}",1,"{'minutes': 6, 'seconds': 40}",43,252600097,25260009703,Louisville,Big East,4,False,1,"{'minutes': 8, 'seconds': 43}",20,23,2005
31,Louisville,Big East,FG GOOD,"{'minutes': 4, 'seconds': 17}",1,"{'minutes': 2, 'seconds': 23}",26,252600097,25260009704,Oregon State,Pac-10,11,True,1,"{'minutes': 6, 'seconds': 40}",71,45,2005
32,Oregon State,Pac-10,PASSING TD,"{'minutes': 2, 'seconds': 8}",1,{'seconds': 15},100,252600097,25260009705,Louisville,Big East,6,True,1,"{'minutes': 2, 'seconds': 23}",20,80,2005
33,Louisville,Big East,FUMBLE,{'seconds': 22},2,"{'minutes': 14, 'seconds': 53}",85,252600097,25260009706,Oregon State,Pac-10,2,False,1,{'seconds': 15},73,-12,2005
34,Oregon State,Pac-10,RUSHING TD,"{'minutes': 1, 'seconds': 57}",2,"{'minutes': 12, 'seconds': 56}",100,252600097,25260009707,Louisville,Big East,4,True,2,"{'minutes': 14, 'seconds': 53}",85,15,2005
35,Louisville,Big East,PUNT,"{'minutes': 3, 'seconds': 19}",2,"{'minutes': 9, 'seconds': 37}",62,252600097,25260009708,Oregon State,Pac-10,6,False,2,"{'minutes': 12, 'seconds': 56}",81,19,2005
36,Oregon State,Pac-10,RUSHING TD,"{'minutes': 4, 'seconds': 21}",2,"{'minutes': 5, 'seconds': 16}",100,252600097,25260009709,Louisville,Big East,11,True,2,"{'minutes': 9, 'seconds': 37}",8,92,2005
37,Louisville,Big East,PUNT,"{'minutes': 1, 'seconds': 16}",2,{'minutes': 4},86,252600097,25260009710,Oregon State,Pac-10,3,False,2,"{'minutes': 5, 'seconds': 16}",80,-6,2005
38,Oregon State,Pac-10,PASSING TD,"{'minutes': 1, 'seconds': 7}",2,"{'minutes': 2, 'seconds': 53}",100,252600097,25260009711,Louisville,Big East,2,True,2,{'minutes': 4},56,44,2005
39,Louisville,Big East,PUNT,{'seconds': 27},2,"{'minutes': 2, 'seconds': 26}",68,252600097,25260009712,Oregon State,Pac-10,3,False,2,"{'minutes': 2, 'seconds': 53}",80,15,2005
