,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Rice,Conference USA,PASSING TD,"{'minutes': 1, 'seconds': 12}",1,"{'minutes': 13, 'seconds': 38}",100,252530026,25253002601,UCLA,Pac-10,3,True,1,"{'minutes': 14, 'seconds': 50}",13,87,2005
1,UCLA,Pac-10,RUSHING TD,"{'minutes': 2, 'seconds': 48}",1,"{'minutes': 10, 'seconds': 50}",0,252530026,25253002602,Rice,Conference USA,8,True,1,"{'minutes': 13, 'seconds': 38}",67,67,2005
2,Rice,Conference USA,RUSHING TD,"{'minutes': 4, 'seconds': 43}",1,"{'minutes': 6, 'seconds': 7}",100,252530026,25253002603,UCLA,Pac-10,11,True,1,"{'minutes': 10, 'seconds': 50}",24,76,2005
3,UCLA,Pac-10,PUNT,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 4, 'seconds': 32}",86,252530026,25253002604,Rice,Conference USA,3,False,1,"{'minutes': 6, 'seconds': 7}",91,5,2005
4,Rice,Conference USA,RUSHING TD,"{'minutes': 1, 'seconds': 3}",1,"{'minutes': 3, 'seconds': 29}",100,252530026,25253002605,UCLA,Pac-10,4,True,1,"{'minutes': 4, 'seconds': 32}",44,56,2005
5,UCLA,Pac-10,PUNT,"{'minutes': 1, 'seconds': 30}",1,"{'minutes': 1, 'seconds': 59}",75,252530026,25253002606,Rice,Conference USA,3,False,1,"{'minutes': 3, 'seconds': 29}",80,5,2005
6,Rice,Conference USA,PASSING TD,"{'minutes': 2, 'seconds': 4}",2,"{'minutes': 14, 'seconds': 55}",100,252530026,25253002607,UCLA,Pac-10,8,True,1,"{'minutes': 1, 'seconds': 59}",26,74,2005
7,UCLA,Pac-10,PUNT,"{'minutes': 2, 'seconds': 4}",2,"{'minutes': 12, 'seconds': 51}",83,252530026,25253002608,Rice,Conference USA,3,True,2,"{'minutes': 14, 'seconds': 55}",81,-2,2005
8,Rice,Conference USA,PUNT RETURN TD,{},2,"{'minutes': 12, 'seconds': 51}",100,252530026,25253002609,UCLA,Pac-10,1,True,2,"{'minutes': 12, 'seconds': 51}",97,65,2005
9,UCLA,Pac-10,FUMBLE,{},2,"{'minutes': 12, 'seconds': 51}",82,252530026,25253002610,Rice,Conference USA,1,False,2,"{'minutes': 12, 'seconds': 51}",80,-2,2005
10,Rice,Conference USA,RUSHING TD,"{'minutes': 1, 'seconds': 58}",2,"{'minutes': 10, 'seconds': 53}",100,252530026,25253002611,UCLA,Pac-10,4,True,2,"{'minutes': 12, 'seconds': 51}",82,18,2005
11,UCLA,Pac-10,RUSHING TD,"{'minutes': 6, 'seconds': 45}",2,"{'minutes': 4, 'seconds': 8}",0,252530026,25253002612,Rice,Conference USA,14,True,2,"{'minutes': 10, 'seconds': 53}",80,80,2005
12,Rice,Conference USA,PASSING TD,"{'minutes': 3, 'seconds': 28}",2,{'seconds': 40},100,252530026,25253002613,UCLA,Pac-10,7,True,2,"{'minutes': 4, 'seconds': 8}",77,23,2005
13,UCLA,Pac-10,END OF HALF,{'seconds': 40},2,{},49,252530026,25253002614,Rice,Conference USA,4,False,2,{'seconds': 40},96,47,2005
14,UCLA,Pac-10,PUNT,"{'minutes': 3, 'seconds': 48}",3,"{'minutes': 11, 'seconds': 12}",61,252530026,25253002615,Rice,Conference USA,7,False,3,{'minutes': 15},80,19,2005
15,Rice,Conference USA,FG MISSED,"{'minutes': 4, 'seconds': 18}",3,"{'minutes': 6, 'seconds': 54}",66,252530026,25253002616,UCLA,Pac-10,10,False,3,"{'minutes': 11, 'seconds': 12}",8,58,2005
16,UCLA,Pac-10,RUSHING TD,"{'minutes': 2, 'seconds': 52}",3,"{'minutes': 4, 'seconds': 2}",0,252530026,25253002617,Rice,Conference USA,6,True,3,"{'minutes': 6, 'seconds': 54}",66,66,2005
17,Rice,Conference USA,PUNT,"{'minutes': 2, 'seconds': 55}",3,"{'minutes': 1, 'seconds': 7}",48,252530026,25253002618,UCLA,Pac-10,4,False,3,"{'minutes': 4, 'seconds': 2}",25,23,2005
18,UCLA,Pac-10,Uncategorized,"{'minutes': 1, 'seconds': 7}",3,{},144,252530026,25253002619,Rice,Conference USA,5,False,3,"{'minutes': 1, 'seconds': 7}",85,59,2005
19,Rice,Conference USA,PUNT,"{'minutes': 1, 'seconds': 41}",4,"{'minutes': 11, 'seconds': 30}",22,252530026,25253002620,UCLA,Pac-10,3,False,0,{},27,-5,2005
20,UCLA,Pac-10,FUMBLE,"{'minutes': 2, 'seconds': 33}",4,"{'minutes': 8, 'seconds': 57}",100,252530026,25253002621,Rice,Conference USA,6,True,4,"{'minutes': 11, 'seconds': 30}",88,-12,2005
21,Rice,Conference USA,FUMBLE RETURN TD,{'seconds': 5},4,"{'minutes': 8, 'seconds': 52}",100,252530026,25253002622,UCLA,Pac-10,1,True,4,"{'minutes': 8, 'seconds': 57}",97,0,2005
22,UCLA,Pac-10,PUNT,{'minutes': 1},4,"{'minutes': 7, 'seconds': 52}",83,252530026,25253002623,Rice,Conference USA,3,False,4,"{'minutes': 8, 'seconds': 52}",84,1,2005
23,Rice,Conference USA,RUSHING TD,"{'minutes': 2, 'seconds': 30}",4,"{'minutes': 5, 'seconds': 22}",100,252530026,25253002624,UCLA,Pac-10,5,True,4,"{'minutes': 7, 'seconds': 52}",50,50,2005
24,UCLA,Pac-10,PUNT,"{'minutes': 1, 'seconds': 42}",4,"{'minutes': 3, 'seconds': 40}",75,252530026,25253002625,Rice,Conference USA,3,False,4,"{'minutes': 5, 'seconds': 22}",84,9,2005
25,Rice,Conference USA,END OF GAME,"{'minutes': 3, 'seconds': 40}",4,{},67,252530026,25253002626,UCLA,Pac-10,7,False,4,"{'minutes': 3, 'seconds': 40}",44,23,2005
26,Rice,Conference USA,RUSHING TD,"{'minutes': 1, 'seconds': 54}",1,"{'minutes': 13, 'seconds': 6}",100,252600251,25260025101,Texas,Big 12,6,True,1,{'minutes': 15},20,80,2005
27,Texas,Big 12,PUNT,"{'minutes': 2, 'seconds': 37}",1,"{'minutes': 10, 'seconds': 29}",44,252600251,25260025102,Rice,Conference USA,6,False,1,"{'minutes': 13, 'seconds': 6}",89,45,2005
28,Rice,Conference USA,RUSHING TD,"{'minutes': 3, 'seconds': 20}",1,"{'minutes': 7, 'seconds': 9}",100,252600251,25260025103,Texas,Big 12,7,True,1,"{'minutes': 10, 'seconds': 29}",1,99,2005
29,Texas,Big 12,PUNT,"{'minutes': 1, 'seconds': 41}",1,"{'minutes': 5, 'seconds': 28}",75,252600251,25260025104,Rice,Conference USA,3,False,1,"{'minutes': 7, 'seconds': 9}",82,7,2005
30,Rice,Conference USA,PUNT,"{'minutes': 2, 'seconds': 15}",1,"{'minutes': 3, 'seconds': 13}",19,252600251,25260025105,Texas,Big 12,3,False,1,"{'minutes': 5, 'seconds': 28}",31,-12,2005
31,Texas,Big 12,PUNT,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 1, 'seconds': 38}",57,252600251,25260025106,Rice,Conference USA,3,False,1,"{'minutes': 3, 'seconds': 13}",61,4,2005
32,Rice,Conference USA,INT,"{'minutes': 1, 'seconds': 32}",1,{'seconds': 6},12,252600251,25260025107,Texas,Big 12,3,False,1,"{'minutes': 1, 'seconds': 38}",10,2,2005
33,Texas,Big 12,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 11}",2,"{'minutes': 13, 'seconds': 55}",31,252600251,25260025108,Rice,Conference USA,4,False,1,{'seconds': 6},20,-11,2005
34,Rice,Conference USA,RUSHING TD,"{'minutes': 2, 'seconds': 46}",2,"{'minutes': 11, 'seconds': 9}",100,252600251,25260025109,Texas,Big 12,6,True,2,"{'minutes': 13, 'seconds': 55}",31,69,2005
35,Texas,Big 12,FUMBLE,{'seconds': 47},2,"{'minutes': 10, 'seconds': 22}",80,252600251,25260025110,Rice,Conference USA,3,False,2,"{'minutes': 11, 'seconds': 9}",94,14,2005
36,Rice,Conference USA,FUMBLE RETURN TD,{'seconds': 15},2,"{'minutes': 10, 'seconds': 7}",80,252600251,25260025111,Texas,Big 12,1,True,2,"{'minutes': 10, 'seconds': 22}",97,20,2005
37,Texas,Big 12,PUNT,"{'minutes': 2, 'seconds': 15}",2,"{'minutes': 7, 'seconds': 52}",76,252600251,25260025112,Rice,Conference USA,3,False,2,"{'minutes': 10, 'seconds': 7}",80,4,2005
38,Rice,Conference USA,PUNT,"{'minutes': 1, 'seconds': 35}",2,"{'minutes': 6, 'seconds': 17}",38,252600251,25260025113,Texas,Big 12,3,False,2,"{'minutes': 7, 'seconds': 52}",38,0,2005
39,Texas,Big 12,FUMBLE,{'seconds': 50},2,"{'minutes': 5, 'seconds': 27}",100,252600251,25260025114,Rice,Conference USA,3,True,2,"{'minutes': 6, 'seconds': 17}",94,-6,2005
