,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,TCU,Mountain West,PUNT,"{'minutes': 3, 'seconds': 30}",1,"{'minutes': 11, 'seconds': 30}",39,252532567,25253256701,SMU,Conference USA,6,False,1,{'minutes': 15},20,19,2005
1,SMU,Conference USA,PUNT,{'seconds': 21},1,"{'minutes': 11, 'seconds': 9}",48,252532567,25253256702,TCU,Mountain West,5,False,1,"{'minutes': 11, 'seconds': 30}",71,23,2005
2,TCU,Mountain West,FUMBLE,"{'minutes': 1, 'seconds': 9}",1,{'minutes': 10},43,252532567,25253256703,SMU,Conference USA,3,False,1,"{'minutes': 11, 'seconds': 9}",36,7,2005
3,SMU,Conference USA,INT,{'seconds': 11},1,"{'minutes': 9, 'seconds': 49}",43,252532567,25253256704,TCU,Mountain West,1,False,1,{'minutes': 10},43,0,2005
4,TCU,Mountain West,PUNT,"{'minutes': 1, 'seconds': 32}",1,"{'minutes': 8, 'seconds': 17}",17,252532567,25253256705,SMU,Conference USA,3,False,1,"{'minutes': 9, 'seconds': 49}",25,-8,2005
5,SMU,Conference USA,FG MISSED,"{'minutes': 3, 'seconds': 55}",1,"{'minutes': 4, 'seconds': 22}",23,252532567,25253256706,TCU,Mountain West,10,False,1,"{'minutes': 8, 'seconds': 17}",43,20,2005
6,TCU,Mountain West,PUNT,"{'minutes': 1, 'seconds': 31}",1,"{'minutes': 2, 'seconds': 51}",22,252532567,25253256707,SMU,Conference USA,3,False,1,"{'minutes': 4, 'seconds': 22}",23,-1,2005
7,SMU,Conference USA,FG GOOD,"{'minutes': 2, 'seconds': 23}",1,{'seconds': 28},7,252532567,25253256708,TCU,Mountain West,6,True,1,"{'minutes': 2, 'seconds': 51}",22,15,2005
8,TCU,Mountain West,PUNT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 13, 'seconds': 57}",25,252532567,25253256709,SMU,Conference USA,3,False,1,{'seconds': 28},16,9,2005
9,SMU,Conference USA,FG MISSED,"{'minutes': 3, 'seconds': 29}",2,"{'minutes': 10, 'seconds': 28}",20,252532567,25253256710,TCU,Mountain West,9,False,2,"{'minutes': 13, 'seconds': 57}",76,56,2005
10,TCU,Mountain West,RUSHING TD,"{'minutes': 3, 'seconds': 31}",2,"{'minutes': 6, 'seconds': 57}",100,252532567,25253256711,SMU,Conference USA,11,True,2,"{'minutes': 10, 'seconds': 28}",20,80,2005
11,SMU,Conference USA,PUNT,"{'minutes': 2, 'seconds': 1}",2,"{'minutes': 4, 'seconds': 56}",62,252532567,25253256712,TCU,Mountain West,5,False,2,"{'minutes': 6, 'seconds': 57}",80,18,2005
12,TCU,Mountain West,PASSING TD,"{'minutes': 4, 'seconds': 5}",2,{'seconds': 51},100,252532567,25253256713,SMU,Conference USA,11,True,2,"{'minutes': 4, 'seconds': 56}",23,77,2005
13,SMU,Conference USA,END OF HALF,{'seconds': 51},2,{},87,252532567,25253256714,TCU,Mountain West,1,True,2,{'seconds': 51},80,-7,2005
14,SMU,Conference USA,KICKOFF RETURN TD,{'seconds': 7},3,"{'minutes': 14, 'seconds': 42}",0,252532567,25253256715,TCU,Mountain West,1,True,3,"{'minutes': 14, 'seconds': 49}",3,87,2005
15,TCU,Mountain West,PUNT,"{'minutes': 1, 'seconds': 19}",3,"{'minutes': 13, 'seconds': 23}",23,252532567,25253256716,SMU,Conference USA,3,False,3,"{'minutes': 14, 'seconds': 42}",21,2,2005
16,SMU,Conference USA,FG MISSED,"{'minutes': 3, 'seconds': 38}",3,"{'minutes': 9, 'seconds': 45}",14,252532567,25253256717,TCU,Mountain West,8,False,3,"{'minutes': 13, 'seconds': 23}",39,25,2005
17,TCU,Mountain West,PUNT,"{'minutes': 2, 'seconds': 1}",3,"{'minutes': 7, 'seconds': 44}",41,252532567,25253256718,SMU,Conference USA,5,False,3,"{'minutes': 9, 'seconds': 45}",20,21,2005
18,SMU,Conference USA,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 36}",3,"{'minutes': 5, 'seconds': 8}",49,252532567,25253256719,TCU,Mountain West,6,False,3,"{'minutes': 7, 'seconds': 44}",74,25,2005
19,TCU,Mountain West,PUNT,"{'minutes': 1, 'seconds': 45}",3,"{'minutes': 3, 'seconds': 23}",48,252532567,25253256720,SMU,Conference USA,2,False,3,"{'minutes': 5, 'seconds': 8}",49,-1,2005
20,SMU,Conference USA,PUNT,"{'minutes': 1, 'seconds': 29}",3,"{'minutes': 1, 'seconds': 54}",72,252532567,25253256721,TCU,Mountain West,3,False,3,"{'minutes': 3, 'seconds': 23}",80,8,2005
21,TCU,Mountain West,RUSHING TD,"{'minutes': 6, 'seconds': 4}",4,"{'minutes': 10, 'seconds': 38}",100,252532567,25253256722,SMU,Conference USA,12,True,3,"{'minutes': 1, 'seconds': 54}",31,69,2005
22,SMU,Conference USA,FUMBLE,{'seconds': 28},4,"{'minutes': 10, 'seconds': 10}",61,252532567,25253256723,TCU,Mountain West,2,False,4,"{'minutes': 10, 'seconds': 38}",70,9,2005
23,TCU,Mountain West,FG MISSED,"{'minutes': 2, 'seconds': 31}",4,"{'minutes': 7, 'seconds': 39}",75,252532567,25253256724,SMU,Conference USA,5,False,4,"{'minutes': 10, 'seconds': 10}",61,14,2005
24,SMU,Conference USA,INT,"{'minutes': 1, 'seconds': 22}",4,"{'minutes': 6, 'seconds': 17}",52,252532567,25253256725,TCU,Mountain West,4,False,4,"{'minutes': 7, 'seconds': 39}",75,23,2005
25,TCU,Mountain West,FG MISSED,"{'minutes': 2, 'seconds': 10}",4,"{'minutes': 4, 'seconds': 7}",72,252532567,25253256726,SMU,Conference USA,4,False,4,"{'minutes': 6, 'seconds': 17}",68,4,2005
26,SMU,Conference USA,TURNOVER ON DOWNS,{'seconds': 23},4,"{'minutes': 3, 'seconds': 44}",71,252532567,25253256727,TCU,Mountain West,4,False,4,"{'minutes': 4, 'seconds': 7}",74,3,2005
27,TCU,Mountain West,FG MISSED,"{'minutes': 1, 'seconds': 33}",4,"{'minutes': 2, 'seconds': 11}",74,252532567,25253256728,SMU,Conference USA,4,False,4,"{'minutes': 3, 'seconds': 44}",71,3,2005
28,SMU,Conference USA,INT,"{'minutes': 1, 'seconds': 3}",4,"{'minutes': 1, 'seconds': 8}",30,252532567,25253256729,TCU,Mountain West,8,False,4,"{'minutes': 2, 'seconds': 11}",53,22,2005
