,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,San José State,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 5}",1,"{'minutes': 12, 'seconds': 48}",43,252530356,25253035601,Illinois,Big Ten,3,False,1,"{'minutes': 14, 'seconds': 53}",48,-5,2005
1,Illinois,Big Ten,RUSHING TD,{'seconds': 57},1,"{'minutes': 11, 'seconds': 51}",0,252530356,25253035602,San José State,Western Athletic,3,True,1,"{'minutes': 12, 'seconds': 48}",19,19,2005
2,San José State,Western Athletic,RUSHING TD,"{'minutes': 3, 'seconds': 51}",1,{'minutes': 8},100,252530356,25253035603,Illinois,Big Ten,11,True,1,"{'minutes': 11, 'seconds': 51}",24,76,2005
3,Illinois,Big Ten,INT,"{'minutes': 1, 'seconds': 19}",1,"{'minutes': 6, 'seconds': 41}",75,252530356,25253035604,San José State,Western Athletic,3,False,1,{'minutes': 8},78,3,2005
4,San José State,Western Athletic,Uncategorized,{'seconds': 12},1,"{'minutes': 6, 'seconds': 29}",92,252530356,25253035605,Illinois,Big Ten,1,True,1,"{'minutes': 6, 'seconds': 41}",98,-6,2005
5,Illinois,Big Ten,PUNT,"{'minutes': 1, 'seconds': 36}",1,"{'minutes': 4, 'seconds': 53}",86,252530356,25253035606,San José State,Western Athletic,3,False,1,"{'minutes': 6, 'seconds': 29}",92,6,2005
6,San José State,Western Athletic,RUSHING TD,"{'minutes': 4, 'seconds': 53}",1,{},100,252530356,25253035607,Illinois,Big Ten,11,True,1,"{'minutes': 4, 'seconds': 53}",42,58,2005
7,Illinois,Big Ten,PUNT,"{'minutes': 1, 'seconds': 56}",2,"{'minutes': 13, 'seconds': 4}",86,252530356,25253035608,San José State,Western Athletic,3,False,2,{'minutes': 15},80,-6,2005
8,San José State,Western Athletic,FG GOOD,"{'minutes': 3, 'seconds': 13}",2,"{'minutes': 9, 'seconds': 51}",91,252530356,25253035609,Illinois,Big Ten,8,True,2,"{'minutes': 13, 'seconds': 4}",65,26,2005
9,Illinois,Big Ten,PUNT,{'seconds': 50},2,"{'minutes': 9, 'seconds': 1}",73,252530356,25253035610,San José State,Western Athletic,3,False,2,"{'minutes': 9, 'seconds': 51}",82,9,2005
10,San José State,Western Athletic,INT,{'seconds': 12},2,"{'minutes': 8, 'seconds': 49}",18,252530356,25253035611,Illinois,Big Ten,2,False,2,"{'minutes': 9, 'seconds': 1}",18,0,2005
11,Illinois,Big Ten,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 52}",2,"{'minutes': 5, 'seconds': 57}",6,252530356,25253035612,San José State,Western Athletic,7,False,2,"{'minutes': 8, 'seconds': 49}",29,23,2005
12,San José State,Western Athletic,PUNT,"{'minutes': 3, 'seconds': 19}",2,"{'minutes': 2, 'seconds': 38}",50,252530356,25253035613,Illinois,Big Ten,7,False,2,"{'minutes': 5, 'seconds': 57}",6,44,2005
