,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
0,South Alabama,,RUSHING TD,"{'minutes': 3, 'seconds': 57}",1.0,"{'minutes': 11, 'seconds': 3}",100.0,312600152.0,31260015201,NC State,ACC,9.0,True,2011,1.0,{'minutes': 15},46.0,54.0
1,NC State,ACC,PUNT,{'seconds': 4},1.0,"{'minutes': 10, 'seconds': 59}",51.0,312600152.0,31260015202,South Alabama,,9.0,False,2011,1.0,"{'minutes': 11, 'seconds': 3}",76.0,25.0
2,South Alabama,,FUMBLE,"{'minutes': 4, 'seconds': 31}",1.0,"{'minutes': 6, 'seconds': 28}",72.0,312600152.0,31260015203,NC State,ACC,3.0,False,2011,1.0,"{'minutes': 10, 'seconds': 59}",19.0,53.0
3,NC State,ACC,FG GOOD,"{'minutes': 4, 'seconds': 26}",1.0,"{'minutes': 2, 'seconds': 2}",29.0,312600152.0,31260015204,South Alabama,,9.0,True,2011,1.0,"{'minutes': 6, 'seconds': 28}",71.0,42.0
4,South Alabama,,FUMBLE,"{'minutes': 4, 'seconds': 19}",2.0,"{'minutes': 12, 'seconds': 43}",99.0,312600152.0,31260015205,NC State,ACC,6.0,True,2011,1.0,"{'minutes': 2, 'seconds': 2}",56.0,43.0
5,South Alabama,,PASSING TD,{},2.0,"{'minutes': 12, 'seconds': 43}",100.0,312600152.0,31260015207,NC State,ACC,1.0,True,2011,0.0,{},99.0,1.0
6,NC State,ACC,PUNT,{},2.0,"{'minutes': 12, 'seconds': 43}",79.0,312600152.0,31260015208,South Alabama,,3.0,False,2011,2.0,"{'minutes': 12, 'seconds': 43}",80.0,1.0
7,South Alabama,,PUNT,"{'minutes': 3, 'seconds': 26}",2.0,"{'minutes': 9, 'seconds': 17}",46.0,312600152.0,31260015209,NC State,ACC,3.0,False,2011,2.0,"{'minutes': 12, 'seconds': 43}",40.0,6.0
8,NC State,ACC,INT,"{'minutes': 5, 'seconds': 21}",2.0,"{'minutes': 3, 'seconds': 56}",30.0,312600152.0,31260015210,South Alabama,,10.0,False,2011,2.0,"{'minutes': 9, 'seconds': 17}",79.0,49.0
9,South Alabama,,PUNT,{'minutes': 3},2.0,{'seconds': 56},41.0,312600152.0,31260015211,NC State,ACC,8.0,False,2011,2.0,"{'minutes': 3, 'seconds': 56}",7.0,34.0
10,NC State,ACC,END OF HALF,{'seconds': 56},2.0,{},73.0,312600152.0,31260015212,South Alabama,,3.0,False,2011,2.0,{'seconds': 56},81.0,8.0
11,NC State,ACC,INT,"{'minutes': 2, 'seconds': 12}",3.0,"{'minutes': 12, 'seconds': 39}",57.0,312600152.0,31260015213,South Alabama,,4.0,False,2011,3.0,"{'minutes': 14, 'seconds': 51}",68.0,11.0
12,South Alabama,,PASSING TD,"{'minutes': 2, 'seconds': 33}",3.0,"{'minutes': 10, 'seconds': 6}",100.0,312600152.0,31260015214,NC State,ACC,6.0,True,2011,3.0,"{'minutes': 12, 'seconds': 39}",71.0,29.0
13,NC State,ACC,RUSHING TD,"{'minutes': 2, 'seconds': 22}",3.0,"{'minutes': 7, 'seconds': 44}",0.0,312600152.0,31260015215,South Alabama,,6.0,True,2011,3.0,"{'minutes': 10, 'seconds': 6}",66.0,66.0
14,South Alabama,,FUMBLE,{'seconds': 10},3.0,"{'minutes': 7, 'seconds': 34}",39.0,312600152.0,31260015216,NC State,ACC,1.0,False,2011,3.0,"{'minutes': 7, 'seconds': 44}",39.0,0.0
15,NC State,ACC,FG MISSED,{'minutes': 3},3.0,"{'minutes': 4, 'seconds': 34}",27.0,312600152.0,31260015217,South Alabama,,6.0,False,2011,3.0,"{'minutes': 7, 'seconds': 34}",39.0,12.0
16,South Alabama,,PASSING TD,"{'minutes': 3, 'seconds': 26}",3.0,"{'minutes': 1, 'seconds': 8}",100.0,312600152.0,31260015218,NC State,ACC,9.0,True,2011,3.0,"{'minutes': 4, 'seconds': 34}",27.0,73.0
17,NC State,ACC,PUNT,"{'minutes': 3, 'seconds': 16}",4.0,"{'minutes': 12, 'seconds': 52}",46.0,312600152.0,31260015219,South Alabama,,6.0,False,2011,3.0,"{'minutes': 1, 'seconds': 8}",72.0,26.0
18,South Alabama,,PUNT,"{'minutes': 1, 'seconds': 27}",4.0,"{'minutes': 11, 'seconds': 25}",10.0,312600152.0,31260015220,NC State,ACC,3.0,False,2011,4.0,"{'minutes': 12, 'seconds': 52}",7.0,3.0
19,NC State,ACC,FG GOOD,"{'minutes': 4, 'seconds': 44}",4.0,"{'minutes': 6, 'seconds': 41}",19.0,312600152.0,31260015221,South Alabama,,8.0,True,2011,4.0,"{'minutes': 11, 'seconds': 25}",40.0,21.0
20,South Alabama,,PASSING TD,"{'minutes': 2, 'seconds': 46}",4.0,"{'minutes': 3, 'seconds': 55}",100.0,312600152.0,31260015222,NC State,ACC,5.0,True,2011,4.0,"{'minutes': 6, 'seconds': 41}",22.0,78.0
21,NC State,ACC,PUNT,{},4.0,"{'minutes': 3, 'seconds': 55}",47.0,312600152.0,31260015223,South Alabama,,4.0,False,2011,4.0,"{'minutes': 3, 'seconds': 55}",62.0,15.0
22,South Alabama,,END OF GAME,"{'minutes': 3, 'seconds': 55}",4.0,{},58.0,312600152.0,31260015224,NC State,ACC,5.0,False,2011,4.0,"{'minutes': 3, 'seconds': 55}",20.0,38.0
23,Kent State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 3}",1.0,"{'minutes': 13, 'seconds': 57}",80.0,312672309.0,31267230901,South Alabama,,3.0,False,2011,1.0,{'minutes': 15},80.0,0.0
24,South Alabama,,PUNT,{},1.0,"{'minutes': 13, 'seconds': 57}",59.0,312672309.0,31267230902,Kent State,Mid-American,6.0,False,2011,1.0,"{'minutes': 13, 'seconds': 57}",41.0,18.0
25,Kent State,Mid-American,PUNT,"{'minutes': 3, 'seconds': 6}",1.0,"{'minutes': 10, 'seconds': 51}",78.0,312672309.0,31267230903,South Alabama,,3.0,False,2011,1.0,"{'minutes': 13, 'seconds': 57}",80.0,2.0
26,South Alabama,,RUSHING TD,"{'minutes': 7, 'seconds': 59}",1.0,"{'minutes': 2, 'seconds': 52}",100.0,312672309.0,31267230904,Kent State,Mid-American,12.0,True,2011,1.0,"{'minutes': 10, 'seconds': 51}",50.0,50.0
27,Kent State,Mid-American,PUNT,{'seconds': 5},1.0,"{'minutes': 2, 'seconds': 47}",91.0,312672309.0,31267230905,South Alabama,,3.0,False,2011,1.0,"{'minutes': 2, 'seconds': 52}",94.0,3.0
28,South Alabama,,FG GOOD,"{'minutes': 1, 'seconds': 54}",2.0,"{'minutes': 14, 'seconds': 15}",78.0,312672309.0,31267230906,Kent State,Mid-American,4.0,True,2011,1.0,"{'minutes': 2, 'seconds': 47}",71.0,7.0
29,Kent State,Mid-American,INT,"{'minutes': 2, 'seconds': 3}",2.0,"{'minutes': 12, 'seconds': 12}",47.0,312672309.0,31267230907,South Alabama,,5.0,False,2011,2.0,"{'minutes': 14, 'seconds': 15}",60.0,13.0
30,South Alabama,,RUSHING TD,"{'minutes': 3, 'seconds': 27}",2.0,"{'minutes': 8, 'seconds': 45}",100.0,312672309.0,31267230908,Kent State,Mid-American,7.0,True,2011,2.0,"{'minutes': 12, 'seconds': 12}",58.0,42.0
31,Kent State,Mid-American,PUNT,{},2.0,"{'minutes': 8, 'seconds': 45}",71.0,312672309.0,31267230909,South Alabama,,3.0,False,2011,2.0,"{'minutes': 8, 'seconds': 45}",80.0,9.0
32,South Alabama,,FG GOOD,"{'minutes': 6, 'seconds': 34}",2.0,"{'minutes': 2, 'seconds': 11}",82.0,312672309.0,31267230910,Kent State,Mid-American,11.0,True,2011,2.0,"{'minutes': 8, 'seconds': 45}",31.0,51.0
33,Kent State,Mid-American,INT,{},2.0,"{'minutes': 2, 'seconds': 11}",54.0,312672309.0,31267230911,South Alabama,,3.0,False,2011,2.0,"{'minutes': 2, 'seconds': 11}",60.0,6.0
34,South Alabama,,RUSHING TD,{'seconds': 57},2.0,"{'minutes': 1, 'seconds': 14}",100.0,312672309.0,31267230912,Kent State,Mid-American,1.0,True,2011,2.0,"{'minutes': 2, 'seconds': 11}",72.0,28.0
35,Kent State,Mid-American,PUNT,{},2.0,"{'minutes': 1, 'seconds': 14}",59.0,312672309.0,31267230913,South Alabama,,5.0,False,2011,2.0,"{'minutes': 1, 'seconds': 14}",70.0,11.0
36,South Alabama,,END OF HALF,"{'minutes': 1, 'seconds': 14}",2.0,{},15.0,312672309.0,31267230914,Kent State,Mid-American,3.0,False,2011,2.0,"{'minutes': 1, 'seconds': 14}",3.0,12.0
37,South Alabama,,PUNT,"{'minutes': 2, 'seconds': 20}",3.0,"{'minutes': 12, 'seconds': 40}",16.0,312672309.0,31267230915,Kent State,Mid-American,3.0,False,2011,3.0,{'minutes': 15},20.0,-4.0
