,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,UCF,Conference USA,PASSING TD,"{'minutes': 2, 'seconds': 14}",1,"{'minutes': 12, 'seconds': 46}",100,252442579,25244257901,South Carolina,SEC,5,True,1,{'minutes': 15},25,75,2005
1,South Carolina,SEC,PUNT,{'seconds': 9},1,"{'minutes': 12, 'seconds': 37}",61,252442579,25244257902,UCF,Conference USA,3,False,1,"{'minutes': 12, 'seconds': 46}",70,9,2005
2,UCF,Conference USA,PASSING TD,"{'minutes': 5, 'seconds': 20}",1,"{'minutes': 7, 'seconds': 17}",100,252442579,25244257903,South Carolina,SEC,6,True,1,"{'minutes': 12, 'seconds': 37}",21,79,2005
3,South Carolina,SEC,FG GOOD,"{'minutes': 4, 'seconds': 2}",1,"{'minutes': 3, 'seconds': 15}",19,252442579,25244257904,UCF,Conference USA,10,True,1,"{'minutes': 7, 'seconds': 17}",80,61,2005
4,UCF,Conference USA,FG MISSED,"{'minutes': 4, 'seconds': 39}",2,"{'minutes': 13, 'seconds': 21}",67,252442579,25244257905,South Carolina,SEC,11,False,1,"{'minutes': 3, 'seconds': 15}",17,50,2005
5,South Carolina,SEC,PUNT,"{'minutes': 1, 'seconds': 17}",2,"{'minutes': 12, 'seconds': 4}",59,252442579,25244257906,UCF,Conference USA,5,False,2,"{'minutes': 13, 'seconds': 21}",67,8,2005
6,UCF,Conference USA,PUNT,{'seconds': 59},2,"{'minutes': 11, 'seconds': 5}",17,252442579,25244257907,South Carolina,SEC,3,False,2,"{'minutes': 12, 'seconds': 4}",17,0,2005
7,South Carolina,SEC,PUNT,"{'minutes': 1, 'seconds': 44}",2,"{'minutes': 9, 'seconds': 21}",51,252442579,25244257908,UCF,Conference USA,3,False,2,"{'minutes': 11, 'seconds': 5}",54,3,2005
8,UCF,Conference USA,FG GOOD,"{'minutes': 6, 'seconds': 41}",2,"{'minutes': 2, 'seconds': 40}",94,252442579,25244257909,South Carolina,SEC,12,True,2,"{'minutes': 9, 'seconds': 21}",8,86,2005
9,South Carolina,SEC,INT,"{'minutes': 2, 'seconds': 12}",2,{'seconds': 28},52,252442579,25244257910,UCF,Conference USA,8,False,2,"{'minutes': 2, 'seconds': 40}",91,39,2005
10,UCF,Conference USA,END OF HALF,{'seconds': 28},2,{},37,252442579,25244257911,South Carolina,SEC,1,False,2,{'seconds': 28},36,1,2005
