,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,South Florida,Big East,FUMBLE,"{'minutes': 1, 'seconds': 54}",1,{'minutes': 13},43,252460213,25246021301,Penn State,Big Ten,5,False,1,"{'minutes': 14, 'seconds': 54}",22,21,2005
1,Penn State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 32}",1,"{'minutes': 11, 'seconds': 28}",43,252460213,25246021302,South Florida,Big East,3,False,1,{'minutes': 13},43,0,2005
2,South Florida,Big East,FG GOOD,"{'minutes': 4, 'seconds': 10}",1,"{'minutes': 7, 'seconds': 18}",94,252460213,25246021303,Penn State,Big Ten,9,True,1,"{'minutes': 11, 'seconds': 28}",5,89,2005
3,Penn State,Big Ten,FUMBLE,{'seconds': 54},1,"{'minutes': 6, 'seconds': 24}",0,252460213,25246021304,South Florida,Big East,1,True,1,"{'minutes': 7, 'seconds': 18}",82,-3,2005
4,South Florida,Big East,FUMBLE RETURN TD,{},1,"{'minutes': 6, 'seconds': 24}",83,252460213,25246021305,Penn State,Big Ten,1,True,1,"{'minutes': 6, 'seconds': 24}",97,17,2005
5,Penn State,Big Ten,PUNT,{'seconds': 53},1,"{'minutes': 5, 'seconds': 31}",78,252460213,25246021306,South Florida,Big East,3,False,1,"{'minutes': 6, 'seconds': 24}",80,2,2005
6,South Florida,Big East,PUNT,"{'minutes': 3, 'seconds': 54}",1,"{'minutes': 1, 'seconds': 37}",61,252460213,25246021307,Penn State,Big Ten,7,False,1,"{'minutes': 5, 'seconds': 31}",24,37,2005
7,Penn State,Big Ten,INT,{'seconds': 51},1,{'seconds': 46},91,252460213,25246021308,South Florida,Big East,3,False,1,"{'minutes': 1, 'seconds': 37}",89,-2,2005
8,South Florida,Big East,RUSHING TD,"{'minutes': 1, 'seconds': 7}",2,"{'minutes': 14, 'seconds': 39}",100,252460213,25246021309,Penn State,Big Ten,3,True,1,{'seconds': 46},86,14,2005
9,Penn State,Big Ten,PUNT,{'minutes': 1},2,"{'minutes': 13, 'seconds': 39}",77,252460213,25246021310,South Florida,Big East,12,False,2,"{'minutes': 14, 'seconds': 39}",80,3,2005
10,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 20}",2,"{'minutes': 11, 'seconds': 19}",55,252460213,25246021311,Penn State,Big Ten,3,False,2,"{'minutes': 13, 'seconds': 39}",55,0,2005
11,Penn State,Big Ten,FG MISSED,"{'minutes': 8, 'seconds': 7}",2,"{'minutes': 3, 'seconds': 12}",15,252460213,25246021312,South Florida,Big East,16,False,2,"{'minutes': 11, 'seconds': 19}",93,78,2005
12,South Florida,Big East,INT,"{'minutes': 1, 'seconds': 8}",2,"{'minutes': 2, 'seconds': 4}",49,252460213,25246021313,Penn State,Big Ten,3,False,2,"{'minutes': 3, 'seconds': 12}",80,29,2005
13,Penn State,Big Ten,PASSING TD,"{'minutes': 2, 'seconds': 4}",2,{},0,252460213,25246021314,South Florida,Big East,8,True,2,"{'minutes': 2, 'seconds': 4}",55,55,2005
14,South Florida,Big East,END OF HALF,{},2,{},37,252460213,25246021315,Penn State,Big Ten,1,False,2,{},37,0,2005
15,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 4}",3,"{'minutes': 12, 'seconds': 48}",64,252460213,25246021316,South Florida,Big East,3,False,3,"{'minutes': 14, 'seconds': 52}",73,9,2005
16,South Florida,Big East,PUNT,"{'minutes': 1, 'seconds': 41}",3,"{'minutes': 11, 'seconds': 7}",58,252460213,25246021317,Penn State,Big Ten,3,False,3,"{'minutes': 12, 'seconds': 48}",62,-4,2005
17,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 7}",3,{'minutes': 9},88,252460213,25246021318,South Florida,Big East,3,False,3,"{'minutes': 11, 'seconds': 7}",96,8,2005
18,South Florida,Big East,FUMBLE,{'seconds': 45},3,"{'minutes': 8, 'seconds': 15}",88,252460213,25246021319,Penn State,Big Ten,3,False,3,{'minutes': 9},20,68,2005
19,Penn State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 23}",3,"{'minutes': 6, 'seconds': 52}",68,252460213,25246021320,South Florida,Big East,4,False,3,"{'minutes': 8, 'seconds': 15}",88,20,2005
20,South Florida,Big East,PUNT,"{'minutes': 4, 'seconds': 56}",3,"{'minutes': 1, 'seconds': 56}",33,252460213,25246021321,Penn State,Big Ten,8,False,3,"{'minutes': 6, 'seconds': 52}",6,27,2005
21,Penn State,Big Ten,PUNT,{'seconds': 45},3,"{'minutes': 1, 'seconds': 11}",58,252460213,25246021322,South Florida,Big East,4,False,3,"{'minutes': 1, 'seconds': 56}",79,21,2005
22,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 5}",4,"{'minutes': 14, 'seconds': 6}",40,252460213,25246021323,Penn State,Big Ten,3,False,3,"{'minutes': 1, 'seconds': 11}",35,5,2005
23,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 56}",4,"{'minutes': 11, 'seconds': 10}",63,252460213,25246021324,South Florida,Big East,6,False,4,"{'minutes': 14, 'seconds': 6}",80,17,2005
24,South Florida,Big East,RUSHING TD,{'minutes': 1},4,"{'minutes': 10, 'seconds': 10}",100,252460213,25246021325,Penn State,Big Ten,3,True,4,"{'minutes': 11, 'seconds': 10}",21,79,2005
25,Penn State,Big Ten,PASSING TD,"{'minutes': 7, 'seconds': 21}",4,"{'minutes': 2, 'seconds': 49}",0,252460213,25246021326,South Florida,Big East,18,True,4,"{'minutes': 10, 'seconds': 10}",85,85,2005
26,South Florida,Big East,END OF GAME,"{'minutes': 2, 'seconds': 49}",4,{},75,252460213,25246021327,Penn State,Big Ten,6,False,4,"{'minutes': 2, 'seconds': 49}",55,20,2005
27,Florida A&M,,RUSHING TD,"{'minutes': 3, 'seconds': 6}",1,"{'minutes': 11, 'seconds': 47}",100,252530058,25253005801,South Florida,Big East,6,True,1,"{'minutes': 14, 'seconds': 53}",33,67,2005
28,South Florida,Big East,PUNT,{'seconds': 54},1,"{'minutes': 10, 'seconds': 53}",64,252530058,25253005802,Florida A&M,,3,False,1,"{'minutes': 11, 'seconds': 47}",63,-1,2005
29,Florida A&M,,Uncategorized,"{'minutes': 10, 'seconds': 53}",1,{},86,252530058,25253005803,South Florida,Big East,7,True,1,"{'minutes': 10, 'seconds': 53}",55,31,2005
30,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 21}",1,{},86,252530058,25253005804,Florida A&M,,3,False,0,{},90,4,2005
31,Florida A&M,,FG MISSED,"{'minutes': 1, 'seconds': 26}",1,"{'minutes': 2, 'seconds': 30}",81,252530058,25253005805,South Florida,Big East,7,False,0,{},46,35,2005
32,South Florida,Big East,PUNT,{'minutes': 3},2,"{'minutes': 14, 'seconds': 30}",87,252530058,25253005806,Florida A&M,,3,False,1,"{'minutes': 2, 'seconds': 30}",81,-6,2005
33,Florida A&M,,FG MISSED,{'minutes': 1},2,"{'minutes': 13, 'seconds': 30}",79,252530058,25253005807,South Florida,Big East,5,False,2,"{'minutes': 14, 'seconds': 30}",60,19,2005
34,South Florida,Big East,PUNT,{'seconds': 30},2,{'minutes': 13},70,252530058,25253005808,Florida A&M,,4,False,2,"{'minutes': 13, 'seconds': 30}",79,9,2005
35,Florida A&M,,FG GOOD,{'minutes': 3},2,{'minutes': 10},88,252530058,25253005809,South Florida,Big East,8,True,2,{'minutes': 13},70,18,2005
36,South Florida,Big East,PUNT,{'minutes': 2},2,{'minutes': 8},68,252530058,25253005810,Florida A&M,,3,False,2,{'minutes': 10},68,0,2005
37,Florida A&M,,RUSHING TD,"{'minutes': 2, 'seconds': 56}",2,"{'minutes': 5, 'seconds': 4}",100,252530058,25253005811,South Florida,Big East,2,True,2,{'minutes': 8},60,40,2005
38,South Florida,Big East,PUNT,"{'minutes': 1, 'seconds': 7}",2,"{'minutes': 3, 'seconds': 57}",89,252530058,25253005812,Florida A&M,,3,False,2,"{'minutes': 5, 'seconds': 4}",81,-8,2005
39,Florida A&M,,RUSHING TD,"{'minutes': 3, 'seconds': 13}",2,{'seconds': 44},100,252530058,25253005813,South Florida,Big East,9,True,2,"{'minutes': 3, 'seconds': 57}",36,64,2005
40,South Florida,Big East,END OF HALF,{'seconds': 44},2,{},74,252530058,25253005814,Florida A&M,,2,False,2,{'seconds': 44},80,6,2005
41,Florida A&M,,FUMBLE,"{'minutes': 1, 'seconds': 48}",3,"{'minutes': 13, 'seconds': 5}",50,252530058,25253005815,South Florida,Big East,4,False,3,"{'minutes': 14, 'seconds': 53}",28,22,2005
42,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 2}",3,"{'minutes': 11, 'seconds': 3}",50,252530058,25253005816,Florida A&M,,4,False,3,"{'minutes': 13, 'seconds': 5}",35,-15,2005
43,Florida A&M,,PASSING TD,"{'minutes': 2, 'seconds': 45}",3,"{'minutes': 8, 'seconds': 18}",100,252530058,25253005817,South Florida,Big East,7,True,3,"{'minutes': 11, 'seconds': 3}",57,43,2005
44,South Florida,Big East,PUNT,"{'minutes': 1, 'seconds': 3}",3,"{'minutes': 7, 'seconds': 15}",62,252530058,25253005818,Florida A&M,,5,False,3,"{'minutes': 8, 'seconds': 18}",65,3,2005
45,Florida A&M,,PUNT,{'seconds': 27},3,"{'minutes': 6, 'seconds': 48}",35,252530058,25253005819,South Florida,Big East,3,False,3,"{'minutes': 7, 'seconds': 15}",30,5,2005
46,South Florida,Big East,FG MISSED,"{'minutes': 5, 'seconds': 53}",3,{'seconds': 55},20,252530058,25253005820,Florida A&M,,7,False,3,"{'minutes': 6, 'seconds': 48}",30,10,2005
47,South Florida,Big East,END OF GAME,{'seconds': 55},4,"{'minutes': 14, 'seconds': 57}",4,252530058,25253005821,Florida A&M,,4,True,3,{'seconds': 55},10,86,2005
48,Florida A&M,,PUNT,"{'minutes': 2, 'seconds': 55}",4,"{'minutes': 12, 'seconds': 2}",29,252530058,25253005822,South Florida,Big East,3,False,4,"{'minutes': 14, 'seconds': 57}",28,1,2005
49,South Florida,Big East,INT,{'seconds': 42},4,"{'minutes': 11, 'seconds': 20}",50,252530058,25253005823,Florida A&M,,3,False,4,"{'minutes': 12, 'seconds': 2}",71,21,2005
50,Florida A&M,,PUNT,"{'minutes': 3, 'seconds': 36}",4,"{'minutes': 7, 'seconds': 44}",28,252530058,25253005824,South Florida,Big East,7,False,4,"{'minutes': 11, 'seconds': 20}",8,20,2005
51,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 20}",4,"{'minutes': 5, 'seconds': 24}",75,252530058,25253005825,Florida A&M,,3,False,4,"{'minutes': 7, 'seconds': 44}",84,9,2005
52,Florida A&M,,PUNT,"{'minutes': 1, 'seconds': 2}",4,"{'minutes': 4, 'seconds': 22}",59,252530058,25253005826,South Florida,Big East,5,False,4,"{'minutes': 5, 'seconds': 24}",37,22,2005
53,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 12}",4,"{'minutes': 2, 'seconds': 10}",17,252530058,25253005827,Florida A&M,,5,False,4,"{'minutes': 4, 'seconds': 22}",80,63,2005
54,Florida A&M,,END OF GAME,"{'minutes': 2, 'seconds': 10}",4,{},78,252530058,25253005828,South Florida,Big East,5,False,4,"{'minutes': 2, 'seconds': 10}",64,14,2005
55,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 54}",1,"{'minutes': 12, 'seconds': 6}",61,252600058,25260005801,UCF,Conference USA,4,False,1,{'minutes': 15},78,17,2005
56,UCF,Conference USA,RUSHING TD,"{'minutes': 4, 'seconds': 44}",1,"{'minutes': 7, 'seconds': 22}",100,252600058,25260005802,South Florida,Big East,11,True,1,"{'minutes': 12, 'seconds': 6}",16,84,2005
57,South Florida,Big East,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 45}",1,"{'minutes': 2, 'seconds': 37}",31,252600058,25260005803,UCF,Conference USA,11,False,1,"{'minutes': 7, 'seconds': 22}",87,56,2005
58,UCF,Conference USA,PUNT,"{'minutes': 2, 'seconds': 15}",1,{'seconds': 22},34,252600058,25260005804,South Florida,Big East,5,False,1,"{'minutes': 2, 'seconds': 37}",31,3,2005
59,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 6}",2,"{'minutes': 12, 'seconds': 57}",87,252600058,25260005805,UCF,Conference USA,4,False,1,{'seconds': 22},91,4,2005
60,UCF,Conference USA,FG MISSED,"{'minutes': 4, 'seconds': 6}",2,"{'minutes': 8, 'seconds': 51}",93,252600058,25260005806,South Florida,Big East,9,False,2,"{'minutes': 12, 'seconds': 57}",46,47,2005
61,South Florida,Big East,PUNT,"{'minutes': 1, 'seconds': 4}",2,"{'minutes': 7, 'seconds': 47}",73,252600058,25260005807,UCF,Conference USA,3,False,2,"{'minutes': 8, 'seconds': 51}",74,-4,2005
62,UCF,Conference USA,RUSHING TD,"{'minutes': 4, 'seconds': 45}",2,"{'minutes': 3, 'seconds': 2}",100,252600058,25260005808,South Florida,Big East,12,True,2,"{'minutes': 7, 'seconds': 47}",40,60,2005
63,South Florida,Big East,FUMBLE,"{'minutes': 1, 'seconds': 10}",2,"{'minutes': 1, 'seconds': 52}",68,252600058,25260005809,UCF,Conference USA,5,False,2,"{'minutes': 3, 'seconds': 2}",83,15,2005
64,UCF,Conference USA,PASSING TD,{'seconds': 53},2,{'seconds': 59},100,252600058,25260005810,South Florida,Big East,3,True,2,"{'minutes': 1, 'seconds': 52}",68,32,2005
65,South Florida,Big East,PUNT,{'seconds': 27},2,{'seconds': 32},71,252600058,25260005811,UCF,Conference USA,4,False,2,{'seconds': 59},80,9,2005
66,UCF,Conference USA,END OF HALF,{'seconds': 32},2,{},34,252600058,25260005812,South Florida,Big East,1,False,2,{'seconds': 32},34,0,2005
67,UCF,Conference USA,PUNT,"{'minutes': 2, 'seconds': 29}",3,"{'minutes': 12, 'seconds': 31}",30,252600058,25260005813,South Florida,Big East,5,False,3,{'minutes': 15},9,21,2005
68,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 7}",3,"{'minutes': 10, 'seconds': 24}",49,252600058,25260005814,UCF,Conference USA,5,False,3,"{'minutes': 12, 'seconds': 31}",53,4,2005
69,UCF,Conference USA,PUNT,"{'minutes': 3, 'seconds': 21}",3,"{'minutes': 7, 'seconds': 3}",26,252600058,25260005815,South Florida,Big East,6,False,3,"{'minutes': 10, 'seconds': 24}",12,14,2005
70,South Florida,Big East,RUSHING TD,{'seconds': 19},3,"{'minutes': 6, 'seconds': 44}",0,252600058,25260005816,UCF,Conference USA,1,True,3,"{'minutes': 7, 'seconds': 3}",4,4,2005
71,UCF,Conference USA,RUSHING TD,"{'minutes': 3, 'seconds': 35}",3,"{'minutes': 3, 'seconds': 9}",100,252600058,25260005817,South Florida,Big East,9,True,3,"{'minutes': 6, 'seconds': 44}",20,80,2005
72,South Florida,Big East,PUNT,{'seconds': 28},3,"{'minutes': 2, 'seconds': 41}",81,252600058,25260005818,UCF,Conference USA,3,False,3,"{'minutes': 3, 'seconds': 9}",81,0,2005
73,UCF,Conference USA,PUNT,"{'minutes': 2, 'seconds': 6}",3,{'seconds': 35},35,252600058,25260005819,South Florida,Big East,3,False,3,"{'minutes': 2, 'seconds': 41}",33,2,2005
74,South Florida,Big East,PUNT,{'seconds': 43},4,"{'minutes': 14, 'seconds': 52}",91,252600058,25260005820,UCF,Conference USA,3,False,3,{'seconds': 35},92,1,2005
75,UCF,Conference USA,FG GOOD,"{'minutes': 3, 'seconds': 31}",4,"{'minutes': 11, 'seconds': 21}",96,252600058,25260005821,South Florida,Big East,7,True,4,"{'minutes': 14, 'seconds': 52}",73,23,2005
76,South Florida,Big East,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 35}",4,"{'minutes': 9, 'seconds': 46}",34,252600058,25260005822,UCF,Conference USA,9,False,4,"{'minutes': 11, 'seconds': 21}",90,51,2005
77,UCF,Conference USA,TURNOVER ON DOWNS,"{'minutes': 5, 'seconds': 53}",4,"{'minutes': 3, 'seconds': 53}",62,252600058,25260005823,South Florida,Big East,10,False,4,"{'minutes': 9, 'seconds': 46}",34,28,2005
78,South Florida,Big East,PASSING TD,"{'minutes': 1, 'seconds': 42}",4,"{'minutes': 2, 'seconds': 11}",0,252600058,25260005824,UCF,Conference USA,7,True,4,"{'minutes': 3, 'seconds': 53}",62,62,2005
79,UCF,Conference USA,END OF GAME,"{'minutes': 2, 'seconds': 11}",4,{},55,252600058,25260005825,South Florida,Big East,3,False,4,"{'minutes': 2, 'seconds': 11}",49,6,2005
80,South Florida,Big East,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 30}",1,"{'minutes': 10, 'seconds': 25}",31,252670058,25267005801,Louisville,Big East,10,False,1,"{'minutes': 14, 'seconds': 55}",80,49,2005
81,Louisville,Big East,RUSHING TD,{'seconds': 53},1,"{'minutes': 9, 'seconds': 32}",100,252670058,25267005802,South Florida,Big East,3,True,1,"{'minutes': 10, 'seconds': 25}",31,69,2005
82,South Florida,Big East,FG MISSED,"{'minutes': 5, 'seconds': 44}",1,"{'minutes': 3, 'seconds': 48}",15,252670058,25267005803,Louisville,Big East,10,False,1,"{'minutes': 9, 'seconds': 32}",69,54,2005
83,Louisville,Big East,PUNT,"{'minutes': 1, 'seconds': 37}",1,"{'minutes': 2, 'seconds': 11}",25,252670058,25267005804,South Florida,Big East,3,False,1,"{'minutes': 3, 'seconds': 48}",20,5,2005
84,South Florida,Big East,FUMBLE,{'seconds': 47},1,"{'minutes': 1, 'seconds': 24}",34,252670058,25267005805,Louisville,Big East,3,False,1,"{'minutes': 2, 'seconds': 11}",59,25,2005
85,Louisville,Big East,RUSHING TD,"{'minutes': 1, 'seconds': 44}",2,"{'minutes': 14, 'seconds': 35}",100,252670058,25267005806,South Florida,Big East,4,True,1,"{'minutes': 1, 'seconds': 24}",34,66,2005
86,South Florida,Big East,PUNT,"{'minutes': 2, 'seconds': 6}",2,"{'minutes': 12, 'seconds': 29}",72,252670058,25267005807,Louisville,Big East,5,False,2,"{'minutes': 14, 'seconds': 35}",76,4,2005
87,Louisville,Big East,RUSHING TD,"{'minutes': 4, 'seconds': 10}",2,"{'minutes': 8, 'seconds': 19}",100,252670058,25267005808,South Florida,Big East,8,True,2,"{'minutes': 12, 'seconds': 29}",39,61,2005
88,South Florida,Big East,PUNT,"{'minutes': 1, 'seconds': 46}",2,"{'minutes': 6, 'seconds': 33}",59,252670058,25267005809,Louisville,Big East,4,False,2,"{'minutes': 8, 'seconds': 19}",65,6,2005
89,Louisville,Big East,FUMBLE,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 5, 'seconds': 2}",46,252670058,25267005810,South Florida,Big East,3,False,2,"{'minutes': 6, 'seconds': 33}",36,10,2005
90,South Florida,Big East,RUSHING TD,"{'minutes': 3, 'seconds': 29}",2,"{'minutes': 1, 'seconds': 33}",0,252670058,25267005811,Louisville,Big East,8,True,2,"{'minutes': 5, 'seconds': 2}",46,46,2005
91,Louisville,Big East,FG GOOD,"{'minutes': 1, 'seconds': 32}",2,{'seconds': 1},71,252670058,25267005812,South Florida,Big East,6,True,2,"{'minutes': 1, 'seconds': 33}",55,16,2005
92,South Florida,Big East,END OF HALF,{'seconds': 1},2,{},10,252670058,25267005813,Louisville,Big East,1,True,2,{'seconds': 1},78,68,2005
93,Louisville,Big East,KICKOFF RETURN TD,{'seconds': 6},3,"{'minutes': 14, 'seconds': 41}",100,252670058,25267005814,South Florida,Big East,1,True,3,"{'minutes': 14, 'seconds': 47}",97,94,2005
94,South Florida,Big East,FUMBLE,{'seconds': 23},3,"{'minutes': 14, 'seconds': 18}",64,252670058,25267005815,Louisville,Big East,2,False,3,"{'minutes': 14, 'seconds': 41}",76,12,2005
95,Louisville,Big East,PASSING TD,"{'minutes': 3, 'seconds': 8}",3,"{'minutes': 11, 'seconds': 10}",100,252670058,25267005816,South Florida,Big East,6,True,3,"{'minutes': 14, 'seconds': 18}",64,36,2005
96,South Florida,Big East,PUNT,"{'minutes': 3, 'seconds': 13}",3,"{'minutes': 7, 'seconds': 57}",58,252670058,25267005817,Louisville,Big East,10,False,3,"{'minutes': 11, 'seconds': 10}",86,28,2005
