,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Southern Mississippi,Conference USA,PASSING TD,{'seconds': 56},1,"{'minutes': 14, 'seconds': 4}",100,252530333,25253033301,Alabama,SEC,4,True,1,{'minutes': 15},20,80,2005
1,Alabama,SEC,PUNT,{'seconds': 50},1,"{'minutes': 13, 'seconds': 14}",73,252530333,25253033302,Southern Mississippi,Conference USA,3,False,1,"{'minutes': 14, 'seconds': 4}",80,7,2005
2,Southern Mississippi,Conference USA,PUNT,"{'minutes': 1, 'seconds': 12}",1,"{'minutes': 12, 'seconds': 2}",47,252530333,25253033303,Alabama,SEC,4,False,1,"{'minutes': 13, 'seconds': 14}",28,19,2005
3,Alabama,SEC,PUNT,"{'minutes': 1, 'seconds': 40}",1,"{'minutes': 10, 'seconds': 22}",80,252530333,25253033304,Southern Mississippi,Conference USA,3,False,1,"{'minutes': 12, 'seconds': 2}",79,-1,2005
4,Southern Mississippi,Conference USA,FG GOOD,"{'minutes': 3, 'seconds': 41}",1,"{'minutes': 6, 'seconds': 41}",85,252530333,25253033305,Alabama,SEC,8,True,1,"{'minutes': 10, 'seconds': 22}",32,53,2005
5,Alabama,SEC,PUNT,"{'minutes': 2, 'seconds': 1}",1,"{'minutes': 4, 'seconds': 40}",92,252530333,25253033306,Southern Mississippi,Conference USA,3,False,1,"{'minutes': 6, 'seconds': 41}",76,-16,2005
6,Southern Mississippi,Conference USA,INT,"{'minutes': 1, 'seconds': 8}",1,"{'minutes': 3, 'seconds': 32}",37,252530333,25253033307,Alabama,SEC,2,True,1,"{'minutes': 4, 'seconds': 40}",37,0,2005
7,Alabama,SEC,INT RETURN TOUCH,{},1,"{'minutes': 3, 'seconds': 32}",0,252530333,25253033308,Southern Mississippi,Conference USA,1,True,1,"{'minutes': 3, 'seconds': 32}",3,34,2005
8,Southern Mississippi,Conference USA,PUNT,"{'minutes': 1, 'seconds': 37}",1,"{'minutes': 1, 'seconds': 55}",24,252530333,25253033309,Alabama,SEC,3,False,1,"{'minutes': 3, 'seconds': 32}",20,4,2005
9,Alabama,SEC,PASSING TD,"{'minutes': 1, 'seconds': 2}",1,{'seconds': 53},0,252530333,25253033310,Southern Mississippi,Conference USA,1,True,1,"{'minutes': 1, 'seconds': 55}",12,12,2005
10,Southern Mississippi,Conference USA,PUNT,"{'minutes': 2, 'seconds': 20}",2,"{'minutes': 14, 'seconds': 5}",36,252530333,25253033311,Alabama,SEC,3,False,1,{'seconds': 53},31,5,2005
11,Alabama,SEC,PASSING TD,"{'minutes': 3, 'seconds': 46}",2,"{'minutes': 10, 'seconds': 19}",0,252530333,25253033312,Southern Mississippi,Conference USA,7,True,2,"{'minutes': 14, 'seconds': 5}",64,64,2005
12,Southern Mississippi,Conference USA,FG MISSED,"{'minutes': 1, 'seconds': 53}",2,"{'minutes': 8, 'seconds': 26}",76,252530333,25253033313,Alabama,SEC,5,False,2,"{'minutes': 10, 'seconds': 19}",66,10,2005
