,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Stanford,Pac-10,PUNT,"{'minutes': 2, 'seconds': 24}",1,"{'minutes': 12, 'seconds': 29}",37,252532426,25253242601,Navy,FBS Independents,6,False,1,"{'minutes': 14, 'seconds': 53}",17,20,2005
1,Navy,FBS Independents,PASSING TD,"{'minutes': 4, 'seconds': 17}",1,"{'minutes': 8, 'seconds': 12}",0,252532426,25253242602,Stanford,Pac-10,10,True,1,"{'minutes': 12, 'seconds': 29}",73,73,2005
2,Stanford,Pac-10,PUNT,"{'minutes': 1, 'seconds': 59}",1,"{'minutes': 6, 'seconds': 13}",17,252532426,25253242603,Navy,FBS Independents,3,False,1,"{'minutes': 8, 'seconds': 12}",25,-8,2005
3,Navy,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 33}",1,"{'minutes': 4, 'seconds': 40}",75,252532426,25253242604,Stanford,Pac-10,3,False,1,"{'minutes': 6, 'seconds': 13}",69,-6,2005
4,Stanford,Pac-10,PUNT,"{'minutes': 2, 'seconds': 7}",1,"{'minutes': 2, 'seconds': 33}",54,252532426,25253242605,Navy,FBS Independents,5,True,1,"{'minutes': 4, 'seconds': 40}",34,20,2005
5,Stanford,Pac-10,FUMBLE RETURN TD,{'seconds': 11},1,"{'minutes': 2, 'seconds': 22}",83,252532426,25253242607,Navy,FBS Independents,1,True,1,"{'minutes': 2, 'seconds': 33}",97,17,2005
6,Navy,FBS Independents,KICKOFF RETURN TD,{'seconds': 6},1,"{'minutes': 2, 'seconds': 16}",0,252532426,25253242608,Stanford,Pac-10,1,True,1,"{'minutes': 2, 'seconds': 22}",3,93,2005
7,Stanford,Pac-10,PUNT,"{'minutes': 1, 'seconds': 45}",1,{'seconds': 31},34,252532426,25253242609,Navy,FBS Independents,3,False,1,"{'minutes': 2, 'seconds': 16}",25,9,2005
8,Navy,FBS Independents,PUNT,{'seconds': 45},2,"{'minutes': 14, 'seconds': 46}",76,252532426,25253242610,Stanford,Pac-10,3,False,1,{'seconds': 31},76,0,2005
9,Stanford,Pac-10,RUSHING TD,"{'minutes': 1, 'seconds': 12}",2,"{'minutes': 13, 'seconds': 34}",100,252532426,25253242611,Navy,FBS Independents,4,True,2,"{'minutes': 14, 'seconds': 46}",32,68,2005
10,Navy,FBS Independents,PUNT,"{'minutes': 2, 'seconds': 7}",2,"{'minutes': 11, 'seconds': 27}",65,252532426,25253242612,Stanford,Pac-10,3,False,2,"{'minutes': 13, 'seconds': 34}",65,0,2005
11,Stanford,Pac-10,RUSHING TD,"{'minutes': 5, 'seconds': 54}",2,"{'minutes': 5, 'seconds': 33}",100,252532426,25253242613,Navy,FBS Independents,14,True,2,"{'minutes': 11, 'seconds': 27}",21,79,2005
12,Navy,FBS Independents,RUSHING TD,"{'minutes': 3, 'seconds': 10}",2,"{'minutes': 2, 'seconds': 23}",0,252532426,25253242614,Stanford,Pac-10,7,True,2,"{'minutes': 5, 'seconds': 33}",65,65,2005
13,Stanford,Pac-10,INT,"{'minutes': 1, 'seconds': 30}",2,{'seconds': 53},63,252532426,25253242615,Navy,FBS Independents,6,False,2,"{'minutes': 2, 'seconds': 23}",40,23,2005
14,Navy,FBS Independents,END OF HALF,{'seconds': 53},2,{},1,252532426,25253242616,Stanford,Pac-10,7,False,2,{'seconds': 53},65,64,2005
15,Stanford,Pac-10,Uncategorized,{'seconds': 7},3,"{'minutes': 14, 'seconds': 53}",35,252532426,25253242617,Navy,FBS Independents,1,False,3,{'minutes': 15},35,0,2005
16,Navy,FBS Independents,RUSHING TD,"{'minutes': 2, 'seconds': 23}",3,"{'minutes': 12, 'seconds': 30}",0,252532426,25253242618,Stanford,Pac-10,7,True,3,"{'minutes': 14, 'seconds': 53}",65,65,2005
17,Stanford,Pac-10,FG GOOD,"{'minutes': 2, 'seconds': 10}",3,"{'minutes': 10, 'seconds': 20}",78,252532426,25253242619,Navy,FBS Independents,5,True,3,"{'minutes': 12, 'seconds': 30}",20,58,2005
18,Navy,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 32}",3,"{'minutes': 8, 'seconds': 48}",63,252532426,25253242620,Stanford,Pac-10,3,False,3,"{'minutes': 10, 'seconds': 20}",71,8,2005
19,Stanford,Pac-10,PUNT,"{'minutes': 3, 'seconds': 43}",3,"{'minutes': 5, 'seconds': 5}",43,252532426,25253242621,Navy,FBS Independents,8,False,3,"{'minutes': 8, 'seconds': 48}",11,32,2005
20,Navy,FBS Independents,RUSHING TD,"{'minutes': 2, 'seconds': 10}",3,"{'minutes': 2, 'seconds': 55}",0,252532426,25253242622,Stanford,Pac-10,5,True,3,"{'minutes': 5, 'seconds': 5}",86,86,2005
21,Stanford,Pac-10,PUNT,"{'minutes': 1, 'seconds': 27}",3,"{'minutes': 1, 'seconds': 28}",15,252532426,25253242623,Navy,FBS Independents,3,False,3,"{'minutes': 2, 'seconds': 55}",20,-5,2005
22,Navy,FBS Independents,FG GOOD,"{'minutes': 1, 'seconds': 37}",4,"{'minutes': 14, 'seconds': 42}",22,252532426,25253242624,Stanford,Pac-10,5,True,3,"{'minutes': 1, 'seconds': 28}",40,18,2005
23,Stanford,Pac-10,PASSING TD,"{'minutes': 2, 'seconds': 10}",4,"{'minutes': 12, 'seconds': 32}",100,252532426,25253242625,Navy,FBS Independents,6,True,4,"{'minutes': 14, 'seconds': 42}",16,84,2005
24,Navy,FBS Independents,FG GOOD,"{'minutes': 5, 'seconds': 27}",4,"{'minutes': 7, 'seconds': 5}",30,252532426,25253242626,Stanford,Pac-10,9,True,4,"{'minutes': 12, 'seconds': 32}",68,38,2005
25,Stanford,Pac-10,INT,{'seconds': 13},4,"{'minutes': 6, 'seconds': 52}",30,252532426,25253242627,Navy,FBS Independents,1,False,4,"{'minutes': 7, 'seconds': 5}",30,0,2005
26,Navy,FBS Independents,PUNT,{'seconds': 25},4,"{'minutes': 6, 'seconds': 27}",38,252532426,25253242628,Stanford,Pac-10,3,False,4,"{'minutes': 6, 'seconds': 52}",38,0,2005
27,Stanford,Pac-10,RUSHING TD,"{'minutes': 4, 'seconds': 18}",4,"{'minutes': 2, 'seconds': 9}",100,252532426,25253242629,Navy,FBS Independents,16,True,4,"{'minutes': 6, 'seconds': 27}",20,80,2005
28,Navy,FBS Independents,PUNT,{'seconds': 32},4,"{'minutes': 1, 'seconds': 37}",40,252532426,25253242630,Stanford,Pac-10,3,False,4,"{'minutes': 2, 'seconds': 9}",48,8,2005
29,Stanford,Pac-10,TURNOVER ON DOWNS,{'seconds': 47},4,{'seconds': 50},16,252532426,25253242631,Navy,FBS Independents,4,False,4,"{'minutes': 1, 'seconds': 37}",15,1,2005
30,Navy,FBS Independents,END OF GAME,{'seconds': 50},4,{},20,252532426,25253242632,Stanford,Pac-10,2,False,4,{'seconds': 50},16,-4,2005
31,Stanford,Pac-10,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 40}",1,"{'minutes': 11, 'seconds': 20}",21,252740024,25274002401,Oregon,Pac-10,8,False,1,{'minutes': 15},80,59,2005
32,Oregon,Pac-10,PUNT,"{'minutes': 2, 'seconds': 31}",1,"{'minutes': 8, 'seconds': 49}",27,252740024,25274002402,Stanford,Pac-10,3,False,1,"{'minutes': 11, 'seconds': 20}",21,6,2005
33,Stanford,Pac-10,INT,{'seconds': 5},1,"{'minutes': 8, 'seconds': 44}",56,252740024,25274002403,Oregon,Pac-10,1,False,1,"{'minutes': 8, 'seconds': 49}",56,0,2005
34,Oregon,Pac-10,FG GOOD,"{'minutes': 4, 'seconds': 1}",1,"{'minutes': 4, 'seconds': 43}",75,252740024,25274002404,Stanford,Pac-10,8,True,1,"{'minutes': 8, 'seconds': 44}",45,30,2005
35,Stanford,Pac-10,PASSING TD,"{'minutes': 2, 'seconds': 39}",1,"{'minutes': 2, 'seconds': 4}",0,252740024,25274002405,Oregon,Pac-10,8,True,1,"{'minutes': 4, 'seconds': 43}",83,83,2005
36,Oregon,Pac-10,PASSING TD,{'minutes': 2},1,{'seconds': 4},100,252740024,25274002406,Stanford,Pac-10,6,True,1,"{'minutes': 2, 'seconds': 4}",34,66,2005
37,Stanford,Pac-10,PASSING TD,"{'minutes': 1, 'seconds': 41}",2,"{'minutes': 13, 'seconds': 15}",0,252740024,25274002407,Oregon,Pac-10,6,True,1,{'seconds': 4},80,80,2005
