,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Temple,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 14}",1,"{'minutes': 13, 'seconds': 46}",12,252440009,25244000901,Arizona State,Pac-10,3,False,1,{'minutes': 15},20,-8,2005
1,Arizona State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 51}",1,"{'minutes': 10, 'seconds': 55}",46,252440009,25244000902,Temple,FBS Independents,5,False,1,"{'minutes': 13, 'seconds': 46}",54,8,2005
2,Temple,FBS Independents,RUSHING TD,"{'minutes': 4, 'seconds': 59}",1,"{'minutes': 5, 'seconds': 56}",100,252440009,25244000903,Arizona State,Pac-10,14,True,1,"{'minutes': 10, 'seconds': 55}",19,81,2005
3,Arizona State,Pac-10,PUNT,"{'minutes': 3, 'seconds': 10}",1,"{'minutes': 2, 'seconds': 46}",43,252440009,25244000904,Temple,FBS Independents,7,False,1,"{'minutes': 5, 'seconds': 56}",80,37,2005
4,Temple,FBS Independents,PASSING TD,"{'minutes': 2, 'seconds': 33}",1,{'seconds': 13},100,252440009,25244000905,Arizona State,Pac-10,7,True,1,"{'minutes': 2, 'seconds': 46}",15,85,2005
5,Arizona State,Pac-10,PUNT,"{'minutes': 4, 'seconds': 36}",2,"{'minutes': 10, 'seconds': 37}",52,252440009,25244000906,Temple,FBS Independents,9,False,1,{'seconds': 13},80,28,2005
6,Temple,FBS Independents,SF,{'seconds': 33},2,"{'minutes': 10, 'seconds': 4}",0,252440009,25244000907,Arizona State,Pac-10,1,True,2,"{'minutes': 10, 'seconds': 37}",8,-16,2005
7,Arizona State,Pac-10,INT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 8, 'seconds': 33}",65,252440009,25244000908,Temple,FBS Independents,4,False,2,"{'minutes': 10, 'seconds': 4}",76,11,2005
8,Temple,FBS Independents,PASSING TD,"{'minutes': 1, 'seconds': 13}",2,"{'minutes': 7, 'seconds': 20}",100,252440009,25244000909,Arizona State,Pac-10,5,True,2,"{'minutes': 8, 'seconds': 33}",70,30,2005
9,Arizona State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 2}",2,"{'minutes': 6, 'seconds': 18}",80,252440009,25244000910,Temple,FBS Independents,3,False,2,"{'minutes': 7, 'seconds': 20}",80,0,2005
10,Temple,FBS Independents,INT,"{'minutes': 2, 'seconds': 55}",2,"{'minutes': 3, 'seconds': 23}",93,252440009,25244000911,Arizona State,Pac-10,7,False,2,"{'minutes': 6, 'seconds': 18}",39,54,2005
11,Arizona State,Pac-10,PUNT,"{'minutes': 3, 'seconds': 8}",2,{'seconds': 15},81,252440009,25244000912,Temple,FBS Independents,6,False,2,"{'minutes': 3, 'seconds': 23}",99,18,2005
12,Temple,FBS Independents,PASSING TD,{'seconds': 6},2,{'seconds': 9},100,252440009,25244000913,Arizona State,Pac-10,1,True,2,{'seconds': 15},82,18,2005
13,Temple,FBS Independents,END OF HALF,{'seconds': 9},3,"{'minutes': 14, 'seconds': 55}",30,252440009,25244000914,Arizona State,Pac-10,1,False,2,{'seconds': 9},80,10,2005
14,Arizona State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 39}",3,"{'minutes': 13, 'seconds': 16}",73,252440009,25244000915,Temple,FBS Independents,3,False,3,"{'minutes': 14, 'seconds': 55}",78,5,2005
15,Temple,FBS Independents,RUSHING TD,"{'minutes': 2, 'seconds': 43}",3,"{'minutes': 10, 'seconds': 33}",100,252440009,25244000916,Arizona State,Pac-10,6,True,3,"{'minutes': 13, 'seconds': 16}",40,60,2005
16,Arizona State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 26}",3,"{'minutes': 9, 'seconds': 7}",60,252440009,25244000917,Temple,FBS Independents,6,False,3,"{'minutes': 10, 'seconds': 33}",80,20,2005
17,Temple,FBS Independents,INT,{'seconds': 9},3,"{'minutes': 8, 'seconds': 58}",26,252440009,25244000918,Arizona State,Pac-10,1,False,3,"{'minutes': 9, 'seconds': 7}",26,0,2005
18,Arizona State,Pac-10,PUNT,"{'minutes': 2, 'seconds': 1}",3,"{'minutes': 6, 'seconds': 57}",49,252440009,25244000919,Temple,FBS Independents,6,False,3,"{'minutes': 8, 'seconds': 58}",69,20,2005
19,Temple,FBS Independents,PASSING TD,"{'minutes': 3, 'seconds': 6}",3,"{'minutes': 3, 'seconds': 51}",100,252440009,25244000920,Arizona State,Pac-10,7,True,3,"{'minutes': 6, 'seconds': 57}",15,85,2005
20,Arizona State,Pac-10,RUSHING TD,"{'minutes': 3, 'seconds': 51}",3,{},0,252440009,25244000921,Temple,FBS Independents,9,True,3,"{'minutes': 3, 'seconds': 51}",80,80,2005
21,Temple,FBS Independents,FUMBLE,{'seconds': 7},4,"{'minutes': 14, 'seconds': 53}",32,252440009,25244000922,Arizona State,Pac-10,1,False,3,{},38,-6,2005
22,Arizona State,Pac-10,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 28}",4,"{'minutes': 12, 'seconds': 25}",12,252440009,25244000923,Temple,FBS Independents,6,False,4,"{'minutes': 14, 'seconds': 53}",32,20,2005
23,Temple,FBS Independents,PASSING TD,"{'minutes': 4, 'seconds': 15}",4,"{'minutes': 8, 'seconds': 10}",100,252440009,25244000924,Arizona State,Pac-10,8,True,4,"{'minutes': 12, 'seconds': 25}",12,88,2005
24,Arizona State,Pac-10,FUMBLE,{'seconds': 8},4,"{'minutes': 8, 'seconds': 2}",85,252440009,25244000925,Temple,FBS Independents,1,False,4,"{'minutes': 8, 'seconds': 10}",80,-5,2005
25,Temple,FBS Independents,RUSHING TD,"{'minutes': 2, 'seconds': 38}",4,"{'minutes': 5, 'seconds': 24}",100,252440009,25244000926,Arizona State,Pac-10,6,True,4,"{'minutes': 8, 'seconds': 2}",85,15,2005
